# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 9.950129999999999843e-10
3.520000000000000018e+00 9.675329999999999923e-10
3.540000000000000036e+00 9.407909999999999207e-10
3.560000000000000053e+00 9.147670000000000114e-10
3.580000000000000071e+00 8.894409999999999894e-10
3.600000000000000089e+00 8.647960000000000192e-10
3.620000000000000107e+00 8.408140000000000497e-10
3.640000000000000124e+00 8.174760000000000213e-10
3.660000000000000142e+00 7.947670000000000122e-10
3.680000000000000160e+00 7.726699999999999798e-10
3.700000000000000178e+00 7.511689999999999938e-10
3.720000000000000195e+00 7.302470000000000116e-10
3.740000000000000213e+00 7.098900000000000167e-10
3.759999999999999787e+00 6.900829999999999836e-10
3.779999999999999805e+00 6.708109999999999906e-10
3.799999999999999822e+00 6.520600000000000210e-10
3.819999999999999840e+00 6.338159999999999545e-10
3.839999999999999858e+00 6.160669999999999985e-10
3.859999999999999876e+00 5.987980000000000244e-10
3.879999999999999893e+00 5.819980000000000410e-10
3.899999999999999911e+00 5.656540000000000404e-10
3.919999999999999929e+00 5.497530000000000143e-10
3.939999999999999947e+00 5.342839999999999719e-10
3.959999999999999964e+00 5.192360000000000255e-10
3.979999999999999982e+00 5.045969999999999688e-10
4.000000000000000000e+00 4.903570000000000263e-10
4.019999999999999574e+00 4.765039999999999915e-10
4.040000000000000036e+00 4.630300000000000027e-10
4.059999999999999609e+00 4.499230000000000085e-10
4.080000000000000071e+00 4.371739999999999836e-10
4.099999999999999645e+00 4.247729999999999972e-10
4.120000000000000107e+00 4.127110000000000237e-10
4.139999999999999680e+00 4.009799999999999946e-10
4.160000000000000142e+00 3.895699999999999792e-10
4.179999999999999716e+00 3.784720000000000037e-10
4.200000000000000178e+00 3.676790000000000080e-10
4.219999999999999751e+00 3.571820000000000183e-10
4.240000000000000213e+00 3.469739999999999746e-10
4.259999999999999787e+00 3.370460000000000064e-10
4.280000000000000249e+00 3.273910000000000020e-10
4.299999999999999822e+00 3.180020000000000047e-10
4.320000000000000284e+00 3.088720000000000062e-10
4.339999999999999858e+00 2.999929999999999897e-10
4.360000000000000320e+00 2.913600000000000154e-10
4.379999999999999893e+00 2.829650000000000150e-10
4.400000000000000355e+00 2.748019999999999884e-10
4.419999999999999929e+00 2.668659999999999964e-10
4.440000000000000391e+00 2.591490000000000219e-10
4.459999999999999964e+00 2.516460000000000221e-10
4.480000000000000426e+00 2.443499999999999886e-10
4.500000000000000000e+00 2.372579999999999990e-10
4.519999999999999574e+00 2.303629999999999933e-10
4.540000000000000036e+00 2.236589999999999977e-10
4.559999999999999609e+00 2.171420000000000035e-10
