# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.113979999999999911e-09
3.520000000000000018e+00 1.083380000000000037e-09
3.540000000000000036e+00 1.053599999999999960e-09
3.560000000000000053e+00 1.024610000000000042e-09
3.580000000000000071e+00 9.963930000000000353e-10
3.600000000000000089e+00 9.689350000000000253e-10
3.620000000000000107e+00 9.422129999999999185e-10
3.640000000000000124e+00 9.162060000000000516e-10
3.660000000000000142e+00 8.908969999999999687e-10
3.680000000000000160e+00 8.662660000000000152e-10
3.700000000000000178e+00 8.422969999999999504e-10
3.720000000000000195e+00 8.189720000000000335e-10
3.740000000000000213e+00 7.962740000000000153e-10
3.759999999999999787e+00 7.741859999999999568e-10
3.779999999999999805e+00 7.526930000000000394e-10
3.799999999999999822e+00 7.317780000000000139e-10
3.819999999999999840e+00 7.114269999999999670e-10
3.839999999999999858e+00 6.916249999999999769e-10
3.859999999999999876e+00 6.723560000000000096e-10
3.879999999999999893e+00 6.536089999999999708e-10
3.899999999999999911e+00 6.353670000000000249e-10
3.919999999999999929e+00 6.176189999999999741e-10
3.939999999999999947e+00 6.003500000000000000e-10
3.959999999999999964e+00 5.835490000000000080e-10
3.979999999999999982e+00 5.672039999999999988e-10
4.000000000000000000e+00 5.513009999999999556e-10
4.019999999999999574e+00 5.358289999999999909e-10
4.040000000000000036e+00 5.207770000000000102e-10
4.059999999999999609e+00 5.061340000000000226e-10
4.080000000000000071e+00 4.918890000000000371e-10
4.099999999999999645e+00 4.780319999999999680e-10
4.120000000000000107e+00 4.645519999999999794e-10
4.139999999999999680e+00 4.514379999999999769e-10
4.160000000000000142e+00 4.386819999999999954e-10
4.179999999999999716e+00 4.262740000000000006e-10
4.200000000000000178e+00 4.142050000000000188e-10
4.219999999999999751e+00 4.024650000000000159e-10
4.240000000000000213e+00 3.910459999999999750e-10
4.259999999999999787e+00 3.799399999999999825e-10
4.280000000000000249e+00 3.691370000000000044e-10
4.299999999999999822e+00 3.586309999999999892e-10
4.320000000000000284e+00 3.484120000000000062e-10
4.339999999999999858e+00 3.384740000000000039e-10
4.360000000000000320e+00 3.288080000000000085e-10
4.379999999999999893e+00 3.194089999999999772e-10
4.400000000000000355e+00 3.102669999999999792e-10
4.419999999999999929e+00 3.013779999999999802e-10
4.440000000000000391e+00 2.927330000000000065e-10
4.459999999999999964e+00 2.843260000000000064e-10
4.480000000000000426e+00 2.761509999999999804e-10
4.500000000000000000e+00 2.682029999999999888e-10
4.519999999999999574e+00 2.604730000000000062e-10
4.540000000000000036e+00 2.529580000000000068e-10
4.559999999999999609e+00 2.456500000000000254e-10
4.580000000000000071e+00 2.385449999999999760e-10
4.599999999999999645e+00 2.316369999999999881e-10
4.620000000000000107e+00 2.249209999999999929e-10
4.639999999999999680e+00 2.183909999999999906e-10
4.660000000000000142e+00 2.120429999999999987e-10
4.679999999999999716e+00 2.058709999999999915e-10
4.700000000000000178e+00 1.998719999999999949e-10
4.719999999999999751e+00 1.940390000000000007e-10
4.740000000000000213e+00 1.883690000000000089e-10
4.769999999999999574e+00 1.828580000000000111e-10
4.790000000000000036e+00 1.775009999999999902e-10
4.809999999999999609e+00 1.722930000000000067e-10
4.830000000000000071e+00 1.672310000000000091e-10
4.849999999999999645e+00 1.623109999999999889e-10
4.870000000000000107e+00 1.575299999999999978e-10
4.889999999999999680e+00 1.528820000000000104e-10
4.910000000000000142e+00 1.483650000000000093e-10
4.929999999999999716e+00 1.439759999999999948e-10
4.950000000000000178e+00 1.397100000000000014e-10
4.969999999999999751e+00 1.355640000000000036e-10
4.990000000000000213e+00 1.315350000000000012e-10
5.009999999999999787e+00 1.276199999999999946e-10
5.030000000000000249e+00 1.238160000000000096e-10
5.049999999999999822e+00 1.201199999999999947e-10
5.070000000000000284e+00 1.165279999999999930e-10
5.089999999999999858e+00 1.130380000000000004e-10
5.110000000000000320e+00 1.096470000000000040e-10
5.129999999999999893e+00 1.063529999999999997e-10
5.150000000000000355e+00 1.031530000000000004e-10
5.169999999999999929e+00 1.000429999999999977e-10
5.190000000000000391e+00 9.702269999999999936e-11
5.209999999999999964e+00 9.408840000000000205e-11
5.230000000000000426e+00 9.123799999999999554e-11
5.250000000000000000e+00 8.846930000000000230e-11
5.269999999999999574e+00 8.577989999999999399e-11
5.290000000000000036e+00 8.316760000000000602e-11
5.309999999999999609e+00 8.063039999999999538e-11
5.330000000000000071e+00 7.816629999999999662e-11
5.349999999999999645e+00 7.577310000000000638e-11
5.370000000000000107e+00 7.344890000000000059e-11
5.389999999999999680e+00 7.119170000000000088e-11
5.410000000000000142e+00 6.899990000000000127e-11
5.429999999999999716e+00 6.687160000000000356e-11
5.450000000000000178e+00 6.480489999999999663e-11
5.469999999999999751e+00 6.279809999999999431e-11
5.490000000000000213e+00 6.084980000000000270e-11
5.509999999999999787e+00 5.895809999999999775e-11
5.530000000000000249e+00 5.712149999999999889e-11
5.549999999999999822e+00 5.533849999999999972e-11
5.570000000000000284e+00 5.360769999999999987e-11
5.589999999999999858e+00 5.192749999999999982e-11
5.610000000000000320e+00 5.029649999999999920e-11
5.629999999999999893e+00 4.871329999999999762e-11
5.650000000000000355e+00 4.717679999999999988e-11
5.669999999999999929e+00 4.568539999999999999e-11
5.690000000000000391e+00 4.423800000000000275e-11
5.709999999999999964e+00 4.283330000000000087e-11
5.730000000000000426e+00 4.147019999999999913e-11
5.750000000000000000e+00 4.014740000000000319e-11
5.769999999999999574e+00 3.886389999999999801e-11
5.790000000000000036e+00 3.761850000000000172e-11
5.809999999999999609e+00 3.641019999999999928e-11
5.830000000000000071e+00 3.523780000000000238e-11
5.849999999999999645e+00 3.410050000000000156e-11
5.870000000000000107e+00 3.299720000000000161e-11
5.889999999999999680e+00 3.192690000000000040e-11
5.910000000000000142e+00 3.088880000000000143e-11
5.929999999999999716e+00 2.988180000000000299e-11
5.950000000000000178e+00 2.890519999999999845e-11
5.969999999999999751e+00 2.795810000000000140e-11
5.990000000000000213e+00 2.703950000000000005e-11
6.009999999999999787e+00 2.614880000000000022e-11
6.030000000000000249e+00 2.528509999999999936e-11
6.049999999999999822e+00 2.444770000000000053e-11
6.070000000000000284e+00 2.363570000000000116e-11
6.089999999999999858e+00 2.284860000000000020e-11
6.110000000000000320e+00 2.208550000000000157e-11
6.129999999999999893e+00 2.134580000000000140e-11
6.150000000000000355e+00 2.062879999999999950e-11
6.169999999999999929e+00 1.993389999999999850e-11
6.190000000000000391e+00 1.926040000000000142e-11
6.209999999999999964e+00 1.860770000000000118e-11
6.230000000000000426e+00 1.797520000000000039e-11
6.250000000000000000e+00 1.736240000000000122e-11
6.269999999999999574e+00 1.676860000000000026e-11
6.290000000000000036e+00 1.619329999999999967e-11
6.309999999999999609e+00 1.563610000000000120e-11
6.330000000000000071e+00 1.509619999999999862e-11
6.349999999999999645e+00 1.457339999999999927e-11
6.370000000000000107e+00 1.406699999999999974e-11
6.389999999999999680e+00 1.357650000000000056e-11
6.410000000000000142e+00 1.310169999999999940e-11
6.429999999999999716e+00 1.264179999999999971e-11
6.450000000000000178e+00 1.219660000000000076e-11
6.469999999999999751e+00 1.176559999999999987e-11
6.490000000000000213e+00 1.134840000000000039e-11
6.509999999999999787e+00 1.094459999999999923e-11
6.530000000000000249e+00 1.055379999999999972e-11
6.549999999999999822e+00 1.017560000000000038e-11
6.570000000000000284e+00 9.809610000000000647e-12
6.589999999999999858e+00 9.455519999999999275e-12
6.610000000000000320e+00 9.112970000000000094e-12
6.629999999999999893e+00 8.781620000000000703e-12
6.650000000000000355e+00 8.461150000000000555e-12
6.669999999999999929e+00 8.151240000000000717e-12
6.690000000000000391e+00 7.852709999999999565e-12
6.709999999999999964e+00 7.561760000000000689e-12
6.730000000000000426e+00 7.281519999999999855e-12
6.750000000000000000e+00 7.011129999999999833e-12
6.769999999999999574e+00 6.750060000000000017e-12
6.790000000000000036e+00 6.497909999999999724e-12
6.809999999999999609e+00 6.254450000000000274e-12
6.830000000000000071e+00 6.019480000000000115e-12
6.849999999999999645e+00 5.792870000000000135e-12
6.870000000000000107e+00 5.574509999999999841e-12
6.889999999999999680e+00 5.364290000000000360e-12
6.910000000000000142e+00 5.162140000000000055e-12
6.929999999999999716e+00 4.967929999999999815e-12
6.950000000000000178e+00 4.781599999999999740e-12
6.969999999999999751e+00 4.603030000000000027e-12
6.990000000000000213e+00 4.432129999999999614e-12
7.009999999999999787e+00 4.268739999999999843e-12
7.030000000000000249e+00 4.112760000000000340e-12
7.049999999999999822e+00 3.963999999999999669e-12
7.070000000000000284e+00 3.822289999999999862e-12
7.089999999999999858e+00 3.687430000000000172e-12
7.110000000000000320e+00 3.559189999999999903e-12
7.129999999999999893e+00 3.437320000000000140e-12
7.150000000000000355e+00 3.321550000000000119e-12
7.169999999999999929e+00 3.211579999999999933e-12
7.190000000000000391e+00 3.107099999999999958e-12
7.209999999999999964e+00 3.007790000000000051e-12
7.230000000000000426e+00 2.913300000000000117e-12
7.259999999999999787e+00 2.823299999999999895e-12
7.280000000000000249e+00 2.737429999999999979e-12
7.299999999999999822e+00 2.655349999999999990e-12
7.320000000000000284e+00 2.576730000000000068e-12
7.339999999999999858e+00 2.501229999999999834e-12
7.360000000000000320e+00 2.428559999999999903e-12
7.379999999999999893e+00 2.358409999999999843e-12
7.400000000000000355e+00 2.290510000000000102e-12
7.419999999999999929e+00 2.224619999999999865e-12
7.440000000000000391e+00 2.160510000000000050e-12
7.459999999999999964e+00 2.097970000000000198e-12
7.480000000000000426e+00 2.036840000000000033e-12
7.500000000000000000e+00 1.976969999999999804e-12
7.519999999999999574e+00 1.918229999999999996e-12
7.540000000000000036e+00 1.860510000000000117e-12
7.559999999999999609e+00 1.803739999999999946e-12
7.580000000000000071e+00 1.747850000000000070e-12
7.599999999999999645e+00 1.692809999999999933e-12
7.620000000000000107e+00 1.638589999999999988e-12
7.639999999999999680e+00 1.585160000000000084e-12
7.660000000000000142e+00 1.532540000000000051e-12
7.679999999999999716e+00 1.480719999999999975e-12
7.700000000000000178e+00 1.428559999999999923e-12
7.719999999999999751e+00 1.378310000000000011e-12
7.740000000000000213e+00 1.328699999999999983e-12
7.759999999999999787e+00 1.279900000000000029e-12
7.780000000000000249e+00 1.232000000000000001e-12
7.799999999999999822e+00 1.185080000000000035e-12
7.820000000000000284e+00 1.139179999999999999e-12
7.839999999999999858e+00 1.094330000000000043e-12
7.860000000000000320e+00 1.050559999999999918e-12
7.879999999999999893e+00 1.007890000000000060e-12
7.900000000000000355e+00 9.663299999999999830e-13
7.919999999999999929e+00 9.258929999999999201e-13
7.940000000000000391e+00 8.865929999999999765e-13
7.959999999999999964e+00 8.484369999999999521e-13
7.980000000000000426e+00 8.114319999999999497e-13
8.000000000000000000e+00 7.755809999999999847e-13
8.019999999999999574e+00 7.408869999999999711e-13
8.039999999999999147e+00 7.073469999999999949e-13
8.060000000000000497e+00 6.749569999999999683e-13
8.080000000000000071e+00 6.437139999999999772e-13
8.099999999999999645e+00 6.136019999999999738e-13
8.119999999999999218e+00 5.846129999999999849e-13
8.140000000000000568e+00 5.567290000000000201e-13
8.160000000000000142e+00 5.299329999999999594e-13
8.179999999999999716e+00 5.042060000000000429e-13
8.199999999999999289e+00 4.795259999999999905e-13
8.220000000000000639e+00 4.558680000000000120e-13
8.240000000000000213e+00 4.332099999999999787e-13
8.259999999999999787e+00 4.115219999999999907e-13
8.279999999999999361e+00 3.907799999999999767e-13
8.300000000000000711e+00 3.709519999999999929e-13
8.320000000000000284e+00 3.520120000000000252e-13
8.339999999999999858e+00 3.339300000000000221e-13
8.359999999999999432e+00 3.166770000000000046e-13
8.380000000000000782e+00 3.002230000000000224e-13
8.400000000000000355e+00 2.845400000000000174e-13
8.419999999999999929e+00 2.695979999999999888e-13
8.439999999999999503e+00 2.553689999999999795e-13
8.460000000000000853e+00 2.418240000000000104e-13
8.480000000000000426e+00 2.289359999999999951e-13
8.500000000000000000e+00 2.166779999999999982e-13
