# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.407479999999999983e-09
3.520000000000000018e+00 1.369749999999999949e-09
3.540000000000000036e+00 1.333009999999999929e-09
3.560000000000000053e+00 1.297230000000000079e-09
3.580000000000000071e+00 1.262390000000000022e-09
3.600000000000000089e+00 1.228469999999999998e-09
3.620000000000000107e+00 1.195439999999999958e-09
3.640000000000000124e+00 1.163279999999999937e-09
3.660000000000000142e+00 1.131969999999999969e-09
3.680000000000000160e+00 1.101480000000000005e-09
3.700000000000000178e+00 1.071790000000000080e-09
3.720000000000000195e+00 1.042889999999999901e-09
3.740000000000000213e+00 1.014750000000000037e-09
3.759999999999999787e+00 9.873469999999999820e-10
3.779999999999999805e+00 9.606699999999999510e-10
3.799999999999999822e+00 9.346980000000000742e-10
3.819999999999999840e+00 9.094119999999999818e-10
3.839999999999999858e+00 8.847950000000000450e-10
3.859999999999999876e+00 8.608279999999999973e-10
3.879999999999999893e+00 8.374950000000000119e-10
3.899999999999999911e+00 8.147799999999999512e-10
3.919999999999999929e+00 7.926669999999999884e-10
3.939999999999999947e+00 7.711389999999999775e-10
3.959999999999999964e+00 7.501820000000000053e-10
3.979999999999999982e+00 7.297810000000000465e-10
4.000000000000000000e+00 7.099209999999999724e-10
4.019999999999999574e+00 6.905889999999999817e-10
4.040000000000000036e+00 6.717700000000000491e-10
4.059999999999999609e+00 6.534509999999999596e-10
4.080000000000000071e+00 6.356190000000000154e-10
4.099999999999999645e+00 6.182620000000000101e-10
4.120000000000000107e+00 6.013670000000000390e-10
4.139999999999999680e+00 5.849219999999999991e-10
4.160000000000000142e+00 5.689149999999999943e-10
4.179999999999999716e+00 5.533350000000000336e-10
4.200000000000000178e+00 5.381700000000000141e-10
4.219999999999999751e+00 5.234099999999999534e-10
4.240000000000000213e+00 5.090439999999999639e-10
4.259999999999999787e+00 4.950629999999999685e-10
4.280000000000000249e+00 4.814549999999999675e-10
4.299999999999999822e+00 4.682109999999999872e-10
4.320000000000000284e+00 4.553209999999999934e-10
4.339999999999999858e+00 4.427770000000000210e-10
4.360000000000000320e+00 4.305689999999999842e-10
4.379999999999999893e+00 4.186890000000000211e-10
4.400000000000000355e+00 4.071259999999999856e-10
4.419999999999999929e+00 3.958749999999999900e-10
4.440000000000000391e+00 3.849260000000000002e-10
4.459999999999999964e+00 3.742709999999999993e-10
4.480000000000000426e+00 3.639020000000000220e-10
4.500000000000000000e+00 3.538130000000000168e-10
4.519999999999999574e+00 3.439950000000000100e-10
4.540000000000000036e+00 3.344409999999999931e-10
4.559999999999999609e+00 3.251459999999999751e-10
4.580000000000000071e+00 3.161009999999999820e-10
4.599999999999999645e+00 3.073000000000000142e-10
4.620000000000000107e+00 2.987370000000000200e-10
4.639999999999999680e+00 2.904049999999999913e-10
4.660000000000000142e+00 2.822989999999999885e-10
4.679999999999999716e+00 2.744120000000000032e-10
4.700000000000000178e+00 2.667379999999999840e-10
4.719999999999999751e+00 2.592730000000000000e-10
4.740000000000000213e+00 2.520099999999999911e-10
4.769999999999999574e+00 2.449440000000000177e-10
4.790000000000000036e+00 2.380699999999999854e-10
4.809999999999999609e+00 2.313819999999999978e-10
4.830000000000000071e+00 2.248770000000000032e-10
4.849999999999999645e+00 2.185479999999999933e-10
4.870000000000000107e+00 2.123919999999999941e-10
4.889999999999999680e+00 2.064039999999999885e-10
4.910000000000000142e+00 2.005790000000000112e-10
4.929999999999999716e+00 1.949119999999999934e-10
4.950000000000000178e+00 1.894009999999999956e-10
4.969999999999999751e+00 1.840399999999999921e-10
4.990000000000000213e+00 1.788260000000000089e-10
5.009999999999999787e+00 1.737540000000000030e-10
5.030000000000000249e+00 1.688210000000000005e-10
5.049999999999999822e+00 1.640240000000000014e-10
5.070000000000000284e+00 1.593570000000000061e-10
5.089999999999999858e+00 1.548199999999999886e-10
5.110000000000000320e+00 1.504059999999999922e-10
5.129999999999999893e+00 1.461140000000000085e-10
5.150000000000000355e+00 1.419400000000000031e-10
5.169999999999999929e+00 1.378810000000000019e-10
5.190000000000000391e+00 1.339340000000000051e-10
5.209999999999999964e+00 1.300960000000000127e-10
5.230000000000000426e+00 1.263629999999999906e-10
5.250000000000000000e+00 1.227340000000000075e-10
5.269999999999999574e+00 1.192050000000000035e-10
5.290000000000000036e+00 1.157740000000000000e-10
5.309999999999999609e+00 1.124370000000000016e-10
5.330000000000000071e+00 1.091929999999999997e-10
5.349999999999999645e+00 1.060389999999999944e-10
5.370000000000000107e+00 1.029729999999999943e-10
5.389999999999999680e+00 9.999149999999999535e-11
5.410000000000000142e+00 9.709319999999999668e-11
5.429999999999999716e+00 9.427549999999999668e-11
5.450000000000000178e+00 9.153620000000000491e-11
5.469999999999999751e+00 8.887330000000000421e-11
5.490000000000000213e+00 8.628469999999999725e-11
5.509999999999999787e+00 8.376849999999999874e-11
5.530000000000000249e+00 8.132250000000000533e-11
5.549999999999999822e+00 7.894489999999999898e-11
5.570000000000000284e+00 7.663399999999999355e-11
5.589999999999999858e+00 7.438790000000000376e-11
5.610000000000000320e+00 7.220470000000000555e-11
5.629999999999999893e+00 7.008280000000000587e-11
5.650000000000000355e+00 6.802059999999999877e-11
5.669999999999999929e+00 6.601650000000000411e-11
5.690000000000000391e+00 6.406870000000000386e-11
5.709999999999999964e+00 6.217589999999999723e-11
5.730000000000000426e+00 6.033650000000000407e-11
5.750000000000000000e+00 5.854899999999999861e-11
5.769999999999999574e+00 5.681209999999999942e-11
5.790000000000000036e+00 5.512430000000000009e-11
5.809999999999999609e+00 5.348439999999999937e-11
5.830000000000000071e+00 5.189099999999999689e-11
5.849999999999999645e+00 5.034269999999999874e-11
5.870000000000000107e+00 4.883860000000000235e-11
5.889999999999999680e+00 4.737720000000000132e-11
5.910000000000000142e+00 4.595740000000000045e-11
5.929999999999999716e+00 4.457809999999999804e-11
5.950000000000000178e+00 4.323819999999999887e-11
5.969999999999999751e+00 4.193660000000000126e-11
5.990000000000000213e+00 4.067219999999999708e-11
6.009999999999999787e+00 3.944399999999999712e-11
6.030000000000000249e+00 3.825099999999999928e-11
6.049999999999999822e+00 3.709230000000000099e-11
6.070000000000000284e+00 3.596690000000000015e-11
6.089999999999999858e+00 3.487380000000000111e-11
6.110000000000000320e+00 3.381230000000000043e-11
6.129999999999999893e+00 3.278130000000000290e-11
6.150000000000000355e+00 3.178009999999999865e-11
6.169999999999999929e+00 3.080789999999999760e-11
6.190000000000000391e+00 2.986379999999999721e-11
6.209999999999999964e+00 2.894710000000000052e-11
6.230000000000000426e+00 2.805689999999999852e-11
6.250000000000000000e+00 2.719260000000000027e-11
6.269999999999999574e+00 2.635349999999999913e-11
6.290000000000000036e+00 2.553879999999999857e-11
6.309999999999999609e+00 2.474790000000000121e-11
6.330000000000000071e+00 2.398000000000000081e-11
6.349999999999999645e+00 2.323469999999999913e-11
6.370000000000000107e+00 2.251110000000000008e-11
6.389999999999999680e+00 2.180879999999999892e-11
6.410000000000000142e+00 2.112709999999999870e-11
6.429999999999999716e+00 2.046539999999999881e-11
6.450000000000000178e+00 1.982320000000000140e-11
6.469999999999999751e+00 1.919989999999999940e-11
6.490000000000000213e+00 1.859510000000000101e-11
6.509999999999999787e+00 1.800809999999999957e-11
6.530000000000000249e+00 1.743850000000000006e-11
6.549999999999999822e+00 1.688580000000000142e-11
6.570000000000000284e+00 1.634949999999999935e-11
6.589999999999999858e+00 1.582919999999999883e-11
6.610000000000000320e+00 1.532429999999999924e-11
6.629999999999999893e+00 1.483449999999999864e-11
6.650000000000000355e+00 1.435940000000000039e-11
6.669999999999999929e+00 1.389850000000000020e-11
6.690000000000000391e+00 1.345139999999999981e-11
6.709999999999999964e+00 1.301769999999999935e-11
6.730000000000000426e+00 1.259700000000000055e-11
6.750000000000000000e+00 1.218909999999999943e-11
6.769999999999999574e+00 1.179340000000000021e-11
6.790000000000000036e+00 1.140970000000000055e-11
6.809999999999999609e+00 1.103760000000000055e-11
6.830000000000000071e+00 1.067679999999999990e-11
6.849999999999999645e+00 1.032690000000000035e-11
6.870000000000000107e+00 9.987730000000000700e-12
6.889999999999999680e+00 9.658869999999999212e-12
6.910000000000000142e+00 9.340059999999999281e-12
6.929999999999999716e+00 9.030989999999999670e-12
6.950000000000000178e+00 8.731389999999999614e-12
6.969999999999999751e+00 8.440999999999999273e-12
6.990000000000000213e+00 8.159540000000000187e-12
7.009999999999999787e+00 7.886749999999999287e-12
7.030000000000000249e+00 7.622390000000000199e-12
7.049999999999999822e+00 7.366220000000000090e-12
7.070000000000000284e+00 7.117979999999999928e-12
7.089999999999999858e+00 6.877450000000000346e-12
7.110000000000000320e+00 6.644410000000000362e-12
7.129999999999999893e+00 6.418639999999999800e-12
7.150000000000000355e+00 6.199920000000000102e-12
7.169999999999999929e+00 5.988059999999999831e-12
7.190000000000000391e+00 5.782849999999999739e-12
7.209999999999999964e+00 5.584089999999999888e-12
7.230000000000000426e+00 5.391599999999999766e-12
7.259999999999999787e+00 5.205190000000000361e-12
7.280000000000000249e+00 5.024680000000000356e-12
7.299999999999999822e+00 4.849900000000000165e-12
7.320000000000000284e+00 4.680680000000000206e-12
7.339999999999999858e+00 4.516860000000000203e-12
7.360000000000000320e+00 4.358269999999999765e-12
7.379999999999999893e+00 4.204760000000000352e-12
7.400000000000000355e+00 4.056180000000000191e-12
7.419999999999999929e+00 3.912390000000000054e-12
7.440000000000000391e+00 3.773239999999999783e-12
