# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 9.200150000000000940e-13
3.520000000000000018e+00 8.914229999999999670e-13
3.540000000000000036e+00 8.636679999999999505e-13
3.560000000000000053e+00 8.367260000000000235e-13
3.580000000000000071e+00 8.105750000000000070e-13
3.600000000000000089e+00 7.851930000000000249e-13
3.620000000000000107e+00 7.605589999999999705e-13
3.640000000000000124e+00 7.366499999999999964e-13
3.660000000000000142e+00 7.134470000000000396e-13
3.680000000000000160e+00 6.909310000000000374e-13
3.700000000000000178e+00 6.690809999999999841e-13
3.720000000000000195e+00 6.478780000000000188e-13
3.740000000000000213e+00 6.273059999999999930e-13
3.759999999999999787e+00 6.073449999999999733e-13
3.779999999999999805e+00 5.879780000000000418e-13
3.799999999999999822e+00 5.691900000000000213e-13
3.819999999999999840e+00 5.509619999999999499e-13
3.839999999999999858e+00 5.332809999999999973e-13
3.859999999999999876e+00 5.161289999999999710e-13
3.879999999999999893e+00 4.994919999999999683e-13
3.899999999999999911e+00 4.833550000000000139e-13
3.919999999999999929e+00 4.677040000000000032e-13
3.939999999999999947e+00 4.525249999999999827e-13
3.959999999999999964e+00 4.378050000000000212e-13
3.979999999999999982e+00 4.235300000000000139e-13
4.000000000000000000e+00 4.096880000000000008e-13
4.019999999999999574e+00 3.962670000000000219e-13
4.040000000000000036e+00 3.832539999999999944e-13
4.059999999999999609e+00 3.706370000000000089e-13
4.080000000000000071e+00 3.584059999999999977e-13
4.099999999999999645e+00 3.465490000000000009e-13
4.120000000000000107e+00 3.350549999999999794e-13
4.139999999999999680e+00 3.239140000000000171e-13
4.160000000000000142e+00 3.131159999999999958e-13
4.179999999999999716e+00 3.026509999999999995e-13
4.200000000000000178e+00 2.925079999999999891e-13
4.219999999999999751e+00 2.826800000000000132e-13
4.240000000000000213e+00 2.731559999999999823e-13
4.259999999999999787e+00 2.639280000000000241e-13
4.280000000000000249e+00 2.549869999999999918e-13
4.299999999999999822e+00 2.463250000000000132e-13
4.320000000000000284e+00 2.379340000000000139e-13
4.339999999999999858e+00 2.298049999999999987e-13
4.360000000000000320e+00 2.219319999999999877e-13
4.379999999999999893e+00 2.143060000000000110e-13
4.400000000000000355e+00 2.069199999999999907e-13
4.419999999999999929e+00 1.997679999999999976e-13
4.440000000000000391e+00 1.928430000000000044e-13
4.459999999999999964e+00 1.861370000000000125e-13
4.480000000000000426e+00 1.796439999999999916e-13
4.500000000000000000e+00 1.733580000000000122e-13
4.519999999999999574e+00 1.672729999999999932e-13
4.540000000000000036e+00 1.613830000000000051e-13
4.559999999999999609e+00 1.556819999999999924e-13
4.580000000000000071e+00 1.501649999999999968e-13
4.599999999999999645e+00 1.448249999999999913e-13
4.620000000000000107e+00 1.396590000000000111e-13
4.639999999999999680e+00 1.346600000000000038e-13
4.660000000000000142e+00 1.298230000000000114e-13
4.679999999999999716e+00 1.251439999999999967e-13
4.700000000000000178e+00 1.206180000000000016e-13
4.719999999999999751e+00 1.162399999999999924e-13
4.740000000000000213e+00 1.120059999999999950e-13
4.769999999999999574e+00 1.079119999999999975e-13
4.790000000000000036e+00 1.039530000000000040e-13
4.809999999999999609e+00 1.001250000000000025e-13
4.830000000000000071e+00 9.642480000000000127e-14
4.849999999999999645e+00 9.284749999999999893e-14
4.870000000000000107e+00 8.938990000000000365e-14
4.889999999999999680e+00 8.604829999999999999e-14
4.910000000000000142e+00 8.281899999999999779e-14
4.929999999999999716e+00 7.969869999999999795e-14
4.950000000000000178e+00 7.668410000000000138e-14
4.969999999999999751e+00 7.377189999999999638e-14
4.990000000000000213e+00 7.095879999999999649e-14
5.009999999999999787e+00 6.824189999999999369e-14
5.030000000000000249e+00 6.561819999999999802e-14
5.049999999999999822e+00 6.308489999999999608e-14
5.070000000000000284e+00 6.063899999999999789e-14
5.089999999999999858e+00 5.827799999999999916e-14
5.110000000000000320e+00 5.599899999999999822e-14
5.129999999999999893e+00 5.379959999999999802e-14
5.150000000000000355e+00 5.167730000000000059e-14
5.169999999999999929e+00 4.962970000000000258e-14
5.190000000000000391e+00 4.765440000000000064e-14
5.209999999999999964e+00 4.574909999999999865e-14
5.230000000000000426e+00 4.391160000000000143e-14
5.250000000000000000e+00 4.213990000000000303e-14
5.269999999999999574e+00 4.043170000000000103e-14
5.290000000000000036e+00 3.878500000000000210e-14
5.309999999999999609e+00 3.719800000000000215e-14
5.330000000000000071e+00 3.566860000000000061e-14
5.349999999999999645e+00 3.419520000000000155e-14
5.370000000000000107e+00 3.277569999999999811e-14
5.389999999999999680e+00 3.140850000000000067e-14
5.410000000000000142e+00 3.009200000000000067e-14
5.429999999999999716e+00 2.882450000000000128e-14
5.450000000000000178e+00 2.760429999999999932e-14
5.469999999999999751e+00 2.643000000000000072e-14
5.490000000000000213e+00 2.530000000000000011e-14
5.509999999999999787e+00 2.421300000000000118e-14
5.530000000000000249e+00 2.316739999999999855e-14
5.549999999999999822e+00 2.216189999999999907e-14
5.570000000000000284e+00 2.119520000000000015e-14
5.589999999999999858e+00 2.026599999999999917e-14
5.610000000000000320e+00 1.937310000000000077e-14
5.629999999999999893e+00 1.851519999999999920e-14
5.650000000000000355e+00 1.769120000000000001e-14
5.669999999999999929e+00 1.689999999999999930e-14
5.690000000000000391e+00 1.614039999999999855e-14
5.709999999999999964e+00 1.541130000000000018e-14
5.730000000000000426e+00 1.471179999999999897e-14
5.750000000000000000e+00 1.404080000000000049e-14
