# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 6.424349999999999783e-13
3.520000000000000018e+00 6.203100000000000094e-13
3.540000000000000036e+00 5.988780000000000256e-13
3.560000000000000053e+00 5.781199999999999640e-13
3.580000000000000071e+00 5.580150000000000209e-13
3.600000000000000089e+00 5.385459999999999753e-13
3.620000000000000107e+00 5.196939999999999664e-13
3.640000000000000124e+00 5.014389999999999599e-13
3.660000000000000142e+00 4.837669999999999520e-13
3.680000000000000160e+00 4.666580000000000094e-13
3.700000000000000178e+00 4.500970000000000056e-13
3.720000000000000195e+00 4.340670000000000224e-13
3.740000000000000213e+00 4.185540000000000056e-13
3.759999999999999787e+00 4.035420000000000086e-13
3.779999999999999805e+00 3.890160000000000056e-13
3.799999999999999822e+00 3.749610000000000216e-13
3.819999999999999840e+00 3.613649999999999955e-13
3.839999999999999858e+00 3.482140000000000246e-13
3.859999999999999876e+00 3.354929999999999822e-13
3.879999999999999893e+00 3.231920000000000026e-13
3.899999999999999911e+00 3.113240000000000172e-13
3.919999999999999929e+00 2.997829999999999758e-13
3.939999999999999947e+00 2.886589999999999820e-13
3.959999999999999964e+00 2.779169999999999759e-13
3.979999999999999982e+00 2.675379999999999956e-13
4.000000000000000000e+00 2.575050000000000221e-13
4.019999999999999574e+00 2.478050000000000230e-13
4.040000000000000036e+00 2.384309999999999965e-13
4.059999999999999609e+00 2.293709999999999826e-13
4.080000000000000071e+00 2.206190000000000013e-13
4.099999999999999645e+00 2.121670000000000036e-13
4.120000000000000107e+00 2.040049999999999976e-13
4.139999999999999680e+00 1.961260000000000066e-13
4.160000000000000142e+00 1.885230000000000036e-13
4.179999999999999716e+00 1.811859999999999966e-13
4.200000000000000178e+00 1.741070000000000123e-13
4.219999999999999751e+00 1.672789999999999984e-13
4.240000000000000213e+00 1.606919999999999882e-13
4.259999999999999787e+00 1.543400000000000017e-13
4.280000000000000249e+00 1.482139999999999933e-13
4.299999999999999822e+00 1.423080000000000082e-13
4.320000000000000284e+00 1.366130000000000006e-13
4.339999999999999858e+00 1.311229999999999907e-13
4.360000000000000320e+00 1.258319999999999984e-13
4.379999999999999893e+00 1.207329999999999966e-13
4.400000000000000355e+00 1.158200000000000053e-13
4.419999999999999929e+00 1.110890000000000000e-13
4.440000000000000391e+00 1.065349999999999974e-13
4.459999999999999964e+00 1.021539999999999982e-13
4.480000000000000426e+00 9.794790000000000111e-14
4.500000000000000000e+00 9.391759999999999555e-14
4.519999999999999574e+00 9.007079999999999623e-14
4.540000000000000036e+00 8.642200000000000526e-14
4.559999999999999609e+00 8.299520000000000566e-14
4.580000000000000071e+00 7.982740000000000022e-14
4.599999999999999645e+00 7.697289999999999456e-14
4.620000000000000107e+00 7.450720000000000184e-14
4.639999999999999680e+00 7.253220000000000269e-14
4.660000000000000142e+00 7.118050000000000401e-14
4.679999999999999716e+00 7.061969999999999695e-14
4.700000000000000178e+00 7.105519999999999545e-14
4.719999999999999751e+00 7.273220000000000436e-14
4.740000000000000213e+00 7.593469999999999753e-14
4.769999999999999574e+00 8.098309999999999649e-14
4.790000000000000036e+00 8.822829999999999676e-14
4.809999999999999609e+00 9.804409999999999821e-14
4.830000000000000071e+00 1.108160000000000021e-13
4.849999999999999645e+00 1.269280000000000020e-13
4.870000000000000107e+00 1.467459999999999939e-13
4.889999999999999680e+00 1.706070000000000020e-13
4.910000000000000142e+00 1.987510000000000081e-13
4.929999999999999716e+00 2.314880000000000129e-13
4.950000000000000178e+00 2.689139999999999990e-13
4.969999999999999751e+00 3.110910000000000120e-13
4.990000000000000213e+00 3.579819999999999987e-13
5.009999999999999787e+00 4.094420000000000137e-13
5.030000000000000249e+00 4.652239999999999976e-13
5.049999999999999822e+00 5.249749999999999921e-13
5.070000000000000284e+00 5.882519999999999859e-13
5.089999999999999858e+00 6.545179999999999784e-13
5.110000000000000320e+00 7.231679999999999938e-13
5.129999999999999893e+00 7.935319999999999957e-13
5.150000000000000355e+00 8.649020000000000238e-13
5.169999999999999929e+00 9.365349999999999065e-13
5.190000000000000391e+00 1.007689999999999920e-12
5.209999999999999964e+00 1.077620000000000007e-12
5.230000000000000426e+00 1.145600000000000086e-12
5.250000000000000000e+00 1.210970000000000039e-12
5.269999999999999574e+00 1.273080000000000064e-12
5.290000000000000036e+00 1.331370000000000011e-12
5.309999999999999609e+00 1.385319999999999998e-12
5.330000000000000071e+00 1.434520000000000031e-12
5.349999999999999645e+00 1.478610000000000098e-12
5.370000000000000107e+00 1.517320000000000041e-12
5.389999999999999680e+00 1.550440000000000005e-12
5.410000000000000142e+00 1.577879999999999937e-12
5.429999999999999716e+00 1.599579999999999935e-12
5.450000000000000178e+00 1.615569999999999951e-12
5.469999999999999751e+00 1.625940000000000037e-12
5.490000000000000213e+00 1.630830000000000029e-12
5.509999999999999787e+00 1.630429999999999950e-12
5.530000000000000249e+00 1.624989999999999925e-12
5.549999999999999822e+00 1.614779999999999911e-12
5.570000000000000284e+00 1.600089999999999900e-12
5.589999999999999858e+00 1.581260000000000070e-12
5.610000000000000320e+00 1.558609999999999959e-12
5.629999999999999893e+00 1.532490000000000067e-12
5.650000000000000355e+00 1.503269999999999914e-12
5.669999999999999929e+00 1.471279999999999967e-12
5.690000000000000391e+00 1.436869999999999915e-12
5.709999999999999964e+00 1.400379999999999936e-12
5.730000000000000426e+00 1.362150000000000007e-12
5.750000000000000000e+00 1.322469999999999917e-12
5.769999999999999574e+00 1.281650000000000097e-12
5.790000000000000036e+00 1.239960000000000100e-12
5.809999999999999609e+00 1.197680000000000002e-12
5.830000000000000071e+00 1.155029999999999977e-12
5.849999999999999645e+00 1.112229999999999997e-12
5.870000000000000107e+00 1.069500000000000037e-12
5.889999999999999680e+00 1.027020000000000000e-12
5.910000000000000142e+00 9.849429999999999563e-13
5.929999999999999716e+00 9.434169999999999170e-13
5.950000000000000178e+00 9.025729999999999751e-13
5.969999999999999751e+00 8.625229999999999589e-13
5.990000000000000213e+00 8.233600000000000379e-13
6.009999999999999787e+00 7.851650000000000173e-13
6.030000000000000249e+00 7.480070000000000458e-13
6.049999999999999822e+00 7.119379999999999498e-13
6.070000000000000284e+00 6.770010000000000150e-13
6.089999999999999858e+00 6.432269999999999612e-13
6.110000000000000320e+00 6.106390000000000398e-13
6.129999999999999893e+00 5.792499999999999804e-13
6.150000000000000355e+00 5.490650000000000439e-13
6.169999999999999929e+00 5.200840000000000284e-13
6.190000000000000391e+00 4.922989999999999605e-13
6.209999999999999964e+00 4.656970000000000098e-13
6.230000000000000426e+00 4.402599999999999840e-13
6.250000000000000000e+00 4.159680000000000003e-13
6.269999999999999574e+00 3.927960000000000158e-13
6.290000000000000036e+00 3.707169999999999945e-13
6.309999999999999609e+00 3.497000000000000144e-13
6.330000000000000071e+00 3.297140000000000025e-13
6.349999999999999645e+00 3.107279999999999862e-13
