# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 4.648419999999999695e-12
3.520000000000000018e+00 4.510720000000000393e-12
3.540000000000000036e+00 4.376910000000000179e-12
3.560000000000000053e+00 4.246890000000000294e-12
3.580000000000000071e+00 4.120560000000000367e-12
3.600000000000000089e+00 3.997809999999999906e-12
3.620000000000000107e+00 3.878540000000000152e-12
3.640000000000000124e+00 3.762660000000000044e-12
3.660000000000000142e+00 3.650080000000000134e-12
3.680000000000000160e+00 3.540700000000000049e-12
3.700000000000000178e+00 3.434450000000000174e-12
3.720000000000000195e+00 3.331220000000000017e-12
3.740000000000000213e+00 3.230950000000000081e-12
3.759999999999999787e+00 3.133539999999999995e-12
3.779999999999999805e+00 3.038929999999999856e-12
3.799999999999999822e+00 2.947020000000000099e-12
3.819999999999999840e+00 2.857760000000000134e-12
3.839999999999999858e+00 2.771060000000000109e-12
3.859999999999999876e+00 2.686850000000000007e-12
3.879999999999999893e+00 2.605069999999999925e-12
3.899999999999999911e+00 2.525649999999999845e-12
3.919999999999999929e+00 2.448520000000000153e-12
3.939999999999999947e+00 2.373620000000000139e-12
3.959999999999999964e+00 2.300889999999999902e-12
3.979999999999999982e+00 2.230259999999999829e-12
4.000000000000000000e+00 2.161689999999999849e-12
4.019999999999999574e+00 2.095099999999999827e-12
4.040000000000000036e+00 2.030450000000000098e-12
4.059999999999999609e+00 1.967690000000000070e-12
4.080000000000000071e+00 1.906759999999999844e-12
4.099999999999999645e+00 1.847599999999999923e-12
4.120000000000000107e+00 1.790179999999999951e-12
4.139999999999999680e+00 1.734440000000000029e-12
4.160000000000000142e+00 1.680329999999999970e-12
4.179999999999999716e+00 1.627809999999999907e-12
4.200000000000000178e+00 1.576830000000000057e-12
4.219999999999999751e+00 1.527349999999999949e-12
4.240000000000000213e+00 1.479340000000000036e-12
4.259999999999999787e+00 1.432740000000000012e-12
4.280000000000000249e+00 1.387519999999999928e-12
4.299999999999999822e+00 1.343639999999999917e-12
4.320000000000000284e+00 1.301049999999999995e-12
4.339999999999999858e+00 1.259740000000000042e-12
4.360000000000000320e+00 1.219649999999999958e-12
4.379999999999999893e+00 1.180759999999999908e-12
4.400000000000000355e+00 1.143019999999999910e-12
4.419999999999999929e+00 1.106420000000000045e-12
4.440000000000000391e+00 1.070900000000000011e-12
4.459999999999999964e+00 1.036460000000000008e-12
4.480000000000000426e+00 1.003039999999999935e-12
4.500000000000000000e+00 9.706370000000000776e-13
4.519999999999999574e+00 9.392049999999999345e-13
4.540000000000000036e+00 9.087220000000000330e-13
4.559999999999999609e+00 8.791589999999999902e-13
4.580000000000000071e+00 8.504910000000000158e-13
4.599999999999999645e+00 8.226930000000000166e-13
4.620000000000000107e+00 7.957390000000000286e-13
4.639999999999999680e+00 7.696050000000000311e-13
4.660000000000000142e+00 7.442679999999999746e-13
4.679999999999999716e+00 7.197040000000000401e-13
4.700000000000000178e+00 6.958920000000000200e-13
4.719999999999999751e+00 6.728089999999999658e-13
