# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.215929999999999728e-13
3.520000000000000018e+00 7.057359999999999930e-13
3.540000000000000036e+00 6.918460000000000390e-13
3.560000000000000053e+00 6.804700000000000277e-13
3.580000000000000071e+00 6.724309999999999648e-13
3.600000000000000089e+00 6.689249999999999997e-13
3.620000000000000107e+00 6.716459999999999838e-13
3.640000000000000124e+00 6.829239999999999686e-13
3.660000000000000142e+00 7.058910000000000060e-13
3.680000000000000160e+00 7.446370000000000309e-13
3.700000000000000178e+00 8.043819999999999949e-13
3.720000000000000195e+00 8.916160000000000047e-13
3.740000000000000213e+00 1.014200000000000061e-12
3.759999999999999787e+00 1.181440000000000063e-12
3.779999999999999805e+00 1.404030000000000026e-12
3.799999999999999822e+00 1.693980000000000018e-12
3.819999999999999840e+00 2.064429999999999918e-12
3.839999999999999858e+00 2.529319999999999970e-12
3.859999999999999876e+00 3.103070000000000025e-12
3.879999999999999893e+00 3.800049999999999747e-12
3.899999999999999911e+00 4.634230000000000136e-12
3.919999999999999929e+00 5.618400000000000374e-12
3.939999999999999947e+00 6.764030000000000209e-12
3.959999999999999964e+00 8.080439999999999848e-12
3.979999999999999982e+00 9.574590000000000706e-12
4.000000000000000000e+00 1.125060000000000055e-11
4.019999999999999574e+00 1.310970000000000017e-11
4.040000000000000036e+00 1.514990000000000111e-11
4.059999999999999609e+00 1.736620000000000086e-11
4.080000000000000071e+00 1.975050000000000071e-11
4.099999999999999645e+00 2.229170000000000042e-11
4.120000000000000107e+00 2.497659999999999921e-11
4.139999999999999680e+00 2.778909999999999919e-11
4.160000000000000142e+00 3.071139999999999695e-11
4.179999999999999716e+00 3.372410000000000248e-11
4.200000000000000178e+00 3.680680000000000105e-11
4.219999999999999751e+00 3.993780000000000295e-11
4.240000000000000213e+00 4.309500000000000085e-11
4.259999999999999787e+00 4.625600000000000162e-11
4.280000000000000249e+00 4.939859999999999835e-11
4.299999999999999822e+00 5.250029999999999835e-11
4.320000000000000284e+00 5.553989999999999683e-11
4.339999999999999858e+00 5.849599999999999632e-11
4.360000000000000320e+00 6.134880000000000532e-11
4.379999999999999893e+00 6.407900000000000433e-11
4.400000000000000355e+00 6.666880000000000608e-11
4.419999999999999929e+00 6.910169999999999827e-11
4.440000000000000391e+00 7.136269999999999439e-11
4.459999999999999964e+00 7.343840000000000099e-11
4.480000000000000426e+00 7.531720000000000384e-11
4.500000000000000000e+00 7.698920000000000076e-11
4.519999999999999574e+00 7.844670000000000581e-11
4.540000000000000036e+00 7.968370000000000629e-11
4.559999999999999609e+00 8.069629999999999978e-11
4.580000000000000071e+00 8.148240000000000185e-11
4.599999999999999645e+00 8.204210000000000561e-11
4.620000000000000107e+00 8.237729999999999635e-11
4.639999999999999680e+00 8.249139999999999805e-11
4.660000000000000142e+00 8.238980000000000018e-11
4.679999999999999716e+00 8.207929999999999903e-11
4.700000000000000178e+00 8.156829999999999687e-11
4.719999999999999751e+00 8.086600000000000540e-11
4.740000000000000213e+00 7.998300000000000442e-11
4.769999999999999574e+00 7.893080000000000210e-11
4.790000000000000036e+00 7.669449999999999556e-11
4.809999999999999609e+00 7.539449999999999747e-11
4.830000000000000071e+00 7.396510000000000600e-11
4.849999999999999645e+00 7.241950000000000257e-11
4.870000000000000107e+00 7.077069999999999530e-11
4.889999999999999680e+00 6.903179999999999834e-11
4.910000000000000142e+00 6.721550000000000172e-11
4.929999999999999716e+00 6.533429999999999637e-11
4.950000000000000178e+00 6.340039999999999388e-11
4.969999999999999751e+00 6.142510000000000329e-11
4.990000000000000213e+00 5.941929999999999663e-11
5.009999999999999787e+00 5.739359999999999891e-11
5.030000000000000249e+00 5.535740000000000159e-11
5.049999999999999822e+00 5.331979999999999743e-11
5.070000000000000284e+00 5.128890000000000292e-11
5.089999999999999858e+00 4.927239999999999753e-11
5.110000000000000320e+00 4.727699999999999737e-11
5.129999999999999893e+00 4.530880000000000178e-11
5.150000000000000355e+00 4.337320000000000021e-11
5.169999999999999929e+00 4.147499999999999766e-11
5.190000000000000391e+00 3.961840000000000171e-11
5.209999999999999964e+00 3.780679999999999760e-11
5.230000000000000426e+00 3.604309999999999856e-11
5.250000000000000000e+00 3.432999999999999932e-11
5.269999999999999574e+00 3.266919999999999897e-11
5.290000000000000036e+00 3.106209999999999787e-11
5.309999999999999609e+00 2.950999999999999684e-11
5.330000000000000071e+00 2.801349999999999973e-11
5.349999999999999645e+00 2.657289999999999878e-11
5.370000000000000107e+00 2.518820000000000045e-11
5.389999999999999680e+00 2.385919999999999915e-11
5.410000000000000142e+00 2.258540000000000027e-11
5.429999999999999716e+00 2.136600000000000085e-11
5.450000000000000178e+00 2.020020000000000111e-11
5.469999999999999751e+00 1.908689999999999938e-11
5.490000000000000213e+00 1.802500000000000044e-11
5.509999999999999787e+00 1.701310000000000068e-11
5.530000000000000249e+00 1.604979999999999973e-11
5.549999999999999822e+00 1.513360000000000087e-11
5.570000000000000284e+00 1.426310000000000049e-11
5.589999999999999858e+00 1.343670000000000069e-11
5.610000000000000320e+00 1.265270000000000080e-11
5.629999999999999893e+00 1.190959999999999926e-11
5.650000000000000355e+00 1.120570000000000020e-11
5.669999999999999929e+00 1.053960000000000004e-11
5.690000000000000391e+00 9.909409999999999879e-12
5.709999999999999964e+00 9.313749999999999568e-12
5.730000000000000426e+00 8.751050000000000764e-12
5.750000000000000000e+00 8.219769999999999821e-12
5.769999999999999574e+00 7.718419999999999336e-12
5.790000000000000036e+00 7.245589999999999624e-12
5.809999999999999609e+00 6.799870000000000186e-12
5.830000000000000071e+00 6.379880000000000074e-12
5.849999999999999645e+00 5.984340000000000328e-12
5.870000000000000107e+00 5.611989999999999799e-12
5.889999999999999680e+00 5.261600000000000118e-12
5.910000000000000142e+00 4.932009999999999701e-12
5.929999999999999716e+00 4.622099999999999864e-12
5.950000000000000178e+00 4.330810000000000203e-12
5.969999999999999751e+00 4.057099999999999747e-12
5.990000000000000213e+00 3.799989999999999846e-12
6.009999999999999787e+00 3.558560000000000136e-12
6.030000000000000249e+00 3.331919999999999802e-12
6.049999999999999822e+00 3.119220000000000112e-12
6.070000000000000284e+00 2.919649999999999984e-12
6.089999999999999858e+00 2.732459999999999850e-12
6.110000000000000320e+00 2.556919999999999974e-12
6.129999999999999893e+00 2.392339999999999881e-12
6.150000000000000355e+00 2.238059999999999856e-12
6.169999999999999929e+00 2.093490000000000201e-12
6.190000000000000391e+00 1.958029999999999887e-12
6.209999999999999964e+00 1.831139999999999809e-12
6.230000000000000426e+00 1.712289999999999967e-12
6.250000000000000000e+00 1.600999999999999943e-12
6.269999999999999574e+00 1.496800000000000044e-12
6.290000000000000036e+00 1.399249999999999920e-12
6.309999999999999609e+00 1.307950000000000096e-12
6.330000000000000071e+00 1.222510000000000008e-12
6.349999999999999645e+00 1.142559999999999930e-12
6.370000000000000107e+00 1.067760000000000087e-12
6.389999999999999680e+00 9.977850000000000746e-13
6.410000000000000142e+00 9.323369999999999278e-13
6.429999999999999716e+00 8.711280000000000015e-13
6.450000000000000178e+00 8.138890000000000068e-13
6.469999999999999751e+00 7.603679999999999767e-13
6.490000000000000213e+00 7.103299999999999631e-13
6.509999999999999787e+00 6.635540000000000219e-13
6.530000000000000249e+00 6.198279999999999515e-13
6.549999999999999822e+00 5.789590000000000173e-13
6.570000000000000284e+00 5.407639999999999968e-13
6.589999999999999858e+00 5.050709999999999589e-13
6.610000000000000320e+00 4.717179999999999899e-13
6.629999999999999893e+00 4.405540000000000128e-13
6.650000000000000355e+00 4.114389999999999900e-13
6.669999999999999929e+00 3.842390000000000150e-13
6.690000000000000391e+00 3.588299999999999967e-13
6.709999999999999964e+00 3.350949999999999974e-13
6.730000000000000426e+00 3.129269999999999953e-13
6.750000000000000000e+00 2.922219999999999841e-13
6.769999999999999574e+00 2.728850000000000030e-13
6.790000000000000036e+00 2.548279999999999922e-13
6.809999999999999609e+00 2.379660000000000081e-13
6.830000000000000071e+00 2.222210000000000080e-13
6.849999999999999645e+00 2.075200000000000084e-13
6.870000000000000107e+00 1.937940000000000121e-13
6.889999999999999680e+00 1.809800000000000023e-13
6.910000000000000142e+00 1.690170000000000057e-13
6.929999999999999716e+00 1.578500000000000039e-13
6.950000000000000178e+00 1.474259999999999970e-13
6.969999999999999751e+00 1.376959999999999971e-13
6.990000000000000213e+00 1.286150000000000028e-13
7.009999999999999787e+00 1.201390000000000094e-13
7.030000000000000249e+00 1.122289999999999957e-13
7.049999999999999822e+00 1.048470000000000000e-13
7.070000000000000284e+00 9.795800000000000023e-14
7.089999999999999858e+00 9.152970000000000580e-14
7.110000000000000320e+00 8.553179999999999407e-14
7.129999999999999893e+00 7.993550000000000053e-14
7.150000000000000355e+00 7.471400000000000355e-14
7.169999999999999929e+00 6.984270000000000188e-14
7.190000000000000391e+00 6.529830000000000006e-14
7.209999999999999964e+00 6.105910000000000485e-14
7.230000000000000426e+00 5.710459999999999631e-14
7.259999999999999787e+00 5.341610000000000273e-14
7.280000000000000249e+00 4.997599999999999955e-14
7.299999999999999822e+00 4.676750000000000116e-14
7.320000000000000284e+00 4.377519999999999708e-14
7.339999999999999858e+00 4.098479999999999970e-14
7.360000000000000320e+00 3.838289999999999819e-14
7.379999999999999893e+00 3.595680000000000083e-14
7.400000000000000355e+00 3.369479999999999997e-14
7.419999999999999929e+00 3.158590000000000075e-14
7.440000000000000391e+00 2.961990000000000312e-14
7.459999999999999964e+00 2.778739999999999868e-14
7.480000000000000426e+00 2.607919999999999984e-14
7.500000000000000000e+00 2.448709999999999986e-14
7.519999999999999574e+00 2.300339999999999983e-14
7.540000000000000036e+00 2.162080000000000139e-14
7.559999999999999609e+00 2.033250000000000134e-14
7.580000000000000071e+00 1.913210000000000021e-14
7.599999999999999645e+00 1.801380000000000095e-14
7.620000000000000107e+00 1.697209999999999982e-14
7.639999999999999680e+00 1.600179999999999902e-14
7.660000000000000142e+00 1.509810000000000132e-14
7.679999999999999716e+00 1.425649999999999964e-14
7.700000000000000178e+00 1.347290000000000008e-14
7.719999999999999751e+00 1.274330000000000021e-14
7.740000000000000213e+00 1.206409999999999975e-14
7.759999999999999787e+00 1.143190000000000024e-14
7.780000000000000249e+00 1.084350000000000038e-14
7.799999999999999822e+00 1.029590000000000071e-14
7.820000000000000284e+00 9.786440000000000518e-15
7.839999999999999858e+00 9.312460000000000653e-15
7.860000000000000320e+00 8.871570000000000701e-15
7.879999999999999893e+00 8.461520000000000280e-15
7.900000000000000355e+00 8.080220000000000178e-15
7.919999999999999929e+00 7.725700000000000089e-15
7.940000000000000391e+00 7.396139999999999522e-15
7.959999999999999964e+00 7.089830000000000270e-15
7.980000000000000426e+00 6.805189999999999652e-15
8.000000000000000000e+00 6.540720000000000307e-15
8.019999999999999574e+00 6.295039999999999833e-15
8.039999999999999147e+00 6.066869999999999914e-15
8.060000000000000497e+00 5.854980000000000330e-15
