# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.305500000000000001e-12
3.520000000000000018e+00 3.199000000000000000e-12
3.540000000000000036e+00 3.095690000000000111e-12
3.560000000000000053e+00 2.995480000000000076e-12
3.580000000000000071e+00 2.898259999999999810e-12
3.600000000000000089e+00 2.803990000000000051e-12
3.620000000000000107e+00 2.712209999999999810e-12
3.640000000000000124e+00 2.623170000000000020e-12
3.660000000000000142e+00 2.536829999999999804e-12
3.680000000000000160e+00 2.453119999999999952e-12
3.700000000000000178e+00 2.371940000000000089e-12
3.720000000000000195e+00 2.293240000000000031e-12
3.740000000000000213e+00 2.216940000000000043e-12
3.759999999999999787e+00 2.142970000000000107e-12
3.779999999999999805e+00 2.071269999999999918e-12
3.799999999999999822e+00 2.001760000000000146e-12
3.819999999999999840e+00 1.934439999999999985e-12
3.839999999999999858e+00 1.869160000000000085e-12
3.859999999999999876e+00 1.805870000000000059e-12
3.879999999999999893e+00 1.744550000000000074e-12
3.899999999999999911e+00 1.685160000000000061e-12
3.919999999999999929e+00 1.627539999999999949e-12
3.939999999999999947e+00 1.571759999999999959e-12
3.959999999999999964e+00 1.517739999999999953e-12
3.979999999999999982e+00 1.465420000000000030e-12
4.000000000000000000e+00 1.414729999999999971e-12
4.019999999999999574e+00 1.365619999999999991e-12
4.040000000000000036e+00 1.318050000000000023e-12
4.059999999999999609e+00 1.271970000000000082e-12
4.080000000000000071e+00 1.227340000000000100e-12
4.099999999999999645e+00 1.184120000000000007e-12
4.120000000000000107e+00 1.142269999999999938e-12
4.139999999999999680e+00 1.101750000000000026e-12
4.160000000000000142e+00 1.062529999999999916e-12
4.179999999999999716e+00 1.024560000000000029e-12
4.200000000000000178e+00 9.878059999999999210e-13
4.219999999999999751e+00 9.522390000000000181e-13
4.240000000000000213e+00 9.178239999999999068e-13
4.259999999999999787e+00 8.845250000000000100e-13
4.280000000000000249e+00 8.523089999999999582e-13
4.299999999999999822e+00 8.211439999999999592e-13
4.320000000000000284e+00 7.909989999999999903e-13
4.339999999999999858e+00 7.618430000000000285e-13
4.360000000000000320e+00 7.336460000000000225e-13
4.379999999999999893e+00 7.063820000000000086e-13
4.400000000000000355e+00 6.800189999999999926e-13
4.419999999999999929e+00 6.545340000000000260e-13
4.440000000000000391e+00 6.298969999999999564e-13
4.459999999999999964e+00 6.060860000000000086e-13
4.480000000000000426e+00 5.830740000000000457e-13
4.500000000000000000e+00 5.608929999999999608e-13
4.519999999999999574e+00 5.393369999999999868e-13
4.540000000000000036e+00 5.185820000000000414e-13
4.559999999999999609e+00 4.985290000000000258e-13
4.580000000000000071e+00 4.792110000000000065e-13
4.599999999999999645e+00 4.605719999999999685e-13
4.620000000000000107e+00 4.426100000000000194e-13
4.639999999999999680e+00 4.253300000000000163e-13
4.660000000000000142e+00 4.087510000000000220e-13
