# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.744839999999999541e-12
3.520000000000000018e+00 7.496699999999999752e-12
3.540000000000000036e+00 7.255939999999999877e-12
3.560000000000000053e+00 7.022349999999999860e-12
3.580000000000000071e+00 6.795719999999999643e-12
3.600000000000000089e+00 6.575850000000000096e-12
3.620000000000000107e+00 6.362559999999999902e-12
3.640000000000000124e+00 6.155660000000000046e-12
3.660000000000000142e+00 5.954970000000000020e-12
3.680000000000000160e+00 5.760320000000000238e-12
3.700000000000000178e+00 5.571520000000000073e-12
3.720000000000000195e+00 5.388430000000000295e-12
3.740000000000000213e+00 5.210870000000000393e-12
3.759999999999999787e+00 5.038700000000000330e-12
3.779999999999999805e+00 4.871749999999999714e-12
3.799999999999999822e+00 4.709880000000000122e-12
3.819999999999999840e+00 4.552929999999999665e-12
3.839999999999999858e+00 4.400790000000000275e-12
3.859999999999999876e+00 4.253300000000000062e-12
3.879999999999999893e+00 4.110340000000000033e-12
3.899999999999999911e+00 3.971760000000000032e-12
3.919999999999999929e+00 3.837459999999999685e-12
3.939999999999999947e+00 3.707299999999999763e-12
3.959999999999999964e+00 3.581170000000000178e-12
3.979999999999999982e+00 3.458960000000000036e-12
4.000000000000000000e+00 3.340539999999999819e-12
4.019999999999999574e+00 3.225809999999999964e-12
4.040000000000000036e+00 3.114659999999999978e-12
4.059999999999999609e+00 3.006989999999999893e-12
4.080000000000000071e+00 2.902709999999999856e-12
4.099999999999999645e+00 2.801710000000000186e-12
4.120000000000000107e+00 2.703890000000000104e-12
4.139999999999999680e+00 2.609169999999999877e-12
4.160000000000000142e+00 2.517449999999999941e-12
4.179999999999999716e+00 2.428650000000000158e-12
4.200000000000000178e+00 2.342679999999999869e-12
4.219999999999999751e+00 2.259460000000000149e-12
4.240000000000000213e+00 2.178920000000000171e-12
4.259999999999999787e+00 2.100959999999999966e-12
4.280000000000000249e+00 2.025479999999999968e-12
4.299999999999999822e+00 1.952480000000000178e-12
4.320000000000000284e+00 1.881869999999999937e-12
4.339999999999999858e+00 1.813559999999999999e-12
4.360000000000000320e+00 1.747479999999999941e-12
4.379999999999999893e+00 1.683550000000000031e-12
4.400000000000000355e+00 1.621729999999999997e-12
