# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.538950000000000021e-11
3.520000000000000018e+00 1.490990000000000052e-11
3.540000000000000036e+00 1.444429999999999975e-11
3.560000000000000053e+00 1.399220000000000009e-11
3.580000000000000071e+00 1.355340000000000079e-11
3.600000000000000089e+00 1.312750000000000036e-11
3.620000000000000107e+00 1.271399999999999934e-11
3.640000000000000124e+00 1.231260000000000067e-11
3.660000000000000142e+00 1.192310000000000036e-11
3.680000000000000160e+00 1.154500000000000059e-11
3.700000000000000178e+00 1.117810000000000061e-11
3.720000000000000195e+00 1.082210000000000010e-11
3.740000000000000213e+00 1.047649999999999964e-11
3.759999999999999787e+00 1.014119999999999964e-11
3.779999999999999805e+00 9.815890000000000496e-12
3.799999999999999822e+00 9.500229999999999799e-12
3.819999999999999840e+00 9.193959999999999328e-12
3.839999999999999858e+00 8.896830000000000169e-12
3.859999999999999876e+00 8.608579999999999251e-12
3.879999999999999893e+00 8.328970000000000203e-12
3.899999999999999911e+00 8.057739999999999955e-12
3.919999999999999929e+00 7.794650000000000517e-12
3.939999999999999947e+00 7.539490000000000219e-12
3.959999999999999964e+00 7.292019999999999457e-12
3.979999999999999982e+00 7.052019999999999672e-12
4.000000000000000000e+00 6.819300000000000235e-12
4.019999999999999574e+00 6.593630000000000047e-12
4.040000000000000036e+00 6.374820000000000094e-12
4.059999999999999609e+00 6.162669999999999629e-12
4.080000000000000071e+00 5.956989999999999642e-12
4.099999999999999645e+00 5.757609999999999738e-12
4.120000000000000107e+00 5.564329999999999980e-12
4.139999999999999680e+00 5.376990000000000093e-12
4.160000000000000142e+00 5.195410000000000376e-12
4.179999999999999716e+00 5.019439999999999865e-12
4.200000000000000178e+00 4.848899999999999665e-12
4.219999999999999751e+00 4.683639999999999620e-12
4.240000000000000213e+00 4.523519999999999692e-12
4.259999999999999787e+00 4.368389999999999726e-12
4.280000000000000249e+00 4.218090000000000255e-12
4.299999999999999822e+00 4.072509999999999981e-12
4.320000000000000284e+00 3.931500000000000363e-12
4.339999999999999858e+00 3.794950000000000102e-12
4.360000000000000320e+00 3.662740000000000203e-12
4.379999999999999893e+00 3.534809999999999960e-12
4.400000000000000355e+00 3.411069999999999924e-12
4.419999999999999929e+00 3.291520000000000095e-12
4.440000000000000391e+00 3.176190000000000020e-12
4.459999999999999964e+00 3.065220000000000140e-12
4.480000000000000426e+00 2.958850000000000059e-12
4.500000000000000000e+00 2.857529999999999841e-12
4.519999999999999574e+00 2.761599999999999865e-12
4.540000000000000036e+00 2.672139999999999961e-12
4.559999999999999609e+00 2.590189999999999892e-12
4.580000000000000071e+00 2.517150000000000033e-12
4.599999999999999645e+00 2.454770000000000051e-12
4.620000000000000107e+00 2.405190000000000175e-12
4.639999999999999680e+00 2.370920000000000160e-12
4.660000000000000142e+00 2.354849999999999806e-12
4.679999999999999716e+00 2.360170000000000030e-12
4.700000000000000178e+00 2.390300000000000023e-12
4.719999999999999751e+00 2.448830000000000179e-12
4.740000000000000213e+00 2.539369999999999912e-12
4.769999999999999574e+00 2.665410000000000050e-12
4.790000000000000036e+00 2.830200000000000199e-12
4.809999999999999609e+00 3.036579999999999972e-12
4.830000000000000071e+00 3.286840000000000159e-12
4.849999999999999645e+00 3.582570000000000152e-12
4.870000000000000107e+00 3.924590000000000345e-12
4.889999999999999680e+00 4.312810000000000078e-12
4.910000000000000142e+00 4.746260000000000013e-12
4.929999999999999716e+00 5.222979999999999622e-12
4.950000000000000178e+00 5.740119999999999981e-12
4.969999999999999751e+00 6.293990000000000326e-12
4.990000000000000213e+00 6.880160000000000039e-12
5.009999999999999787e+00 7.493519999999999356e-12
5.030000000000000249e+00 8.128550000000000134e-12
5.049999999999999822e+00 8.779339999999999626e-12
5.070000000000000284e+00 9.439889999999999674e-12
5.089999999999999858e+00 1.010409999999999933e-11
5.110000000000000320e+00 1.076639999999999985e-11
5.129999999999999893e+00 1.142060000000000003e-11
5.150000000000000355e+00 1.206210000000000047e-11
5.169999999999999929e+00 1.268599999999999986e-11
5.190000000000000391e+00 1.328819999999999986e-11
5.209999999999999964e+00 1.386519999999999953e-11
5.230000000000000426e+00 1.441400000000000058e-11
5.250000000000000000e+00 1.493220000000000053e-11
5.269999999999999574e+00 1.541789999999999956e-11
5.290000000000000036e+00 1.586980000000000009e-11
5.309999999999999609e+00 1.628699999999999957e-11
5.330000000000000071e+00 1.666880000000000103e-11
5.349999999999999645e+00 1.701509999999999845e-11
5.370000000000000107e+00 1.732559999999999960e-11
5.389999999999999680e+00 1.760059999999999995e-11
5.410000000000000142e+00 1.784009999999999948e-11
5.429999999999999716e+00 1.804459999999999927e-11
5.450000000000000178e+00 1.821419999999999887e-11
5.469999999999999751e+00 1.834949999999999891e-11
5.490000000000000213e+00 1.845069999999999852e-11
5.509999999999999787e+00 1.851809999999999962e-11
5.530000000000000249e+00 1.855229999999999962e-11
5.549999999999999822e+00 1.855379999999999956e-11
5.570000000000000284e+00 1.852290000000000138e-11
5.589999999999999858e+00 1.846029999999999880e-11
5.610000000000000320e+00 1.836659999999999890e-11
5.629999999999999893e+00 1.824260000000000145e-11
5.650000000000000355e+00 1.808900000000000017e-11
5.669999999999999929e+00 1.790689999999999996e-11
5.690000000000000391e+00 1.769729999999999973e-11
5.709999999999999964e+00 1.746150000000000027e-11
5.730000000000000426e+00 1.720069999999999960e-11
5.750000000000000000e+00 1.691640000000000090e-11
5.769999999999999574e+00 1.661020000000000045e-11
5.790000000000000036e+00 1.628380000000000055e-11
5.809999999999999609e+00 1.593870000000000114e-11
5.830000000000000071e+00 1.557680000000000043e-11
5.849999999999999645e+00 1.519999999999999986e-11
5.870000000000000107e+00 1.481010000000000128e-11
5.889999999999999680e+00 1.440890000000000013e-11
5.910000000000000142e+00 1.399840000000000061e-11
5.929999999999999716e+00 1.358030000000000020e-11
5.950000000000000178e+00 1.315650000000000033e-11
5.969999999999999751e+00 1.272860000000000051e-11
5.990000000000000213e+00 1.229839999999999938e-11
6.009999999999999787e+00 1.186740000000000010e-11
6.030000000000000249e+00 1.143709999999999940e-11
6.049999999999999822e+00 1.100910000000000001e-11
6.070000000000000284e+00 1.058450000000000039e-11
6.089999999999999858e+00 1.016450000000000016e-11
6.110000000000000320e+00 9.750160000000000532e-12
6.129999999999999893e+00 9.342729999999999309e-12
6.150000000000000355e+00 8.942909999999999908e-12
