# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.119209999999999954e-10
3.520000000000000018e+00 1.087389999999999954e-10
3.540000000000000036e+00 1.056600000000000001e-10
3.560000000000000053e+00 1.026869999999999965e-10
3.580000000000000071e+00 9.982189999999999575e-11
3.600000000000000089e+00 9.707040000000000530e-11
3.620000000000000107e+00 9.443699999999999918e-11
3.640000000000000124e+00 9.192790000000000212e-11
3.660000000000000142e+00 8.954980000000000441e-11
3.680000000000000160e+00 8.730979999999999457e-11
3.700000000000000178e+00 8.521519999999999903e-11
3.720000000000000195e+00 8.327289999999999427e-11
3.740000000000000213e+00 8.148950000000000330e-11
3.759999999999999787e+00 7.987060000000000179e-11
3.779999999999999805e+00 7.842019999999999820e-11
3.799999999999999822e+00 7.714110000000000620e-11
3.819999999999999840e+00 7.603389999999999735e-11
3.839999999999999858e+00 7.509720000000000357e-11
3.859999999999999876e+00 7.432749999999999484e-11
3.879999999999999893e+00 7.371879999999999725e-11
3.899999999999999911e+00 7.326309999999999385e-11
3.919999999999999929e+00 7.295009999999999710e-11
3.939999999999999947e+00 7.276790000000000056e-11
3.959999999999999964e+00 7.270289999999999872e-11
3.979999999999999982e+00 7.274019999999999816e-11
4.000000000000000000e+00 7.286389999999999692e-11
4.019999999999999574e+00 7.305780000000000077e-11
4.040000000000000036e+00 7.330539999999999741e-11
4.059999999999999609e+00 7.359030000000000643e-11
4.080000000000000071e+00 7.389670000000000601e-11
4.099999999999999645e+00 7.420979999999999586e-11
4.120000000000000107e+00 7.451539999999999892e-11
4.139999999999999680e+00 7.480099999999999843e-11
4.160000000000000142e+00 7.505540000000000429e-11
4.179999999999999716e+00 7.526879999999999448e-11
4.200000000000000178e+00 7.543340000000000288e-11
4.219999999999999751e+00 7.554280000000000563e-11
4.240000000000000213e+00 7.559270000000000201e-11
4.259999999999999787e+00 7.558030000000000421e-11
4.280000000000000249e+00 7.550489999999999587e-11
4.299999999999999822e+00 7.536740000000000539e-11
4.320000000000000284e+00 7.517070000000000078e-11
4.339999999999999858e+00 7.491959999999999996e-11
4.360000000000000320e+00 7.462059999999999407e-11
4.379999999999999893e+00 7.428200000000000519e-11
4.400000000000000355e+00 7.391360000000000365e-11
4.419999999999999929e+00 7.352709999999999676e-11
4.440000000000000391e+00 7.313520000000000042e-11
4.459999999999999964e+00 7.275179999999999945e-11
4.480000000000000426e+00 7.239149999999999502e-11
4.500000000000000000e+00 7.206920000000000638e-11
4.519999999999999574e+00 7.179949999999999592e-11
4.540000000000000036e+00 7.159669999999999844e-11
4.559999999999999609e+00 7.147370000000000311e-11
4.580000000000000071e+00 7.144180000000000604e-11
4.599999999999999645e+00 7.151029999999999913e-11
4.620000000000000107e+00 7.168589999999999851e-11
4.639999999999999680e+00 7.197240000000000057e-11
4.660000000000000142e+00 7.237049999999999581e-11
4.679999999999999716e+00 7.287770000000000157e-11
4.700000000000000178e+00 7.348829999999999737e-11
4.719999999999999751e+00 7.419320000000000338e-11
4.740000000000000213e+00 7.498060000000000627e-11
4.769999999999999574e+00 7.583610000000000399e-11
4.790000000000000036e+00 7.674270000000000580e-11
4.809999999999999609e+00 7.768209999999999430e-11
4.830000000000000071e+00 7.863439999999999783e-11
4.849999999999999645e+00 7.957909999999999561e-11
4.870000000000000107e+00 8.049540000000000050e-11
4.889999999999999680e+00 8.136269999999999863e-11
4.910000000000000142e+00 8.216159999999999677e-11
4.929999999999999716e+00 8.287279999999999479e-11
4.950000000000000178e+00 8.347989999999999935e-11
4.969999999999999751e+00 8.396820000000000323e-11
4.990000000000000213e+00 8.432469999999999833e-11
5.009999999999999787e+00 8.453900000000000399e-11
5.030000000000000249e+00 8.460270000000000502e-11
5.049999999999999822e+00 8.451019999999999991e-11
5.070000000000000284e+00 8.425799999999999741e-11
5.089999999999999858e+00 8.384519999999999497e-11
5.110000000000000320e+00 8.327269999999999514e-11
5.129999999999999893e+00 8.254380000000000296e-11
5.150000000000000355e+00 8.166329999999999757e-11
5.169999999999999929e+00 8.063780000000000199e-11
5.190000000000000391e+00 7.947509999999999525e-11
5.209999999999999964e+00 7.818460000000000110e-11
5.230000000000000426e+00 7.677539999999999939e-11
5.250000000000000000e+00 7.525910000000000432e-11
5.269999999999999574e+00 7.364669999999999395e-11
5.290000000000000036e+00 7.194950000000000316e-11
5.309999999999999609e+00 7.017909999999999447e-11
5.330000000000000071e+00 6.834740000000000016e-11
5.349999999999999645e+00 6.646579999999999655e-11
5.370000000000000107e+00 6.454560000000000560e-11
5.389999999999999680e+00 6.259780000000000535e-11
5.410000000000000142e+00 6.063300000000000145e-11
5.429999999999999716e+00 5.866120000000000211e-11
5.450000000000000178e+00 5.669179999999999881e-11
5.469999999999999751e+00 5.473379999999999767e-11
5.490000000000000213e+00 5.279530000000000224e-11
5.509999999999999787e+00 5.088379999999999933e-11
5.530000000000000249e+00 4.900609999999999815e-11
5.549999999999999822e+00 4.716819999999999848e-11
5.570000000000000284e+00 4.537540000000000313e-11
5.589999999999999858e+00 4.363219999999999901e-11
5.610000000000000320e+00 4.194210000000000321e-11
5.629999999999999893e+00 4.030800000000000313e-11
5.650000000000000355e+00 3.873210000000000214e-11
5.669999999999999929e+00 3.721570000000000105e-11
5.690000000000000391e+00 3.575939999999999725e-11
5.709999999999999964e+00 3.436330000000000323e-11
5.730000000000000426e+00 3.302680000000000221e-11
5.750000000000000000e+00 3.174879999999999897e-11
5.769999999999999574e+00 3.052770000000000047e-11
5.790000000000000036e+00 2.936150000000000247e-11
5.809999999999999609e+00 2.824810000000000118e-11
5.830000000000000071e+00 2.718420000000000124e-11
5.849999999999999645e+00 2.616800000000000078e-11
5.870000000000000107e+00 2.519640000000000036e-11
5.889999999999999680e+00 2.426659999999999921e-11
5.910000000000000142e+00 2.337550000000000112e-11
5.929999999999999716e+00 2.252050000000000123e-11
5.950000000000000178e+00 2.169890000000000158e-11
5.969999999999999751e+00 2.090820000000000011e-11
5.990000000000000213e+00 2.014590000000000123e-11
6.009999999999999787e+00 1.941000000000000070e-11
6.030000000000000249e+00 1.869850000000000075e-11
6.049999999999999822e+00 1.800959999999999952e-11
6.070000000000000284e+00 1.734160000000000115e-11
6.089999999999999858e+00 1.669340000000000074e-11
6.110000000000000320e+00 1.606360000000000114e-11
6.129999999999999893e+00 1.545129999999999980e-11
6.150000000000000355e+00 1.485560000000000064e-11
