# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.602760000000000029e-11
3.520000000000000018e+00 2.523159999999999924e-11
3.540000000000000036e+00 2.445849999999999883e-11
3.560000000000000053e+00 2.370769999999999843e-11
3.580000000000000071e+00 2.297860000000000066e-11
3.600000000000000089e+00 2.227049999999999886e-11
3.620000000000000107e+00 2.158289999999999844e-11
3.640000000000000124e+00 2.091530000000000156e-11
3.660000000000000142e+00 2.026700000000000159e-11
3.680000000000000160e+00 1.963750000000000069e-11
3.700000000000000178e+00 1.902630000000000103e-11
3.720000000000000195e+00 1.843300000000000113e-11
3.740000000000000213e+00 1.785690000000000078e-11
3.759999999999999787e+00 1.729770000000000131e-11
3.779999999999999805e+00 1.675479999999999884e-11
3.799999999999999822e+00 1.622780000000000160e-11
3.819999999999999840e+00 1.571630000000000160e-11
3.839999999999999858e+00 1.521980000000000104e-11
3.859999999999999876e+00 1.473789999999999842e-11
3.879999999999999893e+00 1.427029999999999989e-11
3.899999999999999911e+00 1.381639999999999998e-11
3.919999999999999929e+00 1.337589999999999998e-11
3.939999999999999947e+00 1.294849999999999960e-11
3.959999999999999964e+00 1.253369999999999939e-11
3.979999999999999982e+00 1.213130000000000022e-11
4.000000000000000000e+00 1.174079999999999941e-11
4.019999999999999574e+00 1.136199999999999945e-11
4.040000000000000036e+00 1.099450000000000046e-11
4.059999999999999609e+00 1.063800000000000051e-11
4.080000000000000071e+00 1.029209999999999974e-11
4.099999999999999645e+00 9.956670000000000629e-12
4.120000000000000107e+00 9.631289999999999848e-12
4.139999999999999680e+00 9.315700000000000786e-12
4.160000000000000142e+00 9.009649999999999682e-12
4.179999999999999716e+00 8.712850000000000381e-12
4.200000000000000178e+00 8.425039999999999813e-12
4.219999999999999751e+00 8.145970000000000680e-12
4.240000000000000213e+00 7.875400000000000148e-12
4.259999999999999787e+00 7.613099999999999539e-12
4.280000000000000249e+00 7.358840000000000176e-12
4.299999999999999822e+00 7.112450000000000052e-12
4.320000000000000284e+00 6.873750000000000271e-12
4.339999999999999858e+00 6.642649999999999771e-12
4.360000000000000320e+00 6.419100000000000386e-12
4.379999999999999893e+00 6.203179999999999827e-12
4.400000000000000355e+00 5.995089999999999651e-12
4.419999999999999929e+00 5.795229999999999733e-12
4.440000000000000391e+00 5.604290000000000145e-12
4.459999999999999964e+00 5.423250000000000343e-12
4.480000000000000426e+00 5.253520000000000015e-12
4.500000000000000000e+00 5.096999999999999789e-12
4.519999999999999574e+00 4.956109999999999972e-12
4.540000000000000036e+00 4.833919999999999662e-12
4.559999999999999609e+00 4.734119999999999623e-12
4.580000000000000071e+00 4.661060000000000336e-12
4.599999999999999645e+00 4.619720000000000029e-12
4.620000000000000107e+00 4.615599999999999841e-12
4.639999999999999680e+00 4.654620000000000214e-12
4.660000000000000142e+00 4.742980000000000052e-12
4.679999999999999716e+00 4.886910000000000227e-12
4.700000000000000178e+00 5.092479999999999723e-12
4.719999999999999751e+00 5.365160000000000133e-12
4.740000000000000213e+00 5.710069999999999720e-12
4.769999999999999574e+00 6.131060000000000333e-12
4.790000000000000036e+00 6.630819999999999811e-12
4.809999999999999609e+00 7.210680000000000129e-12
4.830000000000000071e+00 7.870399999999999260e-12
4.849999999999999645e+00 8.608059999999999573e-12
4.870000000000000107e+00 9.420040000000000319e-12
4.889999999999999680e+00 1.030109999999999939e-11
4.910000000000000142e+00 1.124419999999999928e-11
4.929999999999999716e+00 1.224120000000000079e-11
4.950000000000000178e+00 1.328229999999999966e-11
4.969999999999999751e+00 1.435689999999999994e-11
4.990000000000000213e+00 1.545359999999999950e-11
5.009999999999999787e+00 1.656040000000000040e-11
5.030000000000000249e+00 1.766539999999999943e-11
5.049999999999999822e+00 1.875640000000000114e-11
5.070000000000000284e+00 1.982200000000000015e-11
5.089999999999999858e+00 2.085099999999999991e-11
5.110000000000000320e+00 2.183370000000000056e-11
5.129999999999999893e+00 2.276070000000000095e-11
5.150000000000000355e+00 2.362470000000000050e-11
