# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.982370000000000125e-11
3.520000000000000018e+00 3.862259999999999983e-11
3.540000000000000036e+00 3.745579999999999798e-11
3.560000000000000053e+00 3.632230000000000003e-11
3.580000000000000071e+00 3.522119999999999698e-11
3.600000000000000089e+00 3.415149999999999963e-11
3.620000000000000107e+00 3.311259999999999766e-11
3.640000000000000124e+00 3.210340000000000233e-11
3.660000000000000142e+00 3.112319999999999728e-11
3.680000000000000160e+00 3.017119999999999891e-11
3.700000000000000178e+00 2.924659999999999778e-11
3.720000000000000195e+00 2.834860000000000060e-11
3.740000000000000213e+00 2.747660000000000027e-11
3.759999999999999787e+00 2.662970000000000072e-11
3.779999999999999805e+00 2.580740000000000088e-11
3.799999999999999822e+00 2.500880000000000144e-11
3.819999999999999840e+00 2.423350000000000090e-11
3.839999999999999858e+00 2.348059999999999993e-11
3.859999999999999876e+00 2.274970000000000029e-11
3.879999999999999893e+00 2.203999999999999898e-11
3.899999999999999911e+00 2.135110000000000098e-11
3.919999999999999929e+00 2.068229999999999963e-11
3.939999999999999947e+00 2.003300000000000077e-11
3.959999999999999964e+00 1.940279999999999968e-11
3.979999999999999982e+00 1.879099999999999940e-11
4.000000000000000000e+00 1.819730000000000123e-11
4.019999999999999574e+00 1.762089999999999896e-11
4.040000000000000036e+00 1.706159999999999992e-11
4.059999999999999609e+00 1.651880000000000025e-11
4.080000000000000071e+00 1.599209999999999847e-11
4.099999999999999645e+00 1.548090000000000041e-11
4.120000000000000107e+00 1.498490000000000090e-11
4.139999999999999680e+00 1.450360000000000052e-11
4.160000000000000142e+00 1.403670000000000056e-11
4.179999999999999716e+00 1.358369999999999997e-11
4.200000000000000178e+00 1.314420000000000048e-11
4.219999999999999751e+00 1.271780000000000060e-11
4.240000000000000213e+00 1.230429999999999958e-11
4.259999999999999787e+00 1.190319999999999961e-11
4.280000000000000249e+00 1.151420000000000035e-11
4.299999999999999822e+00 1.113699999999999990e-11
4.320000000000000284e+00 1.077129999999999955e-11
4.339999999999999858e+00 1.041709999999999930e-11
4.360000000000000320e+00 1.007399999999999928e-11
4.379999999999999893e+00 9.742119999999999286e-12
4.400000000000000355e+00 9.421569999999999809e-12
4.419999999999999929e+00 9.112660000000000472e-12
4.440000000000000391e+00 8.815949999999999811e-12
4.459999999999999964e+00 8.532369999999999922e-12
4.480000000000000426e+00 8.263190000000000457e-12
4.500000000000000000e+00 8.010210000000000055e-12
4.519999999999999574e+00 7.775739999999999339e-12
4.540000000000000036e+00 7.562739999999999337e-12
4.559999999999999609e+00 7.374830000000000798e-12
4.580000000000000071e+00 7.216360000000000161e-12
4.599999999999999645e+00 7.092379999999999714e-12
4.620000000000000107e+00 7.008599999999999843e-12
4.639999999999999680e+00 6.971379999999999725e-12
4.660000000000000142e+00 6.987560000000000167e-12
4.679999999999999716e+00 7.064349999999999883e-12
4.700000000000000178e+00 7.209110000000000167e-12
4.719999999999999751e+00 7.429160000000000224e-12
4.740000000000000213e+00 7.731489999999999401e-12
4.769999999999999574e+00 8.122570000000000598e-12
4.790000000000000036e+00 8.607960000000000007e-12
4.809999999999999609e+00 9.192190000000000235e-12
4.830000000000000071e+00 9.878440000000000062e-12
4.849999999999999645e+00 1.066829999999999969e-11
4.870000000000000107e+00 1.156170000000000071e-11
4.889999999999999680e+00 1.255650000000000047e-11
4.910000000000000142e+00 1.364900000000000051e-11
4.929999999999999716e+00 1.483340000000000019e-11
4.950000000000000178e+00 1.610189999999999948e-11
4.969999999999999751e+00 1.744490000000000133e-11
4.990000000000000213e+00 1.885150000000000141e-11
5.009999999999999787e+00 2.030909999999999956e-11
5.030000000000000249e+00 2.180419999999999952e-11
5.049999999999999822e+00 2.332200000000000099e-11
5.070000000000000284e+00 2.484770000000000044e-11
5.089999999999999858e+00 2.636599999999999974e-11
5.110000000000000320e+00 2.786160000000000075e-11
5.129999999999999893e+00 2.931980000000000276e-11
5.150000000000000355e+00 3.072640000000000284e-11
5.169999999999999929e+00 3.206829999999999978e-11
5.190000000000000391e+00 3.333360000000000006e-11
5.209999999999999964e+00 3.451179999999999760e-11
5.230000000000000426e+00 3.559370000000000009e-11
5.250000000000000000e+00 3.657210000000000004e-11
5.269999999999999574e+00 3.744140000000000240e-11
5.290000000000000036e+00 3.819749999999999915e-11
5.309999999999999609e+00 3.883849999999999854e-11
5.330000000000000071e+00 3.936349999999999802e-11
5.349999999999999645e+00 3.977359999999999927e-11
5.370000000000000107e+00 4.007109999999999876e-11
5.389999999999999680e+00 4.025940000000000110e-11
5.410000000000000142e+00 4.034319999999999878e-11
5.429999999999999716e+00 4.032770000000000153e-11
5.450000000000000178e+00 4.021910000000000177e-11
5.469999999999999751e+00 4.002379999999999754e-11
5.490000000000000213e+00 3.974829999999999937e-11
5.509999999999999787e+00 3.940000000000000094e-11
5.530000000000000249e+00 3.898530000000000030e-11
5.549999999999999822e+00 3.851100000000000019e-11
5.570000000000000284e+00 3.798349999999999865e-11
5.589999999999999858e+00 3.740880000000000192e-11
5.610000000000000320e+00 3.679259999999999814e-11
5.629999999999999893e+00 3.614009999999999703e-11
5.650000000000000355e+00 3.545609999999999712e-11
5.669999999999999929e+00 3.474499999999999867e-11
5.690000000000000391e+00 3.401079999999999721e-11
5.709999999999999964e+00 3.325679999999999780e-11
5.730000000000000426e+00 3.248639999999999858e-11
5.750000000000000000e+00 3.170240000000000030e-11
5.769999999999999574e+00 3.090719999999999900e-11
5.790000000000000036e+00 3.010330000000000321e-11
5.809999999999999609e+00 2.929259999999999819e-11
5.830000000000000071e+00 2.847710000000000111e-11
5.849999999999999645e+00 2.765850000000000135e-11
5.870000000000000107e+00 2.683850000000000121e-11
5.889999999999999680e+00 2.601870000000000020e-11
5.910000000000000142e+00 2.520049999999999869e-11
5.929999999999999716e+00 2.438549999999999944e-11
5.950000000000000178e+00 2.357490000000000045e-11
5.969999999999999751e+00 2.277019999999999844e-11
5.990000000000000213e+00 2.197250000000000154e-11
6.009999999999999787e+00 2.118320000000000045e-11
6.030000000000000249e+00 2.040340000000000008e-11
6.049999999999999822e+00 1.963429999999999844e-11
6.070000000000000284e+00 1.887700000000000044e-11
6.089999999999999858e+00 1.813249999999999852e-11
6.110000000000000320e+00 1.740180000000000124e-11
6.129999999999999893e+00 1.668580000000000146e-11
6.150000000000000355e+00 1.598519999999999938e-11
6.169999999999999929e+00 1.530090000000000077e-11
6.190000000000000391e+00 1.463349999999999980e-11
6.209999999999999964e+00 1.398350000000000075e-11
6.230000000000000426e+00 1.335149999999999940e-11
6.250000000000000000e+00 1.273779999999999930e-11
6.269999999999999574e+00 1.214289999999999989e-11
6.290000000000000036e+00 1.156700000000000029e-11
6.309999999999999609e+00 1.101010000000000051e-11
6.330000000000000071e+00 1.047239999999999968e-11
6.349999999999999645e+00 9.953960000000000128e-12
6.370000000000000107e+00 9.454680000000000664e-12
6.389999999999999680e+00 8.974439999999999875e-12
6.410000000000000142e+00 8.513090000000000029e-12
6.429999999999999716e+00 8.070380000000000595e-12
6.450000000000000178e+00 7.646039999999999195e-12
6.469999999999999751e+00 7.239459999999999931e-12
6.490000000000000213e+00 6.850799999999999849e-12
6.509999999999999787e+00 6.479400000000000038e-12
6.530000000000000249e+00 6.124859999999999814e-12
6.549999999999999822e+00 5.786739999999999635e-12
6.570000000000000284e+00 5.464579999999999723e-12
6.589999999999999858e+00 5.157900000000000065e-12
6.610000000000000320e+00 4.866190000000000291e-12
6.629999999999999893e+00 4.588940000000000033e-12
6.650000000000000355e+00 4.325649999999999850e-12
6.669999999999999929e+00 4.075779999999999825e-12
6.690000000000000391e+00 3.838829999999999709e-12
6.709999999999999964e+00 3.614279999999999822e-12
