# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.740569999999999358e-11
3.520000000000000018e+00 7.511659999999999680e-11
3.540000000000000036e+00 7.289190000000000448e-11
3.560000000000000053e+00 7.072979999999999857e-11
3.580000000000000071e+00 6.862869999999999897e-11
3.600000000000000089e+00 6.658680000000000057e-11
3.620000000000000107e+00 6.460269999999999654e-11
3.640000000000000124e+00 6.267470000000000071e-11
3.660000000000000142e+00 6.080119999999999421e-11
3.680000000000000160e+00 5.898090000000000206e-11
3.700000000000000178e+00 5.721209999999999933e-11
3.720000000000000195e+00 5.549369999999999728e-11
3.740000000000000213e+00 5.382399999999999684e-11
3.759999999999999787e+00 5.220190000000000277e-11
3.779999999999999805e+00 5.062610000000000134e-11
3.799999999999999822e+00 4.909519999999999865e-11
3.819999999999999840e+00 4.760799999999999990e-11
3.839999999999999858e+00 4.616339999999999694e-11
3.859999999999999876e+00 4.476010000000000190e-11
3.879999999999999893e+00 4.339700000000000017e-11
3.899999999999999911e+00 4.207310000000000255e-11
3.919999999999999929e+00 4.078720000000000133e-11
3.939999999999999947e+00 3.953820000000000130e-11
3.959999999999999964e+00 3.832529999999999948e-11
3.979999999999999982e+00 3.714730000000000106e-11
4.000000000000000000e+00 3.600340000000000308e-11
4.019999999999999574e+00 3.489259999999999695e-11
4.040000000000000036e+00 3.381389999999999994e-11
4.059999999999999609e+00 3.276640000000000304e-11
4.080000000000000071e+00 3.174940000000000283e-11
4.099999999999999645e+00 3.076200000000000322e-11
4.120000000000000107e+00 2.980330000000000166e-11
4.139999999999999680e+00 2.887249999999999839e-11
4.160000000000000142e+00 2.796889999999999970e-11
4.179999999999999716e+00 2.709179999999999892e-11
4.200000000000000178e+00 2.624029999999999998e-11
4.219999999999999751e+00 2.541379999999999901e-11
4.240000000000000213e+00 2.461149999999999949e-11
4.259999999999999787e+00 2.383290000000000036e-11
4.280000000000000249e+00 2.307709999999999908e-11
4.299999999999999822e+00 2.234370000000000061e-11
4.320000000000000284e+00 2.163189999999999873e-11
4.339999999999999858e+00 2.094119999999999886e-11
4.360000000000000320e+00 2.027100000000000036e-11
4.379999999999999893e+00 1.962059999999999982e-11
4.400000000000000355e+00 1.898959999999999898e-11
4.419999999999999929e+00 1.837740000000000043e-11
4.440000000000000391e+00 1.778349999999999990e-11
4.459999999999999964e+00 1.720730000000000000e-11
4.480000000000000426e+00 1.664829999999999965e-11
4.500000000000000000e+00 1.610620000000000017e-11
4.519999999999999574e+00 1.558030000000000138e-11
4.540000000000000036e+00 1.507019999999999853e-11
4.559999999999999609e+00 1.457549999999999984e-11
4.580000000000000071e+00 1.409580000000000058e-11
4.599999999999999645e+00 1.363059999999999970e-11
4.620000000000000107e+00 1.317950000000000054e-11
4.639999999999999680e+00 1.274210000000000000e-11
4.660000000000000142e+00 1.231809999999999938e-11
4.679999999999999716e+00 1.190689999999999968e-11
4.700000000000000178e+00 1.150839999999999971e-11
4.719999999999999751e+00 1.112200000000000047e-11
4.740000000000000213e+00 1.074760000000000077e-11
4.769999999999999574e+00 1.038460000000000000e-11
4.790000000000000036e+00 1.003280000000000063e-11
4.809999999999999609e+00 9.691950000000000521e-12
4.830000000000000071e+00 9.361629999999999561e-12
4.849999999999999645e+00 9.041549999999999980e-12
4.870000000000000107e+00 8.731450000000000322e-12
4.889999999999999680e+00 8.431019999999999349e-12
4.910000000000000142e+00 8.139989999999999528e-12
4.929999999999999716e+00 7.858080000000000783e-12
4.950000000000000178e+00 6.273249999999999508e-11
4.969999999999999751e+00 6.512739999999999732e-11
4.990000000000000213e+00 6.762190000000000613e-11
5.009999999999999787e+00 7.019060000000000265e-11
5.030000000000000249e+00 7.280539999999999914e-11
5.049999999999999822e+00 7.543600000000000451e-11
5.070000000000000284e+00 7.805110000000000616e-11
5.089999999999999858e+00 8.061859999999999497e-11
5.110000000000000320e+00 8.310710000000000400e-11
5.129999999999999893e+00 8.548549999999999395e-11
5.150000000000000355e+00 8.772550000000000379e-11
5.169999999999999929e+00 8.980029999999999491e-11
5.190000000000000391e+00 9.168600000000000009e-11
5.209999999999999964e+00 9.336189999999999944e-11
5.230000000000000426e+00 9.481069999999999707e-11
5.250000000000000000e+00 9.601890000000000640e-11
5.269999999999999574e+00 9.697640000000000025e-11
5.290000000000000036e+00 9.767729999999999780e-11
5.309999999999999609e+00 9.811890000000000432e-11
5.330000000000000071e+00 9.830200000000000341e-11
5.349999999999999645e+00 9.823089999999999576e-11
5.370000000000000107e+00 9.791249999999999663e-11
5.389999999999999680e+00 9.735669999999999531e-11
5.410000000000000142e+00 9.657530000000000512e-11
5.429999999999999716e+00 9.558250000000000313e-11
5.450000000000000178e+00 9.439350000000000083e-11
5.469999999999999751e+00 9.302499999999999671e-11
5.490000000000000213e+00 9.149460000000000477e-11
5.509999999999999787e+00 8.982009999999999933e-11
5.530000000000000249e+00 8.801950000000000557e-11
5.549999999999999822e+00 8.611059999999999782e-11
5.570000000000000284e+00 8.411080000000000386e-11
5.589999999999999858e+00 8.203679999999999634e-11
5.610000000000000320e+00 7.990430000000000396e-11
5.629999999999999893e+00 7.772819999999999428e-11
5.650000000000000355e+00 7.552200000000000556e-11
5.669999999999999929e+00 7.329829999999999596e-11
5.690000000000000391e+00 7.106800000000000212e-11
5.709999999999999964e+00 6.884119999999999953e-11
5.730000000000000426e+00 6.662599999999999823e-11
5.750000000000000000e+00 6.443049999999999531e-11
5.769999999999999574e+00 6.226079999999999659e-11
5.790000000000000036e+00 6.012199999999999928e-11
5.809999999999999609e+00 5.801860000000000322e-11
5.830000000000000071e+00 5.595370000000000138e-11
5.849999999999999645e+00 5.393020000000000056e-11
5.870000000000000107e+00 5.195019999999999810e-11
5.889999999999999680e+00 5.001510000000000082e-11
5.910000000000000142e+00 4.812579999999999836e-11
5.929999999999999716e+00 4.628310000000000016e-11
5.950000000000000178e+00 4.448719999999999890e-11
5.969999999999999751e+00 4.273830000000000016e-11
5.990000000000000213e+00 4.103619999999999835e-11
6.009999999999999787e+00 3.938070000000000081e-11
6.030000000000000249e+00 3.777140000000000281e-11
6.049999999999999822e+00 3.620789999999999963e-11
6.070000000000000284e+00 3.468979999999999947e-11
6.089999999999999858e+00 3.321649999999999846e-11
6.110000000000000320e+00 3.178739999999999923e-11
6.129999999999999893e+00 3.040230000000000264e-11
6.150000000000000355e+00 2.906049999999999881e-11
6.169999999999999929e+00 2.776149999999999959e-11
6.190000000000000391e+00 2.650480000000000072e-11
6.209999999999999964e+00 2.529000000000000068e-11
6.230000000000000426e+00 2.411629999999999974e-11
6.250000000000000000e+00 2.298339999999999918e-11
6.269999999999999574e+00 2.189069999999999840e-11
6.290000000000000036e+00 2.083750000000000042e-11
6.309999999999999609e+00 1.982320000000000140e-11
6.330000000000000071e+00 1.884730000000000028e-11
6.349999999999999645e+00 1.790900000000000053e-11
6.370000000000000107e+00 1.700780000000000110e-11
6.389999999999999680e+00 1.614269999999999987e-11
6.410000000000000142e+00 1.531309999999999944e-11
6.429999999999999716e+00 1.451829999999999964e-11
6.450000000000000178e+00 1.375729999999999995e-11
6.469999999999999751e+00 1.302930000000000063e-11
6.490000000000000213e+00 1.233359999999999987e-11
6.509999999999999787e+00 1.166909999999999922e-11
6.530000000000000249e+00 1.103500000000000054e-11
6.549999999999999822e+00 1.043049999999999923e-11
6.570000000000000284e+00 9.854450000000000283e-12
6.589999999999999858e+00 9.306060000000000031e-12
6.610000000000000320e+00 8.784329999999999588e-12
6.629999999999999893e+00 8.288339999999999396e-12
6.650000000000000355e+00 7.817160000000000590e-12
6.669999999999999929e+00 7.369839999999999220e-12
6.690000000000000391e+00 6.945440000000000342e-12
6.709999999999999964e+00 6.542680000000000148e-12
6.730000000000000426e+00 6.161340000000000078e-12
6.750000000000000000e+00 5.800159999999999794e-12
6.769999999999999574e+00 5.458289999999999757e-12
6.790000000000000036e+00 5.134909999999999978e-12
6.809999999999999609e+00 4.829180000000000229e-12
6.830000000000000071e+00 4.540310000000000068e-12
6.849999999999999645e+00 4.267480000000000311e-12
6.870000000000000107e+00 4.009930000000000060e-12
6.889999999999999680e+00 3.766930000000000389e-12
6.910000000000000142e+00 3.537749999999999945e-12
6.929999999999999716e+00 3.321699999999999871e-12
6.950000000000000178e+00 3.118090000000000096e-12
6.969999999999999751e+00 2.926309999999999877e-12
