# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.410649999999999932e-10
3.520000000000000018e+00 1.370249999999999999e-10
3.540000000000000036e+00 1.330960000000000024e-10
3.560000000000000053e+00 1.292760000000000094e-10
3.580000000000000071e+00 1.255610000000000124e-10
3.600000000000000089e+00 1.219489999999999942e-10
3.620000000000000107e+00 1.184359999999999982e-10
3.640000000000000124e+00 1.150210000000000027e-10
3.660000000000000142e+00 1.116999999999999994e-10
3.680000000000000160e+00 1.084709999999999969e-10
3.700000000000000178e+00 1.053309999999999954e-10
3.720000000000000195e+00 1.022789999999999991e-10
3.740000000000000213e+00 9.931089999999999358e-11
3.759999999999999787e+00 9.642560000000000304e-11
3.779999999999999805e+00 9.362049999999999998e-11
3.799999999999999822e+00 9.089360000000000601e-11
3.819999999999999840e+00 8.824250000000000573e-11
3.839999999999999858e+00 8.566550000000000005e-11
3.859999999999999876e+00 8.316030000000000543e-11
3.879999999999999893e+00 8.072519999999999696e-11
3.899999999999999911e+00 7.835810000000000314e-11
3.919999999999999929e+00 7.605729999999999905e-11
3.939999999999999947e+00 7.382089999999999941e-11
3.959999999999999964e+00 7.164720000000000514e-11
3.979999999999999982e+00 6.953459999999999736e-11
4.000000000000000000e+00 6.748129999999999681e-11
4.019999999999999574e+00 6.548569999999999752e-11
4.040000000000000036e+00 6.354640000000000557e-11
4.059999999999999609e+00 6.166169999999999604e-11
4.080000000000000071e+00 5.983020000000000087e-11
4.099999999999999645e+00 5.805040000000000072e-11
4.120000000000000107e+00 5.632090000000000168e-11
4.139999999999999680e+00 5.464029999999999690e-11
4.160000000000000142e+00 5.300739999999999807e-11
4.179999999999999716e+00 5.142079999999999835e-11
4.200000000000000178e+00 4.987919999999999692e-11
4.219999999999999751e+00 4.838139999999999900e-11
4.240000000000000213e+00 4.692619999999999689e-11
4.259999999999999787e+00 4.551250000000000181e-11
4.280000000000000249e+00 4.413909999999999960e-11
4.299999999999999822e+00 4.280490000000000151e-11
4.320000000000000284e+00 4.150889999999999896e-11
4.339999999999999858e+00 4.024989999999999715e-11
4.360000000000000320e+00 3.902700000000000001e-11
4.379999999999999893e+00 3.783919999999999895e-11
4.400000000000000355e+00 3.668539999999999876e-11
4.419999999999999929e+00 3.556490000000000247e-11
4.440000000000000391e+00 3.447660000000000195e-11
4.459999999999999964e+00 3.341970000000000067e-11
4.480000000000000426e+00 3.239330000000000254e-11
4.500000000000000000e+00 3.139649999999999855e-11
4.519999999999999574e+00 3.042859999999999820e-11
4.540000000000000036e+00 2.948869999999999894e-11
4.559999999999999609e+00 2.857610000000000059e-11
4.580000000000000071e+00 2.769000000000000015e-11
4.599999999999999645e+00 2.682970000000000068e-11
4.620000000000000107e+00 2.599439999999999918e-11
4.639999999999999680e+00 2.518350000000000149e-11
4.660000000000000142e+00 2.439630000000000097e-11
4.679999999999999716e+00 2.363210000000000065e-11
4.700000000000000178e+00 2.289029999999999991e-11
4.719999999999999751e+00 2.217030000000000137e-11
4.740000000000000213e+00 2.147140000000000159e-11
4.769999999999999574e+00 2.079299999999999995e-11
4.790000000000000036e+00 2.013470000000000144e-11
4.809999999999999609e+00 1.949579999999999938e-11
4.830000000000000071e+00 1.887579999999999920e-11
4.849999999999999645e+00 1.827410000000000026e-11
4.870000000000000107e+00 1.769030000000000107e-11
4.889999999999999680e+00 1.712380000000000101e-11
4.910000000000000142e+00 1.657409999999999902e-11
4.929999999999999716e+00 1.604089999999999964e-11
4.950000000000000178e+00 1.552349999999999944e-11
4.969999999999999751e+00 1.502159999999999973e-11
4.990000000000000213e+00 1.453480000000000063e-11
5.009999999999999787e+00 1.406230000000000078e-11
5.030000000000000249e+00 1.360349999999999954e-11
5.049999999999999822e+00 1.315849999999999972e-11
5.070000000000000284e+00 1.272689999999999982e-11
5.089999999999999858e+00 1.230839999999999954e-11
5.110000000000000320e+00 1.190260000000000060e-11
5.129999999999999893e+00 1.150900000000000034e-11
5.150000000000000355e+00 1.112739999999999962e-11
5.169999999999999929e+00 1.075749999999999975e-11
5.190000000000000391e+00 1.039879999999999967e-11
5.209999999999999964e+00 1.005110000000000026e-11
5.230000000000000426e+00 9.713979999999999772e-12
5.250000000000000000e+00 9.387240000000000701e-12
5.269999999999999574e+00 9.070529999999999721e-12
5.290000000000000036e+00 8.763569999999999987e-12
5.309999999999999609e+00 8.465960000000000006e-12
5.330000000000000071e+00 8.177720000000000015e-12
5.349999999999999645e+00 7.898409999999999663e-12
5.370000000000000107e+00 7.627739999999999565e-12
5.389999999999999680e+00 7.365479999999999429e-12
5.410000000000000142e+00 7.111389999999999650e-12
5.429999999999999716e+00 6.865239999999999937e-12
5.450000000000000178e+00 6.626789999999999877e-12
5.469999999999999751e+00 6.395830000000000223e-12
5.490000000000000213e+00 6.172150000000000110e-12
5.509999999999999787e+00 5.955520000000000053e-12
5.530000000000000249e+00 5.745750000000000231e-12
5.549999999999999822e+00 5.542639999999999898e-12
5.570000000000000284e+00 5.346000000000000041e-12
5.589999999999999858e+00 5.155629999999999914e-12
5.610000000000000320e+00 4.971349999999999815e-12
5.629999999999999893e+00 4.792990000000000158e-12
5.650000000000000355e+00 4.620369999999999628e-12
5.669999999999999929e+00 4.453320000000000254e-12
5.690000000000000391e+00 4.291670000000000029e-12
5.709999999999999964e+00 4.135269999999999605e-12
5.730000000000000426e+00 3.983969999999999633e-12
5.750000000000000000e+00 3.837619999999999959e-12
5.769999999999999574e+00 3.696050000000000190e-12
5.790000000000000036e+00 3.559149999999999834e-12
5.809999999999999609e+00 3.426769999999999948e-12
5.830000000000000071e+00 3.298770000000000089e-12
5.849999999999999645e+00 3.175019999999999935e-12
5.870000000000000107e+00 3.055419999999999920e-12
5.889999999999999680e+00 2.939819999999999887e-12
5.910000000000000142e+00 2.828170000000000055e-12
5.929999999999999716e+00 2.720030000000000073e-12
5.950000000000000178e+00 2.615799999999999820e-12
5.969999999999999751e+00 2.515219999999999859e-12
5.990000000000000213e+00 2.418129999999999916e-12
6.009999999999999787e+00 2.324410000000000190e-12
6.030000000000000249e+00 2.233989999999999854e-12
6.049999999999999822e+00 2.146830000000000052e-12
6.070000000000000284e+00 2.062900000000000025e-12
6.089999999999999858e+00 1.982209999999999891e-12
6.110000000000000320e+00 1.904790000000000005e-12
6.129999999999999893e+00 1.830690000000000149e-12
6.150000000000000355e+00 1.759990000000000057e-12
6.169999999999999929e+00 1.692809999999999933e-12
6.190000000000000391e+00 1.629290000000000018e-12
6.209999999999999964e+00 1.569610000000000014e-12
6.230000000000000426e+00 1.513970000000000061e-12
6.250000000000000000e+00 1.462600000000000048e-12
6.269999999999999574e+00 1.415760000000000018e-12
6.290000000000000036e+00 1.373700000000000094e-12
6.309999999999999609e+00 1.336590000000000063e-12
6.330000000000000071e+00 1.304820000000000089e-12
6.349999999999999645e+00 1.278550000000000040e-12
6.370000000000000107e+00 1.257980000000000058e-12
6.389999999999999680e+00 1.243220000000000028e-12
6.410000000000000142e+00 1.234350000000000087e-12
6.429999999999999716e+00 1.231349999999999999e-12
6.450000000000000178e+00 1.234140000000000030e-12
6.469999999999999751e+00 1.242520000000000041e-12
