# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.795869999999999972e-10
3.520000000000000018e+00 1.744939999999999922e-10
3.540000000000000036e+00 1.695409999999999990e-10
3.560000000000000053e+00 1.647230000000000008e-10
3.580000000000000071e+00 1.600369999999999975e-10
3.600000000000000089e+00 1.554790000000000067e-10
3.620000000000000107e+00 1.510470000000000110e-10
3.640000000000000124e+00 1.467359999999999935e-10
3.660000000000000142e+00 1.425430000000000060e-10
3.680000000000000160e+00 1.384660000000000055e-10
3.700000000000000178e+00 1.345010000000000094e-10
3.720000000000000195e+00 1.306449999999999919e-10
3.740000000000000213e+00 1.268950000000000049e-10
3.759999999999999787e+00 1.232490000000000052e-10
3.779999999999999805e+00 1.197030000000000105e-10
3.799999999999999822e+00 1.162559999999999990e-10
3.819999999999999840e+00 1.129030000000000055e-10
3.839999999999999858e+00 1.096440000000000042e-10
3.859999999999999876e+00 1.064740000000000037e-10
3.879999999999999893e+00 1.033930000000000042e-10
3.899999999999999911e+00 1.003969999999999972e-10
3.919999999999999929e+00 9.748380000000000514e-11
3.939999999999999947e+00 9.465190000000000223e-11
3.959999999999999964e+00 9.189869999999999978e-11
3.979999999999999982e+00 8.922219999999999357e-11
4.000000000000000000e+00 8.662020000000000607e-11
4.019999999999999574e+00 8.409080000000000031e-11
4.040000000000000036e+00 8.163210000000000393e-11
4.059999999999999609e+00 7.924190000000000064e-11
4.080000000000000071e+00 7.691870000000000343e-11
4.099999999999999645e+00 7.466049999999999514e-11
4.120000000000000107e+00 7.246549999999999652e-11
4.139999999999999680e+00 7.033210000000000159e-11
4.160000000000000142e+00 6.825859999999999836e-11
4.179999999999999716e+00 6.624339999999999378e-11
4.200000000000000178e+00 6.428480000000000170e-11
4.219999999999999751e+00 6.238129999999999633e-11
4.240000000000000213e+00 6.053160000000000271e-11
4.259999999999999787e+00 5.873399999999999591e-11
4.280000000000000249e+00 5.698710000000000140e-11
4.299999999999999822e+00 5.528969999999999856e-11
4.320000000000000284e+00 5.364030000000000036e-11
4.339999999999999858e+00 5.203759999999999952e-11
4.360000000000000320e+00 5.048030000000000170e-11
4.379999999999999893e+00 4.896729999999999876e-11
4.400000000000000355e+00 4.749730000000000280e-11
4.419999999999999929e+00 4.606909999999999966e-11
4.440000000000000391e+00 4.468160000000000057e-11
4.459999999999999964e+00 4.333359999999999783e-11
4.480000000000000426e+00 4.202410000000000225e-11
4.500000000000000000e+00 4.075209999999999879e-11
4.519999999999999574e+00 3.951639999999999912e-11
4.540000000000000036e+00 3.831620000000000025e-11
4.559999999999999609e+00 3.715030000000000095e-11
4.580000000000000071e+00 3.601799999999999779e-11
4.599999999999999645e+00 3.491820000000000201e-11
4.620000000000000107e+00 3.385009999999999770e-11
4.639999999999999680e+00 3.281270000000000214e-11
4.660000000000000142e+00 3.180529999999999898e-11
4.679999999999999716e+00 3.082689999999999903e-11
4.700000000000000178e+00 2.987689999999999844e-11
4.719999999999999751e+00 2.895450000000000067e-11
4.740000000000000213e+00 2.805870000000000039e-11
4.769999999999999574e+00 2.718899999999999976e-11
4.790000000000000036e+00 2.634459999999999904e-11
4.809999999999999609e+00 2.552469999999999846e-11
4.830000000000000071e+00 2.472880000000000021e-11
4.849999999999999645e+00 2.395610000000000129e-11
4.870000000000000107e+00 2.320600000000000108e-11
4.889999999999999680e+00 2.247789999999999897e-11
4.910000000000000142e+00 2.177110000000000121e-11
4.929999999999999716e+00 2.108510000000000030e-11
4.950000000000000178e+00 2.041929999999999883e-11
4.969999999999999751e+00 1.977309999999999942e-11
4.990000000000000213e+00 1.914590000000000145e-11
5.009999999999999787e+00 1.853730000000000019e-11
5.030000000000000249e+00 1.794659999999999867e-11
5.049999999999999822e+00 1.737350000000000145e-11
5.070000000000000284e+00 1.681740000000000143e-11
5.089999999999999858e+00 1.627790000000000034e-11
5.110000000000000320e+00 1.575440000000000081e-11
5.129999999999999893e+00 1.524650000000000132e-11
5.150000000000000355e+00 1.475380000000000040e-11
5.169999999999999929e+00 1.427580000000000022e-11
5.190000000000000391e+00 1.381220000000000046e-11
5.209999999999999964e+00 1.336250000000000006e-11
5.230000000000000426e+00 1.292630000000000077e-11
5.250000000000000000e+00 1.250330000000000065e-11
5.269999999999999574e+00 1.209300000000000027e-11
5.290000000000000036e+00 1.169520000000000049e-11
5.309999999999999609e+00 1.130940000000000026e-11
5.330000000000000071e+00 1.093529999999999926e-11
5.349999999999999645e+00 1.057260000000000041e-11
5.370000000000000107e+00 1.022100000000000017e-11
5.389999999999999680e+00 9.880129999999999826e-12
5.410000000000000142e+00 9.549679999999999755e-12
5.429999999999999716e+00 9.229369999999999881e-12
5.450000000000000178e+00 8.918899999999999892e-12
5.469999999999999751e+00 8.617989999999999713e-12
5.490000000000000213e+00 8.326370000000000194e-12
5.509999999999999787e+00 8.043779999999999881e-12
5.530000000000000249e+00 7.769940000000000312e-12
5.549999999999999822e+00 7.504610000000000271e-12
5.570000000000000284e+00 7.247560000000000270e-12
5.589999999999999858e+00 6.998520000000000354e-12
5.610000000000000320e+00 6.757279999999999658e-12
5.629999999999999893e+00 6.523600000000000193e-12
5.650000000000000355e+00 6.297279999999999598e-12
5.669999999999999929e+00 6.078100000000000122e-12
5.690000000000000391e+00 5.865829999999999856e-12
5.709999999999999964e+00 5.660300000000000024e-12
5.730000000000000426e+00 5.461299999999999761e-12
5.750000000000000000e+00 5.268640000000000055e-12
5.769999999999999574e+00 5.082130000000000277e-12
5.790000000000000036e+00 4.901600000000000036e-12
5.809999999999999609e+00 4.726869999999999628e-12
5.830000000000000071e+00 4.557760000000000160e-12
5.849999999999999645e+00 4.394119999999999860e-12
5.870000000000000107e+00 4.235790000000000069e-12
5.889999999999999680e+00 4.082609999999999706e-12
5.910000000000000142e+00 3.934420000000000112e-12
5.929999999999999716e+00 3.791089999999999753e-12
5.950000000000000178e+00 3.652459999999999969e-12
5.969999999999999751e+00 3.518400000000000033e-12
5.990000000000000213e+00 3.388909999999999946e-12
6.009999999999999787e+00 3.263300000000000040e-12
6.030000000000000249e+00 3.142179999999999845e-12
6.049999999999999822e+00 3.025240000000000143e-12
6.070000000000000284e+00 2.912270000000000070e-12
6.089999999999999858e+00 2.803149999999999824e-12
6.110000000000000320e+00 2.697789999999999958e-12
6.129999999999999893e+00 2.596149999999999999e-12
6.150000000000000355e+00 2.498189999999999880e-12
6.169999999999999929e+00 2.403910000000000003e-12
6.190000000000000391e+00 2.313350000000000033e-12
6.209999999999999964e+00 2.226550000000000040e-12
6.230000000000000426e+00 2.143580000000000041e-12
6.250000000000000000e+00 2.064520000000000174e-12
6.269999999999999574e+00 1.989520000000000190e-12
6.290000000000000036e+00 1.918690000000000178e-12
6.309999999999999609e+00 1.852179999999999889e-12
6.330000000000000071e+00 1.790170000000000035e-12
6.349999999999999645e+00 1.732800000000000048e-12
6.370000000000000107e+00 1.680230000000000001e-12
6.389999999999999680e+00 1.632580000000000098e-12
6.410000000000000142e+00 1.589949999999999905e-12
6.429999999999999716e+00 1.552419999999999963e-12
6.450000000000000178e+00 1.519990000000000069e-12
6.469999999999999751e+00 1.492610000000000039e-12
6.490000000000000213e+00 1.470199999999999935e-12
6.509999999999999787e+00 1.452580000000000057e-12
6.530000000000000249e+00 1.439530000000000027e-12
6.549999999999999822e+00 1.430760000000000055e-12
6.570000000000000284e+00 1.425920000000000047e-12
