# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.593530000000000142e-10
3.520000000000000018e+00 2.522480000000000165e-10
3.540000000000000036e+00 2.453329999999999944e-10
3.560000000000000053e+00 2.386019999999999997e-10
3.580000000000000071e+00 2.320509999999999982e-10
3.600000000000000089e+00 2.256749999999999988e-10
3.620000000000000107e+00 2.194699999999999928e-10
3.640000000000000124e+00 2.134309999999999891e-10
3.660000000000000142e+00 2.075529999999999966e-10
3.680000000000000160e+00 2.018329999999999895e-10
3.700000000000000178e+00 1.962660000000000024e-10
3.720000000000000195e+00 1.908490000000000096e-10
3.740000000000000213e+00 1.855769999999999941e-10
3.759999999999999787e+00 1.804459999999999991e-10
3.779999999999999805e+00 1.754540000000000075e-10
3.799999999999999822e+00 1.705949999999999935e-10
3.819999999999999840e+00 1.658669999999999919e-10
3.839999999999999858e+00 1.612670000000000026e-10
3.859999999999999876e+00 1.567900000000000086e-10
3.879999999999999893e+00 1.524339999999999929e-10
3.899999999999999911e+00 1.481960000000000071e-10
3.919999999999999929e+00 1.440719999999999911e-10
3.939999999999999947e+00 1.400589999999999968e-10
3.959999999999999964e+00 1.361550000000000070e-10
3.979999999999999982e+00 1.323559999999999873e-10
4.000000000000000000e+00 1.286599999999999982e-10
4.019999999999999574e+00 1.250639999999999881e-10
4.040000000000000036e+00 1.215650000000000088e-10
4.059999999999999609e+00 1.181620000000000000e-10
4.080000000000000071e+00 1.148499999999999963e-10
4.099999999999999645e+00 1.116289999999999978e-10
4.120000000000000107e+00 1.084949999999999960e-10
4.139999999999999680e+00 1.054459999999999996e-10
4.160000000000000142e+00 1.024800000000000044e-10
4.179999999999999716e+00 9.959470000000000092e-11
4.200000000000000178e+00 9.678809999999999791e-11
4.219999999999999751e+00 9.405789999999999890e-11
4.240000000000000213e+00 9.140229999999999879e-11
4.259999999999999787e+00 8.881920000000000023e-11
4.280000000000000249e+00 8.630650000000000590e-11
4.299999999999999822e+00 8.386259999999999690e-11
4.320000000000000284e+00 8.148540000000000173e-11
4.339999999999999858e+00 7.917339999999999462e-11
4.360000000000000320e+00 7.692470000000000320e-11
4.379999999999999893e+00 7.473769999999999566e-11
4.400000000000000355e+00 7.261060000000000566e-11
4.419999999999999929e+00 7.054200000000000052e-11
4.440000000000000391e+00 6.853010000000000099e-11
4.459999999999999964e+00 6.657369999999999935e-11
4.480000000000000426e+00 6.467100000000000343e-11
4.500000000000000000e+00 6.282069999999999949e-11
4.519999999999999574e+00 6.102149999999999964e-11
4.540000000000000036e+00 5.927190000000000395e-11
4.559999999999999609e+00 5.757049999999999910e-11
4.580000000000000071e+00 5.591620000000000281e-11
4.599999999999999645e+00 5.430760000000000176e-11
4.620000000000000107e+00 5.274350000000000119e-11
4.639999999999999680e+00 5.122279999999999940e-11
4.660000000000000142e+00 4.974420000000000204e-11
4.679999999999999716e+00 4.830660000000000098e-11
4.700000000000000178e+00 4.690890000000000099e-11
4.719999999999999751e+00 4.555019999999999952e-11
4.740000000000000213e+00 4.422910000000000265e-11
4.769999999999999574e+00 4.294480000000000095e-11
4.790000000000000036e+00 4.169639999999999831e-11
4.809999999999999609e+00 4.048279999999999952e-11
4.830000000000000071e+00 3.930300000000000247e-11
4.849999999999999645e+00 3.815609999999999814e-11
4.870000000000000107e+00 3.704140000000000249e-11
4.889999999999999680e+00 3.595790000000000050e-11
4.910000000000000142e+00 3.490470000000000252e-11
4.929999999999999716e+00 3.388099999999999912e-11
4.950000000000000178e+00 3.288609999999999979e-11
4.969999999999999751e+00 3.191910000000000199e-11
4.990000000000000213e+00 3.097940000000000187e-11
5.009999999999999787e+00 3.006599999999999730e-11
5.030000000000000249e+00 2.917839999999999692e-11
5.049999999999999822e+00 2.831590000000000054e-11
5.070000000000000284e+00 2.747759999999999916e-11
5.089999999999999858e+00 2.666310000000000096e-11
5.110000000000000320e+00 2.587159999999999974e-11
5.129999999999999893e+00 2.510260000000000090e-11
5.150000000000000355e+00 2.435530000000000145e-11
5.169999999999999929e+00 2.362920000000000033e-11
5.190000000000000391e+00 2.292379999999999972e-11
5.209999999999999964e+00 2.223839999999999943e-11
5.230000000000000426e+00 2.157249999999999840e-11
5.250000000000000000e+00 2.092559999999999880e-11
5.269999999999999574e+00 2.029719999999999958e-11
5.290000000000000036e+00 1.968670000000000011e-11
5.309999999999999609e+00 1.909359999999999934e-11
5.330000000000000071e+00 1.851749999999999900e-11
5.349999999999999645e+00 1.795800000000000083e-11
5.370000000000000107e+00 1.741450000000000097e-11
5.389999999999999680e+00 1.688660000000000117e-11
5.410000000000000142e+00 1.637380000000000037e-11
5.429999999999999716e+00 1.587589999999999943e-11
5.450000000000000178e+00 1.539220000000000140e-11
5.469999999999999751e+00 1.492260000000000025e-11
5.490000000000000213e+00 1.446650000000000020e-11
5.509999999999999787e+00 1.402359999999999934e-11
5.530000000000000249e+00 1.359349999999999938e-11
5.549999999999999822e+00 1.317590000000000003e-11
5.570000000000000284e+00 1.277039999999999979e-11
5.589999999999999858e+00 1.237669999999999996e-11
5.610000000000000320e+00 1.199450000000000024e-11
5.629999999999999893e+00 1.162340000000000074e-11
5.650000000000000355e+00 1.126309999999999954e-11
5.669999999999999929e+00 1.091340000000000073e-11
5.690000000000000391e+00 1.057389999999999961e-11
5.709999999999999964e+00 1.024430000000000069e-11
5.730000000000000426e+00 9.924449999999999783e-12
5.750000000000000000e+00 9.613959999999999558e-12
5.769999999999999574e+00 9.312599999999999719e-12
5.790000000000000036e+00 9.020119999999999737e-12
5.809999999999999609e+00 8.736270000000000699e-12
5.830000000000000071e+00 8.460800000000000461e-12
5.849999999999999645e+00 8.193489999999999654e-12
5.870000000000000107e+00 7.934100000000000292e-12
5.889999999999999680e+00 7.682400000000000465e-12
5.910000000000000142e+00 7.438180000000000119e-12
5.929999999999999716e+00 7.201230000000000002e-12
5.950000000000000178e+00 6.971350000000000178e-12
5.969999999999999751e+00 6.748329999999999781e-12
5.990000000000000213e+00 6.531969999999999682e-12
6.009999999999999787e+00 6.322090000000000176e-12
6.030000000000000249e+00 6.118520000000000065e-12
6.049999999999999822e+00 5.921060000000000218e-12
6.070000000000000284e+00 5.729530000000000124e-12
6.089999999999999858e+00 5.543779999999999628e-12
6.110000000000000320e+00 5.363650000000000072e-12
6.129999999999999893e+00 5.188960000000000136e-12
6.150000000000000355e+00 5.019559999999999667e-12
6.169999999999999929e+00 4.855290000000000004e-12
6.190000000000000391e+00 4.696029999999999732e-12
6.209999999999999964e+00 4.541620000000000191e-12
6.230000000000000426e+00 4.391909999999999610e-12
6.250000000000000000e+00 4.246779999999999803e-12
6.269999999999999574e+00 4.106100000000000043e-12
6.290000000000000036e+00 3.969730000000000292e-12
6.309999999999999609e+00 3.837549999999999940e-12
6.330000000000000071e+00 3.709439999999999994e-12
6.349999999999999645e+00 3.585279999999999845e-12
6.370000000000000107e+00 3.464969999999999926e-12
