# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.460020000000000074e-12
3.520000000000000018e+00 1.439299999999999936e-12
3.540000000000000036e+00 1.416620000000000077e-12
3.560000000000000053e+00 1.392130000000000047e-12
3.580000000000000071e+00 1.365980000000000002e-12
3.600000000000000089e+00 1.338350000000000048e-12
3.620000000000000107e+00 1.309400000000000055e-12
3.640000000000000124e+00 1.279290000000000095e-12
3.660000000000000142e+00 1.248209999999999990e-12
3.680000000000000160e+00 1.216310000000000095e-12
3.700000000000000178e+00 1.183750000000000080e-12
3.720000000000000195e+00 1.150699999999999933e-12
3.740000000000000213e+00 1.117280000000000062e-12
3.759999999999999787e+00 1.083660000000000050e-12
3.779999999999999805e+00 1.049940000000000068e-12
3.799999999999999822e+00 1.016270000000000071e-12
3.819999999999999840e+00 9.827319999999999367e-13
3.839999999999999858e+00 9.494460000000000723e-13
3.859999999999999876e+00 9.164960000000000966e-13
3.879999999999999893e+00 8.839700000000000189e-13
3.899999999999999911e+00 8.519689999999999819e-13
3.919999999999999929e+00 8.204670000000000218e-13
3.939999999999999947e+00 7.896310000000000106e-13
3.959999999999999964e+00 7.595019999999999882e-13
3.979999999999999982e+00 7.301359999999999698e-13
4.000000000000000000e+00 7.016029999999999741e-13
4.019999999999999574e+00 6.739889999999999668e-13
4.040000000000000036e+00 6.474099999999999646e-13
4.059999999999999609e+00 6.220169999999999940e-13
4.080000000000000071e+00 5.980109999999999648e-13
4.099999999999999645e+00 5.756569999999999775e-13
4.120000000000000107e+00 5.553020000000000102e-13
4.139999999999999680e+00 5.373920000000000390e-13
4.160000000000000142e+00 5.224879999999999846e-13
4.179999999999999716e+00 5.112819999999999615e-13
4.200000000000000178e+00 5.046100000000000077e-13
4.219999999999999751e+00 5.034589999999999856e-13
4.240000000000000213e+00 5.089720000000000450e-13
4.259999999999999787e+00 5.224389999999999714e-13
4.280000000000000249e+00 5.452909999999999633e-13
4.299999999999999822e+00 5.790440000000000114e-13
4.320000000000000284e+00 6.253819999999999499e-13
4.339999999999999858e+00 6.859589999999999653e-13
4.360000000000000320e+00 7.624709999999999527e-13
4.379999999999999893e+00 8.565659999999999672e-13
4.400000000000000355e+00 9.698030000000000834e-13
4.419999999999999929e+00 1.103580000000000029e-12
4.440000000000000391e+00 1.259099999999999956e-12
4.459999999999999964e+00 1.437290000000000028e-12
4.480000000000000426e+00 1.638780000000000011e-12
4.500000000000000000e+00 1.863849999999999980e-12
4.519999999999999574e+00 2.112390000000000049e-12
4.540000000000000036e+00 2.383870000000000019e-12
4.559999999999999609e+00 2.677359999999999812e-12
4.580000000000000071e+00 2.991469999999999975e-12
4.599999999999999645e+00 3.324420000000000086e-12
4.620000000000000107e+00 3.673999999999999895e-12
4.639999999999999680e+00 4.037689999999999934e-12
4.660000000000000142e+00 4.412610000000000117e-12
4.679999999999999716e+00 4.795619999999999714e-12
4.700000000000000178e+00 5.183370000000000359e-12
4.719999999999999751e+00 5.572379999999999728e-12
4.740000000000000213e+00 5.959100000000000326e-12
4.769999999999999574e+00 6.339940000000000145e-12
4.790000000000000036e+00 6.642670000000000008e-12
4.809999999999999609e+00 7.006520000000000320e-12
4.830000000000000071e+00 7.354259999999999402e-12
4.849999999999999645e+00 7.682899999999999908e-12
4.870000000000000107e+00 7.989760000000000077e-12
4.889999999999999680e+00 8.272470000000000192e-12
4.910000000000000142e+00 8.528979999999999469e-12
4.929999999999999716e+00 8.757690000000000016e-12
4.950000000000000178e+00 8.957260000000000548e-12
4.969999999999999751e+00 9.126769999999999894e-12
4.990000000000000213e+00 9.265679999999999753e-12
5.009999999999999787e+00 9.373789999999999380e-12
5.030000000000000249e+00 9.451229999999999503e-12
5.049999999999999822e+00 9.498449999999999780e-12
5.070000000000000284e+00 9.516170000000000638e-12
5.089999999999999858e+00 9.505389999999999345e-12
5.110000000000000320e+00 9.467299999999999453e-12
5.129999999999999893e+00 9.403290000000000416e-12
5.150000000000000355e+00 9.314919999999999652e-12
5.169999999999999929e+00 9.203859999999999922e-12
5.190000000000000391e+00 9.071860000000000080e-12
5.209999999999999964e+00 8.920740000000000619e-12
5.230000000000000426e+00 8.752359999999999271e-12
5.250000000000000000e+00 8.568589999999999540e-12
5.269999999999999574e+00 8.371290000000000774e-12
5.290000000000000036e+00 8.162239999999999762e-12
5.309999999999999609e+00 7.943249999999999298e-12
5.330000000000000071e+00 7.715999999999999838e-12
5.349999999999999645e+00 7.482109999999999508e-12
5.370000000000000107e+00 7.243129999999999652e-12
5.389999999999999680e+00 7.000500000000000311e-12
5.410000000000000142e+00 6.755579999999999776e-12
5.429999999999999716e+00 6.509609999999999765e-12
5.450000000000000178e+00 6.263719999999999891e-12
5.469999999999999751e+00 6.018959999999999629e-12
5.490000000000000213e+00 5.776279999999999698e-12
5.509999999999999787e+00 5.536510000000000205e-12
5.530000000000000249e+00 5.300380000000000080e-12
5.549999999999999822e+00 5.068559999999999963e-12
5.570000000000000284e+00 4.841620000000000124e-12
5.589999999999999858e+00 4.620020000000000341e-12
5.610000000000000320e+00 4.404169999999999802e-12
5.629999999999999893e+00 4.194410000000000098e-12
5.650000000000000355e+00 3.991010000000000379e-12
5.669999999999999929e+00 3.794159999999999658e-12
5.690000000000000391e+00 3.604010000000000109e-12
5.709999999999999964e+00 3.420660000000000088e-12
5.730000000000000426e+00 3.244169999999999898e-12
5.750000000000000000e+00 3.074539999999999943e-12
5.769999999999999574e+00 2.911749999999999988e-12
5.790000000000000036e+00 2.755740000000000130e-12
5.809999999999999609e+00 2.606439999999999949e-12
5.830000000000000071e+00 2.463709999999999808e-12
5.849999999999999645e+00 2.327450000000000145e-12
5.870000000000000107e+00 2.197499999999999876e-12
5.889999999999999680e+00 2.073710000000000057e-12
5.910000000000000142e+00 1.955900000000000178e-12
5.929999999999999716e+00 1.843880000000000015e-12
5.950000000000000178e+00 1.737470000000000068e-12
5.969999999999999751e+00 1.636479999999999909e-12
5.990000000000000213e+00 1.540700000000000089e-12
6.009999999999999787e+00 1.449939999999999979e-12
6.030000000000000249e+00 1.364009999999999961e-12
6.049999999999999822e+00 1.282690000000000061e-12
6.070000000000000284e+00 1.205799999999999971e-12
6.089999999999999858e+00 1.133130000000000040e-12
6.110000000000000320e+00 1.064499999999999957e-12
6.129999999999999893e+00 9.997220000000000491e-13
6.150000000000000355e+00 9.386090000000000045e-13
6.169999999999999929e+00 8.809850000000000069e-13
6.190000000000000391e+00 8.266799999999999672e-13
6.209999999999999964e+00 7.755249999999999696e-13
6.230000000000000426e+00 7.273579999999999992e-13
6.250000000000000000e+00 6.820250000000000145e-13
6.269999999999999574e+00 6.393780000000000045e-13
6.290000000000000036e+00 5.992710000000000018e-13
6.309999999999999609e+00 5.615679999999999554e-13
6.330000000000000071e+00 5.261360000000000313e-13
6.349999999999999645e+00 4.928520000000000087e-13
6.370000000000000107e+00 4.615950000000000137e-13
6.389999999999999680e+00 4.322489999999999790e-13
6.410000000000000142e+00 4.047069999999999839e-13
6.429999999999999716e+00 3.788650000000000219e-13
6.450000000000000178e+00 3.546230000000000228e-13
6.469999999999999751e+00 3.318900000000000126e-13
6.490000000000000213e+00 3.105770000000000104e-13
6.509999999999999787e+00 2.905990000000000222e-13
6.530000000000000249e+00 2.718769999999999834e-13
6.549999999999999822e+00 2.543360000000000181e-13
6.570000000000000284e+00 2.379049999999999844e-13
