# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.570760000000000024e-12
3.520000000000000018e+00 3.537259999999999813e-12
3.540000000000000036e+00 3.508280000000000072e-12
3.560000000000000053e+00 3.483409999999999997e-12
3.580000000000000071e+00 3.462199999999999929e-12
3.600000000000000089e+00 3.444209999999999922e-12
3.620000000000000107e+00 3.429010000000000148e-12
3.640000000000000124e+00 3.416180000000000091e-12
3.660000000000000142e+00 3.405289999999999922e-12
3.680000000000000160e+00 3.395960000000000001e-12
3.700000000000000178e+00 3.387800000000000165e-12
3.720000000000000195e+00 3.380450000000000202e-12
3.740000000000000213e+00 3.373589999999999966e-12
3.759999999999999787e+00 3.366900000000000123e-12
3.779999999999999805e+00 3.360100000000000193e-12
3.799999999999999822e+00 3.352929999999999931e-12
3.819999999999999840e+00 3.345159999999999854e-12
3.839999999999999858e+00 3.336590000000000023e-12
3.859999999999999876e+00 3.327039999999999927e-12
3.879999999999999893e+00 3.316369999999999934e-12
3.899999999999999911e+00 3.304490000000000190e-12
3.919999999999999929e+00 3.291159999999999882e-12
3.939999999999999947e+00 3.276459999999999955e-12
3.959999999999999964e+00 3.260319999999999986e-12
3.979999999999999982e+00 3.242699999999999905e-12
4.000000000000000000e+00 3.223619999999999950e-12
4.019999999999999574e+00 3.203140000000000021e-12
4.040000000000000036e+00 3.181390000000000038e-12
4.059999999999999609e+00 3.158550000000000107e-12
4.080000000000000071e+00 3.134890000000000186e-12
4.099999999999999645e+00 3.110810000000000151e-12
4.120000000000000107e+00 3.086819999999999968e-12
4.139999999999999680e+00 3.063610000000000110e-12
4.160000000000000142e+00 3.042100000000000134e-12
4.179999999999999716e+00 3.023439999999999888e-12
4.200000000000000178e+00 3.009069999999999819e-12
4.219999999999999751e+00 3.000790000000000182e-12
4.240000000000000213e+00 3.000759999999999827e-12
4.259999999999999787e+00 3.011569999999999859e-12
4.280000000000000249e+00 3.036229999999999877e-12
4.299999999999999822e+00 3.078229999999999900e-12
4.320000000000000284e+00 3.141480000000000060e-12
4.339999999999999858e+00 3.230319999999999911e-12
4.360000000000000320e+00 3.349460000000000149e-12
4.379999999999999893e+00 3.503889999999999926e-12
4.400000000000000355e+00 3.698780000000000119e-12
4.419999999999999929e+00 3.939340000000000055e-12
4.440000000000000391e+00 4.230680000000000306e-12
4.459999999999999964e+00 4.577600000000000205e-12
4.480000000000000426e+00 4.984460000000000351e-12
4.500000000000000000e+00 5.454990000000000367e-12
4.519999999999999574e+00 5.991860000000000280e-12
4.540000000000000036e+00 6.597070000000000283e-12
4.559999999999999609e+00 7.271309999999999639e-12
4.580000000000000071e+00 8.013939999999999677e-12
4.599999999999999645e+00 8.823099999999999432e-12
4.620000000000000107e+00 9.695490000000000322e-12
4.639999999999999680e+00 1.062659999999999998e-11
4.660000000000000142e+00 1.161050000000000026e-11
4.679999999999999716e+00 1.264010000000000064e-11
4.700000000000000178e+00 1.370749999999999990e-11
4.719999999999999751e+00 1.480350000000000089e-11
4.740000000000000213e+00 1.591870000000000082e-11
4.769999999999999574e+00 1.704290000000000041e-11
4.790000000000000036e+00 1.661789999999999930e-11
4.809999999999999609e+00 1.775570000000000117e-11
4.830000000000000071e+00 1.887119999999999980e-11
4.849999999999999645e+00 1.995439999999999987e-11
4.870000000000000107e+00 2.099580000000000067e-11
4.889999999999999680e+00 2.198649999999999886e-11
4.910000000000000142e+00 2.291850000000000014e-11
4.929999999999999716e+00 2.378460000000000025e-11
4.950000000000000178e+00 2.457860000000000030e-11
4.969999999999999751e+00 2.529539999999999983e-11
4.990000000000000213e+00 2.593080000000000094e-11
5.009999999999999787e+00 2.648170000000000095e-11
5.030000000000000249e+00 2.694599999999999928e-11
5.049999999999999822e+00 2.732270000000000029e-11
5.070000000000000284e+00 2.761149999999999882e-11
5.089999999999999858e+00 2.781340000000000021e-11
5.110000000000000320e+00 2.792980000000000161e-11
5.129999999999999893e+00 2.796309999999999906e-11
5.150000000000000355e+00 2.791619999999999933e-11
5.169999999999999929e+00 2.779260000000000014e-11
5.190000000000000391e+00 2.759630000000000026e-11
5.209999999999999964e+00 2.733160000000000039e-11
5.230000000000000426e+00 2.700329999999999905e-11
5.250000000000000000e+00 2.661630000000000080e-11
5.269999999999999574e+00 2.617560000000000006e-11
5.290000000000000036e+00 2.568640000000000009e-11
5.309999999999999609e+00 2.515369999999999853e-11
5.330000000000000071e+00 2.458280000000000144e-11
5.349999999999999645e+00 2.397860000000000044e-11
5.370000000000000107e+00 2.334600000000000008e-11
5.389999999999999680e+00 2.268969999999999933e-11
5.410000000000000142e+00 2.201430000000000082e-11
5.429999999999999716e+00 2.132399999999999921e-11
5.450000000000000178e+00 2.062279999999999973e-11
5.469999999999999751e+00 1.991460000000000160e-11
5.490000000000000213e+00 1.920279999999999972e-11
5.509999999999999787e+00 1.849059999999999959e-11
5.530000000000000249e+00 1.778110000000000064e-11
5.549999999999999822e+00 1.707690000000000128e-11
5.570000000000000284e+00 1.638040000000000076e-11
5.589999999999999858e+00 1.569379999999999923e-11
5.610000000000000320e+00 1.501889999999999854e-11
5.629999999999999893e+00 1.435750000000000057e-11
5.650000000000000355e+00 1.371089999999999967e-11
5.669999999999999929e+00 1.308030000000000032e-11
5.690000000000000391e+00 1.246679999999999934e-11
5.709999999999999964e+00 1.187110000000000018e-11
5.730000000000000426e+00 1.129399999999999933e-11
5.750000000000000000e+00 1.073580000000000036e-11
5.769999999999999574e+00 1.019699999999999946e-11
5.790000000000000036e+00 9.677760000000000154e-12
5.809999999999999609e+00 9.178130000000000596e-12
5.830000000000000071e+00 8.698099999999999863e-12
5.849999999999999645e+00 8.237560000000000697e-12
5.870000000000000107e+00 7.796329999999999355e-12
5.889999999999999680e+00 7.374130000000000609e-12
5.910000000000000142e+00 6.970629999999999753e-12
5.929999999999999716e+00 6.585420000000000024e-12
5.950000000000000178e+00 6.218110000000000048e-12
5.969999999999999751e+00 5.868200000000000380e-12
5.990000000000000213e+00 5.535200000000000083e-12
6.009999999999999787e+00 5.218590000000000284e-12
6.030000000000000249e+00 4.917830000000000261e-12
6.049999999999999822e+00 4.632380000000000099e-12
6.070000000000000284e+00 4.361650000000000100e-12
6.089999999999999858e+00 4.105090000000000232e-12
6.110000000000000320e+00 3.862140000000000343e-12
6.129999999999999893e+00 3.632230000000000165e-12
6.150000000000000355e+00 3.414799999999999949e-12
6.169999999999999929e+00 3.209310000000000186e-12
6.190000000000000391e+00 3.015210000000000033e-12
6.209999999999999964e+00 2.831979999999999813e-12
6.230000000000000426e+00 2.659099999999999847e-12
6.250000000000000000e+00 2.496069999999999885e-12
6.269999999999999574e+00 2.342409999999999911e-12
6.290000000000000036e+00 2.197639999999999913e-12
6.309999999999999609e+00 2.061309999999999827e-12
6.330000000000000071e+00 1.932980000000000110e-12
6.349999999999999645e+00 1.812230000000000044e-12
6.370000000000000107e+00 1.698659999999999953e-12
6.389999999999999680e+00 1.591880000000000079e-12
