# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.172110000000000304e-11
3.520000000000000018e+00 3.257180000000000223e-11
3.540000000000000036e+00 3.334739999999999824e-11
3.560000000000000053e+00 3.404039999999999781e-11
3.580000000000000071e+00 3.464539999999999857e-11
3.600000000000000089e+00 3.515819999999999937e-11
3.620000000000000107e+00 3.557670000000000289e-11
3.640000000000000124e+00 3.590000000000000011e-11
3.660000000000000142e+00 3.612880000000000091e-11
3.680000000000000160e+00 3.626510000000000306e-11
3.700000000000000178e+00 3.631209999999999913e-11
3.720000000000000195e+00 3.627389999999999713e-11
3.740000000000000213e+00 3.615579999999999988e-11
3.759999999999999787e+00 3.596319999999999685e-11
3.779999999999999805e+00 3.570220000000000028e-11
3.799999999999999822e+00 3.537940000000000089e-11
3.819999999999999840e+00 3.500099999999999758e-11
3.839999999999999858e+00 3.457350000000000086e-11
3.859999999999999876e+00 3.410320000000000275e-11
3.879999999999999893e+00 3.359599999999999700e-11
3.899999999999999911e+00 3.305739999999999847e-11
3.919999999999999929e+00 3.249259999999999748e-11
3.939999999999999947e+00 3.190629999999999946e-11
3.959999999999999964e+00 3.130269999999999909e-11
3.979999999999999982e+00 3.068540000000000009e-11
4.000000000000000000e+00 3.005780000000000062e-11
4.019999999999999574e+00 2.942270000000000144e-11
4.040000000000000036e+00 2.878260000000000137e-11
4.059999999999999609e+00 2.813950000000000142e-11
4.080000000000000071e+00 2.749549999999999891e-11
4.099999999999999645e+00 2.685219999999999982e-11
4.120000000000000107e+00 2.621130000000000000e-11
4.139999999999999680e+00 2.557449999999999851e-11
4.160000000000000142e+00 2.494389999999999916e-11
4.179999999999999716e+00 2.432159999999999928e-11
4.200000000000000178e+00 2.371039999999999962e-11
4.219999999999999751e+00 2.311359999999999877e-11
4.240000000000000213e+00 2.253550000000000066e-11
4.259999999999999787e+00 2.198109999999999971e-11
4.280000000000000249e+00 2.145660000000000129e-11
4.299999999999999822e+00 2.096949999999999865e-11
4.320000000000000284e+00 2.052839999999999965e-11
4.339999999999999858e+00 2.014300000000000091e-11
4.360000000000000320e+00 1.982410000000000072e-11
4.379999999999999893e+00 1.958330000000000037e-11
4.400000000000000355e+00 1.943290000000000134e-11
4.419999999999999929e+00 1.938530000000000142e-11
4.440000000000000391e+00 1.945259999999999973e-11
4.459999999999999964e+00 1.964650000000000035e-11
4.480000000000000426e+00 1.997720000000000095e-11
4.500000000000000000e+00 2.045320000000000013e-11
4.519999999999999574e+00 2.108110000000000152e-11
4.540000000000000036e+00 2.186459999999999874e-11
4.559999999999999609e+00 2.280470000000000036e-11
4.580000000000000071e+00 2.389910000000000022e-11
4.599999999999999645e+00 2.514249999999999874e-11
4.620000000000000107e+00 2.652589999999999949e-11
4.639999999999999680e+00 2.803759999999999839e-11
4.660000000000000142e+00 2.966269999999999880e-11
4.679999999999999716e+00 3.138370000000000248e-11
4.700000000000000178e+00 3.318109999999999722e-11
4.719999999999999751e+00 3.503369999999999763e-11
4.740000000000000213e+00 3.691879999999999896e-11
4.769999999999999574e+00 3.881349999999999733e-11
4.790000000000000036e+00 4.069439999999999753e-11
4.809999999999999609e+00 4.253880000000000126e-11
4.830000000000000071e+00 4.432489999999999988e-11
4.849999999999999645e+00 4.603189999999999978e-11
4.870000000000000107e+00 4.764089999999999908e-11
4.889999999999999680e+00 4.913509999999999972e-11
4.910000000000000142e+00 5.049970000000000140e-11
4.929999999999999716e+00 5.172229999999999984e-11
4.950000000000000178e+00 5.279299999999999931e-11
4.969999999999999751e+00 5.370420000000000052e-11
4.990000000000000213e+00 5.445089999999999935e-11
5.009999999999999787e+00 5.503010000000000237e-11
5.030000000000000249e+00 5.544139999999999841e-11
5.049999999999999822e+00 5.568600000000000163e-11
5.070000000000000284e+00 5.576729999999999725e-11
5.089999999999999858e+00 5.568989999999999760e-11
5.110000000000000320e+00 5.546020000000000071e-11
5.129999999999999893e+00 5.508550000000000070e-11
5.150000000000000355e+00 5.457419999999999984e-11
5.169999999999999929e+00 5.393529999999999779e-11
5.190000000000000391e+00 5.317849999999999762e-11
5.209999999999999964e+00 5.231400000000000024e-11
5.230000000000000426e+00 5.135170000000000140e-11
5.250000000000000000e+00 5.030229999999999984e-11
5.269999999999999574e+00 4.917569999999999775e-11
5.290000000000000036e+00 4.798220000000000208e-11
5.309999999999999609e+00 4.673150000000000298e-11
5.330000000000000071e+00 4.543309999999999793e-11
5.349999999999999645e+00 4.409599999999999951e-11
5.370000000000000107e+00 4.272870000000000311e-11
5.389999999999999680e+00 4.133929999999999936e-11
5.410000000000000142e+00 3.993540000000000046e-11
5.429999999999999716e+00 3.852380000000000272e-11
5.450000000000000178e+00 3.711099999999999727e-11
5.469999999999999751e+00 3.570279999999999767e-11
5.490000000000000213e+00 3.430450000000000029e-11
5.509999999999999787e+00 3.292100000000000321e-11
5.530000000000000249e+00 3.155640000000000153e-11
5.549999999999999822e+00 3.021449999999999813e-11
5.570000000000000284e+00 2.889860000000000128e-11
5.589999999999999858e+00 2.761159999999999839e-11
5.610000000000000320e+00 2.635569999999999926e-11
5.629999999999999893e+00 2.513310000000000082e-11
5.650000000000000355e+00 2.394539999999999933e-11
5.669999999999999929e+00 2.279389999999999883e-11
5.690000000000000391e+00 2.167949999999999865e-11
5.709999999999999964e+00 2.060310000000000134e-11
5.730000000000000426e+00 1.956489999999999956e-11
5.750000000000000000e+00 1.856530000000000128e-11
5.769999999999999574e+00 1.760420000000000046e-11
5.790000000000000036e+00 1.668150000000000076e-11
5.809999999999999609e+00 1.579690000000000027e-11
5.830000000000000071e+00 1.494969999999999879e-11
5.849999999999999645e+00 1.413949999999999968e-11
5.870000000000000107e+00 1.336529999999999920e-11
5.889999999999999680e+00 1.262659999999999953e-11
5.910000000000000142e+00 1.192240000000000017e-11
5.929999999999999716e+00 1.125170000000000061e-11
5.950000000000000178e+00 1.061359999999999993e-11
5.969999999999999751e+00 1.000699999999999967e-11
5.990000000000000213e+00 9.430770000000000214e-12
6.009999999999999787e+00 8.883940000000000614e-12
6.030000000000000249e+00 8.365390000000000567e-12
6.049999999999999822e+00 7.873999999999999770e-12
6.070000000000000284e+00 7.408669999999999773e-12
6.089999999999999858e+00 6.968319999999999938e-12
6.110000000000000320e+00 6.551869999999999627e-12
6.129999999999999893e+00 6.158270000000000173e-12
6.150000000000000355e+00 5.786460000000000367e-12
6.169999999999999929e+00 5.435449999999999826e-12
6.190000000000000391e+00 5.104249999999999783e-12
6.209999999999999964e+00 4.791890000000000093e-12
6.230000000000000426e+00 4.497430000000000154e-12
6.250000000000000000e+00 4.220010000000000312e-12
6.269999999999999574e+00 3.958720000000000322e-12
6.290000000000000036e+00 3.712750000000000310e-12
6.309999999999999609e+00 3.481270000000000170e-12
6.330000000000000071e+00 3.263519999999999810e-12
6.349999999999999645e+00 3.058780000000000018e-12
6.370000000000000107e+00 2.866319999999999847e-12
6.389999999999999680e+00 2.685460000000000151e-12
6.410000000000000142e+00 2.515559999999999835e-12
6.429999999999999716e+00 2.356010000000000177e-12
6.450000000000000178e+00 2.206219999999999863e-12
6.469999999999999751e+00 2.065629999999999954e-12
6.490000000000000213e+00 1.933709999999999845e-12
6.509999999999999787e+00 1.809949999999999977e-12
6.530000000000000249e+00 1.693880000000000048e-12
6.549999999999999822e+00 1.585049999999999996e-12
6.570000000000000284e+00 1.483020000000000077e-12
6.589999999999999858e+00 1.387399999999999925e-12
6.610000000000000320e+00 1.297790000000000067e-12
6.629999999999999893e+00 1.213840000000000006e-12
6.650000000000000355e+00 1.135200000000000050e-12
6.669999999999999929e+00 1.061550000000000056e-12
6.690000000000000391e+00 9.925759999999999097e-13
6.709999999999999964e+00 9.280029999999999990e-13
6.730000000000000426e+00 8.675550000000000328e-13
6.750000000000000000e+00 8.109770000000000289e-13
6.769999999999999574e+00 7.580259999999999651e-13
6.790000000000000036e+00 7.084789999999999541e-13
6.809999999999999609e+00 6.621219999999999528e-13
6.830000000000000071e+00 6.187559999999999940e-13
6.849999999999999645e+00 5.782070000000000019e-13
6.870000000000000107e+00 5.402659999999999922e-13
6.889999999999999680e+00 5.047869999999999977e-13
6.910000000000000142e+00 4.716129999999999616e-13
6.929999999999999716e+00 4.405960000000000242e-13
6.950000000000000178e+00 4.116010000000000048e-13
6.969999999999999751e+00 3.844970000000000125e-13
6.990000000000000213e+00 3.591639999999999931e-13
7.009999999999999787e+00 3.354880000000000241e-13
7.030000000000000249e+00 3.133619999999999829e-13
7.049999999999999822e+00 2.926870000000000230e-13
7.070000000000000284e+00 2.733690000000000037e-13
7.089999999999999858e+00 2.553200000000000167e-13
7.110000000000000320e+00 2.384599999999999755e-13
