# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.084190000000000069e-11
3.520000000000000018e+00 2.082120000000000018e-11
3.540000000000000036e+00 2.085419999999999893e-11
3.560000000000000053e+00 2.093700000000000096e-11
3.580000000000000071e+00 2.106449999999999935e-11
3.600000000000000089e+00 2.123119999999999863e-11
3.620000000000000107e+00 2.143099999999999946e-11
3.640000000000000124e+00 2.165719999999999864e-11
3.660000000000000142e+00 2.190270000000000117e-11
3.680000000000000160e+00 2.216049999999999872e-11
3.700000000000000178e+00 2.242349999999999952e-11
3.720000000000000195e+00 2.268500000000000037e-11
3.740000000000000213e+00 2.293819999999999853e-11
3.759999999999999787e+00 2.317720000000000024e-11
3.779999999999999805e+00 2.339640000000000076e-11
3.799999999999999822e+00 2.359100000000000156e-11
3.819999999999999840e+00 2.375690000000000109e-11
3.839999999999999858e+00 2.389070000000000118e-11
3.859999999999999876e+00 2.398999999999999936e-11
3.879999999999999893e+00 2.405309999999999977e-11
3.899999999999999911e+00 2.407909999999999986e-11
3.919999999999999929e+00 2.406799999999999963e-11
3.939999999999999947e+00 2.402100000000000034e-11
3.959999999999999964e+00 2.393970000000000148e-11
3.979999999999999982e+00 2.382719999999999928e-11
4.000000000000000000e+00 2.368739999999999942e-11
4.019999999999999574e+00 2.352539999999999910e-11
4.040000000000000036e+00 2.334740000000000046e-11
4.059999999999999609e+00 2.316089999999999999e-11
4.080000000000000071e+00 2.297490000000000058e-11
4.099999999999999645e+00 2.279930000000000121e-11
4.120000000000000107e+00 2.264569999999999993e-11
4.139999999999999680e+00 2.252640000000000143e-11
4.160000000000000142e+00 2.245500000000000156e-11
4.179999999999999716e+00 2.244560000000000041e-11
4.200000000000000178e+00 2.251260000000000002e-11
4.219999999999999751e+00 2.267000000000000094e-11
4.240000000000000213e+00 2.293190000000000006e-11
4.259999999999999787e+00 2.331100000000000033e-11
4.280000000000000249e+00 2.381850000000000155e-11
4.299999999999999822e+00 2.446320000000000102e-11
4.320000000000000284e+00 2.525169999999999912e-11
4.339999999999999858e+00 2.618740000000000048e-11
4.360000000000000320e+00 2.727070000000000011e-11
4.379999999999999893e+00 2.849870000000000094e-11
4.400000000000000355e+00 2.986469999999999976e-11
4.419999999999999929e+00 3.135890000000000040e-11
4.440000000000000391e+00 3.296829999999999797e-11
4.459999999999999964e+00 3.467689999999999737e-11
4.480000000000000426e+00 3.646640000000000060e-11
4.500000000000000000e+00 3.831620000000000025e-11
4.519999999999999574e+00 4.020400000000000277e-11
4.540000000000000036e+00 4.210709999999999695e-11
4.559999999999999609e+00 4.400200000000000092e-11
