# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.910240000000000088e-11
3.520000000000000018e+00 2.823579999999999970e-11
3.540000000000000036e+00 2.739380000000000147e-11
3.560000000000000053e+00 2.657550000000000041e-11
3.580000000000000071e+00 2.578050000000000147e-11
3.600000000000000089e+00 2.500799999999999845e-11
3.620000000000000107e+00 2.425749999999999999e-11
3.640000000000000124e+00 2.352829999999999942e-11
3.660000000000000142e+00 2.281989999999999892e-11
3.680000000000000160e+00 2.213170000000000111e-11
3.700000000000000178e+00 2.146309999999999889e-11
3.720000000000000195e+00 2.081360000000000090e-11
3.740000000000000213e+00 2.018269999999999962e-11
3.759999999999999787e+00 1.956980000000000089e-11
3.779999999999999805e+00 1.897459999999999954e-11
3.799999999999999822e+00 1.839639999999999864e-11
3.819999999999999840e+00 1.783479999999999990e-11
3.839999999999999858e+00 1.728939999999999861e-11
3.859999999999999876e+00 1.675970000000000017e-11
3.879999999999999893e+00 1.624539999999999942e-11
3.899999999999999911e+00 1.574579999999999941e-11
3.919999999999999929e+00 1.526070000000000100e-11
3.939999999999999947e+00 1.478969999999999947e-11
3.959999999999999964e+00 1.433230000000000023e-11
3.979999999999999982e+00 1.388810000000000016e-11
4.000000000000000000e+00 1.345699999999999971e-11
4.019999999999999574e+00 1.303830000000000029e-11
4.040000000000000036e+00 1.263190000000000073e-11
4.059999999999999609e+00 1.223729999999999997e-11
4.080000000000000071e+00 1.185430000000000049e-11
4.099999999999999645e+00 1.148239999999999962e-11
4.120000000000000107e+00 1.112149999999999941e-11
4.139999999999999680e+00 1.077119999999999999e-11
4.160000000000000142e+00 1.043119999999999942e-11
4.179999999999999716e+00 1.010120000000000062e-11
4.200000000000000178e+00 9.780900000000000056e-12
4.219999999999999751e+00 9.470089999999999283e-12
4.240000000000000213e+00 9.168480000000000531e-12
4.259999999999999787e+00 8.875810000000000729e-12
4.280000000000000249e+00 8.591820000000000038e-12
4.299999999999999822e+00 8.316279999999999780e-12
4.320000000000000284e+00 8.048939999999999427e-12
4.339999999999999858e+00 7.789579999999999611e-12
4.360000000000000320e+00 7.537970000000000040e-12
4.379999999999999893e+00 7.293889999999999731e-12
4.400000000000000355e+00 7.057009999999999633e-12
4.419999999999999929e+00 6.826970000000000343e-12
4.440000000000000391e+00 6.603850000000000381e-12
4.459999999999999964e+00 6.387470000000000045e-12
4.480000000000000426e+00 6.177620000000000086e-12
4.500000000000000000e+00 5.974119999999999994e-12
4.519999999999999574e+00 5.776790000000000066e-12
4.540000000000000036e+00 5.585449999999999793e-12
4.559999999999999609e+00 5.399930000000000398e-12
4.580000000000000071e+00 5.220059999999999873e-12
4.599999999999999645e+00 5.045689999999999677e-12
4.620000000000000107e+00 4.876650000000000228e-12
4.639999999999999680e+00 4.712789999999999753e-12
4.660000000000000142e+00 4.553959999999999712e-12
4.679999999999999716e+00 4.400009999999999949e-12
4.700000000000000178e+00 4.250829999999999973e-12
4.719999999999999751e+00 4.106170000000000062e-12
4.740000000000000213e+00 3.966090000000000118e-12
4.769999999999999574e+00 3.830349999999999729e-12
4.790000000000000036e+00 3.698809999999999665e-12
4.809999999999999609e+00 3.571359999999999840e-12
4.830000000000000071e+00 3.447880000000000047e-12
4.849999999999999645e+00 3.328260000000000199e-12
4.870000000000000107e+00 3.212410000000000041e-12
4.889999999999999680e+00 3.100200000000000058e-12
4.910000000000000142e+00 2.991520000000000162e-12
4.929999999999999716e+00 2.886280000000000097e-12
4.950000000000000178e+00 2.784390000000000013e-12
4.969999999999999751e+00 2.685730000000000108e-12
4.990000000000000213e+00 2.590219999999999842e-12
5.009999999999999787e+00 2.497760000000000052e-12
5.030000000000000249e+00 2.408260000000000080e-12
5.049999999999999822e+00 2.321640000000000193e-12
5.070000000000000284e+00 2.237819999999999849e-12
5.089999999999999858e+00 2.156699999999999888e-12
5.110000000000000320e+00 2.078209999999999886e-12
5.129999999999999893e+00 2.002279999999999825e-12
5.150000000000000355e+00 1.928829999999999971e-12
5.169999999999999929e+00 1.857780000000000188e-12
5.190000000000000391e+00 1.789060000000000053e-12
5.209999999999999964e+00 1.722610000000000068e-12
5.230000000000000426e+00 1.658360000000000014e-12
5.250000000000000000e+00 1.596240000000000073e-12
5.269999999999999574e+00 1.536189999999999940e-12
5.290000000000000036e+00 1.478149999999999917e-12
5.309999999999999609e+00 1.422090000000000052e-12
5.330000000000000071e+00 1.367780000000000055e-12
5.349999999999999645e+00 1.315420000000000064e-12
5.370000000000000107e+00 1.264879999999999958e-12
5.389999999999999680e+00 1.216070000000000088e-12
5.410000000000000142e+00 1.168909999999999913e-12
5.429999999999999716e+00 1.123359999999999971e-12
5.450000000000000178e+00 1.079370000000000075e-12
5.469999999999999751e+00 1.036899999999999954e-12
5.490000000000000213e+00 9.959200000000000619e-13
5.509999999999999787e+00 9.564019999999999873e-13
5.530000000000000249e+00 9.183179999999999246e-13
5.549999999999999822e+00 8.816509999999999558e-13
5.570000000000000284e+00 8.463950000000000503e-13
5.589999999999999858e+00 8.125570000000000081e-13
5.610000000000000320e+00 7.801599999999999796e-13
5.629999999999999893e+00 7.492569999999999648e-13
5.650000000000000355e+00 7.199279999999999996e-13
5.669999999999999929e+00 6.922859999999999847e-13
5.690000000000000391e+00 6.664830000000000188e-13
5.709999999999999964e+00 6.426749999999999853e-13
5.730000000000000426e+00 6.211540000000000208e-13
5.750000000000000000e+00 6.021890000000000102e-13
5.769999999999999574e+00 5.860979999999999529e-13
5.790000000000000036e+00 5.732320000000000156e-13
5.809999999999999609e+00 5.639629999999999669e-13
5.830000000000000071e+00 5.586729999999999965e-13
5.849999999999999645e+00 5.577430000000000197e-13
5.870000000000000107e+00 5.615300000000000317e-13
5.889999999999999680e+00 5.703569999999999899e-13
5.910000000000000142e+00 5.844910000000000386e-13
5.929999999999999716e+00 6.041289999999999999e-13
5.950000000000000178e+00 6.293830000000000052e-13
5.969999999999999751e+00 6.602669999999999572e-13
5.990000000000000213e+00 6.966940000000000200e-13
6.009999999999999787e+00 7.384650000000000245e-13
6.030000000000000249e+00 7.852680000000000019e-13
6.049999999999999822e+00 8.366900000000000426e-13
6.070000000000000284e+00 8.922190000000000376e-13
6.089999999999999858e+00 9.512500000000000109e-13
6.110000000000000320e+00 1.013099999999999995e-12
6.129999999999999893e+00 1.077049999999999939e-12
6.150000000000000355e+00 1.142300000000000090e-12
6.169999999999999929e+00 1.208069999999999920e-12
6.190000000000000391e+00 1.273529999999999926e-12
6.209999999999999964e+00 1.337909999999999900e-12
6.230000000000000426e+00 1.400429999999999921e-12
6.250000000000000000e+00 1.460380000000000084e-12
6.269999999999999574e+00 1.517080000000000034e-12
6.290000000000000036e+00 1.569940000000000074e-12
6.309999999999999609e+00 1.618189999999999994e-12
6.330000000000000071e+00 1.661809999999999964e-12
6.349999999999999645e+00 1.700219999999999999e-12
6.370000000000000107e+00 1.733180000000000093e-12
6.389999999999999680e+00 1.760489999999999903e-12
6.410000000000000142e+00 1.782039999999999947e-12
6.429999999999999716e+00 1.797800000000000074e-12
6.450000000000000178e+00 1.807809999999999948e-12
6.469999999999999751e+00 1.812160000000000025e-12
6.490000000000000213e+00 1.811020000000000093e-12
6.509999999999999787e+00 1.804579999999999971e-12
6.530000000000000249e+00 1.793099999999999902e-12
6.549999999999999822e+00 1.776870000000000082e-12
6.570000000000000284e+00 1.756210000000000046e-12
6.589999999999999858e+00 1.731439999999999941e-12
6.610000000000000320e+00 1.702930000000000096e-12
6.629999999999999893e+00 1.671029999999999999e-12
6.650000000000000355e+00 1.636109999999999983e-12
6.669999999999999929e+00 1.598539999999999972e-12
6.690000000000000391e+00 1.558679999999999978e-12
6.709999999999999964e+00 1.516849999999999943e-12
6.730000000000000426e+00 1.473399999999999962e-12
6.750000000000000000e+00 1.428660000000000094e-12
6.769999999999999574e+00 1.382919999999999927e-12
6.790000000000000036e+00 1.336459999999999942e-12
6.809999999999999609e+00 1.289560000000000010e-12
6.830000000000000071e+00 1.242450000000000022e-12
6.849999999999999645e+00 1.195360000000000068e-12
6.870000000000000107e+00 1.148490000000000087e-12
6.889999999999999680e+00 1.102029999999999900e-12
6.910000000000000142e+00 1.056119999999999947e-12
6.929999999999999716e+00 1.010930000000000015e-12
6.950000000000000178e+00 9.665709999999999615e-13
6.969999999999999751e+00 9.231550000000000180e-13
6.990000000000000213e+00 8.807739999999999788e-13
7.009999999999999787e+00 8.395039999999999941e-13
7.030000000000000249e+00 7.994109999999999952e-13
7.049999999999999822e+00 7.605419999999999515e-13
7.070000000000000284e+00 7.229359999999999601e-13
7.089999999999999858e+00 6.866210000000000285e-13
7.110000000000000320e+00 6.516160000000000176e-13
7.129999999999999893e+00 6.179280000000000303e-13
7.150000000000000355e+00 5.855580000000000380e-13
7.169999999999999929e+00 5.545009999999999816e-13
7.190000000000000391e+00 5.247459999999999736e-13
7.209999999999999964e+00 4.962750000000000235e-13
7.230000000000000426e+00 4.690659999999999523e-13
7.259999999999999787e+00 4.430940000000000202e-13
7.280000000000000249e+00 4.183319999999999890e-13
7.299999999999999822e+00 3.947739999999999797e-13
7.320000000000000284e+00 3.723310000000000116e-13
7.339999999999999858e+00 3.510000000000000190e-13
7.360000000000000320e+00 3.307439999999999991e-13
7.379999999999999893e+00 3.115249999999999777e-13
7.400000000000000355e+00 2.933060000000000025e-13
7.419999999999999929e+00 2.760470000000000051e-13
7.440000000000000391e+00 2.597100000000000112e-13
7.459999999999999964e+00 2.442580000000000180e-13
7.480000000000000426e+00 2.296499999999999858e-13
7.500000000000000000e+00 2.158510000000000059e-13
7.519999999999999574e+00 2.028239999999999999e-13
7.540000000000000036e+00 1.905319999999999903e-13
7.559999999999999609e+00 1.789409999999999895e-13
7.580000000000000071e+00 1.680159999999999881e-13
7.599999999999999645e+00 1.577259999999999885e-13
7.620000000000000107e+00 1.480389999999999966e-13
7.639999999999999680e+00 1.389219999999999961e-13
7.660000000000000142e+00 1.303489999999999982e-13
7.679999999999999716e+00 1.222880000000000086e-13
7.700000000000000178e+00 1.147150000000000065e-13
7.719999999999999751e+00 1.076019999999999968e-13
7.740000000000000213e+00 1.009249999999999966e-13
7.759999999999999787e+00 9.465949999999999919e-14
7.780000000000000249e+00 8.878300000000000398e-14
7.799999999999999822e+00 8.327369999999999786e-14
7.820000000000000284e+00 7.811120000000000597e-14
7.839999999999999858e+00 7.327539999999999946e-14
7.860000000000000320e+00 6.874789999999999679e-14
7.879999999999999893e+00 6.451069999999999491e-14
7.900000000000000355e+00 6.054720000000000377e-14
7.919999999999999929e+00 5.684119999999999917e-14
7.940000000000000391e+00 5.337780000000000051e-14
7.959999999999999964e+00 5.014239999999999847e-14
7.980000000000000426e+00 4.712160000000000113e-14
8.000000000000000000e+00 4.430250000000000232e-14
8.019999999999999574e+00 4.167299999999999696e-14
8.039999999999999147e+00 3.922169999999999912e-14
8.060000000000000497e+00 3.693770000000000224e-14
8.080000000000000071e+00 3.481100000000000182e-14
8.099999999999999645e+00 3.283170000000000060e-14
8.119999999999999218e+00 3.099099999999999891e-14
8.140000000000000568e+00 2.928019999999999801e-14
8.160000000000000142e+00 2.769129999999999935e-14
8.179999999999999716e+00 2.621669999999999862e-14
8.199999999999999289e+00 2.484940000000000024e-14
8.220000000000000639e+00 2.358250000000000011e-14
8.240000000000000213e+00 2.240980000000000060e-14
8.259999999999999787e+00 2.132529999999999964e-14
8.279999999999999361e+00 2.032360000000000074e-14
8.300000000000000711e+00 1.939639999999999940e-14
8.320000000000000284e+00 1.854409999999999933e-14
8.339999999999999858e+00 1.775960000000000088e-14
