# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 4.557099999999999959e-11
3.520000000000000018e+00 4.423810000000000231e-11
3.540000000000000036e+00 4.294249999999999802e-11
3.560000000000000053e+00 4.168309999999999795e-11
3.580000000000000071e+00 4.045899999999999956e-11
3.600000000000000089e+00 3.926910000000000117e-11
3.620000000000000107e+00 3.811269999999999935e-11
3.640000000000000124e+00 3.698869999999999889e-11
3.660000000000000142e+00 3.589629999999999680e-11
3.680000000000000160e+00 3.483470000000000302e-11
3.700000000000000178e+00 3.380290000000000251e-11
3.720000000000000195e+00 3.280019999999999831e-11
3.740000000000000213e+00 3.182580000000000036e-11
3.759999999999999787e+00 3.087899999999999878e-11
3.779999999999999805e+00 2.995889999999999748e-11
3.799999999999999822e+00 2.906489999999999907e-11
3.819999999999999840e+00 2.819610000000000099e-11
3.839999999999999858e+00 2.735209999999999853e-11
3.859999999999999876e+00 2.653199999999999883e-11
3.879999999999999893e+00 2.573520000000000125e-11
3.899999999999999911e+00 2.496109999999999872e-11
3.919999999999999929e+00 2.420900000000000075e-11
3.939999999999999947e+00 2.347839999999999980e-11
3.959999999999999964e+00 2.276869999999999849e-11
3.979999999999999982e+00 2.207919999999999987e-11
4.000000000000000000e+00 2.140949999999999920e-11
4.019999999999999574e+00 2.075899999999999909e-11
4.040000000000000036e+00 2.012709999999999892e-11
4.059999999999999609e+00 1.951340000000000044e-11
4.080000000000000071e+00 1.891729999999999978e-11
4.099999999999999645e+00 1.833839999999999868e-11
4.120000000000000107e+00 1.777619999999999932e-11
4.139999999999999680e+00 1.723020000000000064e-11
4.160000000000000142e+00 1.670000000000000114e-11
4.179999999999999716e+00 1.618509999999999977e-11
4.200000000000000178e+00 1.568520000000000106e-11
4.219999999999999751e+00 1.519970000000000116e-11
4.240000000000000213e+00 1.472840000000000094e-11
4.259999999999999787e+00 1.427079999999999933e-11
4.280000000000000249e+00 1.382649999999999970e-11
4.299999999999999822e+00 1.339510000000000055e-11
4.320000000000000284e+00 1.297639999999999952e-11
4.339999999999999858e+00 1.256990000000000039e-11
4.360000000000000320e+00 1.217529999999999963e-11
4.379999999999999893e+00 1.179230000000000015e-11
4.400000000000000355e+00 1.142060000000000003e-11
4.419999999999999929e+00 1.105969999999999982e-11
4.440000000000000391e+00 1.070959999999999952e-11
