# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.871960000000000235e-11
3.520000000000000018e+00 7.652270000000000552e-11
3.540000000000000036e+00 7.438519999999999610e-11
3.560000000000000053e+00 7.230560000000000000e-11
3.580000000000000071e+00 7.028240000000000434e-11
3.600000000000000089e+00 6.831400000000000315e-11
3.620000000000000107e+00 6.639900000000000253e-11
3.640000000000000124e+00 6.453599999999999562e-11
3.660000000000000142e+00 6.272360000000000145e-11
3.680000000000000160e+00 6.096050000000000626e-11
3.700000000000000178e+00 5.924530000000000323e-11
3.720000000000000195e+00 5.757679999999999757e-11
3.740000000000000213e+00 5.595380000000000095e-11
3.759999999999999787e+00 5.437499999999999964e-11
3.779999999999999805e+00 5.283929999999999842e-11
3.799999999999999822e+00 5.134550000000000250e-11
3.819999999999999840e+00 4.989249999999999728e-11
3.839999999999999858e+00 4.847930000000000003e-11
3.859999999999999876e+00 4.710470000000000304e-11
3.879999999999999893e+00 4.576779999999999730e-11
3.899999999999999911e+00 4.446750000000000051e-11
3.919999999999999929e+00 4.320279999999999762e-11
3.939999999999999947e+00 4.197279999999999903e-11
3.959999999999999964e+00 4.077660000000000217e-11
3.979999999999999982e+00 3.961329999999999803e-11
4.000000000000000000e+00 3.848199999999999698e-11
4.019999999999999574e+00 3.738180000000000294e-11
4.040000000000000036e+00 3.631199999999999956e-11
4.059999999999999609e+00 3.527159999999999765e-11
4.080000000000000071e+00 3.425990000000000026e-11
4.099999999999999645e+00 3.327619999999999749e-11
4.120000000000000107e+00 3.231959999999999973e-11
4.139999999999999680e+00 3.138950000000000312e-11
4.160000000000000142e+00 3.048519999999999777e-11
4.179999999999999716e+00 2.960590000000000010e-11
4.200000000000000178e+00 2.875099999999999977e-11
4.219999999999999751e+00 2.791979999999999984e-11
4.240000000000000213e+00 2.711169999999999968e-11
4.259999999999999787e+00 2.632609999999999866e-11
4.280000000000000249e+00 2.556229999999999984e-11
4.299999999999999822e+00 2.481979999999999891e-11
4.320000000000000284e+00 2.409789999999999893e-11
4.339999999999999858e+00 2.339630000000000119e-11
4.360000000000000320e+00 2.271419999999999948e-11
4.379999999999999893e+00 2.205109999999999921e-11
