# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 4.915730000000000098e-13
3.520000000000000018e+00 4.732659999999999748e-13
3.540000000000000036e+00 4.555710000000000184e-13
3.560000000000000053e+00 4.384710000000000206e-13
3.580000000000000071e+00 4.219470000000000195e-13
3.600000000000000089e+00 4.059830000000000181e-13
3.620000000000000107e+00 3.905609999999999753e-13
3.640000000000000124e+00 3.756640000000000238e-13
3.660000000000000142e+00 3.612769999999999862e-13
3.680000000000000160e+00 3.473840000000000170e-13
3.700000000000000178e+00 3.339699999999999896e-13
3.720000000000000195e+00 3.210190000000000077e-13
3.740000000000000213e+00 3.085179999999999886e-13
3.759999999999999787e+00 2.964529999999999789e-13
3.779999999999999805e+00 2.848099999999999749e-13
3.799999999999999822e+00 2.735759999999999947e-13
3.819999999999999840e+00 2.627380000000000059e-13
3.839999999999999858e+00 2.522839999999999982e-13
3.859999999999999876e+00 2.422029999999999829e-13
3.879999999999999893e+00 2.324819999999999781e-13
3.899999999999999911e+00 2.231380000000000030e-13
3.919999999999999929e+00 2.140660000000000039e-13
3.939999999999999947e+00 2.053550000000000120e-13
3.959999999999999964e+00 1.969750000000000013e-13
3.979999999999999982e+00 1.889039999999999946e-13
4.000000000000000000e+00 1.811279999999999881e-13
4.019999999999999574e+00 1.736359999999999934e-13
4.040000000000000036e+00 1.664189999999999899e-13
4.059999999999999609e+00 1.594700000000000011e-13
4.080000000000000071e+00 1.527800000000000063e-13
4.099999999999999645e+00 1.463439999999999972e-13
4.120000000000000107e+00 1.401530000000000037e-13
4.139999999999999680e+00 1.341999999999999987e-13
4.160000000000000142e+00 1.284790000000000021e-13
4.179999999999999716e+00 1.229809999999999937e-13
4.200000000000000178e+00 1.176989999999999966e-13
4.219999999999999751e+00 1.126270000000000057e-13
4.240000000000000213e+00 1.077569999999999971e-13
4.259999999999999787e+00 1.030830000000000036e-13
4.280000000000000249e+00 9.860020000000000581e-14
4.299999999999999822e+00 9.428079999999999798e-14
4.320000000000000284e+00 9.017159999999999819e-14
4.339999999999999858e+00 8.625029999999999499e-14
4.360000000000000320e+00 8.252939999999999719e-14
4.379999999999999893e+00 7.902930000000000486e-14
4.400000000000000355e+00 7.578019999999999551e-14
4.419999999999999929e+00 7.282740000000000480e-14
4.440000000000000391e+00 7.023419999999999572e-14
4.459999999999999964e+00 6.808729999999999706e-14
4.480000000000000426e+00 6.650030000000000342e-14
4.500000000000000000e+00 6.561819999999999802e-14
4.519999999999999574e+00 6.561959999999999840e-14
4.540000000000000036e+00 6.671890000000000109e-14
4.559999999999999609e+00 6.916610000000000504e-14
4.580000000000000071e+00 7.324420000000000006e-14
4.599999999999999645e+00 7.926520000000000540e-14
4.620000000000000107e+00 8.756190000000000629e-14
4.639999999999999680e+00 9.847959999999999671e-14
4.660000000000000142e+00 1.123639999999999996e-13
4.679999999999999716e+00 1.295479999999999949e-13
4.700000000000000178e+00 1.503370000000000035e-13
4.719999999999999751e+00 1.749940000000000064e-13
4.740000000000000213e+00 2.037279999999999878e-13
4.769999999999999574e+00 2.366789999999999854e-13
4.790000000000000036e+00 2.739060000000000044e-13
4.809999999999999609e+00 3.153829999999999800e-13
4.830000000000000071e+00 3.609909999999999812e-13
4.849999999999999645e+00 4.105169999999999864e-13
4.870000000000000107e+00 4.636529999999999632e-13
4.889999999999999680e+00 5.200089999999999504e-13
4.910000000000000142e+00 5.790680000000000323e-13
4.929999999999999716e+00 6.403740000000000136e-13
4.950000000000000178e+00 7.032839999999999949e-13
4.969999999999999751e+00 7.671680000000000083e-13
4.990000000000000213e+00 8.313670000000000057e-13
5.009999999999999787e+00 8.952090000000000077e-13
5.030000000000000249e+00 9.580279999999999645e-13
5.049999999999999822e+00 1.019169999999999988e-12
5.070000000000000284e+00 1.078030000000000002e-12
5.089999999999999858e+00 1.134029999999999965e-12
5.110000000000000320e+00 1.186640000000000081e-12
5.129999999999999893e+00 1.235420000000000001e-12
5.150000000000000355e+00 1.279959999999999930e-12
5.169999999999999929e+00 1.319950000000000045e-12
5.190000000000000391e+00 1.355129999999999902e-12
5.209999999999999964e+00 1.385319999999999998e-12
5.230000000000000426e+00 1.410410000000000046e-12
5.250000000000000000e+00 1.430359999999999976e-12
5.269999999999999574e+00 1.445179999999999907e-12
5.290000000000000036e+00 1.454949999999999975e-12
