# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.085239999999999887e-12
3.520000000000000018e+00 3.002989999999999910e-12
3.540000000000000036e+00 2.923779999999999887e-12
3.560000000000000053e+00 2.847460000000000067e-12
3.580000000000000071e+00 2.773860000000000057e-12
3.600000000000000089e+00 2.702819999999999988e-12
3.620000000000000107e+00 2.634179999999999990e-12
3.640000000000000124e+00 2.567789999999999906e-12
3.660000000000000142e+00 2.503510000000000103e-12
3.680000000000000160e+00 2.441219999999999972e-12
3.700000000000000178e+00 2.380760000000000046e-12
3.720000000000000195e+00 2.322040000000000070e-12
3.740000000000000213e+00 2.264939999999999839e-12
3.759999999999999787e+00 2.209350000000000072e-12
3.779999999999999805e+00 2.155169999999999994e-12
3.799999999999999822e+00 2.102329999999999989e-12
3.819999999999999840e+00 2.050719999999999970e-12
3.839999999999999858e+00 2.000299999999999868e-12
3.859999999999999876e+00 1.950979999999999831e-12
3.879999999999999893e+00 1.902699999999999960e-12
3.899999999999999911e+00 1.855440000000000018e-12
3.919999999999999929e+00 1.809039999999999933e-12
3.939999999999999947e+00 1.763569999999999926e-12
3.959999999999999964e+00 1.718980000000000012e-12
3.979999999999999982e+00 1.675210000000000089e-12
4.000000000000000000e+00 1.632230000000000003e-12
4.019999999999999574e+00 1.590000000000000091e-12
4.040000000000000036e+00 1.548510000000000033e-12
4.059999999999999609e+00 1.507719999999999961e-12
4.080000000000000071e+00 1.467639999999999995e-12
4.099999999999999645e+00 1.428230000000000065e-12
4.120000000000000107e+00 1.389489999999999969e-12
4.139999999999999680e+00 1.351400000000000078e-12
4.160000000000000142e+00 1.313959999999999987e-12
4.179999999999999716e+00 1.277159999999999982e-12
4.200000000000000178e+00 1.240980000000000029e-12
4.219999999999999751e+00 1.205430000000000045e-12
4.240000000000000213e+00 1.170510000000000028e-12
4.259999999999999787e+00 1.136210000000000063e-12
4.280000000000000249e+00 1.102560000000000100e-12
4.299999999999999822e+00 1.069590000000000090e-12
4.320000000000000284e+00 1.037350000000000018e-12
4.339999999999999858e+00 1.005929999999999935e-12
4.360000000000000320e+00 9.754459999999999615e-13
4.379999999999999893e+00 9.460900000000000612e-13
4.400000000000000355e+00 9.181179999999999861e-13
4.419999999999999929e+00 8.918810000000000041e-13
4.440000000000000391e+00 8.678359999999999788e-13
4.459999999999999964e+00 8.465709999999999679e-13
4.480000000000000426e+00 8.288109999999999507e-13
4.500000000000000000e+00 8.154899999999999916e-13
4.519999999999999574e+00 8.074580000000000315e-13
4.540000000000000036e+00 8.060959999999999814e-13
4.559999999999999609e+00 8.126849999999999849e-13
4.580000000000000071e+00 8.286420000000000349e-13
4.599999999999999645e+00 8.554779999999999622e-13
4.620000000000000107e+00 8.947499999999999992e-13
4.639999999999999680e+00 9.480159999999999461e-13
