# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 9.201820000000000387e-11
3.520000000000000018e+00 8.804959999999999753e-11
3.540000000000000036e+00 8.422069999999999797e-11
3.560000000000000053e+00 8.053369999999999560e-11
3.580000000000000071e+00 7.698970000000000505e-11
3.600000000000000089e+00 7.358859999999999443e-11
3.620000000000000107e+00 7.032930000000000083e-11
3.640000000000000124e+00 6.720990000000000021e-11
3.660000000000000142e+00 6.422769999999999783e-11
3.680000000000000160e+00 6.137949999999999468e-11
3.700000000000000178e+00 5.866170000000000640e-11
3.720000000000000195e+00 5.607039999999999825e-11
3.740000000000000213e+00 5.360120000000000227e-11
3.759999999999999787e+00 5.124969999999999881e-11
3.779999999999999805e+00 4.901130000000000140e-11
3.799999999999999822e+00 4.688149999999999729e-11
3.819999999999999840e+00 4.485540000000000131e-11
3.839999999999999858e+00 4.292860000000000027e-11
3.859999999999999876e+00 4.109630000000000211e-11
3.879999999999999893e+00 3.935410000000000010e-11
3.899999999999999911e+00 3.769760000000000044e-11
3.919999999999999929e+00 3.612260000000000200e-11
3.939999999999999947e+00 3.462479999999999762e-11
3.959999999999999964e+00 3.320029999999999779e-11
3.979999999999999982e+00 3.184520000000000006e-11
4.000000000000000000e+00 3.055590000000000069e-11
4.019999999999999574e+00 2.932880000000000242e-11
4.040000000000000036e+00 2.816069999999999975e-11
4.059999999999999609e+00 2.704820000000000101e-11
4.080000000000000071e+00 2.598829999999999984e-11
4.099999999999999645e+00 2.497819999999999872e-11
4.120000000000000107e+00 2.401510000000000013e-11
4.139999999999999680e+00 2.309639999999999921e-11
4.160000000000000142e+00 2.221960000000000036e-11
4.179999999999999716e+00 2.138250000000000022e-11
4.200000000000000178e+00 2.058289999999999866e-11
4.219999999999999751e+00 1.981870000000000157e-11
4.240000000000000213e+00 1.908810000000000063e-11
4.259999999999999787e+00 1.838939999999999998e-11
4.280000000000000249e+00 1.772090000000000055e-11
4.299999999999999822e+00 1.708140000000000111e-11
4.320000000000000284e+00 1.646970000000000039e-11
4.339999999999999858e+00 1.588489999999999909e-11
4.360000000000000320e+00 1.532630000000000024e-11
4.379999999999999893e+00 1.479380000000000104e-11
4.400000000000000355e+00 1.428730000000000032e-11
4.419999999999999929e+00 1.380730000000000075e-11
4.440000000000000391e+00 1.335470000000000003e-11
4.459999999999999964e+00 1.293080000000000060e-11
4.480000000000000426e+00 1.253739999999999947e-11
4.500000000000000000e+00 1.217670000000000001e-11
4.519999999999999574e+00 1.185100000000000029e-11
4.540000000000000036e+00 1.156309999999999947e-11
4.559999999999999609e+00 1.131579999999999991e-11
4.580000000000000071e+00 1.111209999999999988e-11
4.599999999999999645e+00 1.095470000000000057e-11
4.620000000000000107e+00 1.084609999999999919e-11
4.639999999999999680e+00 1.078829999999999998e-11
4.660000000000000142e+00 1.078289999999999922e-11
4.679999999999999716e+00 1.083069999999999988e-11
4.700000000000000178e+00 1.093160000000000080e-11
4.719999999999999751e+00 1.108499999999999972e-11
4.740000000000000213e+00 1.128890000000000050e-11
4.769999999999999574e+00 1.154079999999999945e-11
4.790000000000000036e+00 5.412350000000000056e-12
4.809999999999999609e+00 5.983300000000000163e-12
4.830000000000000071e+00 6.583139999999999755e-12
4.849999999999999645e+00 7.206530000000000394e-12
4.870000000000000107e+00 7.847690000000000057e-12
4.889999999999999680e+00 8.500469999999999624e-12
4.910000000000000142e+00 9.158810000000000230e-12
4.929999999999999716e+00 9.816459999999999957e-12
4.950000000000000178e+00 1.046740000000000041e-11
4.969999999999999751e+00 1.110589999999999936e-11
4.990000000000000213e+00 1.172669999999999930e-11
5.009999999999999787e+00 1.232490000000000052e-11
5.030000000000000249e+00 1.289639999999999986e-11
5.049999999999999822e+00 1.343760000000000001e-11
5.070000000000000284e+00 1.394539999999999993e-11
5.089999999999999858e+00 1.441749999999999991e-11
5.110000000000000320e+00 1.485190000000000056e-11
5.129999999999999893e+00 1.524740000000000064e-11
5.150000000000000355e+00 1.560319999999999878e-11
5.169999999999999929e+00 1.591880000000000039e-11
5.190000000000000391e+00 1.619419999999999899e-11
5.209999999999999964e+00 1.642969999999999976e-11
5.230000000000000426e+00 1.662570000000000094e-11
5.250000000000000000e+00 1.678299999999999907e-11
5.269999999999999574e+00 1.690220000000000123e-11
5.290000000000000036e+00 1.698459999999999853e-11
5.309999999999999609e+00 1.703100000000000043e-11
5.330000000000000071e+00 1.704259999999999849e-11
5.349999999999999645e+00 1.702050000000000083e-11
5.370000000000000107e+00 1.696610000000000139e-11
5.389999999999999680e+00 1.688039999999999904e-11
5.410000000000000142e+00 1.676490000000000019e-11
5.429999999999999716e+00 1.662070000000000005e-11
5.450000000000000178e+00 1.644940000000000138e-11
5.469999999999999751e+00 1.625229999999999851e-11
5.490000000000000213e+00 1.603090000000000109e-11
5.509999999999999787e+00 1.578669999999999937e-11
5.530000000000000249e+00 1.552119999999999974e-11
5.549999999999999822e+00 1.523610000000000129e-11
5.570000000000000284e+00 1.493290000000000072e-11
5.589999999999999858e+00 1.461330000000000035e-11
5.610000000000000320e+00 1.427889999999999967e-11
5.629999999999999893e+00 1.393160000000000013e-11
5.650000000000000355e+00 1.357290000000000005e-11
5.669999999999999929e+00 1.320440000000000056e-11
