# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 5.078800000000000210e-11
3.520000000000000018e+00 4.954080000000000071e-11
3.540000000000000036e+00 4.830299999999999724e-11
3.560000000000000053e+00 4.707700000000000065e-11
3.580000000000000071e+00 4.586480000000000224e-11
3.600000000000000089e+00 4.466810000000000108e-11
3.620000000000000107e+00 4.348860000000000273e-11
3.640000000000000124e+00 4.232760000000000152e-11
3.660000000000000142e+00 4.118619999999999913e-11
3.680000000000000160e+00 4.006539999999999768e-11
3.700000000000000178e+00 3.896600000000000017e-11
3.720000000000000195e+00 3.788859999999999751e-11
3.740000000000000213e+00 3.683380000000000002e-11
3.759999999999999787e+00 3.580189999999999995e-11
3.779999999999999805e+00 3.479299999999999685e-11
3.799999999999999822e+00 3.380750000000000190e-11
3.819999999999999840e+00 3.284530000000000263e-11
3.839999999999999858e+00 3.190629999999999946e-11
3.859999999999999876e+00 3.099049999999999886e-11
3.879999999999999893e+00 3.009770000000000170e-11
3.899999999999999911e+00 2.922770000000000237e-11
3.919999999999999929e+00 2.837999999999999984e-11
3.939999999999999947e+00 2.755450000000000098e-11
3.959999999999999964e+00 2.675080000000000108e-11
3.979999999999999982e+00 2.596839999999999909e-11
4.000000000000000000e+00 2.520699999999999952e-11
4.019999999999999574e+00 2.446599999999999854e-11
4.040000000000000036e+00 2.374510000000000067e-11
4.059999999999999609e+00 2.304369999999999884e-11
4.080000000000000071e+00 2.236140000000000123e-11
4.099999999999999645e+00 2.169779999999999990e-11
4.120000000000000107e+00 2.105220000000000111e-11
4.139999999999999680e+00 2.042420000000000015e-11
4.160000000000000142e+00 1.981339999999999876e-11
4.179999999999999716e+00 1.921929999999999910e-11
4.200000000000000178e+00 1.864140000000000012e-11
4.219999999999999751e+00 1.807939999999999989e-11
4.240000000000000213e+00 1.753280000000000058e-11
4.259999999999999787e+00 1.700139999999999983e-11
4.280000000000000249e+00 1.648489999999999895e-11
4.299999999999999822e+00 1.598330000000000117e-11
