# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.143469999999999981e-10
3.520000000000000018e+00 1.110740000000000059e-10
3.540000000000000036e+00 1.078909999999999974e-10
3.560000000000000053e+00 1.047949999999999985e-10
3.580000000000000071e+00 1.017850000000000006e-10
3.600000000000000089e+00 9.885809999999999697e-11
3.620000000000000107e+00 9.601189999999999805e-11
3.640000000000000124e+00 9.324429999999999356e-11
3.660000000000000142e+00 9.055330000000000513e-11
3.680000000000000160e+00 8.793670000000000354e-11
3.700000000000000178e+00 8.539269999999999661e-11
3.720000000000000195e+00 8.291919999999999993e-11
3.740000000000000213e+00 8.051439999999999547e-11
3.759999999999999787e+00 7.817639999999999796e-11
3.779999999999999805e+00 7.590340000000000230e-11
3.799999999999999822e+00 7.369369999999999647e-11
3.819999999999999840e+00 7.154539999999999522e-11
3.839999999999999858e+00 6.945710000000000461e-11
3.859999999999999876e+00 6.742709999999999973e-11
3.879999999999999893e+00 6.545380000000000045e-11
3.899999999999999911e+00 6.353560000000000081e-11
3.919999999999999929e+00 6.167109999999999396e-11
3.939999999999999947e+00 5.985880000000000582e-11
3.959999999999999964e+00 5.809729999999999722e-11
3.979999999999999982e+00 5.638529999999999967e-11
4.000000000000000000e+00 5.472139999999999986e-11
4.019999999999999574e+00 5.310419999999999742e-11
4.040000000000000036e+00 5.153249999999999756e-11
4.059999999999999609e+00 5.000519999999999861e-11
4.080000000000000071e+00 4.852090000000000018e-11
4.099999999999999645e+00 4.707850000000000059e-11
4.120000000000000107e+00 4.567689999999999816e-11
4.139999999999999680e+00 4.431489999999999811e-11
4.160000000000000142e+00 4.299149999999999831e-11
4.179999999999999716e+00 4.170559999999999710e-11
4.200000000000000178e+00 4.045619999999999881e-11
4.219999999999999751e+00 3.924230000000000132e-11
4.240000000000000213e+00 3.806300000000000210e-11
4.259999999999999787e+00 3.691719999999999945e-11
4.280000000000000249e+00 3.580399999999999728e-11
4.299999999999999822e+00 3.472269999999999865e-11
4.320000000000000284e+00 3.367220000000000186e-11
4.339999999999999858e+00 3.265179999999999704e-11
4.360000000000000320e+00 3.166060000000000102e-11
4.379999999999999893e+00 3.069779999999999790e-11
4.400000000000000355e+00 2.976269999999999717e-11
4.419999999999999929e+00 2.885439999999999951e-11
4.440000000000000391e+00 2.797220000000000151e-11
4.459999999999999964e+00 2.711549999999999932e-11
4.480000000000000426e+00 2.628349999999999963e-11
4.500000000000000000e+00 2.547549999999999904e-11
4.519999999999999574e+00 2.469090000000000014e-11
4.540000000000000036e+00 2.392899999999999952e-11
4.559999999999999609e+00 2.318919999999999978e-11
4.580000000000000071e+00 2.247090000000000031e-11
4.599999999999999645e+00 2.177340000000000091e-11
4.620000000000000107e+00 2.109630000000000009e-11
4.639999999999999680e+00 2.043890000000000089e-11
4.660000000000000142e+00 1.980059999999999946e-11
4.679999999999999716e+00 1.918110000000000033e-11
4.700000000000000178e+00 1.857960000000000052e-11
4.719999999999999751e+00 1.799580000000000133e-11
4.740000000000000213e+00 1.742919999999999848e-11
4.769999999999999574e+00 1.687920000000000102e-11
4.790000000000000036e+00 1.634530000000000145e-11
4.809999999999999609e+00 1.582730000000000063e-11
4.830000000000000071e+00 1.532450000000000160e-11
4.849999999999999645e+00 1.483659999999999920e-11
4.870000000000000107e+00 1.436310000000000046e-11
4.889999999999999680e+00 1.390370000000000022e-11
4.910000000000000142e+00 1.345800000000000021e-11
4.929999999999999716e+00 1.302549999999999938e-11
4.950000000000000178e+00 1.260590000000000064e-11
4.969999999999999751e+00 1.219890000000000046e-11
4.990000000000000213e+00 1.180399999999999938e-11
5.009999999999999787e+00 1.142090000000000034e-11
5.030000000000000249e+00 1.104939999999999935e-11
5.049999999999999822e+00 1.068900000000000020e-11
5.070000000000000284e+00 1.033950000000000052e-11
5.089999999999999858e+00 1.000050000000000045e-11
5.110000000000000320e+00 9.671799999999999238e-12
5.129999999999999893e+00 9.353040000000000706e-12
5.150000000000000355e+00 9.043949999999999243e-12
5.169999999999999929e+00 8.744260000000000547e-12
5.190000000000000391e+00 8.453700000000000622e-12
5.209999999999999964e+00 8.172009999999999628e-12
5.230000000000000426e+00 7.898929999999999342e-12
5.250000000000000000e+00 7.634229999999999470e-12
5.269999999999999574e+00 7.377670000000000410e-12
5.290000000000000036e+00 7.128989999999999898e-12
5.309999999999999609e+00 6.887980000000000302e-12
5.330000000000000071e+00 6.654429999999999949e-12
5.349999999999999645e+00 6.428120000000000281e-12
5.370000000000000107e+00 6.208830000000000313e-12
5.389999999999999680e+00 5.996360000000000109e-12
5.410000000000000142e+00 5.790529999999999965e-12
5.429999999999999716e+00 5.591129999999999825e-12
5.450000000000000178e+00 5.397979999999999987e-12
5.469999999999999751e+00 5.210899999999999940e-12
5.490000000000000213e+00 5.029720000000000100e-12
5.509999999999999787e+00 4.854259999999999957e-12
5.530000000000000249e+00 4.684349999999999927e-12
5.549999999999999822e+00 4.519839999999999853e-12
5.570000000000000284e+00 4.360560000000000152e-12
5.589999999999999858e+00 4.206369999999999978e-12
5.610000000000000320e+00 4.057119999999999983e-12
5.629999999999999893e+00 3.912649999999999893e-12
5.650000000000000355e+00 3.772829999999999788e-12
5.669999999999999929e+00 3.637539999999999867e-12
5.690000000000000391e+00 3.506619999999999855e-12
5.709999999999999964e+00 3.379949999999999951e-12
5.730000000000000426e+00 3.257409999999999951e-12
5.750000000000000000e+00 3.138880000000000051e-12
5.769999999999999574e+00 3.024240000000000046e-12
5.790000000000000036e+00 2.913370000000000136e-12
5.809999999999999609e+00 2.806439999999999904e-12
5.830000000000000071e+00 2.702420000000000111e-12
5.849999999999999645e+00 2.602159999999999890e-12
5.870000000000000107e+00 2.505390000000000091e-12
5.889999999999999680e+00 2.411909999999999969e-12
5.910000000000000142e+00 2.321590000000000006e-12
5.929999999999999716e+00 2.234350000000000067e-12
5.950000000000000178e+00 2.150150000000000082e-12
5.969999999999999751e+00 2.068939999999999866e-12
5.990000000000000213e+00 1.990729999999999940e-12
6.009999999999999787e+00 1.915519999999999900e-12
6.030000000000000249e+00 1.843359999999999933e-12
6.049999999999999822e+00 1.774320000000000057e-12
6.070000000000000284e+00 1.708480000000000006e-12
6.089999999999999858e+00 1.645969999999999902e-12
6.110000000000000320e+00 1.586939999999999900e-12
6.129999999999999893e+00 1.531569999999999905e-12
6.150000000000000355e+00 1.480049999999999939e-12
6.169999999999999929e+00 1.432590000000000058e-12
6.190000000000000391e+00 1.389419999999999950e-12
6.209999999999999964e+00 1.350739999999999958e-12
6.230000000000000426e+00 1.316759999999999935e-12
6.250000000000000000e+00 1.287639999999999954e-12
6.269999999999999574e+00 1.263520000000000053e-12
6.290000000000000036e+00 1.244490000000000082e-12
6.309999999999999609e+00 1.230559999999999959e-12
6.330000000000000071e+00 1.221699999999999934e-12
6.349999999999999645e+00 1.217780000000000088e-12
6.370000000000000107e+00 1.218630000000000029e-12
6.389999999999999680e+00 1.223959999999999967e-12
6.410000000000000142e+00 1.233460000000000078e-12
6.429999999999999716e+00 1.246710000000000046e-12
6.450000000000000178e+00 1.263260000000000011e-12
6.469999999999999751e+00 1.282590000000000091e-12
6.490000000000000213e+00 1.304150000000000052e-12
6.509999999999999787e+00 1.327379999999999944e-12
6.530000000000000249e+00 1.351690000000000070e-12
