# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.699319999999999928e-10
3.520000000000000018e+00 1.651169999999999945e-10
3.540000000000000036e+00 1.603250000000000125e-10
3.560000000000000053e+00 1.555679999999999947e-10
3.580000000000000071e+00 1.508609999999999922e-10
3.600000000000000089e+00 1.462149999999999960e-10
3.620000000000000107e+00 1.416390000000000059e-10
3.640000000000000124e+00 1.371419999999999954e-10
3.660000000000000142e+00 1.327309999999999990e-10
3.680000000000000160e+00 1.284119999999999904e-10
3.700000000000000178e+00 1.241909999999999954e-10
3.720000000000000195e+00 1.200709999999999879e-10
3.740000000000000213e+00 1.160549999999999937e-10
3.759999999999999787e+00 1.121459999999999998e-10
3.779999999999999805e+00 1.083450000000000017e-10
3.799999999999999822e+00 1.046540000000000038e-10
3.819999999999999840e+00 1.010719999999999975e-10
3.839999999999999858e+00 9.759919999999999473e-11
3.859999999999999876e+00 9.423499999999999822e-11
3.879999999999999893e+00 9.097850000000000538e-11
3.899999999999999911e+00 8.782800000000000421e-11
3.919999999999999929e+00 8.478190000000000167e-11
3.939999999999999947e+00 8.183829999999999955e-11
3.959999999999999964e+00 7.899499999999999449e-11
3.979999999999999982e+00 7.624959999999999692e-11
4.000000000000000000e+00 7.359959999999999832e-11
4.019999999999999574e+00 7.104239999999999706e-11
4.040000000000000036e+00 6.857549999999999754e-11
4.059999999999999609e+00 6.619589999999999989e-11
4.080000000000000071e+00 6.390100000000000247e-11
4.099999999999999645e+00 6.168809999999999763e-11
4.120000000000000107e+00 5.955419999999999841e-11
4.139999999999999680e+00 5.749659999999999716e-11
4.160000000000000142e+00 5.551269999999999872e-11
4.179999999999999716e+00 5.359960000000000276e-11
4.200000000000000178e+00 5.175490000000000033e-11
4.219999999999999751e+00 4.997590000000000317e-11
4.240000000000000213e+00 4.826020000000000231e-11
4.259999999999999787e+00 4.660540000000000173e-11
4.280000000000000249e+00 4.500939999999999762e-11
4.299999999999999822e+00 4.347019999999999869e-11
4.320000000000000284e+00 4.198590000000000026e-11
4.339999999999999858e+00 4.055520000000000151e-11
4.360000000000000320e+00 3.917680000000000165e-11
4.379999999999999893e+00 3.784989999999999768e-11
4.400000000000000355e+00 3.657429999999999694e-11
4.419999999999999929e+00 3.535019999999999855e-11
4.440000000000000391e+00 3.417849999999999861e-11
4.459999999999999964e+00 3.306080000000000308e-11
4.480000000000000426e+00 3.199920000000000283e-11
4.500000000000000000e+00 3.099700000000000292e-11
4.519999999999999574e+00 3.005799999999999976e-11
4.540000000000000036e+00 2.918679999999999919e-11
4.559999999999999609e+00 2.838889999999999993e-11
4.580000000000000071e+00 2.767029999999999853e-11
4.599999999999999645e+00 2.703749999999999904e-11
4.620000000000000107e+00 2.649730000000000100e-11
4.639999999999999680e+00 2.605679999999999940e-11
4.660000000000000142e+00 2.572250000000000152e-11
4.679999999999999716e+00 2.550079999999999894e-11
4.700000000000000178e+00 2.539720000000000007e-11
4.719999999999999751e+00 2.541589999999999957e-11
4.740000000000000213e+00 2.556019999999999927e-11
4.769999999999999574e+00 2.583130000000000041e-11
4.790000000000000036e+00 1.096410000000000010e-11
4.809999999999999609e+00 1.208649999999999944e-11
4.830000000000000071e+00 1.331389999999999964e-11
4.849999999999999645e+00 1.463990000000000106e-11
4.870000000000000107e+00 1.605599999999999863e-11
4.889999999999999680e+00 1.755179999999999878e-11
4.910000000000000142e+00 1.911480000000000091e-11
4.929999999999999716e+00 2.073120000000000036e-11
4.950000000000000178e+00 2.238559999999999945e-11
4.969999999999999751e+00 2.406190000000000029e-11
4.990000000000000213e+00 2.574340000000000116e-11
5.009999999999999787e+00 2.741310000000000160e-11
5.030000000000000249e+00 2.905449999999999903e-11
5.049999999999999822e+00 3.065110000000000053e-11
5.070000000000000284e+00 3.218800000000000300e-11
5.089999999999999858e+00 3.365110000000000309e-11
5.110000000000000320e+00 3.502779999999999742e-11
5.129999999999999893e+00 3.630710000000000147e-11
5.150000000000000355e+00 3.748000000000000266e-11
5.169999999999999929e+00 3.853910000000000085e-11
5.190000000000000391e+00 3.947900000000000010e-11
5.209999999999999964e+00 4.029599999999999713e-11
5.230000000000000426e+00 4.098849999999999887e-11
5.250000000000000000e+00 4.155629999999999974e-11
5.269999999999999574e+00 4.200060000000000099e-11
5.290000000000000036e+00 4.232409999999999734e-11
5.309999999999999609e+00 4.253069999999999769e-11
5.330000000000000071e+00 4.262490000000000187e-11
5.349999999999999645e+00 4.261259999999999717e-11
5.370000000000000107e+00 4.249959999999999715e-11
5.389999999999999680e+00 4.229229999999999984e-11
5.410000000000000142e+00 4.199750000000000154e-11
5.429999999999999716e+00 4.162189999999999898e-11
