# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.341589999999999914e-09
3.520000000000000018e+00 1.273920000000000084e-09
3.540000000000000036e+00 1.209530000000000061e-09
3.560000000000000053e+00 1.148320000000000022e-09
3.580000000000000071e+00 1.090180000000000055e-09
3.600000000000000089e+00 1.034989999999999959e-09
3.620000000000000107e+00 9.826240000000001008e-10
3.640000000000000124e+00 9.329789999999999067e-10
3.660000000000000142e+00 8.859319999999999760e-10
3.680000000000000160e+00 8.413699999999999597e-10
3.700000000000000178e+00 7.991790000000000172e-10
3.720000000000000195e+00 7.592470000000000149e-10
3.740000000000000213e+00 7.214679999999999740e-10
3.759999999999999787e+00 6.857340000000000021e-10
3.779999999999999805e+00 6.519439999999999564e-10
3.799999999999999822e+00 6.200010000000000389e-10
3.819999999999999840e+00 5.898070000000000292e-10
3.839999999999999858e+00 5.612739999999999997e-10
3.859999999999999876e+00 5.343109999999999967e-10
3.879999999999999893e+00 5.088370000000000493e-10
3.899999999999999911e+00 4.847699999999999710e-10
3.919999999999999929e+00 4.620339999999999887e-10
3.939999999999999947e+00 4.405559999999999932e-10
3.959999999999999964e+00 4.202660000000000044e-10
3.979999999999999982e+00 4.010999999999999901e-10
4.000000000000000000e+00 3.829930000000000132e-10
4.019999999999999574e+00 3.658869999999999898e-10
4.040000000000000036e+00 3.497260000000000081e-10
4.059999999999999609e+00 3.344550000000000098e-10
4.080000000000000071e+00 3.200259999999999969e-10
4.099999999999999645e+00 3.063890000000000056e-10
4.120000000000000107e+00 2.934990000000000119e-10
4.139999999999999680e+00 2.813150000000000258e-10
4.160000000000000142e+00 2.697960000000000059e-10
4.179999999999999716e+00 2.589049999999999967e-10
4.200000000000000178e+00 2.486049999999999909e-10
4.219999999999999751e+00 2.388620000000000071e-10
4.240000000000000213e+00 2.296470000000000032e-10
4.259999999999999787e+00 2.209270000000000065e-10
4.280000000000000249e+00 2.126760000000000005e-10
4.299999999999999822e+00 2.048670000000000123e-10
4.320000000000000284e+00 1.974750000000000083e-10
4.339999999999999858e+00 1.904769999999999979e-10
4.360000000000000320e+00 1.838499999999999907e-10
4.379999999999999893e+00 1.775739999999999960e-10
4.400000000000000355e+00 1.716300000000000060e-10
4.419999999999999929e+00 1.659999999999999954e-10
4.440000000000000391e+00 1.606659999999999909e-10
4.459999999999999964e+00 1.556120000000000102e-10
4.480000000000000426e+00 1.508230000000000023e-10
4.500000000000000000e+00 1.462850000000000020e-10
4.519999999999999574e+00 1.419850000000000013e-10
4.540000000000000036e+00 1.379090000000000094e-10
4.559999999999999609e+00 1.340480000000000007e-10
4.580000000000000071e+00 1.303880000000000103e-10
4.599999999999999645e+00 1.269200000000000125e-10
4.620000000000000107e+00 1.236350000000000078e-10
4.639999999999999680e+00 1.205229999999999880e-10
4.660000000000000142e+00 1.175759999999999877e-10
4.679999999999999716e+00 1.147849999999999945e-10
4.700000000000000178e+00 1.121439999999999955e-10
4.719999999999999751e+00 1.096440000000000042e-10
4.740000000000000213e+00 1.072800000000000033e-10
4.769999999999999574e+00 1.050460000000000062e-10
4.790000000000000036e+00 4.154670000000000269e-11
4.809999999999999609e+00 4.352949999999999945e-11
4.830000000000000071e+00 4.568020000000000320e-11
4.849999999999999645e+00 4.798550000000000066e-11
4.870000000000000107e+00 5.042779999999999723e-11
4.889999999999999680e+00 5.298570000000000191e-11
4.910000000000000142e+00 5.563430000000000014e-11
4.929999999999999716e+00 5.834569999999999685e-11
4.950000000000000178e+00 6.108989999999999963e-11
4.969999999999999751e+00 6.383560000000000236e-11
4.990000000000000213e+00 6.655100000000000107e-11
5.009999999999999787e+00 6.920419999999999869e-11
5.030000000000000249e+00 7.176470000000000500e-11
5.049999999999999822e+00 7.420290000000000646e-11
5.070000000000000284e+00 7.649189999999999721e-11
5.089999999999999858e+00 7.860719999999999972e-11
5.110000000000000320e+00 8.052749999999999670e-11
5.129999999999999893e+00 8.223469999999999572e-11
