# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 6.357689999999999580e-11
3.520000000000000018e+00 6.181869999999999871e-11
3.540000000000000036e+00 6.013889999999999692e-11
3.560000000000000053e+00 5.854169999999999803e-11
3.580000000000000071e+00 5.703170000000000143e-11
3.600000000000000089e+00 5.561379999999999876e-11
3.620000000000000107e+00 5.429290000000000103e-11
3.640000000000000124e+00 5.307389999999999986e-11
3.660000000000000142e+00 5.196100000000000286e-11
3.680000000000000160e+00 5.095780000000000083e-11
3.700000000000000178e+00 5.006700000000000144e-11
3.720000000000000195e+00 4.929019999999999772e-11
3.740000000000000213e+00 4.862770000000000130e-11
3.759999999999999787e+00 4.807809999999999887e-11
3.779999999999999805e+00 4.763870000000000218e-11
3.799999999999999822e+00 4.730519999999999759e-11
3.819999999999999840e+00 4.707179999999999740e-11
3.839999999999999858e+00 4.693120000000000100e-11
3.859999999999999876e+00 4.687499999999999969e-11
3.879999999999999893e+00 4.689370000000000243e-11
3.899999999999999911e+00 4.697680000000000315e-11
3.919999999999999929e+00 4.711360000000000313e-11
3.939999999999999947e+00 4.729279999999999979e-11
3.959999999999999964e+00 4.750309999999999698e-11
3.979999999999999982e+00 4.773349999999999729e-11
4.000000000000000000e+00 4.797330000000000199e-11
4.019999999999999574e+00 4.821250000000000282e-11
4.040000000000000036e+00 4.844190000000000102e-11
4.059999999999999609e+00 4.865329999999999990e-11
4.080000000000000071e+00 4.883949999999999844e-11
4.099999999999999645e+00 4.899460000000000289e-11
4.120000000000000107e+00 4.911380000000000182e-11
4.139999999999999680e+00 4.919390000000000266e-11
4.160000000000000142e+00 4.923300000000000075e-11
4.179999999999999716e+00 4.923059999999999825e-11
4.200000000000000178e+00 4.918779999999999686e-11
4.219999999999999751e+00 4.910729999999999776e-11
4.240000000000000213e+00 4.899320000000000252e-11
4.259999999999999787e+00 4.885159999999999755e-11
4.280000000000000249e+00 4.868990000000000239e-11
4.299999999999999822e+00 4.851709999999999731e-11
4.320000000000000284e+00 4.834390000000000043e-11
4.339999999999999858e+00 4.818190000000000011e-11
4.360000000000000320e+00 4.804409999999999801e-11
4.379999999999999893e+00 4.794409999999999965e-11
4.400000000000000355e+00 4.789580000000000277e-11
4.419999999999999929e+00 4.791319999999999823e-11
4.440000000000000391e+00 4.800989999999999801e-11
4.459999999999999964e+00 4.819800000000000122e-11
4.480000000000000426e+00 4.848849999999999882e-11
4.500000000000000000e+00 4.889039999999999694e-11
4.519999999999999574e+00 4.940990000000000093e-11
4.540000000000000036e+00 5.005090000000000032e-11
4.559999999999999609e+00 5.081379999999999983e-11
4.580000000000000071e+00 5.169619999999999696e-11
4.599999999999999645e+00 5.269209999999999840e-11
4.620000000000000107e+00 5.379259999999999760e-11
4.639999999999999680e+00 5.498560000000000190e-11
4.660000000000000142e+00 5.625649999999999723e-11
4.679999999999999716e+00 5.758829999999999929e-11
4.700000000000000178e+00 5.896149999999999590e-11
4.719999999999999751e+00 6.035609999999999644e-11
4.740000000000000213e+00 6.175129999999999437e-11
4.769999999999999574e+00 6.312540000000000000e-11
4.790000000000000036e+00 6.445700000000000292e-11
4.809999999999999609e+00 6.572550000000000222e-11
4.830000000000000071e+00 6.691150000000000463e-11
4.849999999999999645e+00 6.799670000000000570e-11
4.870000000000000107e+00 6.896480000000000518e-11
4.889999999999999680e+00 6.980179999999999930e-11
4.910000000000000142e+00 7.049559999999999539e-11
4.929999999999999716e+00 7.103670000000000244e-11
4.950000000000000178e+00 7.141790000000000005e-11
4.969999999999999751e+00 7.163430000000000305e-11
4.990000000000000213e+00 7.168380000000000117e-11
5.009999999999999787e+00 7.156559999999999790e-11
5.030000000000000249e+00 7.128200000000000262e-11
5.049999999999999822e+00 7.083699999999999795e-11
5.070000000000000284e+00 7.023590000000000610e-11
5.089999999999999858e+00 6.948549999999999750e-11
5.110000000000000320e+00 6.859430000000000631e-11
5.129999999999999893e+00 6.757170000000000459e-11
5.150000000000000355e+00 6.642800000000000573e-11
5.169999999999999929e+00 6.517409999999999469e-11
5.190000000000000391e+00 6.382150000000000548e-11
5.209999999999999964e+00 6.238180000000000062e-11
5.230000000000000426e+00 6.086680000000000637e-11
5.250000000000000000e+00 5.928829999999999729e-11
5.269999999999999574e+00 5.765800000000000009e-11
5.290000000000000036e+00 5.598709999999999839e-11
5.309999999999999609e+00 5.428650000000000299e-11
5.330000000000000071e+00 5.256650000000000144e-11
5.349999999999999645e+00 5.083700000000000240e-11
5.370000000000000107e+00 4.910679999999999993e-11
5.389999999999999680e+00 4.738440000000000234e-11
5.410000000000000142e+00 4.567730000000000288e-11
5.429999999999999716e+00 4.399229999999999785e-11
5.450000000000000178e+00 4.233520000000000080e-11
5.469999999999999751e+00 4.071110000000000250e-11
5.490000000000000213e+00 3.912440000000000321e-11
