# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 8.518310000000000283e-11
3.520000000000000018e+00 8.271589999999999816e-11
3.540000000000000036e+00 8.031710000000000640e-11
3.560000000000000053e+00 7.798500000000000264e-11
3.580000000000000071e+00 7.571770000000000158e-11
3.600000000000000089e+00 7.351350000000000417e-11
3.620000000000000107e+00 7.137069999999999840e-11
3.640000000000000124e+00 6.928759999999999811e-11
3.660000000000000142e+00 6.726259999999999735e-11
3.680000000000000160e+00 6.529419999999999617e-11
3.700000000000000178e+00 6.338080000000000151e-11
3.720000000000000195e+00 6.152090000000000052e-11
3.740000000000000213e+00 5.971309999999999928e-11
3.759999999999999787e+00 5.795589999999999784e-11
3.779999999999999805e+00 5.624810000000000142e-11
3.799999999999999822e+00 5.458819999999999715e-11
3.819999999999999840e+00 5.297500000000000318e-11
3.839999999999999858e+00 5.140719999999999930e-11
3.859999999999999876e+00 4.988359999999999719e-11
3.879999999999999893e+00 4.840290000000000250e-11
3.899999999999999911e+00 4.696400000000000062e-11
3.919999999999999929e+00 4.556580000000000280e-11
3.939999999999999947e+00 4.420710000000000133e-11
3.959999999999999964e+00 4.288690000000000056e-11
3.979999999999999982e+00 4.160409999999999879e-11
4.000000000000000000e+00 4.035779999999999995e-11
4.019999999999999574e+00 3.914680000000000279e-11
4.040000000000000036e+00 3.797019999999999829e-11
4.059999999999999609e+00 3.682720000000000286e-11
4.080000000000000071e+00 3.571670000000000189e-11
4.099999999999999645e+00 3.463799999999999842e-11
4.120000000000000107e+00 3.358999999999999723e-11
4.139999999999999680e+00 3.257200000000000136e-11
4.160000000000000142e+00 3.158310000000000181e-11
4.179999999999999716e+00 3.062270000000000118e-11
4.200000000000000178e+00 2.968969999999999778e-11
4.219999999999999751e+00 2.878360000000000026e-11
4.240000000000000213e+00 2.790359999999999916e-11
4.259999999999999787e+00 2.704890000000000120e-11
4.280000000000000249e+00 2.621879999999999972e-11
4.299999999999999822e+00 2.541280000000000012e-11
4.320000000000000284e+00 2.462999999999999986e-11
4.339999999999999858e+00 2.386990000000000111e-11
4.360000000000000320e+00 2.313180000000000045e-11
4.379999999999999893e+00 2.241520000000000005e-11
4.400000000000000355e+00 2.171939999999999972e-11
4.419999999999999929e+00 2.104389999999999841e-11
