# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.735100000000000036e-10
3.520000000000000018e+00 1.687290000000000126e-10
3.540000000000000036e+00 1.640760000000000081e-10
3.560000000000000053e+00 1.595470000000000075e-10
3.580000000000000071e+00 1.551399999999999937e-10
3.600000000000000089e+00 1.508510000000000098e-10
3.620000000000000107e+00 1.466779999999999871e-10
3.640000000000000124e+00 1.426169999999999946e-10
3.660000000000000142e+00 1.386650000000000066e-10
3.680000000000000160e+00 1.348189999999999973e-10
3.700000000000000178e+00 1.310770000000000014e-10
3.720000000000000195e+00 1.274359999999999930e-10
3.740000000000000213e+00 1.238929999999999981e-10
3.759999999999999787e+00 1.204449999999999909e-10
3.779999999999999805e+00 1.170909999999999889e-10
3.799999999999999822e+00 1.138269999999999963e-10
3.819999999999999840e+00 1.106520000000000047e-10
3.839999999999999858e+00 1.075620000000000056e-10
3.859999999999999876e+00 1.045560000000000032e-10
3.879999999999999893e+00 1.016309999999999978e-10
3.899999999999999911e+00 9.878620000000000573e-11
3.919999999999999929e+00 9.601800000000000385e-11
3.939999999999999947e+00 9.332499999999999826e-11
3.959999999999999964e+00 9.070519999999999765e-11
3.979999999999999982e+00 8.815650000000000468e-11
4.000000000000000000e+00 8.567719999999999444e-11
4.019999999999999574e+00 8.326519999999999542e-11
4.040000000000000036e+00 8.091910000000000081e-11
4.059999999999999609e+00 7.863680000000000032e-11
4.080000000000000071e+00 7.641679999999999403e-11
4.099999999999999645e+00 7.425739999999999578e-11
4.120000000000000107e+00 7.215689999999999357e-11
4.139999999999999680e+00 7.011390000000000642e-11
4.160000000000000142e+00 6.812669999999999647e-11
4.179999999999999716e+00 6.619389999999999566e-11
4.200000000000000178e+00 6.431409999999999714e-11
4.219999999999999751e+00 6.248580000000000098e-11
4.240000000000000213e+00 6.070760000000000034e-11
4.259999999999999787e+00 5.897830000000000043e-11
4.280000000000000249e+00 5.729650000000000087e-11
4.299999999999999822e+00 5.566090000000000085e-11
4.320000000000000284e+00 5.407029999999999913e-11
4.339999999999999858e+00 5.252350000000000091e-11
4.360000000000000320e+00 5.101939999999999806e-11
4.379999999999999893e+00 4.955670000000000269e-11
4.400000000000000355e+00 4.813439999999999975e-11
4.419999999999999929e+00 4.675140000000000050e-11
4.440000000000000391e+00 4.540659999999999678e-11
4.459999999999999964e+00 4.409909999999999897e-11
4.480000000000000426e+00 4.282769999999999935e-11
4.500000000000000000e+00 4.159170000000000099e-11
4.519999999999999574e+00 4.038980000000000305e-11
4.540000000000000036e+00 3.922140000000000169e-11
4.559999999999999609e+00 3.808540000000000168e-11
4.580000000000000071e+00 3.698100000000000004e-11
4.599999999999999645e+00 3.590740000000000026e-11
4.620000000000000107e+00 3.486369999999999977e-11
4.639999999999999680e+00 3.384900000000000248e-11
4.660000000000000142e+00 3.286269999999999809e-11
4.679999999999999716e+00 3.190389999999999697e-11
4.700000000000000178e+00 3.097200000000000172e-11
4.719999999999999751e+00 3.006609999999999686e-11
4.740000000000000213e+00 2.918559999999999794e-11
4.769999999999999574e+00 2.832980000000000153e-11
4.790000000000000036e+00 2.749800000000000097e-11
4.809999999999999609e+00 2.668959999999999888e-11
4.830000000000000071e+00 2.590390000000000153e-11
4.849999999999999645e+00 2.514029999999999861e-11
4.870000000000000107e+00 2.439829999999999874e-11
4.889999999999999680e+00 2.367709999999999894e-11
4.910000000000000142e+00 2.297630000000000096e-11
4.929999999999999716e+00 2.229540000000000050e-11
4.950000000000000178e+00 2.163360000000000104e-11
4.969999999999999751e+00 2.099070000000000021e-11
4.990000000000000213e+00 2.036590000000000150e-11
5.009999999999999787e+00 1.975889999999999975e-11
5.030000000000000249e+00 1.916900000000000122e-11
5.049999999999999822e+00 1.859600000000000033e-11
5.070000000000000284e+00 1.803929999999999968e-11
5.089999999999999858e+00 1.749840000000000145e-11
5.110000000000000320e+00 1.697300000000000048e-11
5.129999999999999893e+00 1.646259999999999894e-11
5.150000000000000355e+00 1.596669999999999900e-11
5.169999999999999929e+00 1.548510000000000154e-11
5.190000000000000391e+00 1.501719999999999946e-11
5.209999999999999964e+00 1.456280000000000011e-11
5.230000000000000426e+00 1.412140000000000080e-11
5.250000000000000000e+00 1.369269999999999960e-11
5.269999999999999574e+00 1.327639999999999945e-11
5.290000000000000036e+00 1.287199999999999927e-11
5.309999999999999609e+00 1.247939999999999951e-11
5.330000000000000071e+00 1.209799999999999954e-11
5.349999999999999645e+00 1.172769999999999980e-11
5.370000000000000107e+00 1.136810000000000040e-11
5.389999999999999680e+00 1.101889999999999943e-11
5.410000000000000142e+00 1.067989999999999936e-11
5.429999999999999716e+00 1.035070000000000031e-11
5.450000000000000178e+00 1.003109999999999994e-11
5.469999999999999751e+00 9.720819999999999771e-12
5.490000000000000213e+00 9.419590000000000659e-12
5.509999999999999787e+00 9.127160000000000461e-12
5.530000000000000249e+00 8.843280000000000261e-12
5.549999999999999822e+00 8.567719999999999767e-12
5.570000000000000284e+00 8.300239999999999376e-12
5.589999999999999858e+00 8.040619999999999721e-12
5.610000000000000320e+00 7.788639999999999819e-12
5.629999999999999893e+00 7.544069999999999378e-12
5.650000000000000355e+00 7.306720000000000192e-12
5.669999999999999929e+00 7.076389999999999900e-12
5.690000000000000391e+00 6.852859999999999943e-12
5.709999999999999964e+00 6.635959999999999928e-12
5.730000000000000426e+00 6.425500000000000035e-12
5.750000000000000000e+00 6.221280000000000326e-12
5.769999999999999574e+00 6.023149999999999836e-12
5.790000000000000036e+00 5.830920000000000361e-12
5.809999999999999609e+00 5.644430000000000012e-12
5.830000000000000071e+00 5.463510000000000012e-12
5.849999999999999645e+00 5.288000000000000086e-12
5.870000000000000107e+00 5.117770000000000315e-12
5.889999999999999680e+00 4.952650000000000308e-12
5.910000000000000142e+00 4.792489999999999908e-12
5.929999999999999716e+00 4.637160000000000004e-12
5.950000000000000178e+00 4.486519999999999749e-12
5.969999999999999751e+00 4.340440000000000032e-12
5.990000000000000213e+00 4.198769999999999889e-12
6.009999999999999787e+00 4.061409999999999756e-12
6.030000000000000249e+00 3.928220000000000401e-12
6.049999999999999822e+00 3.799089999999999718e-12
6.070000000000000284e+00 3.673900000000000330e-12
6.089999999999999858e+00 3.552530000000000010e-12
6.110000000000000320e+00 3.434880000000000001e-12
6.129999999999999893e+00 3.320830000000000098e-12
6.150000000000000355e+00 3.210290000000000046e-12
6.169999999999999929e+00 3.103150000000000162e-12
6.190000000000000391e+00 2.999320000000000189e-12
6.209999999999999964e+00 2.898700000000000159e-12
6.230000000000000426e+00 2.801190000000000103e-12
6.250000000000000000e+00 2.706700000000000170e-12
6.269999999999999574e+00 2.615159999999999936e-12
6.290000000000000036e+00 2.526460000000000122e-12
6.309999999999999609e+00 2.440540000000000019e-12
6.330000000000000071e+00 2.357300000000000063e-12
6.349999999999999645e+00 2.276669999999999830e-12
6.370000000000000107e+00 2.198569999999999991e-12
6.389999999999999680e+00 2.122930000000000124e-12
6.410000000000000142e+00 2.049679999999999805e-12
6.429999999999999716e+00 1.978740000000000109e-12
6.450000000000000178e+00 1.910049999999999924e-12
6.469999999999999751e+00 1.843550000000000157e-12
