# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 5.416750000000000118e-13
3.520000000000000018e+00 5.251010000000000261e-13
3.540000000000000036e+00 5.090610000000000258e-13
3.560000000000000053e+00 4.935330000000000338e-13
3.580000000000000071e+00 4.785000000000000311e-13
3.600000000000000089e+00 4.639440000000000273e-13
3.620000000000000107e+00 4.498480000000000033e-13
3.640000000000000124e+00 4.361980000000000059e-13
3.660000000000000142e+00 4.229799999999999809e-13
3.680000000000000160e+00 4.101799999999999748e-13
3.700000000000000178e+00 3.977859999999999774e-13
3.720000000000000195e+00 3.857869999999999999e-13
3.740000000000000213e+00 3.741720000000000035e-13
3.759999999999999787e+00 3.629310000000000214e-13
3.779999999999999805e+00 3.520550000000000079e-13
3.799999999999999822e+00 3.415350000000000184e-13
3.819999999999999840e+00 3.313629999999999786e-13
3.839999999999999858e+00 3.215310000000000160e-13
3.859999999999999876e+00 3.120310000000000060e-13
3.879999999999999893e+00 3.028559999999999971e-13
3.899999999999999911e+00 2.940269999999999951e-13
3.919999999999999929e+00 2.854430000000000086e-13
3.939999999999999947e+00 2.771979999999999766e-13
3.959999999999999964e+00 2.692650000000000144e-13
3.979999999999999982e+00 2.616289999999999952e-13
4.000000000000000000e+00 2.542819999999999963e-13
4.019999999999999574e+00 2.472220000000000244e-13
4.040000000000000036e+00 2.404510000000000222e-13
4.059999999999999609e+00 2.339790000000000070e-13
4.080000000000000071e+00 2.278269999999999843e-13
4.099999999999999645e+00 2.220260000000000023e-13
4.120000000000000107e+00 2.166269999999999917e-13
4.139999999999999680e+00 2.117079999999999952e-13
4.160000000000000142e+00 2.073770000000000058e-13
4.179999999999999716e+00 2.037879999999999895e-13
4.200000000000000178e+00 2.011490000000000096e-13
4.219999999999999751e+00 1.997290000000000015e-13
4.240000000000000213e+00 1.998730000000000007e-13
4.259999999999999787e+00 2.020069999999999994e-13
4.280000000000000249e+00 2.066449999999999995e-13
4.299999999999999822e+00 2.143629999999999975e-13
4.320000000000000284e+00 2.258980000000000084e-13
4.339999999999999858e+00 2.419939999999999986e-13
4.360000000000000320e+00 2.634900000000000213e-13
4.379999999999999893e+00 2.912720000000000235e-13
4.400000000000000355e+00 3.262559999999999782e-13
4.419999999999999929e+00 3.693510000000000081e-13
4.440000000000000391e+00 4.214459999999999997e-13
4.459999999999999964e+00 4.833610000000000444e-13
4.480000000000000426e+00 5.558329999999999803e-13
4.500000000000000000e+00 6.394720000000000443e-13
4.519999999999999574e+00 7.347480000000000313e-13
4.540000000000000036e+00 8.419510000000000341e-13
4.559999999999999609e+00 9.611939999999999532e-13
4.580000000000000071e+00 1.092369999999999919e-12
4.599999999999999645e+00 1.235189999999999910e-12
4.620000000000000107e+00 1.389109999999999924e-12
4.639999999999999680e+00 1.553420000000000059e-12
4.660000000000000142e+00 1.727190000000000035e-12
4.679999999999999716e+00 1.909320000000000189e-12
4.700000000000000178e+00 2.098510000000000113e-12
4.719999999999999751e+00 2.293369999999999951e-12
4.740000000000000213e+00 2.492360000000000095e-12
4.769999999999999574e+00 2.693859999999999994e-12
4.790000000000000036e+00 2.791310000000000149e-12
4.809999999999999609e+00 2.991119999999999881e-12
4.830000000000000071e+00 3.188270000000000106e-12
4.849999999999999645e+00 3.381069999999999850e-12
4.870000000000000107e+00 3.567890000000000057e-12
4.889999999999999680e+00 3.747179999999999791e-12
4.910000000000000142e+00 3.917450000000000034e-12
4.929999999999999716e+00 4.077450000000000160e-12
4.950000000000000178e+00 4.225950000000000184e-12
4.969999999999999751e+00 4.361909999999999940e-12
4.990000000000000213e+00 4.484479999999999891e-12
5.009999999999999787e+00 4.592949999999999731e-12
5.030000000000000249e+00 4.686780000000000352e-12
5.049999999999999822e+00 4.765599999999999808e-12
5.070000000000000284e+00 4.829230000000000012e-12
5.089999999999999858e+00 4.877610000000000256e-12
5.110000000000000320e+00 4.910869999999999652e-12
5.129999999999999893e+00 4.929250000000000226e-12
5.150000000000000355e+00 4.933140000000000122e-12
5.169999999999999929e+00 4.923040000000000397e-12
5.190000000000000391e+00 4.899529999999999824e-12
5.209999999999999964e+00 4.863310000000000206e-12
5.230000000000000426e+00 4.815140000000000019e-12
5.250000000000000000e+00 4.755819999999999823e-12
5.269999999999999574e+00 4.686210000000000082e-12
5.290000000000000036e+00 4.607189999999999880e-12
5.309999999999999609e+00 4.519670000000000269e-12
5.330000000000000071e+00 4.424539999999999643e-12
