# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 5.725599999999999756e-12
3.520000000000000018e+00 5.596620000000000037e-12
3.540000000000000036e+00 5.467249999999999751e-12
3.560000000000000053e+00 5.337769999999999782e-12
3.580000000000000071e+00 5.208450000000000087e-12
3.600000000000000089e+00 5.079540000000000386e-12
3.620000000000000107e+00 4.951290000000000403e-12
3.640000000000000124e+00 4.823929999999999621e-12
3.660000000000000142e+00 4.697660000000000402e-12
3.680000000000000160e+00 4.572680000000000262e-12
3.700000000000000178e+00 4.449150000000000283e-12
3.720000000000000195e+00 4.327229999999999930e-12
3.740000000000000213e+00 4.207070000000000167e-12
3.759999999999999787e+00 4.088779999999999870e-12
3.779999999999999805e+00 3.972470000000000339e-12
3.799999999999999822e+00 3.858230000000000212e-12
3.819999999999999840e+00 3.746130000000000316e-12
3.839999999999999858e+00 3.636249999999999980e-12
3.859999999999999876e+00 3.528619999999999963e-12
3.879999999999999893e+00 3.423300000000000166e-12
3.899999999999999911e+00 3.320339999999999966e-12
3.919999999999999929e+00 3.219639999999999799e-12
3.939999999999999947e+00 3.121340000000000107e-12
3.959999999999999964e+00 3.025410000000000131e-12
3.979999999999999982e+00 2.931849999999999872e-12
4.000000000000000000e+00 2.840630000000000186e-12
4.019999999999999574e+00 2.751749999999999862e-12
4.040000000000000036e+00 2.665189999999999875e-12
4.059999999999999609e+00 2.580959999999999940e-12
4.080000000000000071e+00 2.499079999999999889e-12
4.099999999999999645e+00 2.419580000000000076e-12
4.120000000000000107e+00 2.342549999999999949e-12
4.139999999999999680e+00 2.268099999999999999e-12
4.160000000000000142e+00 2.196449999999999996e-12
4.179999999999999716e+00 2.127899999999999849e-12
4.200000000000000178e+00 2.062849999999999838e-12
4.219999999999999751e+00 2.001879999999999948e-12
4.240000000000000213e+00 1.945770000000000099e-12
4.259999999999999787e+00 1.895469999999999798e-12
4.280000000000000249e+00 1.852200000000000125e-12
4.299999999999999822e+00 1.817430000000000062e-12
4.320000000000000284e+00 1.792899999999999964e-12
4.339999999999999858e+00 1.780630000000000057e-12
4.360000000000000320e+00 1.782890000000000090e-12
4.379999999999999893e+00 1.802190000000000018e-12
4.400000000000000355e+00 1.841220000000000105e-12
4.419999999999999929e+00 1.902820000000000166e-12
4.440000000000000391e+00 1.989869999999999881e-12
4.459999999999999964e+00 2.105250000000000142e-12
4.480000000000000426e+00 2.251720000000000022e-12
4.500000000000000000e+00 2.431879999999999933e-12
4.519999999999999574e+00 2.647830000000000038e-12
4.540000000000000036e+00 2.901579999999999840e-12
4.559999999999999609e+00 3.194500000000000171e-12
4.580000000000000071e+00 3.527360000000000027e-12
4.599999999999999645e+00 3.900360000000000154e-12
4.620000000000000107e+00 4.313010000000000017e-12
4.639999999999999680e+00 4.764159999999999765e-12
4.660000000000000142e+00 5.251960000000000171e-12
4.679999999999999716e+00 5.773870000000000317e-12
4.700000000000000178e+00 6.326699999999999689e-12
4.719999999999999751e+00 6.906679999999999809e-12
4.740000000000000213e+00 7.509530000000000213e-12
4.769999999999999574e+00 8.130490000000000427e-12
4.790000000000000036e+00 8.324249999999999391e-12
4.809999999999999609e+00 8.986310000000000308e-12
4.830000000000000071e+00 9.650249999999999194e-12
4.849999999999999645e+00 1.031050000000000055e-11
4.870000000000000107e+00 1.096150000000000009e-11
4.889999999999999680e+00 1.159790000000000009e-11
4.910000000000000142e+00 1.221460000000000008e-11
4.929999999999999716e+00 1.280670000000000035e-11
4.950000000000000178e+00 1.336959999999999990e-11
4.969999999999999751e+00 1.389929999999999996e-11
4.990000000000000213e+00 1.439210000000000044e-11
5.009999999999999787e+00 1.484479999999999911e-11
5.030000000000000249e+00 1.525480000000000079e-11
5.049999999999999822e+00 1.561980000000000095e-11
5.070000000000000284e+00 1.593820000000000008e-11
5.089999999999999858e+00 1.620880000000000016e-11
5.110000000000000320e+00 1.643100000000000057e-11
5.129999999999999893e+00 1.660449999999999937e-11
5.150000000000000355e+00 1.672970000000000130e-11
5.169999999999999929e+00 1.680720000000000052e-11
5.190000000000000391e+00 1.683789999999999957e-11
5.209999999999999964e+00 1.682340000000000120e-11
5.230000000000000426e+00 1.676529999999999845e-11
5.250000000000000000e+00 1.666549999999999922e-11
5.269999999999999574e+00 1.652629999999999997e-11
5.290000000000000036e+00 1.634990000000000084e-11
5.309999999999999609e+00 1.613899999999999979e-11
5.330000000000000071e+00 1.589619999999999844e-11
5.349999999999999645e+00 1.562409999999999842e-11
5.370000000000000107e+00 1.532560000000000005e-11
5.389999999999999680e+00 1.500329999999999848e-11
5.410000000000000142e+00 1.466010000000000051e-11
5.429999999999999716e+00 1.429859999999999968e-11
5.450000000000000178e+00 1.392159999999999997e-11
5.469999999999999751e+00 1.353150000000000065e-11
5.490000000000000213e+00 1.313080000000000055e-11
5.509999999999999787e+00 1.272179999999999937e-11
5.530000000000000249e+00 1.230700000000000077e-11
5.549999999999999822e+00 1.188820000000000017e-11
5.570000000000000284e+00 1.146740000000000019e-11
5.589999999999999858e+00 1.104650000000000064e-11
5.610000000000000320e+00 1.062720000000000060e-11
5.629999999999999893e+00 1.021090000000000045e-11
5.650000000000000355e+00 9.799020000000000791e-12
5.669999999999999929e+00 9.392800000000000124e-12
5.690000000000000391e+00 8.993319999999999892e-12
5.709999999999999964e+00 8.601540000000000121e-12
5.730000000000000426e+00 8.218319999999999660e-12
5.750000000000000000e+00 7.844340000000000076e-12
5.769999999999999574e+00 7.480200000000000378e-12
5.790000000000000036e+00 7.126410000000000125e-12
5.809999999999999609e+00 6.783359999999999886e-12
5.830000000000000071e+00 6.451329999999999734e-12
5.849999999999999645e+00 6.130560000000000082e-12
5.870000000000000107e+00 5.821190000000000160e-12
5.889999999999999680e+00 5.523289999999999985e-12
5.910000000000000142e+00 5.236860000000000366e-12
5.929999999999999716e+00 4.961849999999999905e-12
5.950000000000000178e+00 4.698180000000000081e-12
5.969999999999999751e+00 4.445699999999999929e-12
5.990000000000000213e+00 4.204219999999999629e-12
6.009999999999999787e+00 3.973529999999999932e-12
6.030000000000000249e+00 3.753409999999999857e-12
6.049999999999999822e+00 3.543589999999999848e-12
6.070000000000000284e+00 3.343769999999999999e-12
6.089999999999999858e+00 3.153669999999999829e-12
6.110000000000000320e+00 2.972989999999999836e-12
6.129999999999999893e+00 2.801390000000000042e-12
6.150000000000000355e+00 2.638549999999999900e-12
6.169999999999999929e+00 2.484150000000000073e-12
6.190000000000000391e+00 2.337859999999999895e-12
6.209999999999999964e+00 2.199360000000000031e-12
6.230000000000000426e+00 2.068299999999999982e-12
6.250000000000000000e+00 1.944389999999999957e-12
6.269999999999999574e+00 1.827289999999999982e-12
6.290000000000000036e+00 1.716690000000000029e-12
6.309999999999999609e+00 1.612299999999999905e-12
6.330000000000000071e+00 1.513819999999999905e-12
6.349999999999999645e+00 1.420960000000000036e-12
6.370000000000000107e+00 1.333440000000000021e-12
6.389999999999999680e+00 1.250989999999999903e-12
6.410000000000000142e+00 1.173350000000000044e-12
6.429999999999999716e+00 1.100269999999999915e-12
6.450000000000000178e+00 1.031520000000000031e-12
6.469999999999999751e+00 9.668560000000000961e-13
6.490000000000000213e+00 9.060629999999999935e-13
6.509999999999999787e+00 8.489370000000000005e-13
6.530000000000000249e+00 7.952550000000000279e-13
6.549999999999999822e+00 7.448369999999999695e-13
6.570000000000000284e+00 6.975000000000000067e-13
6.589999999999999858e+00 6.530659999999999761e-13
6.610000000000000320e+00 6.113700000000000495e-13
6.629999999999999893e+00 5.722530000000000255e-13
6.650000000000000355e+00 5.355649999999999500e-13
6.669999999999999929e+00 5.011640000000000444e-13
6.690000000000000391e+00 4.689139999999999546e-13
6.709999999999999964e+00 4.386870000000000067e-13
6.730000000000000426e+00 4.103640000000000173e-13
6.750000000000000000e+00 3.838290000000000198e-13
6.769999999999999574e+00 3.589729999999999993e-13
6.790000000000000036e+00 3.356959999999999865e-13
6.809999999999999609e+00 3.139019999999999987e-13
6.830000000000000071e+00 2.934989999999999897e-13
6.849999999999999645e+00 2.744009999999999937e-13
6.870000000000000107e+00 2.565289999999999967e-13
6.889999999999999680e+00 2.398059999999999780e-13
6.910000000000000142e+00 2.241609999999999977e-13
6.929999999999999716e+00 2.095260000000000051e-13
6.950000000000000178e+00 1.958390000000000049e-13
6.969999999999999751e+00 1.830389999999999989e-13
6.990000000000000213e+00 1.710719999999999904e-13
7.009999999999999787e+00 1.598840000000000082e-13
7.030000000000000249e+00 1.494259999999999885e-13
7.049999999999999822e+00 1.396520000000000092e-13
7.070000000000000284e+00 1.305179999999999897e-13
7.089999999999999858e+00 1.219829999999999913e-13
7.110000000000000320e+00 1.140100000000000110e-13
7.129999999999999893e+00 1.065619999999999957e-13
7.150000000000000355e+00 9.960479999999999378e-14
7.169999999999999929e+00 9.310800000000000070e-14
7.190000000000000391e+00 8.704149999999999570e-14
7.209999999999999964e+00 8.137760000000000557e-14
7.230000000000000426e+00 7.609010000000000159e-14
7.259999999999999787e+00 7.115479999999999888e-14
7.280000000000000249e+00 6.654890000000000030e-14
7.299999999999999822e+00 6.225099999999999647e-14
7.320000000000000284e+00 5.824099999999999639e-14
7.339999999999999858e+00 5.450020000000000313e-14
7.360000000000000320e+00 5.101109999999999935e-14
7.379999999999999893e+00 4.775729999999999685e-14
7.400000000000000355e+00 4.472329999999999685e-14
7.419999999999999929e+00 4.189490000000000004e-14
7.440000000000000391e+00 3.925850000000000003e-14
7.459999999999999964e+00 3.680160000000000068e-14
7.480000000000000426e+00 3.451229999999999876e-14
7.500000000000000000e+00 3.237970000000000035e-14
7.519999999999999574e+00 3.039229999999999965e-14
7.540000000000000036e+00 2.854269999999999737e-14
7.559999999999999609e+00 2.682069999999999976e-14
7.580000000000000071e+00 2.521810000000000010e-14
7.599999999999999645e+00 2.372679999999999892e-14
7.620000000000000107e+00 2.233969999999999972e-14
7.639999999999999680e+00 2.104959999999999873e-14
7.660000000000000142e+00 1.985030000000000151e-14
7.679999999999999716e+00 1.873569999999999874e-14
7.700000000000000178e+00 1.770010000000000061e-14
7.719999999999999751e+00 1.673829999999999985e-14
7.740000000000000213e+00 1.584540000000000145e-14
7.759999999999999787e+00 1.501680000000000057e-14
7.780000000000000249e+00 1.424810000000000052e-14
7.799999999999999822e+00 1.353550000000000074e-14
7.820000000000000284e+00 1.287500000000000036e-14
7.839999999999999858e+00 1.226319999999999937e-14
7.860000000000000320e+00 1.169689999999999962e-14
7.879999999999999893e+00 1.117289999999999978e-14
7.900000000000000355e+00 1.068840000000000068e-14
7.919999999999999929e+00 1.024069999999999934e-14
7.940000000000000391e+00 9.827289999999999594e-15
7.959999999999999964e+00 9.445880000000000364e-15
7.980000000000000426e+00 9.094279999999999936e-15
8.000000000000000000e+00 8.770439999999999785e-15
