# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.126430000000000078e-11
3.520000000000000018e+00 1.142310000000000047e-11
3.540000000000000036e+00 1.160410000000000061e-11
3.560000000000000053e+00 1.180399999999999938e-11
3.580000000000000071e+00 1.201919999999999952e-11
3.600000000000000089e+00 1.224589999999999975e-11
3.620000000000000107e+00 1.248030000000000045e-11
3.640000000000000124e+00 1.271869999999999992e-11
3.660000000000000142e+00 1.295739999999999970e-11
3.680000000000000160e+00 1.319290000000000046e-11
3.700000000000000178e+00 1.342190000000000039e-11
3.720000000000000195e+00 1.364150000000000079e-11
3.740000000000000213e+00 1.384870000000000015e-11
3.759999999999999787e+00 1.404120000000000039e-11
3.779999999999999805e+00 1.421679999999999976e-11
3.799999999999999822e+00 1.437369999999999963e-11
3.819999999999999840e+00 1.451049999999999961e-11
3.839999999999999858e+00 1.462600000000000008e-11
3.859999999999999876e+00 1.471929999999999848e-11
3.879999999999999893e+00 1.479000000000000140e-11
3.899999999999999911e+00 1.483770000000000088e-11
3.919999999999999929e+00 1.486240000000000016e-11
3.939999999999999947e+00 1.486440000000000116e-11
3.959999999999999964e+00 1.484419999999999848e-11
3.979999999999999982e+00 1.480220000000000008e-11
4.000000000000000000e+00 1.473929999999999880e-11
4.019999999999999574e+00 1.465630000000000087e-11
4.040000000000000036e+00 1.455419999999999871e-11
4.059999999999999609e+00 1.443420000000000003e-11
4.080000000000000071e+00 1.429730000000000048e-11
4.099999999999999645e+00 1.414490000000000044e-11
4.120000000000000107e+00 1.397819999999999955e-11
4.139999999999999680e+00 1.379859999999999979e-11
4.160000000000000142e+00 1.360740000000000036e-11
4.179999999999999716e+00 1.340639999999999991e-11
4.200000000000000178e+00 1.319719999999999954e-11
4.219999999999999751e+00 1.298159999999999953e-11
4.240000000000000213e+00 1.276180000000000001e-11
4.259999999999999787e+00 1.254010000000000066e-11
4.280000000000000249e+00 1.231909999999999988e-11
4.299999999999999822e+00 1.210209999999999950e-11
4.320000000000000284e+00 1.189260000000000044e-11
4.339999999999999858e+00 1.169480000000000061e-11
4.360000000000000320e+00 1.151340000000000060e-11
4.379999999999999893e+00 1.135360000000000041e-11
4.400000000000000355e+00 1.122160000000000057e-11
4.419999999999999929e+00 1.112380000000000073e-11
4.440000000000000391e+00 1.106749999999999984e-11
4.459999999999999964e+00 1.106040000000000001e-11
4.480000000000000426e+00 1.111040000000000080e-11
4.500000000000000000e+00 1.122559999999999934e-11
4.519999999999999574e+00 1.141420000000000038e-11
4.540000000000000036e+00 1.168389999999999952e-11
4.559999999999999609e+00 1.204179999999999984e-11
4.580000000000000071e+00 1.249419999999999981e-11
4.599999999999999645e+00 1.304619999999999988e-11
4.620000000000000107e+00 1.370140000000000057e-11
4.639999999999999680e+00 1.446160000000000050e-11
4.660000000000000142e+00 1.532700000000000043e-11
4.679999999999999716e+00 1.629550000000000140e-11
4.700000000000000178e+00 1.736299999999999862e-11
4.719999999999999751e+00 1.852329999999999964e-11
4.740000000000000213e+00 1.976820000000000133e-11
4.769999999999999574e+00 2.108780000000000149e-11
4.790000000000000036e+00 1.727889999999999900e-11
4.809999999999999609e+00 1.890440000000000091e-11
4.830000000000000071e+00 2.056370000000000133e-11
4.849999999999999645e+00 2.224170000000000124e-11
4.870000000000000107e+00 2.392280000000000061e-11
4.889999999999999680e+00 2.559170000000000131e-11
4.910000000000000142e+00 2.723299999999999917e-11
4.929999999999999716e+00 2.883199999999999993e-11
4.950000000000000178e+00 3.037469999999999981e-11
4.969999999999999751e+00 3.184810000000000038e-11
4.990000000000000213e+00 3.324049999999999755e-11
5.009999999999999787e+00 3.454139999999999820e-11
5.030000000000000249e+00 3.574200000000000179e-11
5.049999999999999822e+00 3.683480000000000214e-11
5.070000000000000284e+00 3.781389999999999905e-11
5.089999999999999858e+00 3.867469999999999958e-11
5.110000000000000320e+00 3.941429999999999696e-11
5.129999999999999893e+00 4.003109999999999812e-11
5.150000000000000355e+00 4.052469999999999836e-11
5.169999999999999929e+00 4.089600000000000022e-11
