# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 8.857480000000000261e-11
3.520000000000000018e+00 8.574880000000000637e-11
3.540000000000000036e+00 8.304739999999999851e-11
3.560000000000000053e+00 8.046330000000000430e-11
3.580000000000000071e+00 7.798939999999999644e-11
3.600000000000000089e+00 7.561939999999999583e-11
3.620000000000000107e+00 7.334750000000000185e-11
3.640000000000000124e+00 7.116810000000000005e-11
3.660000000000000142e+00 6.907619999999999924e-11
3.680000000000000160e+00 6.706710000000000046e-11
3.700000000000000178e+00 6.513659999999999611e-11
3.720000000000000195e+00 6.328050000000000445e-11
3.740000000000000213e+00 6.149509999999999633e-11
3.759999999999999787e+00 5.977690000000000634e-11
3.779999999999999805e+00 5.812249999999999755e-11
3.799999999999999822e+00 5.652910000000000154e-11
3.819999999999999840e+00 5.499359999999999945e-11
3.839999999999999858e+00 5.351350000000000215e-11
3.859999999999999876e+00 5.208620000000000156e-11
3.879999999999999893e+00 5.070940000000000120e-11
3.899999999999999911e+00 4.938099999999999729e-11
3.919999999999999929e+00 4.809869999999999982e-11
3.939999999999999947e+00 4.686069999999999721e-11
3.959999999999999964e+00 4.566519999999999731e-11
3.979999999999999982e+00 4.451040000000000146e-11
4.000000000000000000e+00 4.339469999999999724e-11
4.019999999999999574e+00 4.231659999999999762e-11
4.040000000000000036e+00 4.127470000000000224e-11
4.059999999999999609e+00 4.026749999999999821e-11
4.080000000000000071e+00 3.929379999999999722e-11
4.099999999999999645e+00 3.835239999999999802e-11
4.120000000000000107e+00 3.744209999999999936e-11
4.139999999999999680e+00 3.656179999999999957e-11
4.160000000000000142e+00 3.571050000000000298e-11
4.179999999999999716e+00 3.488720000000000103e-11
4.200000000000000178e+00 3.409099999999999762e-11
4.219999999999999751e+00 3.332089999999999709e-11
4.240000000000000213e+00 3.257620000000000250e-11
4.259999999999999787e+00 3.185599999999999835e-11
4.280000000000000249e+00 3.115960000000000064e-11
4.299999999999999822e+00 3.048619999999999989e-11
4.320000000000000284e+00 2.983509999999999916e-11
4.339999999999999858e+00 2.920580000000000062e-11
4.360000000000000320e+00 2.859750000000000128e-11
4.379999999999999893e+00 2.800960000000000053e-11
4.400000000000000355e+00 2.744170000000000009e-11
4.419999999999999929e+00 2.689309999999999978e-11
4.440000000000000391e+00 2.636329999999999854e-11
4.459999999999999964e+00 2.585190000000000135e-11
4.480000000000000426e+00 2.535830000000000111e-11
4.500000000000000000e+00 2.093449999999999890e-11
4.519999999999999574e+00 2.144359999999999963e-11
4.540000000000000036e+00 2.210229999999999964e-11
4.559999999999999609e+00 2.292440000000000034e-11
4.580000000000000071e+00 2.392179999999999850e-11
4.599999999999999645e+00 2.510359999999999978e-11
4.620000000000000107e+00 2.647549999999999881e-11
4.639999999999999680e+00 2.803949999999999982e-11
4.660000000000000142e+00 2.979379999999999771e-11
4.679999999999999716e+00 3.173180000000000177e-11
4.700000000000000178e+00 3.384269999999999755e-11
4.719999999999999751e+00 3.611179999999999724e-11
4.740000000000000213e+00 3.851999999999999985e-11
4.769999999999999574e+00 4.104489999999999932e-11
4.790000000000000036e+00 4.366100000000000308e-11
4.809999999999999609e+00 4.634050000000000272e-11
4.830000000000000071e+00 4.905369999999999807e-11
4.849999999999999645e+00 5.177019999999999846e-11
4.870000000000000107e+00 5.445910000000000248e-11
4.889999999999999680e+00 5.709000000000000009e-11
4.910000000000000142e+00 5.963389999999999453e-11
4.929999999999999716e+00 6.206309999999999633e-11
4.950000000000000178e+00 6.435220000000000604e-11
4.969999999999999751e+00 6.647880000000000467e-11
4.990000000000000213e+00 6.842299999999999471e-11
5.009999999999999787e+00 7.016839999999999573e-11
5.030000000000000249e+00 7.170189999999999359e-11
5.049999999999999822e+00 7.301339999999999987e-11
5.070000000000000284e+00 7.409650000000000360e-11
5.089999999999999858e+00 7.494779999999999373e-11
5.110000000000000320e+00 7.556689999999999782e-11
5.129999999999999893e+00 7.595590000000000031e-11
5.150000000000000355e+00 7.612000000000000442e-11
5.169999999999999929e+00 7.606599999999999355e-11
5.190000000000000391e+00 7.580280000000000008e-11
5.209999999999999964e+00 7.534089999999999778e-11
5.230000000000000426e+00 7.469190000000000084e-11
5.250000000000000000e+00 7.386860000000000535e-11
5.269999999999999574e+00 7.288429999999999873e-11
5.290000000000000036e+00 7.175270000000000545e-11
5.309999999999999609e+00 7.048800000000000257e-11
5.330000000000000071e+00 6.910419999999999387e-11
5.349999999999999645e+00 6.761520000000000294e-11
5.370000000000000107e+00 6.603459999999999653e-11
5.389999999999999680e+00 6.437550000000000171e-11
5.410000000000000142e+00 6.265050000000000249e-11
5.429999999999999716e+00 6.087179999999999756e-11
5.450000000000000178e+00 5.905049999999999683e-11
5.469999999999999751e+00 5.719739999999999860e-11
5.490000000000000213e+00 5.532249999999999818e-11
5.509999999999999787e+00 5.343470000000000212e-11
5.530000000000000249e+00 5.154269999999999847e-11
5.549999999999999822e+00 4.965419999999999899e-11
5.570000000000000284e+00 4.777629999999999869e-11
5.589999999999999858e+00 4.591509999999999688e-11
5.610000000000000320e+00 4.407640000000000069e-11
5.629999999999999893e+00 4.226510000000000173e-11
5.650000000000000355e+00 4.048569999999999984e-11
5.669999999999999929e+00 3.874209999999999746e-11
5.690000000000000391e+00 3.703740000000000049e-11
5.709999999999999964e+00 3.537460000000000236e-11
5.730000000000000426e+00 3.375589999999999998e-11
5.750000000000000000e+00 3.218329999999999758e-11
5.769999999999999574e+00 3.065820000000000198e-11
5.790000000000000036e+00 2.918180000000000153e-11
5.809999999999999609e+00 2.775479999999999963e-11
5.830000000000000071e+00 2.637780000000000015e-11
5.849999999999999645e+00 2.505099999999999898e-11
5.870000000000000107e+00 2.377429999999999978e-11
5.889999999999999680e+00 2.254750000000000020e-11
5.910000000000000142e+00 2.137019999999999875e-11
5.929999999999999716e+00 2.024169999999999846e-11
5.950000000000000178e+00 1.916129999999999914e-11
5.969999999999999751e+00 1.812810000000000149e-11
5.990000000000000213e+00 1.714100000000000057e-11
6.009999999999999787e+00 1.619890000000000118e-11
6.030000000000000249e+00 1.530080000000000120e-11
6.049999999999999822e+00 1.444530000000000025e-11
6.070000000000000284e+00 1.363099999999999957e-11
6.089999999999999858e+00 1.285680000000000071e-11
6.110000000000000320e+00 1.212099999999999975e-11
6.129999999999999893e+00 1.142249999999999985e-11
6.150000000000000355e+00 1.075990000000000063e-11
6.169999999999999929e+00 1.013170000000000054e-11
6.190000000000000391e+00 9.536609999999999690e-12
6.209999999999999964e+00 8.973199999999999772e-12
6.230000000000000426e+00 8.440120000000000189e-12
6.250000000000000000e+00 7.936049999999999894e-12
6.269999999999999574e+00 7.459700000000000617e-12
6.290000000000000036e+00 7.009780000000000046e-12
6.309999999999999609e+00 6.585040000000000383e-12
6.330000000000000071e+00 6.184280000000000383e-12
6.349999999999999645e+00 5.806329999999999958e-12
6.370000000000000107e+00 5.450050000000000188e-12
6.389999999999999680e+00 5.114350000000000316e-12
