# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.948589999999999818e-11
3.520000000000000018e+00 2.863570000000000005e-11
3.540000000000000036e+00 2.781830000000000153e-11
3.560000000000000053e+00 2.703470000000000152e-11
3.580000000000000071e+00 2.628630000000000039e-11
3.600000000000000089e+00 2.557460000000000131e-11
3.620000000000000107e+00 2.490130000000000013e-11
3.640000000000000124e+00 2.426809999999999915e-11
3.660000000000000142e+00 2.367650000000000155e-11
3.680000000000000160e+00 2.312800000000000081e-11
3.700000000000000178e+00 2.262380000000000140e-11
3.720000000000000195e+00 2.216479999999999942e-11
3.740000000000000213e+00 2.175159999999999872e-11
3.759999999999999787e+00 2.138429999999999886e-11
3.779999999999999805e+00 2.106239999999999879e-11
3.799999999999999822e+00 2.078499999999999918e-11
3.819999999999999840e+00 2.055069999999999966e-11
3.839999999999999858e+00 2.035759999999999880e-11
3.859999999999999876e+00 2.020320000000000099e-11
3.879999999999999893e+00 2.008469999999999902e-11
3.899999999999999911e+00 1.999890000000000034e-11
3.919999999999999929e+00 1.994249999999999989e-11
3.939999999999999947e+00 1.991190000000000041e-11
3.959999999999999964e+00 1.990350000000000137e-11
3.979999999999999982e+00 1.991379999999999861e-11
4.000000000000000000e+00 1.993959999999999957e-11
4.019999999999999574e+00 1.997790000000000114e-11
4.040000000000000036e+00 2.002649999999999994e-11
4.059999999999999609e+00 2.008360000000000057e-11
4.080000000000000071e+00 2.014849999999999962e-11
4.099999999999999645e+00 2.022159999999999857e-11
4.120000000000000107e+00 2.030440000000000060e-11
4.139999999999999680e+00 2.039979999999999957e-11
4.160000000000000142e+00 2.051219999999999897e-11
4.179999999999999716e+00 2.064749999999999901e-11
4.200000000000000178e+00 2.081309999999999984e-11
4.219999999999999751e+00 2.101779999999999875e-11
4.240000000000000213e+00 2.127150000000000120e-11
4.259999999999999787e+00 2.158530000000000093e-11
4.280000000000000249e+00 2.197060000000000011e-11
4.299999999999999822e+00 2.243919999999999914e-11
4.320000000000000284e+00 2.300250000000000018e-11
4.339999999999999858e+00 2.367109999999999917e-11
4.360000000000000320e+00 2.445420000000000136e-11
4.379999999999999893e+00 2.535920000000000043e-11
4.400000000000000355e+00 2.639090000000000138e-11
4.419999999999999929e+00 2.755170000000000023e-11
4.440000000000000391e+00 2.884109999999999915e-11
4.459999999999999964e+00 3.025550000000000088e-11
4.480000000000000426e+00 3.178800000000000309e-11
4.500000000000000000e+00 3.342830000000000207e-11
4.519999999999999574e+00 3.516350000000000218e-11
4.540000000000000036e+00 3.697760000000000190e-11
4.559999999999999609e+00 3.885270000000000145e-11
4.580000000000000071e+00 4.076879999999999729e-11
4.599999999999999645e+00 4.270469999999999756e-11
4.620000000000000107e+00 4.463800000000000266e-11
4.639999999999999680e+00 4.654639999999999965e-11
4.660000000000000142e+00 4.840770000000000102e-11
4.679999999999999716e+00 5.020039999999999681e-11
4.700000000000000178e+00 5.190399999999999856e-11
4.719999999999999751e+00 5.349969999999999750e-11
4.740000000000000213e+00 5.497060000000000247e-11
4.769999999999999574e+00 5.630219999999999894e-11
4.790000000000000036e+00 5.748169999999999730e-11
4.809999999999999609e+00 5.849899999999999620e-11
4.830000000000000071e+00 5.934670000000000197e-11
4.849999999999999645e+00 6.001960000000000489e-11
4.870000000000000107e+00 6.051510000000000333e-11
4.889999999999999680e+00 6.083290000000000507e-11
4.910000000000000142e+00 6.097449999999999711e-11
4.929999999999999716e+00 6.094399999999999396e-11
4.950000000000000178e+00 6.074659999999999886e-11
4.969999999999999751e+00 6.038959999999999948e-11
4.990000000000000213e+00 5.988119999999999894e-11
5.009999999999999787e+00 5.923110000000000032e-11
5.030000000000000249e+00 5.844949999999999808e-11
5.049999999999999822e+00 5.754750000000000212e-11
5.070000000000000284e+00 5.653640000000000212e-11
5.089999999999999858e+00 5.542809999999999805e-11
5.110000000000000320e+00 5.423419999999999765e-11
5.129999999999999893e+00 5.296640000000000178e-11
5.150000000000000355e+00 5.163590000000000054e-11
5.169999999999999929e+00 5.025389999999999693e-11
5.190000000000000391e+00 4.883059999999999834e-11
5.209999999999999964e+00 4.737609999999999964e-11
5.230000000000000426e+00 4.589959999999999962e-11
5.250000000000000000e+00 4.440950000000000055e-11
5.269999999999999574e+00 4.291370000000000040e-11
5.290000000000000036e+00 4.141930000000000063e-11
5.309999999999999609e+00 3.993250000000000014e-11
5.330000000000000071e+00 3.845890000000000044e-11
5.349999999999999645e+00 3.700359999999999876e-11
5.370000000000000107e+00 3.557059999999999709e-11
5.389999999999999680e+00 3.416349999999999917e-11
5.410000000000000142e+00 3.278539999999999801e-11
5.429999999999999716e+00 3.143870000000000255e-11
5.450000000000000178e+00 3.012529999999999806e-11
5.469999999999999751e+00 2.884670000000000067e-11
5.490000000000000213e+00 2.760430000000000103e-11
5.509999999999999787e+00 2.639879999999999935e-11
5.530000000000000249e+00 2.523060000000000035e-11
5.549999999999999822e+00 2.410009999999999906e-11
