# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 4.422350000000000114e-11
3.520000000000000018e+00 4.292159999999999838e-11
3.540000000000000036e+00 4.165619999999999854e-11
3.560000000000000053e+00 4.042629999999999951e-11
3.580000000000000071e+00 3.923099999999999874e-11
3.600000000000000089e+00 3.806940000000000013e-11
3.620000000000000107e+00 3.694050000000000158e-11
3.640000000000000124e+00 3.584340000000000053e-11
3.660000000000000142e+00 3.477740000000000002e-11
3.680000000000000160e+00 3.374139999999999838e-11
3.700000000000000178e+00 3.273479999999999820e-11
3.720000000000000195e+00 3.175669999999999695e-11
3.740000000000000213e+00 3.080629999999999809e-11
3.759999999999999787e+00 2.988289999999999821e-11
3.779999999999999805e+00 2.898570000000000078e-11
3.799999999999999822e+00 2.811409999999999872e-11
3.819999999999999840e+00 2.726729999999999873e-11
3.839999999999999858e+00 2.644460000000000063e-11
3.859999999999999876e+00 2.564540000000000056e-11
3.879999999999999893e+00 2.486910000000000114e-11
3.899999999999999911e+00 2.411499999999999893e-11
3.919999999999999929e+00 2.338240000000000021e-11
3.939999999999999947e+00 2.267090000000000026e-11
3.959999999999999964e+00 2.197979999999999890e-11
3.979999999999999982e+00 2.130860000000000151e-11
4.000000000000000000e+00 2.065670000000000103e-11
4.019999999999999574e+00 2.002359999999999962e-11
4.040000000000000036e+00 1.940869999999999989e-11
4.059999999999999609e+00 1.881160000000000034e-11
4.080000000000000071e+00 1.823179999999999992e-11
4.099999999999999645e+00 1.766880000000000081e-11
4.120000000000000107e+00 1.712220000000000150e-11
4.139999999999999680e+00 1.659129999999999858e-11
4.160000000000000142e+00 1.607599999999999895e-11
4.179999999999999716e+00 1.557559999999999918e-11
4.200000000000000178e+00 1.508990000000000015e-11
4.219999999999999751e+00 1.461830000000000123e-11
4.240000000000000213e+00 1.416050000000000050e-11
4.259999999999999787e+00 1.371609999999999969e-11
4.280000000000000249e+00 1.328480000000000010e-11
4.299999999999999822e+00 1.286610000000000068e-11
4.320000000000000284e+00 1.245980000000000069e-11
4.339999999999999858e+00 1.206540000000000067e-11
4.360000000000000320e+00 1.168260000000000032e-11
4.379999999999999893e+00 1.131120000000000051e-11
4.400000000000000355e+00 1.095079999999999975e-11
4.419999999999999929e+00 1.060099999999999976e-11
4.440000000000000391e+00 1.026159999999999982e-11
4.459999999999999964e+00 9.932349999999999375e-12
4.480000000000000426e+00 9.612879999999999728e-12
4.500000000000000000e+00 9.302949999999999654e-12
4.519999999999999574e+00 9.002280000000000694e-12
4.540000000000000036e+00 8.710609999999999777e-12
4.559999999999999609e+00 8.427499999999999785e-12
4.580000000000000071e+00 8.152619999999999243e-12
4.599999999999999645e+00 7.886019999999999551e-12
4.620000000000000107e+00 7.627470000000000416e-12
4.639999999999999680e+00 7.376730000000000618e-12
4.660000000000000142e+00 7.133569999999999865e-12
4.679999999999999716e+00 6.897789999999999833e-12
4.700000000000000178e+00 6.669179999999999659e-12
4.719999999999999751e+00 6.447519999999999976e-12
4.740000000000000213e+00 6.232620000000000154e-12
4.769999999999999574e+00 6.024280000000000256e-12
4.790000000000000036e+00 5.822309999999999654e-12
4.809999999999999609e+00 5.626540000000000378e-12
4.830000000000000071e+00 5.436780000000000185e-12
4.849999999999999645e+00 5.252860000000000298e-12
4.870000000000000107e+00 5.074509999999999953e-12
4.889999999999999680e+00 4.901830000000000329e-12
4.910000000000000142e+00 4.734479999999999835e-12
4.929999999999999716e+00 4.572309999999999932e-12
4.950000000000000178e+00 4.415169999999999654e-12
4.969999999999999751e+00 4.262909999999999655e-12
4.990000000000000213e+00 4.115410000000000132e-12
5.009999999999999787e+00 3.972530000000000240e-12
5.030000000000000249e+00 3.834140000000000059e-12
5.049999999999999822e+00 3.700100000000000359e-12
5.070000000000000284e+00 3.570290000000000128e-12
5.089999999999999858e+00 3.444589999999999967e-12
5.110000000000000320e+00 3.322880000000000074e-12
5.129999999999999893e+00 3.205039999999999841e-12
5.150000000000000355e+00 3.090970000000000106e-12
5.169999999999999929e+00 2.980540000000000142e-12
5.190000000000000391e+00 2.873649999999999978e-12
5.209999999999999964e+00 2.770200000000000050e-12
5.230000000000000426e+00 2.670089999999999985e-12
5.250000000000000000e+00 2.573219999999999813e-12
5.269999999999999574e+00 2.479489999999999969e-12
5.290000000000000036e+00 2.388810000000000198e-12
5.309999999999999609e+00 2.301089999999999841e-12
5.330000000000000071e+00 2.216249999999999972e-12
5.349999999999999645e+00 2.134199999999999933e-12
5.370000000000000107e+00 2.054849999999999872e-12
5.389999999999999680e+00 1.978130000000000175e-12
5.410000000000000142e+00 1.903970000000000015e-12
5.429999999999999716e+00 1.832269999999999825e-12
5.450000000000000178e+00 1.762980000000000027e-12
5.469999999999999751e+00 1.696029999999999994e-12
5.490000000000000213e+00 1.631210000000000074e-12
5.509999999999999787e+00 1.568710000000000088e-12
5.530000000000000249e+00 1.508389999999999998e-12
5.549999999999999822e+00 1.450120000000000085e-12
5.570000000000000284e+00 1.393829999999999928e-12
5.589999999999999858e+00 1.339469999999999946e-12
5.610000000000000320e+00 1.286969999999999917e-12
5.629999999999999893e+00 1.236319999999999926e-12
5.650000000000000355e+00 1.187469999999999988e-12
5.669999999999999929e+00 1.140400000000000068e-12
5.690000000000000391e+00 1.095100000000000049e-12
5.709999999999999964e+00 1.051569999999999931e-12
5.730000000000000426e+00 1.009829999999999949e-12
5.750000000000000000e+00 9.699279999999999440e-13
5.769999999999999574e+00 9.319399999999999650e-13
5.790000000000000036e+00 8.959769999999999697e-13
5.809999999999999609e+00 8.621909999999999559e-13
5.830000000000000071e+00 8.307739999999999899e-13
5.849999999999999645e+00 8.019650000000000063e-13
5.870000000000000107e+00 7.759960000000000389e-13
5.889999999999999680e+00 7.532620000000000068e-13
5.910000000000000142e+00 7.340959999999999852e-13
5.929999999999999716e+00 7.188750000000000039e-13
5.950000000000000178e+00 7.079850000000000372e-13
5.969999999999999751e+00 7.018060000000000289e-13
5.990000000000000213e+00 7.006970000000000182e-13
6.009999999999999787e+00 7.049790000000000195e-13
6.030000000000000249e+00 7.149140000000000171e-13
6.049999999999999822e+00 7.306930000000000047e-13
6.070000000000000284e+00 7.524179999999999954e-13
6.089999999999999858e+00 7.800920000000000045e-13
6.110000000000000320e+00 8.136090000000000322e-13
6.129999999999999893e+00 8.527510000000000486e-13
6.150000000000000355e+00 8.971919999999999801e-13
6.169999999999999929e+00 9.464909999999999097e-13
6.190000000000000391e+00 1.000110000000000067e-12
6.209999999999999964e+00 1.057410000000000035e-12
6.230000000000000426e+00 1.117699999999999973e-12
6.250000000000000000e+00 1.180219999999999994e-12
6.269999999999999574e+00 1.244149999999999904e-12
6.290000000000000036e+00 1.308669999999999916e-12
6.309999999999999609e+00 1.372949999999999920e-12
6.330000000000000071e+00 1.436169999999999928e-12
6.349999999999999645e+00 1.497540000000000099e-12
6.370000000000000107e+00 1.556330000000000094e-12
6.389999999999999680e+00 1.611850000000000044e-12
6.410000000000000142e+00 1.663490000000000013e-12
6.429999999999999716e+00 1.710699999999999971e-12
6.450000000000000178e+00 1.753039999999999970e-12
6.469999999999999751e+00 1.789850000000000093e-12
6.490000000000000213e+00 1.821350000000000110e-12
6.509999999999999787e+00 1.847100000000000076e-12
6.530000000000000249e+00 1.867000000000000022e-12
6.549999999999999822e+00 1.881039999999999829e-12
6.570000000000000284e+00 1.889249999999999851e-12
6.589999999999999858e+00 1.891740000000000177e-12
6.610000000000000320e+00 1.888669999999999868e-12
6.629999999999999893e+00 1.880259999999999907e-12
6.650000000000000355e+00 1.866760000000000015e-12
6.669999999999999929e+00 1.848470000000000100e-12
6.690000000000000391e+00 1.825700000000000188e-12
6.709999999999999964e+00 1.798820000000000003e-12
6.730000000000000426e+00 1.768160000000000011e-12
6.750000000000000000e+00 1.734109999999999969e-12
6.769999999999999574e+00 1.697040000000000007e-12
6.790000000000000036e+00 1.657309999999999933e-12
6.809999999999999609e+00 1.615279999999999959e-12
6.830000000000000071e+00 1.571320000000000013e-12
6.849999999999999645e+00 1.525789999999999903e-12
6.870000000000000107e+00 1.478950000000000075e-12
6.889999999999999680e+00 1.431159999999999932e-12
6.910000000000000142e+00 1.382690000000000039e-12
6.929999999999999716e+00 1.333809999999999948e-12
6.950000000000000178e+00 1.284769999999999987e-12
6.969999999999999751e+00 1.235800000000000045e-12
6.990000000000000213e+00 1.187100000000000061e-12
7.009999999999999787e+00 1.138860000000000057e-12
7.030000000000000249e+00 1.091229999999999986e-12
7.049999999999999822e+00 1.044369999999999921e-12
7.070000000000000284e+00 9.983920000000000942e-13
7.089999999999999858e+00 9.534180000000000477e-13
7.110000000000000320e+00 9.095370000000000654e-13
7.129999999999999893e+00 8.668240000000000231e-13
7.150000000000000355e+00 8.253420000000000389e-13
7.169999999999999929e+00 7.851409999999999964e-13
7.190000000000000391e+00 7.462590000000000214e-13
7.209999999999999964e+00 7.087230000000000488e-13
7.230000000000000426e+00 6.725469999999999816e-13
7.259999999999999787e+00 6.377399999999999665e-13
7.280000000000000249e+00 6.043029999999999747e-13
7.299999999999999822e+00 5.722290000000000046e-13
7.320000000000000284e+00 5.415020000000000084e-13
7.339999999999999858e+00 5.121060000000000395e-13
7.360000000000000320e+00 4.840180000000000486e-13
7.379999999999999893e+00 4.572100000000000279e-13
7.400000000000000355e+00 4.316519999999999766e-13
7.419999999999999929e+00 4.073100000000000083e-13
7.440000000000000391e+00 3.841519999999999771e-13
7.459999999999999964e+00 3.621709999999999822e-13
7.480000000000000426e+00 3.412639999999999886e-13
7.500000000000000000e+00 3.214290000000000029e-13
7.519999999999999574e+00 3.026269999999999786e-13
7.540000000000000036e+00 2.848179999999999987e-13
7.559999999999999609e+00 2.679610000000000231e-13
7.580000000000000071e+00 2.520179999999999769e-13
7.599999999999999645e+00 2.369470000000000000e-13
7.620000000000000107e+00 2.227120000000000107e-13
7.639999999999999680e+00 2.092729999999999909e-13
7.660000000000000142e+00 1.965929999999999884e-13
7.679999999999999716e+00 1.846369999999999937e-13
7.700000000000000178e+00 1.733690000000000007e-13
7.719999999999999751e+00 1.627549999999999967e-13
7.740000000000000213e+00 1.527630000000000126e-13
7.759999999999999787e+00 1.433600000000000071e-13
7.780000000000000249e+00 1.345170000000000013e-13
7.799999999999999822e+00 1.262039999999999942e-13
7.820000000000000284e+00 1.183930000000000035e-13
7.839999999999999858e+00 1.110580000000000025e-13
7.860000000000000320e+00 1.041720000000000054e-13
7.879999999999999893e+00 9.771089999999999667e-14
7.900000000000000355e+00 9.165170000000000265e-14
7.919999999999999929e+00 8.597149999999999370e-14
7.940000000000000391e+00 8.064950000000000385e-14
7.959999999999999964e+00 7.566499999999999869e-14
7.980000000000000426e+00 7.099909999999999834e-14
8.000000000000000000e+00 6.663339999999999605e-14
8.019999999999999574e+00 6.255039999999999972e-14
8.039999999999999147e+00 5.873380000000000314e-14
8.060000000000000497e+00 5.516800000000000030e-14
8.080000000000000071e+00 5.183829999999999986e-14
8.099999999999999645e+00 4.873050000000000249e-14
8.119999999999999218e+00 4.583170000000000200e-14
8.140000000000000568e+00 4.312909999999999946e-14
8.160000000000000142e+00 4.061110000000000075e-14
8.179999999999999716e+00 3.826640000000000192e-14
8.199999999999999289e+00 3.608470000000000198e-14
8.220000000000000639e+00 3.405590000000000183e-14
8.240000000000000213e+00 3.217089999999999901e-14
8.259999999999999787e+00 3.042059999999999737e-14
8.279999999999999361e+00 2.879680000000000282e-14
8.300000000000000711e+00 2.729169999999999972e-14
8.320000000000000284e+00 2.589790000000000141e-14
8.339999999999999858e+00 2.460850000000000061e-14
8.359999999999999432e+00 2.341700000000000008e-14
8.380000000000000782e+00 2.231710000000000128e-14
8.400000000000000355e+00 2.130330000000000047e-14
8.419999999999999929e+00 2.036990000000000151e-14
8.439999999999999503e+00 1.951199999999999994e-14
8.460000000000000853e+00 1.872139999999999849e-14
8.480000000000000426e+00 1.799959999999999847e-14
8.500000000000000000e+00 1.733979999999999986e-14
