# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 6.473830000000000174e-11
3.520000000000000018e+00 6.286110000000000485e-11
3.540000000000000036e+00 6.103599999999999478e-11
3.560000000000000053e+00 5.926160000000000347e-11
3.580000000000000071e+00 5.753659999999999780e-11
3.600000000000000089e+00 5.585970000000000279e-11
3.620000000000000107e+00 5.422949999999999869e-11
3.640000000000000124e+00 5.264479999999999718e-11
3.660000000000000142e+00 5.110439999999999699e-11
3.680000000000000160e+00 4.960699999999999734e-11
3.700000000000000178e+00 4.815150000000000298e-11
3.720000000000000195e+00 4.673669999999999976e-11
3.740000000000000213e+00 4.536169999999999805e-11
3.759999999999999787e+00 4.402519999999999703e-11
3.779999999999999805e+00 4.272620000000000105e-11
3.799999999999999822e+00 4.146380000000000110e-11
3.819999999999999840e+00 4.023690000000000195e-11
3.839999999999999858e+00 3.904450000000000150e-11
3.859999999999999876e+00 3.788580000000000322e-11
3.879999999999999893e+00 3.675979999999999852e-11
3.899999999999999911e+00 3.566559999999999779e-11
3.919999999999999929e+00 3.460229999999999848e-11
3.939999999999999947e+00 3.356919999999999715e-11
3.959999999999999964e+00 3.256529999999999817e-11
3.979999999999999982e+00 3.158999999999999767e-11
4.000000000000000000e+00 3.064230000000000000e-11
4.019999999999999574e+00 2.972160000000000131e-11
4.040000000000000036e+00 2.882709999999999861e-11
4.059999999999999609e+00 2.795799999999999861e-11
4.080000000000000071e+00 2.711380000000000024e-11
4.099999999999999645e+00 2.629380000000000010e-11
4.120000000000000107e+00 2.549709999999999886e-11
4.139999999999999680e+00 2.472319999999999870e-11
4.160000000000000142e+00 2.397159999999999855e-11
4.179999999999999716e+00 2.324149999999999866e-11
4.200000000000000178e+00 2.253240000000000121e-11
4.219999999999999751e+00 2.184369999999999910e-11
4.240000000000000213e+00 2.117490000000000098e-11
4.259999999999999787e+00 2.052530000000000020e-11
4.280000000000000249e+00 1.989449999999999848e-11
4.299999999999999822e+00 1.928189999999999845e-11
4.320000000000000284e+00 1.868699999999999903e-11
4.339999999999999858e+00 1.810939999999999875e-11
4.360000000000000320e+00 1.754859999999999976e-11
4.379999999999999893e+00 1.700410000000000102e-11
4.400000000000000355e+00 1.647540000000000147e-11
4.419999999999999929e+00 1.596209999999999961e-11
4.440000000000000391e+00 1.546380000000000041e-11
4.459999999999999964e+00 1.498009999999999915e-11
4.480000000000000426e+00 1.451049999999999961e-11
4.500000000000000000e+00 1.405469999999999988e-11
4.519999999999999574e+00 1.361220000000000050e-11
4.540000000000000036e+00 1.318280000000000074e-11
4.559999999999999609e+00 1.276599999999999952e-11
4.580000000000000071e+00 1.236149999999999978e-11
4.599999999999999645e+00 1.196890000000000002e-11
4.620000000000000107e+00 1.158799999999999949e-11
4.639999999999999680e+00 1.121830000000000037e-11
4.660000000000000142e+00 1.085960000000000030e-11
4.679999999999999716e+00 1.051149999999999939e-11
4.700000000000000178e+00 1.017380000000000013e-11
4.719999999999999751e+00 9.846230000000000142e-12
4.740000000000000213e+00 9.528380000000000239e-12
4.769999999999999574e+00 9.220040000000000364e-12
4.790000000000000036e+00 8.920939999999999750e-12
4.809999999999999609e+00 8.630820000000000174e-12
4.830000000000000071e+00 8.349420000000000182e-12
4.849999999999999645e+00 8.076489999999999244e-12
4.870000000000000107e+00 7.811800000000000298e-12
4.889999999999999680e+00 7.555110000000000510e-12
4.910000000000000142e+00 7.306189999999999587e-12
4.929999999999999716e+00 7.064829999999999897e-12
4.950000000000000178e+00 6.830800000000000338e-12
4.969999999999999751e+00 6.603910000000000282e-12
4.990000000000000213e+00 6.383940000000000362e-12
5.009999999999999787e+00 6.170689999999999832e-12
5.030000000000000249e+00 5.963979999999999797e-12
5.049999999999999822e+00 5.763619999999999628e-12
5.070000000000000284e+00 5.569420000000000315e-12
5.089999999999999858e+00 5.381209999999999847e-12
5.110000000000000320e+00 5.198820000000000258e-12
5.129999999999999893e+00 5.022080000000000347e-12
5.150000000000000355e+00 4.850819999999999721e-12
5.169999999999999929e+00 4.684899999999999960e-12
5.190000000000000391e+00 4.524149999999999862e-12
5.209999999999999964e+00 4.368420000000000080e-12
5.230000000000000426e+00 4.217569999999999769e-12
5.250000000000000000e+00 4.071469999999999816e-12
5.269999999999999574e+00 3.929959999999999947e-12
5.290000000000000036e+00 3.792920000000000362e-12
5.309999999999999609e+00 3.660220000000000331e-12
5.330000000000000071e+00 3.531729999999999937e-12
5.349999999999999645e+00 3.407330000000000184e-12
5.370000000000000107e+00 3.286900000000000060e-12
5.389999999999999680e+00 3.170320000000000167e-12
5.410000000000000142e+00 3.057490000000000132e-12
5.429999999999999716e+00 2.948280000000000035e-12
5.450000000000000178e+00 2.842600000000000025e-12
5.469999999999999751e+00 2.740340000000000014e-12
5.490000000000000213e+00 2.641400000000000034e-12
5.509999999999999787e+00 2.545680000000000115e-12
5.530000000000000249e+00 2.453090000000000001e-12
5.549999999999999822e+00 2.363539999999999843e-12
5.570000000000000284e+00 2.276930000000000073e-12
5.589999999999999858e+00 2.193459999999999824e-12
5.610000000000000320e+00 2.112150000000000042e-12
5.629999999999999893e+00 2.033800000000000078e-12
5.650000000000000355e+00 1.958180000000000043e-12
5.669999999999999929e+00 1.885130000000000067e-12
5.690000000000000391e+00 1.814529999999999943e-12
5.709999999999999964e+00 1.746330000000000093e-12
5.730000000000000426e+00 1.680460000000000091e-12
5.750000000000000000e+00 1.616889999999999990e-12
5.769999999999999574e+00 1.555619999999999989e-12
5.790000000000000036e+00 1.496639999999999972e-12
5.809999999999999609e+00 1.439980000000000090e-12
5.830000000000000071e+00 1.385680000000000009e-12
5.849999999999999645e+00 1.333840000000000100e-12
5.870000000000000107e+00 1.284550000000000014e-12
5.889999999999999680e+00 1.237949999999999991e-12
5.910000000000000142e+00 1.194230000000000052e-12
5.929999999999999716e+00 1.153580000000000018e-12
5.950000000000000178e+00 1.116270000000000049e-12
5.969999999999999751e+00 1.082539999999999949e-12
5.990000000000000213e+00 1.052669999999999997e-12
6.009999999999999787e+00 1.026960000000000099e-12
6.030000000000000249e+00 1.005689999999999928e-12
6.049999999999999822e+00 9.891030000000000113e-13
6.070000000000000284e+00 9.774389999999999511e-13
6.089999999999999858e+00 9.708720000000000256e-13
6.110000000000000320e+00 9.695189999999999202e-13
6.129999999999999893e+00 9.734269999999999072e-13
6.150000000000000355e+00 9.825609999999999772e-13
6.169999999999999929e+00 9.968020000000000979e-13
6.190000000000000391e+00 1.015940000000000011e-12
6.209999999999999964e+00 1.039669999999999951e-12
6.230000000000000426e+00 1.067629999999999965e-12
6.250000000000000000e+00 1.099340000000000039e-12
6.269999999999999574e+00 1.134280000000000090e-12
6.290000000000000036e+00 1.171860000000000017e-12
6.309999999999999609e+00 1.211459999999999969e-12
6.330000000000000071e+00 1.252420000000000029e-12
6.349999999999999645e+00 1.294060000000000042e-12
6.370000000000000107e+00 1.335709999999999970e-12
6.389999999999999680e+00 1.376729999999999931e-12
6.410000000000000142e+00 1.416469999999999921e-12
6.429999999999999716e+00 1.454349999999999957e-12
6.450000000000000178e+00 1.489820000000000007e-12
6.469999999999999751e+00 1.522400000000000056e-12
6.490000000000000213e+00 1.551669999999999991e-12
6.509999999999999787e+00 1.577260000000000087e-12
6.530000000000000249e+00 1.598899999999999983e-12
6.549999999999999822e+00 1.616359999999999991e-12
6.570000000000000284e+00 1.629500000000000074e-12
6.589999999999999858e+00 1.637890000000000001e-12
6.610000000000000320e+00 1.642139999999999907e-12
6.629999999999999893e+00 1.641919999999999935e-12
6.650000000000000355e+00 1.637360000000000002e-12
6.669999999999999929e+00 1.628610000000000065e-12
6.690000000000000391e+00 1.615839999999999908e-12
6.709999999999999964e+00 1.599280000000000027e-12
6.730000000000000426e+00 1.579140000000000075e-12
6.750000000000000000e+00 1.555690000000000008e-12
6.769999999999999574e+00 1.529199999999999987e-12
6.790000000000000036e+00 1.499939999999999968e-12
6.809999999999999609e+00 1.468199999999999944e-12
6.830000000000000071e+00 1.434269999999999906e-12
6.849999999999999645e+00 1.398440000000000047e-12
6.870000000000000107e+00 1.360979999999999922e-12
6.889999999999999680e+00 1.322190000000000044e-12
6.910000000000000142e+00 1.282310000000000016e-12
6.929999999999999716e+00 1.241589999999999963e-12
6.950000000000000178e+00 1.200280000000000011e-12
6.969999999999999751e+00 1.158599999999999930e-12
6.990000000000000213e+00 1.116750000000000063e-12
7.009999999999999787e+00 1.074929999999999944e-12
7.030000000000000249e+00 1.033300000000000050e-12
7.049999999999999822e+00 9.920190000000000768e-13
7.070000000000000284e+00 9.512330000000000929e-13
7.089999999999999858e+00 9.110640000000000446e-13
7.110000000000000320e+00 8.716210000000000480e-13
7.129999999999999893e+00 8.329990000000000132e-13
7.150000000000000355e+00 7.952779999999999764e-13
7.169999999999999929e+00 7.585250000000000420e-13
7.190000000000000391e+00 7.227990000000000385e-13
7.209999999999999964e+00 6.881419999999999773e-13
7.230000000000000426e+00 6.545889999999999687e-13
7.259999999999999787e+00 6.221650000000000051e-13
7.280000000000000249e+00 5.908879999999999759e-13
7.299999999999999822e+00 5.607659999999999554e-13
7.320000000000000284e+00 5.318009999999999874e-13
7.339999999999999858e+00 5.039889999999999844e-13
7.360000000000000320e+00 4.773210000000000015e-13
7.379999999999999893e+00 4.517840000000000064e-13
7.400000000000000355e+00 4.273589999999999868e-13
7.419999999999999929e+00 4.040249999999999874e-13
7.440000000000000391e+00 3.817579999999999875e-13
7.459999999999999964e+00 3.605299999999999794e-13
7.480000000000000426e+00 3.403139999999999775e-13
7.500000000000000000e+00 3.210799999999999809e-13
7.519999999999999574e+00 3.027959999999999954e-13
7.540000000000000036e+00 2.854290000000000049e-13
