# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.058929999999999956e-10
3.520000000000000018e+00 1.029530000000000037e-10
3.540000000000000036e+00 1.000909999999999959e-10
3.560000000000000053e+00 9.730679999999999892e-11
3.580000000000000071e+00 9.459759999999999912e-11
3.600000000000000089e+00 9.196160000000000429e-11
3.620000000000000107e+00 8.939690000000000331e-11
3.640000000000000124e+00 8.690150000000000488e-11
3.660000000000000142e+00 8.447360000000000389e-11
3.680000000000000160e+00 8.211150000000000126e-11
3.700000000000000178e+00 7.981340000000000482e-11
3.720000000000000195e+00 7.757760000000000257e-11
3.740000000000000213e+00 7.540250000000000147e-11
3.759999999999999787e+00 7.328640000000000244e-11
3.779999999999999805e+00 7.122789999999999864e-11
3.799999999999999822e+00 6.922530000000000392e-11
3.819999999999999840e+00 6.727719999999999852e-11
3.839999999999999858e+00 6.538209999999999542e-11
3.859999999999999876e+00 6.353869999999999380e-11
3.879999999999999893e+00 6.174549999999999373e-11
3.899999999999999911e+00 6.000130000000000041e-11
3.919999999999999929e+00 5.830460000000000099e-11
3.939999999999999947e+00 5.665439999999999980e-11
3.959999999999999964e+00 5.504919999999999691e-11
3.979999999999999982e+00 5.348800000000000312e-11
4.000000000000000000e+00 5.196949999999999823e-11
4.019999999999999574e+00 5.049269999999999951e-11
4.040000000000000036e+00 4.905629999999999969e-11
4.059999999999999609e+00 4.765940000000000269e-11
4.080000000000000071e+00 4.630080000000000078e-11
4.099999999999999645e+00 4.497959999999999789e-11
4.120000000000000107e+00 4.369469999999999879e-11
4.139999999999999680e+00 4.244520000000000093e-11
4.160000000000000142e+00 4.123020000000000177e-11
4.179999999999999716e+00 4.004859999999999961e-11
4.200000000000000178e+00 3.889959999999999795e-11
4.219999999999999751e+00 3.778240000000000024e-11
4.240000000000000213e+00 3.669599999999999793e-11
4.259999999999999787e+00 3.563970000000000050e-11
4.280000000000000249e+00 3.461269999999999851e-11
4.299999999999999822e+00 3.361410000000000234e-11
4.320000000000000284e+00 3.264320000000000211e-11
4.339999999999999858e+00 3.169920000000000128e-11
4.360000000000000320e+00 3.078150000000000248e-11
4.379999999999999893e+00 2.988930000000000271e-11
4.400000000000000355e+00 2.902189999999999855e-11
4.419999999999999929e+00 2.817859999999999950e-11
4.440000000000000391e+00 2.735890000000000129e-11
4.459999999999999964e+00 2.656200000000000092e-11
4.480000000000000426e+00 2.578740000000000056e-11
4.500000000000000000e+00 2.503449999999999960e-11
4.519999999999999574e+00 2.430260000000000108e-11
4.540000000000000036e+00 2.359120000000000069e-11
4.559999999999999609e+00 2.289980000000000063e-11
4.580000000000000071e+00 2.222770000000000070e-11
4.599999999999999645e+00 2.157449999999999940e-11
4.620000000000000107e+00 2.093969999999999892e-11
4.639999999999999680e+00 2.032269999999999862e-11
4.660000000000000142e+00 1.972319999999999981e-11
4.679999999999999716e+00 1.914049999999999907e-11
4.700000000000000178e+00 1.857420000000000137e-11
4.719999999999999751e+00 1.802400000000000156e-11
4.740000000000000213e+00 1.748929999999999900e-11
4.769999999999999574e+00 1.696969999999999867e-11
4.790000000000000036e+00 1.646489999999999864e-11
4.809999999999999609e+00 1.597440000000000108e-11
4.830000000000000071e+00 1.549780000000000127e-11
4.849999999999999645e+00 1.503470000000000095e-11
4.870000000000000107e+00 1.458490000000000099e-11
4.889999999999999680e+00 1.414780000000000076e-11
4.910000000000000142e+00 1.372319999999999952e-11
4.929999999999999716e+00 1.331070000000000063e-11
4.950000000000000178e+00 1.291000000000000053e-11
4.969999999999999751e+00 1.252080000000000053e-11
4.990000000000000213e+00 1.214270000000000076e-11
5.009999999999999787e+00 1.177550000000000046e-11
5.030000000000000249e+00 1.141879999999999977e-11
