# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 4.504640000000000181e-13
3.520000000000000018e+00 4.332020000000000054e-13
3.540000000000000036e+00 4.165240000000000132e-13
3.560000000000000053e+00 4.004130000000000226e-13
3.580000000000000071e+00 3.848540000000000078e-13
3.600000000000000089e+00 3.698280000000000070e-13
3.620000000000000107e+00 3.553199999999999945e-13
3.640000000000000124e+00 3.413140000000000237e-13
3.660000000000000142e+00 3.277939999999999965e-13
3.680000000000000160e+00 3.147460000000000101e-13
3.700000000000000178e+00 3.021549999999999883e-13
3.720000000000000195e+00 2.900069999999999779e-13
3.740000000000000213e+00 2.782889999999999969e-13
3.759999999999999787e+00 2.669860000000000197e-13
3.779999999999999805e+00 2.560870000000000073e-13
3.799999999999999822e+00 2.455799999999999997e-13
3.819999999999999840e+00 2.354520000000000150e-13
3.839999999999999858e+00 2.256940000000000075e-13
3.859999999999999876e+00 2.162960000000000106e-13
3.879999999999999893e+00 2.072540000000000123e-13
3.899999999999999911e+00 1.985899999999999899e-13
3.919999999999999929e+00 1.902129999999999944e-13
3.939999999999999947e+00 1.822350000000000055e-13
3.959999999999999964e+00 1.746429999999999910e-13
3.979999999999999982e+00 1.675059999999999983e-13
4.000000000000000000e+00 1.608929999999999991e-13
4.019999999999999574e+00 1.549169999999999951e-13
4.040000000000000036e+00 1.497930000000000010e-13
4.059999999999999609e+00 1.458280000000000022e-13
4.080000000000000071e+00 1.434750000000000021e-13
4.099999999999999645e+00 1.433830000000000061e-13
4.120000000000000107e+00 1.464579999999999955e-13
4.139999999999999680e+00 1.539409999999999950e-13
4.160000000000000142e+00 1.674810000000000060e-13
4.179999999999999716e+00 1.892240000000000124e-13
4.200000000000000178e+00 2.218950000000000102e-13
4.219999999999999751e+00 2.688660000000000077e-13
4.240000000000000213e+00 3.342069999999999814e-13
4.259999999999999787e+00 4.227160000000000034e-13
4.280000000000000249e+00 5.399050000000000102e-13
4.299999999999999822e+00 6.919070000000000122e-13
4.320000000000000284e+00 8.854869999999999810e-13
4.339999999999999858e+00 1.127710000000000049e-12
4.360000000000000320e+00 1.425890000000000097e-12
4.379999999999999893e+00 1.787239999999999966e-12
4.400000000000000355e+00 2.218660000000000161e-12
4.419999999999999929e+00 2.726390000000000058e-12
4.440000000000000391e+00 3.315779999999999832e-12
4.459999999999999964e+00 3.990879999999999651e-12
4.480000000000000426e+00 4.754329999999999998e-12
4.500000000000000000e+00 5.607009999999999955e-12
4.519999999999999574e+00 6.547999999999999968e-12
4.540000000000000036e+00 7.574359999999999241e-12
4.559999999999999609e+00 8.681230000000000158e-12
4.580000000000000071e+00 9.861760000000000178e-12
4.599999999999999645e+00 1.110739999999999930e-11
4.620000000000000107e+00 1.240780000000000050e-11
4.639999999999999680e+00 1.375130000000000018e-11
4.660000000000000142e+00 1.512530000000000140e-11
4.679999999999999716e+00 1.651599999999999950e-11
4.700000000000000178e+00 1.790929999999999923e-11
4.719999999999999751e+00 1.929110000000000047e-11
4.740000000000000213e+00 2.064720000000000031e-11
4.769999999999999574e+00 2.196399999999999971e-11
4.790000000000000036e+00 2.322850000000000023e-11
4.809999999999999609e+00 2.442879999999999866e-11
4.830000000000000071e+00 2.555400000000000037e-11
4.849999999999999645e+00 2.659460000000000141e-11
4.870000000000000107e+00 2.754250000000000144e-11
4.889999999999999680e+00 2.839110000000000006e-11
4.910000000000000142e+00 2.913529999999999683e-11
4.929999999999999716e+00 2.977169999999999683e-11
4.950000000000000178e+00 3.029789999999999755e-11
4.969999999999999751e+00 3.071340000000000118e-11
4.990000000000000213e+00 3.101879999999999865e-11
5.009999999999999787e+00 3.121590000000000152e-11
5.030000000000000249e+00 3.130749999999999761e-11
5.049999999999999822e+00 3.129740000000000273e-11
5.070000000000000284e+00 3.119030000000000292e-11
5.089999999999999858e+00 3.099160000000000054e-11
5.110000000000000320e+00 3.070689999999999712e-11
5.129999999999999893e+00 3.034259999999999715e-11
5.150000000000000355e+00 2.990519999999999823e-11
5.169999999999999929e+00 2.940139999999999708e-11
5.190000000000000391e+00 2.883799999999999970e-11
5.209999999999999964e+00 2.822169999999999959e-11
5.230000000000000426e+00 2.755919999999999994e-11
5.250000000000000000e+00 2.685700000000000158e-11
5.269999999999999574e+00 2.612139999999999975e-11
5.290000000000000036e+00 2.535830000000000111e-11
5.309999999999999609e+00 2.457349999999999985e-11
5.330000000000000071e+00 2.377229999999999878e-11
5.349999999999999645e+00 2.295980000000000159e-11
5.370000000000000107e+00 2.214039999999999884e-11
5.389999999999999680e+00 2.131840000000000093e-11
5.410000000000000142e+00 2.049789999999999973e-11
5.429999999999999716e+00 1.968220000000000029e-11
5.450000000000000178e+00 1.887439999999999882e-11
5.469999999999999751e+00 1.807739999999999888e-11
5.490000000000000213e+00 1.729359999999999974e-11
5.509999999999999787e+00 1.652499999999999916e-11
5.530000000000000249e+00 1.577370000000000094e-11
5.549999999999999822e+00 1.504089999999999986e-11
5.570000000000000284e+00 1.432820000000000028e-11
5.589999999999999858e+00 1.363640000000000034e-11
5.610000000000000320e+00 1.296629999999999979e-11
5.629999999999999893e+00 1.231860000000000044e-11
5.650000000000000355e+00 1.169380000000000011e-11
5.669999999999999929e+00 1.109190000000000043e-11
5.690000000000000391e+00 1.051320000000000008e-11
5.709999999999999964e+00 9.957560000000000638e-12
5.730000000000000426e+00 9.424910000000000479e-12
5.750000000000000000e+00 8.914960000000000214e-12
5.769999999999999574e+00 8.427359999999999747e-12
5.790000000000000036e+00 7.961729999999999438e-12
5.809999999999999609e+00 7.517580000000000770e-12
5.830000000000000071e+00 7.094369999999999789e-12
5.849999999999999645e+00 6.691530000000000266e-12
5.870000000000000107e+00 6.308470000000000079e-12
5.889999999999999680e+00 5.944539999999999629e-12
5.910000000000000142e+00 5.599100000000000245e-12
5.929999999999999716e+00 5.271460000000000239e-12
5.950000000000000178e+00 4.960980000000000132e-12
5.969999999999999751e+00 4.666959999999999735e-12
5.990000000000000213e+00 4.388719999999999903e-12
6.009999999999999787e+00 4.125610000000000229e-12
6.030000000000000249e+00 3.876949999999999954e-12
6.049999999999999822e+00 3.642099999999999597e-12
6.070000000000000284e+00 3.420420000000000081e-12
6.089999999999999858e+00 3.211269999999999907e-12
6.110000000000000320e+00 3.014069999999999899e-12
6.129999999999999893e+00 2.828219999999999838e-12
6.150000000000000355e+00 2.653140000000000143e-12
6.169999999999999929e+00 2.488290000000000094e-12
6.190000000000000391e+00 2.333130000000000177e-12
6.209999999999999964e+00 2.187169999999999858e-12
6.230000000000000426e+00 2.049889999999999861e-12
6.250000000000000000e+00 1.920840000000000123e-12
6.269999999999999574e+00 1.799569999999999975e-12
6.290000000000000036e+00 1.685640000000000075e-12
6.309999999999999609e+00 1.578649999999999943e-12
6.330000000000000071e+00 1.478189999999999985e-12
6.349999999999999645e+00 1.383909999999999906e-12
6.370000000000000107e+00 1.295450000000000099e-12
6.389999999999999680e+00 1.212460000000000066e-12
6.410000000000000142e+00 1.134629999999999983e-12
6.429999999999999716e+00 1.061659999999999941e-12
6.450000000000000178e+00 9.932599999999999500e-13
6.469999999999999751e+00 9.291530000000000496e-13
6.490000000000000213e+00 8.690869999999999701e-13
6.509999999999999787e+00 8.128180000000000208e-13
6.530000000000000249e+00 7.601129999999999944e-13
6.549999999999999822e+00 7.107580000000000497e-13
6.570000000000000284e+00 6.645489999999999586e-13
6.589999999999999858e+00 6.212910000000000433e-13
6.610000000000000320e+00 5.808009999999999806e-13
6.629999999999999893e+00 5.429099999999999555e-13
6.650000000000000355e+00 5.074549999999999819e-13
6.669999999999999929e+00 4.742850000000000334e-13
6.690000000000000391e+00 4.432559999999999845e-13
6.709999999999999964e+00 4.142339999999999796e-13
6.730000000000000426e+00 3.870920000000000130e-13
6.750000000000000000e+00 3.617120000000000242e-13
6.769999999999999574e+00 3.379819999999999830e-13
6.790000000000000036e+00 3.157970000000000124e-13
6.809999999999999609e+00 2.950589999999999850e-13
6.830000000000000071e+00 2.756749999999999840e-13
6.849999999999999645e+00 2.575580000000000219e-13
6.870000000000000107e+00 2.406280000000000123e-13
6.889999999999999680e+00 2.248080000000000100e-13
6.910000000000000142e+00 2.100269999999999996e-13
6.929999999999999716e+00 1.962170000000000059e-13
6.950000000000000178e+00 1.833160000000000087e-13
6.969999999999999751e+00 1.712650000000000028e-13
6.990000000000000213e+00 1.600089999999999950e-13
7.009999999999999787e+00 1.494960000000000074e-13
7.030000000000000249e+00 1.396779999999999982e-13
7.049999999999999822e+00 1.305099999999999912e-13
7.070000000000000284e+00 1.219490000000000037e-13
7.089999999999999858e+00 1.139549999999999925e-13
7.110000000000000320e+00 1.064920000000000020e-13
7.129999999999999893e+00 9.952470000000000101e-14
7.150000000000000355e+00 9.302050000000000233e-14
7.169999999999999929e+00 8.694909999999999601e-14
7.190000000000000391e+00 8.128220000000000327e-14
7.209999999999999964e+00 7.599309999999999706e-14
7.230000000000000426e+00 7.105679999999999768e-14
7.259999999999999787e+00 6.645019999999999892e-14
7.280000000000000249e+00 6.215159999999999490e-14
7.299999999999999822e+00 5.814070000000000539e-14
7.320000000000000284e+00 5.439820000000000266e-14
7.339999999999999858e+00 5.090660000000000091e-14
7.360000000000000320e+00 4.764929999999999746e-14
7.379999999999999893e+00 4.461079999999999985e-14
7.400000000000000355e+00 4.177639999999999782e-14
7.419999999999999929e+00 3.913259999999999852e-14
7.440000000000000391e+00 3.666700000000000042e-14
7.459999999999999964e+00 3.436749999999999846e-14
