# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.836390000000000196e-12
3.520000000000000018e+00 2.740979999999999898e-12
3.540000000000000036e+00 2.648520000000000109e-12
3.560000000000000053e+00 2.558910000000000049e-12
3.580000000000000071e+00 2.472069999999999987e-12
3.600000000000000089e+00 2.387940000000000021e-12
3.620000000000000107e+00 2.304560000000000027e-12
3.640000000000000124e+00 2.225660000000000030e-12
3.660000000000000142e+00 2.149209999999999886e-12
3.680000000000000160e+00 2.075150000000000099e-12
3.700000000000000178e+00 2.003390000000000009e-12
3.720000000000000195e+00 1.933879999999999834e-12
3.740000000000000213e+00 1.866549999999999958e-12
3.759999999999999787e+00 1.801349999999999993e-12
3.779999999999999805e+00 1.738200000000000005e-12
3.799999999999999822e+00 1.677050000000000008e-12
3.819999999999999840e+00 1.617859999999999934e-12
3.839999999999999858e+00 1.560589999999999917e-12
3.859999999999999876e+00 1.505219999999999921e-12
3.879999999999999893e+00 1.451769999999999982e-12
3.899999999999999911e+00 1.400309999999999917e-12
3.919999999999999929e+00 1.350830000000000011e-12
3.939999999999999947e+00 1.303679999999999954e-12
3.959999999999999964e+00 1.259180000000000093e-12
3.979999999999999982e+00 1.217819999999999954e-12
4.000000000000000000e+00 1.180380000000000066e-12
4.019999999999999574e+00 1.147909999999999902e-12
4.040000000000000036e+00 1.121889999999999979e-12
4.059999999999999609e+00 1.104230000000000032e-12
4.080000000000000071e+00 1.097360000000000082e-12
4.099999999999999645e+00 1.104330000000000001e-12
4.120000000000000107e+00 1.128809999999999913e-12
4.139999999999999680e+00 1.175169999999999929e-12
4.160000000000000142e+00 1.248440000000000080e-12
4.179999999999999716e+00 1.354329999999999945e-12
4.200000000000000178e+00 1.499160000000000046e-12
4.219999999999999751e+00 1.689830000000000081e-12
4.240000000000000213e+00 1.933679999999999895e-12
4.259999999999999787e+00 2.238430000000000187e-12
4.280000000000000249e+00 2.612079999999999912e-12
4.299999999999999822e+00 3.062680000000000032e-12
4.320000000000000284e+00 3.598340000000000195e-12
4.339999999999999858e+00 4.226920000000000330e-12
4.360000000000000320e+00 4.956050000000000072e-12
4.379999999999999893e+00 5.792769999999999762e-12
4.400000000000000355e+00 6.743580000000000231e-12
4.419999999999999929e+00 7.814020000000000666e-12
4.440000000000000391e+00 9.008680000000000343e-12
4.459999999999999964e+00 1.033079999999999956e-11
4.480000000000000426e+00 1.178229999999999999e-11
4.500000000000000000e+00 1.336320000000000025e-11
4.519999999999999574e+00 1.507190000000000084e-11
4.540000000000000036e+00 1.690470000000000005e-11
4.559999999999999609e+00 1.885579999999999888e-11
4.580000000000000071e+00 2.091700000000000064e-11
4.599999999999999645e+00 2.307820000000000076e-11
4.620000000000000107e+00 2.532669999999999951e-11
4.639999999999999680e+00 2.764799999999999851e-11
4.660000000000000142e+00 3.002589999999999710e-11
