# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.435480000000000544e-12
3.520000000000000018e+00 7.194760000000000334e-12
3.540000000000000036e+00 6.961249999999999646e-12
3.560000000000000053e+00 6.734740000000000038e-12
3.580000000000000071e+00 6.515040000000000076e-12
3.600000000000000089e+00 6.301949999999999820e-12
3.620000000000000107e+00 6.095299999999999685e-12
3.640000000000000124e+00 5.894889999999999734e-12
3.660000000000000142e+00 5.700540000000000265e-12
3.680000000000000160e+00 5.512100000000000312e-12
3.700000000000000178e+00 5.329380000000000057e-12
3.720000000000000195e+00 5.152230000000000150e-12
3.740000000000000213e+00 4.980490000000000319e-12
3.759999999999999787e+00 4.814000000000000288e-12
3.779999999999999805e+00 4.652620000000000021e-12
3.799999999999999822e+00 4.496200000000000168e-12
3.819999999999999840e+00 4.344589999999999767e-12
3.839999999999999858e+00 4.197669999999999823e-12
3.859999999999999876e+00 4.055300000000000300e-12
3.879999999999999893e+00 3.917359999999999779e-12
3.899999999999999911e+00 3.783779999999999857e-12
3.919999999999999929e+00 3.654320000000000124e-12
3.939999999999999947e+00 3.529059999999999909e-12
3.959999999999999964e+00 3.405729999999999868e-12
3.979999999999999982e+00 3.288780000000000048e-12
4.000000000000000000e+00 3.175969999999999845e-12
4.019999999999999574e+00 3.067589999999999857e-12
4.040000000000000036e+00 2.963840000000000021e-12
4.059999999999999609e+00 2.865240000000000017e-12
4.080000000000000071e+00 2.772590000000000003e-12
4.099999999999999645e+00 2.687019999999999995e-12
4.120000000000000107e+00 2.610120000000000191e-12
4.139999999999999680e+00 2.544070000000000084e-12
4.160000000000000142e+00 2.491810000000000062e-12
4.179999999999999716e+00 2.457200000000000072e-12
4.200000000000000178e+00 2.445260000000000023e-12
4.219999999999999751e+00 2.462340000000000189e-12
4.240000000000000213e+00 2.516419999999999894e-12
4.259999999999999787e+00 2.617269999999999813e-12
4.280000000000000249e+00 2.776600000000000104e-12
4.299999999999999822e+00 3.008399999999999985e-12
4.320000000000000284e+00 3.328719999999999977e-12
4.339999999999999858e+00 3.755760000000000144e-12
4.360000000000000320e+00 4.309750000000000291e-12
4.379999999999999893e+00 5.012550000000000083e-12
4.400000000000000355e+00 5.887320000000000000e-12
4.419999999999999929e+00 6.957800000000000100e-12
4.440000000000000391e+00 8.247719999999999515e-12
4.459999999999999964e+00 9.779790000000000680e-12
4.480000000000000426e+00 1.157499999999999945e-11
4.500000000000000000e+00 1.365149999999999934e-11
4.519999999999999574e+00 1.602389999999999920e-11
4.540000000000000036e+00 1.870199999999999846e-11
4.559999999999999609e+00 2.169049999999999931e-11
4.580000000000000071e+00 2.498810000000000093e-11
4.599999999999999645e+00 2.858730000000000038e-11
4.620000000000000107e+00 3.247400000000000077e-11
4.639999999999999680e+00 3.662759999999999793e-11
4.660000000000000142e+00 4.102139999999999805e-11
4.679999999999999716e+00 4.562280000000000064e-11
4.700000000000000178e+00 5.039380000000000283e-11
4.719999999999999751e+00 5.529269999999999844e-11
4.740000000000000213e+00 6.027410000000000386e-11
4.769999999999999574e+00 6.529020000000000063e-11
4.790000000000000036e+00 7.029169999999999623e-11
4.809999999999999609e+00 7.522959999999999683e-11
4.830000000000000071e+00 8.005550000000000598e-11
4.849999999999999645e+00 8.472270000000000047e-11
4.870000000000000107e+00 8.918709999999999748e-11
4.889999999999999680e+00 9.340819999999999855e-11
4.910000000000000142e+00 9.734969999999999988e-11
4.929999999999999716e+00 1.009799999999999966e-10
4.950000000000000178e+00 1.042710000000000011e-10
4.969999999999999751e+00 1.072020000000000063e-10
4.990000000000000213e+00 1.097549999999999999e-10
5.009999999999999787e+00 1.119209999999999954e-10
5.030000000000000249e+00 1.136910000000000058e-10
5.049999999999999822e+00 1.150639999999999968e-10
5.070000000000000284e+00 1.160429999999999942e-10
5.089999999999999858e+00 1.166350000000000062e-10
5.110000000000000320e+00 1.168509999999999980e-10
5.129999999999999893e+00 1.167050000000000121e-10
5.150000000000000355e+00 1.162119999999999964e-10
5.169999999999999929e+00 1.153920000000000059e-10
5.190000000000000391e+00 1.142660000000000012e-10
5.209999999999999964e+00 1.128560000000000030e-10
5.230000000000000426e+00 1.111859999999999974e-10
5.250000000000000000e+00 1.092780000000000051e-10
5.269999999999999574e+00 1.071569999999999951e-10
5.290000000000000036e+00 1.048480000000000008e-10
5.309999999999999609e+00 1.023739999999999998e-10
5.330000000000000071e+00 9.975730000000000509e-11
5.349999999999999645e+00 9.702150000000000457e-11
5.370000000000000107e+00 9.418770000000000346e-11
5.389999999999999680e+00 9.127630000000000357e-11
5.410000000000000142e+00 8.830649999999999899e-11
5.429999999999999716e+00 8.529610000000000285e-11
5.450000000000000178e+00 8.226189999999999383e-11
5.469999999999999751e+00 7.921909999999999634e-11
5.490000000000000213e+00 7.618179999999999432e-11
5.509999999999999787e+00 7.316259999999999766e-11
5.530000000000000249e+00 7.017269999999999643e-11
5.549999999999999822e+00 6.722249999999999715e-11
5.570000000000000284e+00 6.432069999999999431e-11
5.589999999999999858e+00 6.147519999999999881e-11
5.610000000000000320e+00 5.869250000000000179e-11
5.629999999999999893e+00 5.597819999999999830e-11
5.650000000000000355e+00 5.333719999999999936e-11
5.669999999999999929e+00 5.077320000000000180e-11
5.690000000000000391e+00 4.828909999999999949e-11
5.709999999999999964e+00 4.588720000000000182e-11
5.730000000000000426e+00 4.356920000000000139e-11
5.750000000000000000e+00 4.133590000000000121e-11
5.769999999999999574e+00 3.918779999999999908e-11
5.790000000000000036e+00 3.712480000000000191e-11
5.809999999999999609e+00 3.514639999999999895e-11
5.830000000000000071e+00 3.325170000000000058e-11
5.849999999999999645e+00 3.143959999999999863e-11
5.870000000000000107e+00 2.970840000000000052e-11
5.889999999999999680e+00 2.805669999999999939e-11
5.910000000000000142e+00 2.648240000000000114e-11
5.929999999999999716e+00 2.498339999999999874e-11
5.950000000000000178e+00 2.355760000000000132e-11
5.969999999999999751e+00 2.220259999999999993e-11
5.990000000000000213e+00 2.091610000000000132e-11
6.009999999999999787e+00 1.969560000000000021e-11
6.030000000000000249e+00 1.853870000000000056e-11
6.049999999999999822e+00 1.744290000000000033e-11
6.070000000000000284e+00 1.640560000000000110e-11
6.089999999999999858e+00 1.542449999999999996e-11
6.110000000000000320e+00 1.449709999999999969e-11
6.129999999999999893e+00 1.362089999999999985e-11
6.150000000000000355e+00 1.279370000000000030e-11
6.169999999999999929e+00 1.201310000000000018e-11
6.190000000000000391e+00 1.127700000000000052e-11
6.209999999999999964e+00 1.058300000000000044e-11
6.230000000000000426e+00 9.929139999999999432e-12
6.250000000000000000e+00 9.313360000000000616e-12
6.269999999999999574e+00 8.733700000000000237e-12
6.290000000000000036e+00 8.188250000000000779e-12
6.309999999999999609e+00 7.675190000000000136e-12
6.330000000000000071e+00 7.192780000000000377e-12
6.349999999999999645e+00 6.739369999999999787e-12
6.370000000000000107e+00 6.313350000000000357e-12
6.389999999999999680e+00 5.913180000000000053e-12
6.410000000000000142e+00 5.537429999999999761e-12
6.429999999999999716e+00 5.184710000000000028e-12
6.450000000000000178e+00 4.853680000000000378e-12
6.469999999999999751e+00 4.543099999999999897e-12
6.490000000000000213e+00 4.251790000000000001e-12
6.509999999999999787e+00 3.978620000000000267e-12
6.530000000000000249e+00 3.722510000000000059e-12
6.549999999999999822e+00 3.482439999999999851e-12
6.570000000000000284e+00 3.257479999999999969e-12
6.589999999999999858e+00 3.046699999999999933e-12
6.610000000000000320e+00 2.849240000000000085e-12
6.629999999999999893e+00 2.664309999999999984e-12
6.650000000000000355e+00 2.491130000000000110e-12
6.669999999999999929e+00 2.328990000000000156e-12
6.690000000000000391e+00 2.177200000000000053e-12
6.709999999999999964e+00 2.035130000000000033e-12
6.730000000000000426e+00 1.902179999999999878e-12
6.750000000000000000e+00 1.777770000000000007e-12
6.769999999999999574e+00 1.661370000000000018e-12
6.790000000000000036e+00 1.552469999999999947e-12
6.809999999999999609e+00 1.450619999999999932e-12
6.830000000000000071e+00 1.355359999999999992e-12
6.849999999999999645e+00 1.266290000000000050e-12
6.870000000000000107e+00 1.182989999999999991e-12
6.889999999999999680e+00 1.105109999999999923e-12
6.910000000000000142e+00 1.032299999999999953e-12
6.929999999999999716e+00 9.642449999999999974e-13
6.950000000000000178e+00 9.006299999999999701e-13
6.969999999999999751e+00 8.411759999999999692e-13
6.990000000000000213e+00 7.856140000000000087e-13
7.009999999999999787e+00 7.336929999999999919e-13
7.030000000000000249e+00 6.851800000000000147e-13
7.049999999999999822e+00 6.398529999999999596e-13
7.070000000000000284e+00 5.975040000000000155e-13
7.089999999999999858e+00 5.579429999999999582e-13
7.110000000000000320e+00 5.209890000000000129e-13
7.129999999999999893e+00 4.864710000000000180e-13
7.150000000000000355e+00 4.542309999999999958e-13
7.169999999999999929e+00 4.241200000000000144e-13
7.190000000000000391e+00 3.960010000000000006e-13
7.209999999999999964e+00 3.697430000000000129e-13
7.230000000000000426e+00 3.452229999999999821e-13
