# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.469590000000000001e-11
3.520000000000000018e+00 1.423249999999999938e-11
3.540000000000000036e+00 1.378280000000000060e-11
3.560000000000000053e+00 1.334619999999999982e-11
3.580000000000000071e+00 1.292260000000000069e-11
3.600000000000000089e+00 1.251139999999999938e-11
3.620000000000000107e+00 1.211239999999999997e-11
3.640000000000000124e+00 1.172530000000000054e-11
3.660000000000000142e+00 1.134960000000000003e-11
3.680000000000000160e+00 1.098509999999999931e-11
3.700000000000000178e+00 1.063140000000000012e-11
3.720000000000000195e+00 1.028830000000000010e-11
3.740000000000000213e+00 9.955380000000000742e-12
3.759999999999999787e+00 9.632459999999999933e-12
3.779999999999999805e+00 9.319229999999999661e-12
3.799999999999999822e+00 9.015400000000000541e-12
3.819999999999999840e+00 8.720709999999999501e-12
3.839999999999999858e+00 8.434909999999999245e-12
3.859999999999999876e+00 8.157730000000000622e-12
3.879999999999999893e+00 7.888940000000000108e-12
3.899999999999999911e+00 7.628310000000000642e-12
3.919999999999999929e+00 7.375610000000000316e-12
3.939999999999999947e+00 7.130629999999999879e-12
3.959999999999999964e+00 6.893189999999999631e-12
3.979999999999999982e+00 6.663140000000000222e-12
4.000000000000000000e+00 6.440420000000000137e-12
4.019999999999999574e+00 6.225069999999999848e-12
4.040000000000000036e+00 6.017329999999999766e-12
4.059999999999999609e+00 5.817749999999999924e-12
4.080000000000000071e+00 5.627400000000000033e-12
4.099999999999999645e+00 5.448029999999999758e-12
4.120000000000000107e+00 5.282470000000000209e-12
4.139999999999999680e+00 5.135019999999999661e-12
4.160000000000000142e+00 5.011909999999999795e-12
4.179999999999999716e+00 4.921949999999999641e-12
4.200000000000000178e+00 4.877200000000000261e-12
4.219999999999999751e+00 4.890950000000000278e-12
4.240000000000000213e+00 4.988770000000000360e-12
4.259999999999999787e+00 5.193309999999999810e-12
4.280000000000000249e+00 5.535389999999999903e-12
4.299999999999999822e+00 6.051290000000000159e-12
4.320000000000000284e+00 6.782620000000000032e-12
4.339999999999999858e+00 7.775660000000000009e-12
4.360000000000000320e+00 9.080459999999999862e-12
4.379999999999999893e+00 1.074929999999999985e-11
4.400000000000000355e+00 1.283500000000000014e-11
4.419999999999999929e+00 1.538870000000000046e-11
4.440000000000000391e+00 1.845779999999999997e-11
4.459999999999999964e+00 2.208299999999999951e-11
4.480000000000000426e+00 2.629639999999999850e-11
4.500000000000000000e+00 3.111910000000000217e-11
4.519999999999999574e+00 3.655909999999999838e-11
4.540000000000000036e+00 4.261040000000000027e-11
4.559999999999999609e+00 4.925220000000000131e-11
4.580000000000000071e+00 5.644760000000000032e-11
4.599999999999999645e+00 6.414550000000000612e-11
4.620000000000000107e+00 7.228049999999999922e-11
4.639999999999999680e+00 8.077510000000000627e-11
4.660000000000000142e+00 8.954210000000000556e-11
4.679999999999999716e+00 9.848589999999999902e-11
4.700000000000000178e+00 1.075060000000000034e-10
4.719999999999999751e+00 1.164990000000000027e-10
4.740000000000000213e+00 1.253640000000000026e-10
4.769999999999999574e+00 1.340000000000000026e-10
4.790000000000000036e+00 1.423119999999999889e-10
4.809999999999999609e+00 1.502139999999999995e-10
4.830000000000000071e+00 1.576270000000000028e-10
4.849999999999999645e+00 1.644830000000000099e-10
4.870000000000000107e+00 1.707230000000000059e-10
4.889999999999999680e+00 1.763019999999999925e-10
4.910000000000000142e+00 1.811829999999999884e-10
4.929999999999999716e+00 1.853449999999999943e-10
4.950000000000000178e+00 1.887730000000000108e-10
4.969999999999999751e+00 1.914660000000000035e-10
4.990000000000000213e+00 1.934289999999999893e-10
5.009999999999999787e+00 1.946769999999999937e-10
5.030000000000000249e+00 1.952339999999999898e-10
5.049999999999999822e+00 1.951259999999999939e-10
5.070000000000000284e+00 1.943890000000000046e-10
5.089999999999999858e+00 1.930600000000000033e-10
5.110000000000000320e+00 1.911800000000000057e-10
5.129999999999999893e+00 1.887930000000000014e-10
5.150000000000000355e+00 1.859430000000000061e-10
5.169999999999999929e+00 1.826760000000000007e-10
5.190000000000000391e+00 1.790379999999999922e-10
5.209999999999999964e+00 1.750729999999999961e-10
5.230000000000000426e+00 1.708260000000000106e-10
5.250000000000000000e+00 1.663379999999999999e-10
5.269999999999999574e+00 1.616509999999999880e-10
5.290000000000000036e+00 1.568029999999999909e-10
5.309999999999999609e+00 1.518300000000000072e-10
5.330000000000000071e+00 1.467650000000000097e-10
5.349999999999999645e+00 1.416409999999999972e-10
5.370000000000000107e+00 1.364849999999999945e-10
5.389999999999999680e+00 1.313250000000000092e-10
5.410000000000000142e+00 1.261829999999999974e-10
5.429999999999999716e+00 1.210809999999999927e-10
5.450000000000000178e+00 1.160369999999999944e-10
5.469999999999999751e+00 1.110690000000000018e-10
5.490000000000000213e+00 1.061920000000000015e-10
5.509999999999999787e+00 1.014160000000000016e-10
5.530000000000000249e+00 9.675329999999999406e-11
5.549999999999999822e+00 9.221239999999999995e-11
5.570000000000000284e+00 8.780070000000000008e-11
5.589999999999999858e+00 8.352359999999999683e-11
5.610000000000000320e+00 7.938549999999999692e-11
5.629999999999999893e+00 7.538970000000000540e-11
5.650000000000000355e+00 7.153820000000000066e-11
5.669999999999999929e+00 6.783200000000000419e-11
5.690000000000000391e+00 6.427110000000000308e-11
5.709999999999999964e+00 6.085509999999999906e-11
5.730000000000000426e+00 5.758269999999999777e-11
5.750000000000000000e+00 5.445190000000000146e-11
5.769999999999999574e+00 5.146030000000000116e-11
5.790000000000000036e+00 4.860510000000000259e-11
5.809999999999999609e+00 4.588319999999999981e-11
5.830000000000000071e+00 4.329090000000000247e-11
5.849999999999999645e+00 4.082460000000000035e-11
5.870000000000000107e+00 3.848049999999999704e-11
5.889999999999999680e+00 3.625449999999999743e-11
5.910000000000000142e+00 3.414220000000000127e-11
5.929999999999999716e+00 3.213969999999999966e-11
5.950000000000000178e+00 3.024259999999999879e-11
5.969999999999999751e+00 2.844670000000000075e-11
5.990000000000000213e+00 2.674769999999999840e-11
6.009999999999999787e+00 2.514149999999999985e-11
6.030000000000000249e+00 2.362400000000000031e-11
6.049999999999999822e+00 2.219099999999999864e-11
6.070000000000000284e+00 2.083869999999999844e-11
6.089999999999999858e+00 1.956310000000000092e-11
6.110000000000000320e+00 1.836040000000000000e-11
6.129999999999999893e+00 1.722730000000000032e-11
6.150000000000000355e+00 1.615999999999999900e-11
6.169999999999999929e+00 1.515520000000000069e-11
6.190000000000000391e+00 1.420969999999999993e-11
6.209999999999999964e+00 1.332019999999999973e-11
6.230000000000000426e+00 1.248379999999999978e-11
6.250000000000000000e+00 1.169759999999999975e-11
6.269999999999999574e+00 1.095880000000000052e-11
6.290000000000000036e+00 1.026490000000000001e-11
6.309999999999999609e+00 9.613200000000000276e-12
6.330000000000000071e+00 9.001399999999999995e-12
6.349999999999999645e+00 8.427219999999999709e-12
6.370000000000000107e+00 7.888479999999999523e-12
6.389999999999999680e+00 7.383100000000000721e-12
6.410000000000000142e+00 6.909170000000000134e-12
6.429999999999999716e+00 6.464809999999999794e-12
6.450000000000000178e+00 6.048259999999999918e-12
6.469999999999999751e+00 5.657869999999999599e-12
6.490000000000000213e+00 5.292089999999999920e-12
6.509999999999999787e+00 4.949430000000000247e-12
6.530000000000000249e+00 4.628459999999999849e-12
6.549999999999999822e+00 4.327870000000000218e-12
6.570000000000000284e+00 4.046429999999999753e-12
6.589999999999999858e+00 3.782949999999999749e-12
6.610000000000000320e+00 3.536320000000000021e-12
6.629999999999999893e+00 3.305500000000000001e-12
6.650000000000000355e+00 3.089500000000000114e-12
6.669999999999999929e+00 2.887410000000000113e-12
6.690000000000000391e+00 2.698339999999999991e-12
6.709999999999999964e+00 2.521470000000000160e-12
6.730000000000000426e+00 2.356049999999999841e-12
6.750000000000000000e+00 2.201350000000000107e-12
6.769999999999999574e+00 2.056680000000000078e-12
6.790000000000000036e+00 1.921409999999999989e-12
6.809999999999999609e+00 1.794940000000000024e-12
6.830000000000000071e+00 1.676710000000000032e-12
6.849999999999999645e+00 1.566180000000000098e-12
6.870000000000000107e+00 1.462879999999999922e-12
6.889999999999999680e+00 1.366319999999999978e-12
6.910000000000000142e+00 1.276090000000000069e-12
6.929999999999999716e+00 1.191759999999999963e-12
6.950000000000000178e+00 1.112959999999999935e-12
6.969999999999999751e+00 1.039340000000000093e-12
6.990000000000000213e+00 9.705450000000000817e-13
7.009999999999999787e+00 9.062749999999999930e-13
7.030000000000000249e+00 8.462330000000000354e-13
7.049999999999999822e+00 7.901439999999999904e-13
7.070000000000000284e+00 7.377489999999999900e-13
7.089999999999999858e+00 6.888089999999999986e-13
7.110000000000000320e+00 6.431190000000000186e-13
7.129999999999999893e+00 6.004269999999999820e-13
7.150000000000000355e+00 5.605580000000000435e-13
7.169999999999999929e+00 5.233259999999999655e-13
7.190000000000000391e+00 4.885599999999999902e-13
7.209999999999999964e+00 4.560980000000000019e-13
7.230000000000000426e+00 4.257880000000000028e-13
7.259999999999999787e+00 3.974880000000000124e-13
7.280000000000000249e+00 3.710669999999999879e-13
7.299999999999999822e+00 3.464009999999999898e-13
7.320000000000000284e+00 3.233729999999999793e-13
7.339999999999999858e+00 3.018770000000000071e-13
7.360000000000000320e+00 2.818119999999999810e-13
7.379999999999999893e+00 2.630829999999999908e-13
7.400000000000000355e+00 2.456019999999999768e-13
7.419999999999999929e+00 2.292870000000000104e-13
7.440000000000000391e+00 2.140609999999999953e-13
7.459999999999999964e+00 1.998519999999999950e-13
7.480000000000000426e+00 1.865930000000000057e-13
7.500000000000000000e+00 1.742220000000000073e-13
7.519999999999999574e+00 1.626799999999999944e-13
7.540000000000000036e+00 1.519129999999999960e-13
7.559999999999999609e+00 1.418680000000000120e-13
7.580000000000000071e+00 1.324989999999999941e-13
7.599999999999999645e+00 1.237609999999999914e-13
7.620000000000000107e+00 1.156119999999999925e-13
7.639999999999999680e+00 1.080130000000000013e-13
7.660000000000000142e+00 1.009289999999999958e-13
7.679999999999999716e+00 9.432419999999999707e-14
7.700000000000000178e+00 8.816799999999999852e-14
7.719999999999999751e+00 8.243039999999999932e-14
7.740000000000000213e+00 7.708399999999999749e-14
7.759999999999999787e+00 7.210260000000000217e-14
7.780000000000000249e+00 6.746229999999999972e-14
7.799999999999999822e+00 6.314040000000000023e-14
7.820000000000000284e+00 5.911600000000000529e-14
7.839999999999999858e+00 5.536909999999999956e-14
7.860000000000000320e+00 5.188169999999999894e-14
7.879999999999999893e+00 4.863639999999999963e-14
7.900000000000000355e+00 4.561729999999999915e-14
7.919999999999999929e+00 4.280920000000000150e-14
7.940000000000000391e+00 4.019839999999999939e-14
7.959999999999999964e+00 3.777160000000000184e-14
7.980000000000000426e+00 3.551660000000000287e-14
8.000000000000000000e+00 3.342219999999999945e-14
8.019999999999999574e+00 3.147749999999999764e-14
8.039999999999999147e+00 2.967270000000000113e-14
8.060000000000000497e+00 2.799840000000000152e-14
8.080000000000000071e+00 2.644609999999999876e-14
8.099999999999999645e+00 2.500750000000000098e-14
8.119999999999999218e+00 2.367270000000000146e-14
8.140000000000000568e+00 2.243910000000000129e-14
8.160000000000000142e+00 2.129799999999999859e-14
8.179999999999999716e+00 2.024319999999999888e-14
8.199999999999999289e+00 1.926889999999999881e-14
8.220000000000000639e+00 1.836979999999999964e-14
8.240000000000000213e+00 1.754080000000000135e-14
8.259999999999999787e+00 1.677720000000000133e-14
8.279999999999999361e+00 1.607449999999999881e-14
8.300000000000000711e+00 1.542870000000000081e-14
8.320000000000000284e+00 1.483589999999999954e-14
8.339999999999999858e+00 1.429249999999999943e-14
8.359999999999999432e+00 1.379510000000000046e-14
8.380000000000000782e+00 1.334070000000000002e-14
8.400000000000000355e+00 1.292619999999999930e-14
8.419999999999999929e+00 1.254880000000000070e-14
8.439999999999999503e+00 1.220620000000000022e-14
8.460000000000000853e+00 1.189569999999999961e-14
8.480000000000000426e+00 1.161529999999999924e-14
8.500000000000000000e+00 1.136269999999999983e-14
