# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.766849999999999989e-11
3.520000000000000018e+00 2.683500000000000026e-11
3.540000000000000036e+00 2.602530000000000059e-11
3.560000000000000053e+00 2.523860000000000113e-11
3.580000000000000071e+00 2.447450000000000037e-11
3.600000000000000089e+00 2.373219999999999858e-11
3.620000000000000107e+00 2.301120000000000115e-11
3.640000000000000124e+00 2.231090000000000099e-11
3.660000000000000142e+00 2.163060000000000115e-11
3.680000000000000160e+00 2.096999999999999971e-11
3.700000000000000178e+00 2.032830000000000013e-11
3.720000000000000195e+00 1.970520000000000049e-11
3.740000000000000213e+00 1.910000000000000061e-11
3.759999999999999787e+00 1.851229999999999898e-11
3.779999999999999805e+00 1.794170000000000058e-11
3.799999999999999822e+00 1.738749999999999876e-11
3.819999999999999840e+00 1.684950000000000085e-11
3.839999999999999858e+00 1.632709999999999977e-11
3.859999999999999876e+00 1.581990000000000048e-11
3.879999999999999893e+00 1.532760000000000105e-11
3.899999999999999911e+00 1.484970000000000043e-11
3.919999999999999929e+00 1.438610000000000067e-11
3.939999999999999947e+00 1.393649999999999984e-11
3.959999999999999964e+00 1.350110000000000030e-11
3.979999999999999982e+00 1.308000000000000000e-11
4.000000000000000000e+00 1.267409999999999989e-11
4.019999999999999574e+00 1.228480000000000032e-11
4.040000000000000036e+00 1.191450000000000058e-11
4.059999999999999609e+00 1.156690000000000073e-11
4.080000000000000071e+00 1.124730000000000035e-11
4.099999999999999645e+00 1.096349999999999948e-11
4.120000000000000107e+00 1.072589999999999977e-11
4.139999999999999680e+00 1.054829999999999939e-11
4.160000000000000142e+00 1.044840000000000059e-11
4.179999999999999716e+00 1.044840000000000059e-11
4.200000000000000178e+00 1.057490000000000011e-11
4.219999999999999751e+00 1.085939999999999955e-11
4.240000000000000213e+00 1.133790000000000079e-11
4.259999999999999787e+00 1.205050000000000081e-11
4.280000000000000249e+00 1.304059999999999999e-11
4.299999999999999822e+00 1.435390000000000006e-11
4.320000000000000284e+00 1.603680000000000130e-11
4.339999999999999858e+00 1.813490000000000101e-11
4.360000000000000320e+00 2.069110000000000016e-11
4.379999999999999893e+00 2.374399999999999899e-11
4.400000000000000355e+00 2.732589999999999931e-11
4.419999999999999929e+00 3.146049999999999827e-11
4.440000000000000391e+00 3.616379999999999743e-11
4.459999999999999964e+00 4.144059999999999853e-11
4.480000000000000426e+00 4.728490000000000181e-11
4.500000000000000000e+00 5.367939999999999844e-11
4.519999999999999574e+00 6.059660000000000455e-11
4.540000000000000036e+00 6.799829999999999875e-11
4.559999999999999609e+00 7.583760000000000393e-11
4.580000000000000071e+00 8.405939999999999460e-11
4.599999999999999645e+00 9.260330000000000064e-11
4.620000000000000107e+00 1.014030000000000064e-10
4.639999999999999680e+00 1.103919999999999973e-10
4.660000000000000142e+00 1.194989999999999924e-10
4.679999999999999716e+00 1.286569999999999984e-10
4.700000000000000178e+00 1.377959999999999965e-10
4.719999999999999751e+00 1.468520000000000064e-10
4.740000000000000213e+00 1.557639999999999958e-10
4.769999999999999574e+00 1.644740000000000102e-10
4.790000000000000036e+00 1.729269999999999913e-10
4.809999999999999609e+00 1.810770000000000097e-10
4.830000000000000071e+00 1.888780000000000068e-10
4.849999999999999645e+00 1.962889999999999929e-10
4.870000000000000107e+00 2.032769999999999950e-10
4.889999999999999680e+00 2.098080000000000059e-10
4.910000000000000142e+00 2.158550000000000006e-10
4.929999999999999716e+00 2.213949999999999887e-10
4.950000000000000178e+00 2.264069999999999969e-10
4.969999999999999751e+00 2.308729999999999998e-10
4.990000000000000213e+00 2.347820000000000067e-10
5.009999999999999787e+00 2.381210000000000093e-10
5.030000000000000249e+00 2.408849999999999907e-10
5.049999999999999822e+00 2.430709999999999767e-10
5.070000000000000284e+00 2.446770000000000020e-10
5.089999999999999858e+00 2.457090000000000146e-10
5.110000000000000320e+00 2.461720000000000056e-10
5.129999999999999893e+00 2.460760000000000093e-10
5.150000000000000355e+00 2.454349999999999905e-10
5.169999999999999929e+00 2.442649999999999832e-10
5.190000000000000391e+00 2.425860000000000037e-10
5.209999999999999964e+00 2.404180000000000170e-10
5.230000000000000426e+00 2.377869999999999875e-10
5.250000000000000000e+00 2.347189999999999832e-10
5.269999999999999574e+00 2.312420000000000117e-10
5.290000000000000036e+00 2.273859999999999942e-10
5.309999999999999609e+00 2.231810000000000072e-10
5.330000000000000071e+00 2.186599999999999976e-10
5.349999999999999645e+00 2.138550000000000075e-10
5.370000000000000107e+00 2.087980000000000011e-10
5.389999999999999680e+00 2.035220000000000030e-10
5.410000000000000142e+00 1.980590000000000033e-10
5.429999999999999716e+00 1.924390000000000010e-10
5.450000000000000178e+00 1.866930000000000035e-10
5.469999999999999751e+00 1.808510000000000096e-10
5.490000000000000213e+00 1.749399999999999925e-10
5.509999999999999787e+00 1.689859999999999942e-10
5.530000000000000249e+00 1.630150000000000052e-10
5.549999999999999822e+00 1.570499999999999902e-10
5.570000000000000284e+00 1.511130000000000085e-10
5.589999999999999858e+00 1.452220000000000079e-10
5.610000000000000320e+00 1.393970000000000047e-10
5.629999999999999893e+00 1.336529999999999985e-10
5.650000000000000355e+00 1.280040000000000059e-10
5.669999999999999929e+00 1.224650000000000005e-10
5.690000000000000391e+00 1.170459999999999906e-10
5.709999999999999964e+00 1.117560000000000016e-10
5.730000000000000426e+00 1.066039999999999945e-10
5.750000000000000000e+00 1.015970000000000034e-10
5.769999999999999574e+00 9.673999999999999370e-11
5.790000000000000036e+00 9.203730000000000487e-11
5.809999999999999609e+00 8.749189999999999800e-11
5.830000000000000071e+00 8.310580000000000319e-11
5.849999999999999645e+00 7.888029999999999540e-11
5.870000000000000107e+00 7.481559999999999960e-11
5.889999999999999680e+00 7.091119999999999859e-11
5.910000000000000142e+00 6.716560000000000534e-11
5.929999999999999716e+00 6.357720000000000096e-11
5.950000000000000178e+00 6.014370000000000191e-11
5.969999999999999751e+00 5.686200000000000227e-11
5.990000000000000213e+00 5.372900000000000259e-11
6.009999999999999787e+00 5.074099999999999957e-11
6.030000000000000249e+00 4.789440000000000239e-11
6.049999999999999822e+00 4.518499999999999699e-11
6.070000000000000284e+00 4.260840000000000250e-11
6.089999999999999858e+00 4.016039999999999839e-11
6.110000000000000320e+00 3.783639999999999820e-11
6.129999999999999893e+00 3.563200000000000165e-11
6.150000000000000355e+00 3.354249999999999687e-11
6.169999999999999929e+00 3.156329999999999739e-11
6.190000000000000391e+00 2.969000000000000294e-11
6.209999999999999964e+00 2.791810000000000077e-11
6.230000000000000426e+00 2.624300000000000117e-11
6.250000000000000000e+00 2.466040000000000022e-11
6.269999999999999574e+00 2.316610000000000001e-11
6.290000000000000036e+00 2.175599999999999898e-11
6.309999999999999609e+00 2.042560000000000053e-11
6.330000000000000071e+00 1.917150000000000005e-11
6.349999999999999645e+00 1.798980000000000156e-11
6.370000000000000107e+00 1.687679999999999853e-11
6.389999999999999680e+00 1.582880000000000057e-11
6.410000000000000142e+00 1.484249999999999941e-11
6.429999999999999716e+00 1.391469999999999926e-11
6.450000000000000178e+00 1.304219999999999950e-11
6.469999999999999751e+00 1.222190000000000066e-11
6.490000000000000213e+00 1.145109999999999995e-11
6.509999999999999787e+00 1.072699999999999983e-11
6.530000000000000249e+00 1.004690000000000074e-11
6.549999999999999822e+00 9.408370000000000633e-12
6.570000000000000284e+00 8.809039999999999793e-12
6.589999999999999858e+00 8.246639999999999685e-12
6.610000000000000320e+00 7.719019999999999960e-12
6.629999999999999893e+00 7.224150000000000070e-12
6.650000000000000355e+00 6.760130000000000196e-12
6.669999999999999929e+00 6.325110000000000298e-12
