# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 4.135690000000000041e-11
3.520000000000000018e+00 4.012080000000000248e-11
3.540000000000000036e+00 3.891980000000000063e-11
3.560000000000000053e+00 3.775279999999999964e-11
3.580000000000000071e+00 3.661900000000000300e-11
3.600000000000000089e+00 3.551750000000000169e-11
3.620000000000000107e+00 3.444730000000000005e-11
3.640000000000000124e+00 3.340760000000000156e-11
3.660000000000000142e+00 3.239759999999999677e-11
3.680000000000000160e+00 3.141650000000000210e-11
3.700000000000000178e+00 3.046350000000000161e-11
3.720000000000000195e+00 2.953769999999999924e-11
3.740000000000000213e+00 2.863850000000000081e-11
3.759999999999999787e+00 2.776510000000000010e-11
3.779999999999999805e+00 2.691680000000000017e-11
3.799999999999999822e+00 2.609290000000000083e-11
3.819999999999999840e+00 2.529280000000000144e-11
3.839999999999999858e+00 2.451569999999999903e-11
3.859999999999999876e+00 2.376109999999999899e-11
3.879999999999999893e+00 2.302840000000000071e-11
3.899999999999999911e+00 2.231690000000000076e-11
3.919999999999999929e+00 2.162599999999999853e-11
3.939999999999999947e+00 2.095519999999999941e-11
3.959999999999999964e+00 2.030379999999999998e-11
3.979999999999999982e+00 1.967150000000000155e-11
4.000000000000000000e+00 1.905760000000000071e-11
4.019999999999999574e+00 1.846159999999999961e-11
4.040000000000000036e+00 1.788310000000000000e-11
4.059999999999999609e+00 1.732150000000000127e-11
4.080000000000000071e+00 1.677639999999999867e-11
4.099999999999999645e+00 1.624740000000000042e-11
4.120000000000000107e+00 1.573379999999999986e-11
4.139999999999999680e+00 1.523540000000000110e-11
4.160000000000000142e+00 1.475179999999999940e-11
4.179999999999999716e+00 1.428240000000000062e-11
4.200000000000000178e+00 1.382689999999999958e-11
4.219999999999999751e+00 1.338489999999999964e-11
4.240000000000000213e+00 1.295610000000000050e-11
4.259999999999999787e+00 1.253999999999999948e-11
4.280000000000000249e+00 1.213629999999999949e-11
4.299999999999999822e+00 1.174470000000000023e-11
4.320000000000000284e+00 1.136480000000000020e-11
4.339999999999999858e+00 1.099630000000000071e-11
4.360000000000000320e+00 1.063880000000000027e-11
4.379999999999999893e+00 1.029209999999999974e-11
4.400000000000000355e+00 9.955830000000000402e-12
4.419999999999999929e+00 9.629710000000000576e-12
4.440000000000000391e+00 9.313439999999999946e-12
4.459999999999999964e+00 9.006769999999999597e-12
4.480000000000000426e+00 8.709389999999999909e-12
4.500000000000000000e+00 8.421140000000000607e-12
4.519999999999999574e+00 8.141480000000000161e-12
4.540000000000000036e+00 7.870459999999999969e-12
4.559999999999999609e+00 7.607429999999999625e-12
4.580000000000000071e+00 7.352009999999999487e-12
4.599999999999999645e+00 7.104429999999999849e-12
4.620000000000000107e+00 6.864469999999999729e-12
4.639999999999999680e+00 6.631849999999999858e-12
4.660000000000000142e+00 6.406630000000000137e-12
4.679999999999999716e+00 6.188269999999999843e-12
4.700000000000000178e+00 5.976649999999999984e-12
4.719999999999999751e+00 5.771620000000000402e-12
4.740000000000000213e+00 5.572989999999999662e-12
4.769999999999999574e+00 5.380599999999999913e-12
4.790000000000000036e+00 5.194269999999999838e-12
4.809999999999999609e+00 5.013819999999999734e-12
4.830000000000000071e+00 4.839059999999999779e-12
4.849999999999999645e+00 4.669820000000000392e-12
4.870000000000000107e+00 4.505949999999999798e-12
4.889999999999999680e+00 4.347189999999999776e-12
4.910000000000000142e+00 4.193559999999999753e-12
4.929999999999999716e+00 4.044869999999999909e-12
4.950000000000000178e+00 3.900920000000000305e-12
4.969999999999999751e+00 3.761590000000000333e-12
4.990000000000000213e+00 3.626729999999999835e-12
5.009999999999999787e+00 3.496229999999999937e-12
5.030000000000000249e+00 3.369980000000000146e-12
5.049999999999999822e+00 3.247889999999999805e-12
5.070000000000000284e+00 3.129899999999999820e-12
5.089999999999999858e+00 3.015930000000000055e-12
5.110000000000000320e+00 2.905969999999999986e-12
5.129999999999999893e+00 2.800020000000000018e-12
5.150000000000000355e+00 2.698110000000000102e-12
5.169999999999999929e+00 2.600370000000000157e-12
5.190000000000000391e+00 2.506949999999999935e-12
5.209999999999999964e+00 2.418120000000000202e-12
5.230000000000000426e+00 2.334250000000000075e-12
5.250000000000000000e+00 2.255809999999999856e-12
5.269999999999999574e+00 2.183460000000000069e-12
5.290000000000000036e+00 2.117989999999999945e-12
5.309999999999999609e+00 2.060410000000000103e-12
5.330000000000000071e+00 2.011920000000000176e-12
5.349999999999999645e+00 1.973939999999999968e-12
5.370000000000000107e+00 1.948109999999999865e-12
5.389999999999999680e+00 1.936309999999999855e-12
5.410000000000000142e+00 1.940580000000000199e-12
5.429999999999999716e+00 1.963150000000000172e-12
5.450000000000000178e+00 2.006359999999999945e-12
5.469999999999999751e+00 2.072620000000000109e-12
5.490000000000000213e+00 2.164149999999999821e-12
5.509999999999999787e+00 2.283360000000000077e-12
5.530000000000000249e+00 2.432429999999999966e-12
5.549999999999999822e+00 2.612950000000000089e-12
5.570000000000000284e+00 2.826290000000000067e-12
5.589999999999999858e+00 3.073330000000000194e-12
5.610000000000000320e+00 3.354410000000000042e-12
5.629999999999999893e+00 3.669230000000000108e-12
5.650000000000000355e+00 4.016959999999999880e-12
5.669999999999999929e+00 4.395720000000000176e-12
5.690000000000000391e+00 4.803339999999999604e-12
5.709999999999999964e+00 5.236809999999999776e-12
5.730000000000000426e+00 5.692549999999999609e-12
5.750000000000000000e+00 6.166449999999999842e-12
5.769999999999999574e+00 6.653989999999999600e-12
5.790000000000000036e+00 7.150239999999999631e-12
5.809999999999999609e+00 7.650100000000000290e-12
5.830000000000000071e+00 8.148340000000000396e-12
5.849999999999999645e+00 8.639700000000000031e-12
5.870000000000000107e+00 9.118870000000000301e-12
5.889999999999999680e+00 9.581229999999999959e-12
5.910000000000000142e+00 1.002200000000000071e-11
5.929999999999999716e+00 1.043700000000000006e-11
5.950000000000000178e+00 1.082229999999999923e-11
5.969999999999999751e+00 1.117469999999999923e-11
5.990000000000000213e+00 1.149139999999999928e-11
6.009999999999999787e+00 1.177019999999999926e-11
6.030000000000000249e+00 1.200940000000000010e-11
6.049999999999999822e+00 1.220799999999999968e-11
6.070000000000000284e+00 1.236529999999999942e-11
6.089999999999999858e+00 1.248119999999999977e-11
6.110000000000000320e+00 1.255620000000000016e-11
6.129999999999999893e+00 1.259119999999999991e-11
6.150000000000000355e+00 1.258719999999999952e-11
6.169999999999999929e+00 1.254589999999999968e-11
6.190000000000000391e+00 1.246910000000000066e-11
6.209999999999999964e+00 1.235889999999999977e-11
6.230000000000000426e+00 1.221759999999999996e-11
6.250000000000000000e+00 1.204739999999999974e-11
6.269999999999999574e+00 1.185100000000000029e-11
6.290000000000000036e+00 1.163079999999999927e-11
6.309999999999999609e+00 1.138939999999999992e-11
6.330000000000000071e+00 1.112929999999999944e-11
6.349999999999999645e+00 1.085309999999999947e-11
6.370000000000000107e+00 1.056319999999999926e-11
6.389999999999999680e+00 1.026180000000000056e-11
6.410000000000000142e+00 9.951330000000000573e-12
6.429999999999999716e+00 9.633779999999999366e-12
6.450000000000000178e+00 9.311160000000000484e-12
6.469999999999999751e+00 8.985000000000000186e-12
6.490000000000000213e+00 8.657559999999999311e-12
6.509999999999999787e+00 8.330129999999999362e-12
6.530000000000000249e+00 8.004110000000000717e-12
6.549999999999999822e+00 7.680819999999999577e-12
6.570000000000000284e+00 7.361399999999999713e-12
6.589999999999999858e+00 7.046860000000000126e-12
6.610000000000000320e+00 6.738069999999999783e-12
6.629999999999999893e+00 6.435799999999999699e-12
6.650000000000000355e+00 6.140680000000000043e-12
6.669999999999999929e+00 5.853270000000000160e-12
6.690000000000000391e+00 5.574010000000000399e-12
6.709999999999999964e+00 5.303239999999999928e-12
6.730000000000000426e+00 5.041249999999999749e-12
6.750000000000000000e+00 4.788220000000000372e-12
6.769999999999999574e+00 4.544280000000000100e-12
6.790000000000000036e+00 4.309499999999999762e-12
6.809999999999999609e+00 4.083890000000000282e-12
6.830000000000000071e+00 3.867419999999999691e-12
6.849999999999999645e+00 3.660020000000000393e-12
6.870000000000000107e+00 3.461530000000000095e-12
6.889999999999999680e+00 3.271839999999999920e-12
6.910000000000000142e+00 3.090770000000000168e-12
6.929999999999999716e+00 2.918099999999999854e-12
6.950000000000000178e+00 2.753639999999999968e-12
6.969999999999999751e+00 2.597150000000000096e-12
6.990000000000000213e+00 2.448380000000000115e-12
7.009999999999999787e+00 2.307070000000000185e-12
7.030000000000000249e+00 2.172979999999999895e-12
7.049999999999999822e+00 2.045819999999999859e-12
7.070000000000000284e+00 1.925329999999999835e-12
7.089999999999999858e+00 1.811260000000000100e-12
7.110000000000000320e+00 1.703320000000000057e-12
7.129999999999999893e+00 1.601259999999999985e-12
7.150000000000000355e+00 1.504809999999999926e-12
7.169999999999999929e+00 1.413730000000000076e-12
7.190000000000000391e+00 1.327750000000000073e-12
7.209999999999999964e+00 1.246649999999999944e-12
7.230000000000000426e+00 1.170170000000000051e-12
7.259999999999999787e+00 1.098099999999999935e-12
7.280000000000000249e+00 1.030199999999999993e-12
7.299999999999999822e+00 9.662729999999999965e-13
7.320000000000000284e+00 9.061000000000000468e-13
7.339999999999999858e+00 8.494880000000000049e-13
7.360000000000000320e+00 7.962459999999999779e-13
7.379999999999999893e+00 7.461910000000000463e-13
7.400000000000000355e+00 6.991469999999999895e-13
7.419999999999999929e+00 6.549489999999999793e-13
7.440000000000000391e+00 6.134380000000000161e-13
7.459999999999999964e+00 5.744960000000000393e-13
7.480000000000000426e+00 5.379090000000000054e-13
7.500000000000000000e+00 5.035799999999999606e-13
7.519999999999999574e+00 4.713789999999999850e-13
7.540000000000000036e+00 4.411810000000000161e-13
7.559999999999999609e+00 4.128679999999999933e-13
7.580000000000000071e+00 3.863290000000000091e-13
7.599999999999999645e+00 3.614589999999999848e-13
7.620000000000000107e+00 3.381569999999999797e-13
7.639999999999999680e+00 3.163290000000000045e-13
7.660000000000000142e+00 2.958869999999999993e-13
7.679999999999999716e+00 2.767460000000000206e-13
7.700000000000000178e+00 2.588270000000000037e-13
7.719999999999999751e+00 2.420550000000000223e-13
7.740000000000000213e+00 2.263600000000000068e-13
7.759999999999999787e+00 2.116760000000000010e-13
7.780000000000000249e+00 1.979399999999999876e-13
7.799999999999999822e+00 1.850930000000000121e-13
7.820000000000000284e+00 1.730819999999999990e-13
7.839999999999999858e+00 1.618520000000000055e-13
7.860000000000000320e+00 1.513560000000000116e-13
7.879999999999999893e+00 1.415479999999999942e-13
7.900000000000000355e+00 1.323849999999999958e-13
7.919999999999999929e+00 1.238260000000000017e-13
7.940000000000000391e+00 1.158330000000000124e-13
7.959999999999999964e+00 1.083699999999999967e-13
7.980000000000000426e+00 1.014040000000000014e-13
8.000000000000000000e+00 9.490380000000000199e-14
8.019999999999999574e+00 8.883910000000000109e-14
8.039999999999999147e+00 8.318249999999999669e-14
8.060000000000000497e+00 7.790809999999999445e-14
8.080000000000000071e+00 7.299160000000000222e-14
8.099999999999999645e+00 6.840969999999999930e-14
8.119999999999999218e+00 6.414140000000000526e-14
8.140000000000000568e+00 6.016629999999999476e-14
8.160000000000000142e+00 5.646570000000000243e-14
8.179999999999999716e+00 5.302199999999999738e-14
8.199999999999999289e+00 4.981850000000000123e-14
8.220000000000000639e+00 4.683999999999999908e-14
8.240000000000000213e+00 4.407179999999999958e-14
8.259999999999999787e+00 4.150030000000000266e-14
8.279999999999999361e+00 3.911279999999999768e-14
8.300000000000000711e+00 3.689729999999999945e-14
8.320000000000000284e+00 3.484269999999999955e-14
8.339999999999999858e+00 3.293850000000000147e-14
8.359999999999999432e+00 3.117490000000000255e-14
8.380000000000000782e+00 2.954290000000000127e-14
8.400000000000000355e+00 2.803379999999999890e-14
8.419999999999999929e+00 2.663940000000000133e-14
8.439999999999999503e+00 2.535240000000000073e-14
8.460000000000000853e+00 2.416240000000000151e-14
8.480000000000000426e+00 2.306889999999999902e-14
8.500000000000000000e+00 2.206290000000000121e-14
