# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 5.691199999999999822e-11
3.520000000000000018e+00 5.521399999999999798e-11
3.540000000000000036e+00 5.356420000000000152e-11
3.560000000000000053e+00 5.196110000000000242e-11
3.580000000000000071e+00 5.040339999999999988e-11
3.600000000000000089e+00 4.888999999999999868e-11
3.620000000000000107e+00 4.741959999999999799e-11
3.640000000000000124e+00 4.599110000000000262e-11
3.660000000000000142e+00 4.460319999999999881e-11
3.680000000000000160e+00 4.325499999999999694e-11
3.700000000000000178e+00 4.194520000000000266e-11
3.720000000000000195e+00 4.067290000000000050e-11
3.740000000000000213e+00 3.943700000000000170e-11
3.759999999999999787e+00 3.823649999999999767e-11
3.779999999999999805e+00 3.707049999999999880e-11
3.799999999999999822e+00 3.593800000000000297e-11
3.819999999999999840e+00 3.483800000000000160e-11
3.839999999999999858e+00 3.376969999999999817e-11
3.859999999999999876e+00 3.273220000000000304e-11
3.879999999999999893e+00 3.172470000000000032e-11
3.899999999999999911e+00 3.074630000000000037e-11
3.919999999999999929e+00 2.979620000000000020e-11
3.939999999999999947e+00 2.887360000000000008e-11
3.959999999999999964e+00 2.797779999999999979e-11
3.979999999999999982e+00 2.710809999999999917e-11
4.000000000000000000e+00 2.626359999999999888e-11
4.019999999999999574e+00 2.544380000000000110e-11
4.040000000000000036e+00 2.464789999999999961e-11
4.059999999999999609e+00 2.387530000000000026e-11
4.080000000000000071e+00 2.312520000000000005e-11
4.099999999999999645e+00 2.239720000000000073e-11
4.120000000000000107e+00 2.169049999999999931e-11
4.139999999999999680e+00 2.100460000000000119e-11
4.160000000000000142e+00 2.033889999999999929e-11
4.179999999999999716e+00 1.969279999999999945e-11
4.200000000000000178e+00 1.906580000000000061e-11
4.219999999999999751e+00 1.845739999999999848e-11
4.240000000000000213e+00 1.786689999999999933e-11
4.259999999999999787e+00 1.729400000000000123e-11
4.280000000000000249e+00 1.673819999999999991e-11
4.299999999999999822e+00 1.619879999999999839e-11
4.320000000000000284e+00 1.567560000000000078e-11
4.339999999999999858e+00 1.516799999999999999e-11
4.360000000000000320e+00 1.467560000000000100e-11
4.379999999999999893e+00 1.419789999999999951e-11
4.400000000000000355e+00 1.373460000000000006e-11
4.419999999999999929e+00 1.328519999999999998e-11
4.440000000000000391e+00 1.284940000000000056e-11
4.459999999999999964e+00 1.242680000000000032e-11
4.480000000000000426e+00 1.201689999999999982e-11
4.500000000000000000e+00 1.161940000000000035e-11
4.519999999999999574e+00 1.123409999999999956e-11
4.540000000000000036e+00 1.086040000000000005e-11
4.559999999999999609e+00 1.049820000000000064e-11
