# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.740569999999999358e-11
3.520000000000000018e+00 7.511659999999999680e-11
3.540000000000000036e+00 7.289190000000000448e-11
3.560000000000000053e+00 7.072979999999999857e-11
3.580000000000000071e+00 6.862869999999999897e-11
3.600000000000000089e+00 6.658680000000000057e-11
3.620000000000000107e+00 6.460269999999999654e-11
3.640000000000000124e+00 6.267470000000000071e-11
3.660000000000000142e+00 6.080119999999999421e-11
3.680000000000000160e+00 5.898090000000000206e-11
3.700000000000000178e+00 5.721209999999999933e-11
3.720000000000000195e+00 5.549369999999999728e-11
3.740000000000000213e+00 5.382399999999999684e-11
3.759999999999999787e+00 5.220190000000000277e-11
3.779999999999999805e+00 5.062610000000000134e-11
3.799999999999999822e+00 4.909519999999999865e-11
3.819999999999999840e+00 4.760799999999999990e-11
3.839999999999999858e+00 4.616339999999999694e-11
3.859999999999999876e+00 4.476010000000000190e-11
3.879999999999999893e+00 4.339700000000000017e-11
3.899999999999999911e+00 4.207310000000000255e-11
3.919999999999999929e+00 4.078720000000000133e-11
3.939999999999999947e+00 3.953820000000000130e-11
3.959999999999999964e+00 3.832529999999999948e-11
3.979999999999999982e+00 3.714730000000000106e-11
4.000000000000000000e+00 3.600340000000000308e-11
4.019999999999999574e+00 3.489259999999999695e-11
4.040000000000000036e+00 3.381389999999999994e-11
4.059999999999999609e+00 3.276640000000000304e-11
4.080000000000000071e+00 3.174940000000000283e-11
4.099999999999999645e+00 3.076200000000000322e-11
4.120000000000000107e+00 2.980330000000000166e-11
4.139999999999999680e+00 2.887249999999999839e-11
4.160000000000000142e+00 2.796889999999999970e-11
4.179999999999999716e+00 2.709179999999999892e-11
4.200000000000000178e+00 2.624029999999999998e-11
4.219999999999999751e+00 2.541379999999999901e-11
4.240000000000000213e+00 2.461149999999999949e-11
4.259999999999999787e+00 2.383290000000000036e-11
4.280000000000000249e+00 2.307709999999999908e-11
4.299999999999999822e+00 2.234370000000000061e-11
4.320000000000000284e+00 2.163189999999999873e-11
4.339999999999999858e+00 2.094119999999999886e-11
4.360000000000000320e+00 2.027100000000000036e-11
4.379999999999999893e+00 1.962059999999999982e-11
4.400000000000000355e+00 1.898959999999999898e-11
4.419999999999999929e+00 1.837740000000000043e-11
4.440000000000000391e+00 1.778349999999999990e-11
4.459999999999999964e+00 1.720730000000000000e-11
4.480000000000000426e+00 1.664839999999999922e-11
4.500000000000000000e+00 1.610620000000000017e-11
4.519999999999999574e+00 1.558040000000000094e-11
4.540000000000000036e+00 1.507040000000000089e-11
4.559999999999999609e+00 1.457600000000000090e-11
4.580000000000000071e+00 1.409660000000000034e-11
4.599999999999999645e+00 1.363209999999999964e-11
4.620000000000000107e+00 1.318229999999999968e-11
4.639999999999999680e+00 1.274690000000000014e-11
4.660000000000000142e+00 1.232619999999999972e-11
4.679999999999999716e+00 1.192029999999999960e-11
4.700000000000000178e+00 1.152989999999999997e-11
4.719999999999999751e+00 1.115569999999999941e-11
4.740000000000000213e+00 1.079919999999999946e-11
4.769999999999999574e+00 1.046190000000000008e-11
4.790000000000000036e+00 1.014609999999999935e-11
4.809999999999999609e+00 9.854669999999999650e-12
4.830000000000000071e+00 9.590839999999999551e-12
4.849999999999999645e+00 9.358469999999999401e-12
4.870000000000000107e+00 9.161929999999999918e-12
4.889999999999999680e+00 9.005899999999999824e-12
4.910000000000000142e+00 8.895359999999999772e-12
4.929999999999999716e+00 8.835380000000000668e-12
4.950000000000000178e+00 8.830930000000000621e-12
4.969999999999999751e+00 8.886649999999999499e-12
4.990000000000000213e+00 9.006670000000000032e-12
5.009999999999999787e+00 9.194349999999999895e-12
5.030000000000000249e+00 9.452110000000000202e-12
5.049999999999999822e+00 9.781220000000000604e-12
5.070000000000000284e+00 1.018169999999999972e-11
5.089999999999999858e+00 1.065210000000000063e-11
5.110000000000000320e+00 1.118989999999999940e-11
5.129999999999999893e+00 1.179030000000000076e-11
5.150000000000000355e+00 1.244830000000000058e-11
5.169999999999999929e+00 1.315699999999999978e-11
5.190000000000000391e+00 1.390829999999999961e-11
5.209999999999999964e+00 1.469340000000000119e-11
5.230000000000000426e+00 1.550279999999999893e-11
5.250000000000000000e+00 1.632649999999999915e-11
5.269999999999999574e+00 1.715420000000000136e-11
5.290000000000000036e+00 1.797580000000000101e-11
5.309999999999999609e+00 1.878139999999999912e-11
5.330000000000000071e+00 1.956160000000000098e-11
5.349999999999999645e+00 2.030779999999999875e-11
5.370000000000000107e+00 2.101230000000000004e-11
5.389999999999999680e+00 2.166850000000000122e-11
5.410000000000000142e+00 2.227090000000000035e-11
5.429999999999999716e+00 2.281549999999999866e-11
5.450000000000000178e+00 2.329970000000000098e-11
5.469999999999999751e+00 2.372220000000000003e-11
5.490000000000000213e+00 2.408299999999999906e-11
5.509999999999999787e+00 2.438360000000000124e-11
5.530000000000000249e+00 2.462659999999999848e-11
5.549999999999999822e+00 2.481580000000000014e-11
5.570000000000000284e+00 2.495579999999999914e-11
5.589999999999999858e+00 2.505200000000000109e-11
5.610000000000000320e+00 2.511029999999999974e-11
5.629999999999999893e+00 2.513670000000000133e-11
5.650000000000000355e+00 2.513760000000000065e-11
5.669999999999999929e+00 2.511890000000000114e-11
5.690000000000000391e+00 2.508640000000000022e-11
5.709999999999999964e+00 2.504540000000000070e-11
5.730000000000000426e+00 2.499959999999999942e-11
5.750000000000000000e+00 2.495349999999999944e-11
5.769999999999999574e+00 2.490959999999999960e-11
5.790000000000000036e+00 2.486980000000000132e-11
5.809999999999999609e+00 2.483490000000000114e-11
5.830000000000000071e+00 2.480489999999999905e-11
5.849999999999999645e+00 2.477910000000000132e-11
5.870000000000000107e+00 2.475589999999999875e-11
5.889999999999999680e+00 2.473330000000000004e-11
5.910000000000000142e+00 2.470850000000000119e-11
5.929999999999999716e+00 2.467870000000000146e-11
5.950000000000000178e+00 2.464049999999999946e-11
5.969999999999999751e+00 2.459059999999999985e-11
5.990000000000000213e+00 2.452560000000000124e-11
6.009999999999999787e+00 2.444250000000000051e-11
6.030000000000000249e+00 2.433820000000000145e-11
6.049999999999999822e+00 2.420999999999999963e-11
6.070000000000000284e+00 2.405559999999999859e-11
6.089999999999999858e+00 2.387329999999999926e-11
6.110000000000000320e+00 2.366139999999999932e-11
6.129999999999999893e+00 2.341930000000000140e-11
6.150000000000000355e+00 2.314629999999999882e-11
6.169999999999999929e+00 2.284250000000000086e-11
6.190000000000000391e+00 2.250829999999999932e-11
6.209999999999999964e+00 2.214450000000000041e-11
6.230000000000000426e+00 2.175229999999999891e-11
6.250000000000000000e+00 2.133330000000000079e-11
6.269999999999999574e+00 2.088919999999999868e-11
6.290000000000000036e+00 2.042200000000000002e-11
6.309999999999999609e+00 1.993400000000000129e-11
6.330000000000000071e+00 1.942739999999999939e-11
6.349999999999999645e+00 1.890479999999999918e-11
6.370000000000000107e+00 1.836859999999999991e-11
6.389999999999999680e+00 1.782120000000000084e-11
6.410000000000000142e+00 1.726520000000000039e-11
6.429999999999999716e+00 1.670290000000000146e-11
6.450000000000000178e+00 1.613679999999999966e-11
6.469999999999999751e+00 1.556889999999999922e-11
6.490000000000000213e+00 1.500159999999999941e-11
6.509999999999999787e+00 1.443659999999999929e-11
6.530000000000000249e+00 1.387599999999999944e-11
6.549999999999999822e+00 1.332129999999999979e-11
6.570000000000000284e+00 1.277419999999999943e-11
6.589999999999999858e+00 1.223589999999999959e-11
6.610000000000000320e+00 1.170790000000000023e-11
6.629999999999999893e+00 1.119110000000000065e-11
6.650000000000000355e+00 1.068649999999999975e-11
6.669999999999999929e+00 1.019490000000000051e-11
6.690000000000000391e+00 9.717020000000000130e-12
6.709999999999999964e+00 9.252939999999999547e-12
6.730000000000000426e+00 8.803819999999999538e-12
6.750000000000000000e+00 8.369580000000000775e-12
6.769999999999999574e+00 7.950479999999999864e-12
6.790000000000000036e+00 7.546650000000000766e-12
6.809999999999999609e+00 7.158150000000000150e-12
6.830000000000000071e+00 6.784939999999999966e-12
6.849999999999999645e+00 6.426890000000000295e-12
6.870000000000000107e+00 6.083850000000000173e-12
6.889999999999999680e+00 5.755600000000000234e-12
6.910000000000000142e+00 5.441860000000000402e-12
6.929999999999999716e+00 5.142320000000000246e-12
6.950000000000000178e+00 4.856639999999999791e-12
6.969999999999999751e+00 4.584469999999999750e-12
