# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.289909999999999943e-10
3.520000000000000018e+00 1.252269999999999906e-10
3.540000000000000036e+00 1.215689999999999914e-10
3.560000000000000053e+00 1.180120000000000057e-10
3.580000000000000071e+00 1.145549999999999989e-10
3.600000000000000089e+00 1.111949999999999970e-10
3.620000000000000107e+00 1.079280000000000046e-10
3.640000000000000124e+00 1.047530000000000001e-10
3.660000000000000142e+00 1.016669999999999964e-10
3.680000000000000160e+00 9.866789999999999642e-11
3.700000000000000178e+00 9.575280000000000615e-11
3.720000000000000195e+00 9.291960000000000243e-11
3.740000000000000213e+00 9.016620000000000085e-11
3.759999999999999787e+00 8.749030000000000496e-11
3.779999999999999805e+00 8.488989999999999758e-11
3.799999999999999822e+00 8.236300000000000034e-11
3.819999999999999840e+00 7.990739999999999695e-11
3.839999999999999858e+00 7.752129999999999523e-11
3.859999999999999876e+00 7.520279999999999698e-11
3.879999999999999893e+00 7.295000000000000400e-11
3.899999999999999911e+00 7.076109999999999825e-11
3.919999999999999929e+00 6.863449999999999961e-11
3.939999999999999947e+00 6.656829999999999697e-11
3.959999999999999964e+00 6.456089999999999726e-11
3.979999999999999982e+00 6.261080000000000055e-11
4.000000000000000000e+00 6.071640000000000087e-11
4.019999999999999574e+00 5.887599999999999914e-11
4.040000000000000036e+00 5.708840000000000058e-11
4.059999999999999609e+00 5.535189999999999965e-11
4.080000000000000071e+00 5.366520000000000200e-11
4.099999999999999645e+00 5.202700000000000035e-11
4.120000000000000107e+00 5.043580000000000124e-11
4.139999999999999680e+00 4.889050000000000296e-11
4.160000000000000142e+00 4.738969999999999870e-11
4.179999999999999716e+00 4.593220000000000011e-11
4.200000000000000178e+00 4.451669999999999993e-11
4.219999999999999751e+00 4.314230000000000207e-11
4.240000000000000213e+00 4.180759999999999969e-11
4.259999999999999787e+00 4.051170000000000316e-11
4.280000000000000249e+00 3.925339999999999832e-11
4.299999999999999822e+00 3.803170000000000242e-11
4.320000000000000284e+00 3.684560000000000044e-11
4.339999999999999858e+00 3.569410000000000317e-11
4.360000000000000320e+00 3.457620000000000205e-11
4.379999999999999893e+00 3.349100000000000098e-11
4.400000000000000355e+00 3.243769999999999698e-11
4.419999999999999929e+00 3.141530000000000085e-11
4.440000000000000391e+00 3.042300000000000315e-11
4.459999999999999964e+00 2.946010000000000046e-11
4.480000000000000426e+00 2.852579999999999948e-11
4.500000000000000000e+00 2.761969999999999872e-11
4.519999999999999574e+00 2.674110000000000124e-11
4.540000000000000036e+00 2.588980000000000142e-11
4.559999999999999609e+00 2.506569999999999971e-11
4.580000000000000071e+00 2.426899999999999847e-11
4.599999999999999645e+00 2.350040000000000112e-11
4.620000000000000107e+00 2.276090000000000008e-11
4.639999999999999680e+00 2.205210000000000132e-11
4.660000000000000142e+00 2.137619999999999852e-11
4.679999999999999716e+00 2.073640000000000038e-11
4.700000000000000178e+00 2.013640000000000051e-11
4.719999999999999751e+00 1.958090000000000111e-11
4.740000000000000213e+00 1.907550000000000046e-11
4.769999999999999574e+00 1.862669999999999938e-11
4.790000000000000036e+00 1.824159999999999934e-11
4.809999999999999609e+00 1.792810000000000153e-11
4.830000000000000071e+00 1.769470000000000133e-11
4.849999999999999645e+00 1.754990000000000058e-11
4.870000000000000107e+00 1.750249999999999979e-11
4.889999999999999680e+00 1.756090000000000124e-11
4.910000000000000142e+00 1.773280000000000053e-11
4.929999999999999716e+00 1.802510000000000001e-11
4.950000000000000178e+00 1.844340000000000116e-11
4.969999999999999751e+00 1.899169999999999954e-11
4.990000000000000213e+00 1.967219999999999851e-11
5.009999999999999787e+00 2.048500000000000086e-11
5.030000000000000249e+00 2.142790000000000001e-11
5.049999999999999822e+00 2.249639999999999934e-11
5.070000000000000284e+00 2.368379999999999891e-11
5.089999999999999858e+00 2.498080000000000035e-11
5.110000000000000320e+00 2.637620000000000064e-11
5.129999999999999893e+00 2.785640000000000074e-11
5.150000000000000355e+00 2.940650000000000076e-11
5.169999999999999929e+00 3.100989999999999856e-11
5.190000000000000391e+00 3.264879999999999716e-11
5.209999999999999964e+00 3.430489999999999855e-11
5.230000000000000426e+00 3.595930000000000087e-11
5.250000000000000000e+00 3.759330000000000138e-11
5.269999999999999574e+00 3.918860000000000207e-11
5.290000000000000036e+00 4.072740000000000274e-11
5.309999999999999609e+00 4.219309999999999800e-11
5.330000000000000071e+00 4.357030000000000308e-11
5.349999999999999645e+00 4.484559999999999866e-11
5.370000000000000107e+00 4.600699999999999814e-11
5.389999999999999680e+00 4.704420000000000103e-11
5.410000000000000142e+00 4.794909999999999730e-11
5.429999999999999716e+00 4.871579999999999968e-11
5.450000000000000178e+00 4.934010000000000056e-11
5.469999999999999751e+00 4.982020000000000132e-11
5.490000000000000213e+00 5.015600000000000237e-11
5.509999999999999787e+00 5.034940000000000193e-11
5.530000000000000249e+00 5.040420000000000287e-11
5.549999999999999822e+00 5.032550000000000240e-11
5.570000000000000284e+00 5.012020000000000286e-11
5.589999999999999858e+00 4.979630000000000179e-11
5.610000000000000320e+00 4.936289999999999841e-11
5.629999999999999893e+00 4.882990000000000139e-11
5.650000000000000355e+00 4.820800000000000300e-11
5.669999999999999929e+00 4.750820000000000067e-11
5.690000000000000391e+00 4.674159999999999785e-11
5.709999999999999964e+00 4.591960000000000317e-11
5.730000000000000426e+00 4.505300000000000200e-11
5.750000000000000000e+00 4.415230000000000039e-11
5.769999999999999574e+00 4.322720000000000144e-11
5.790000000000000036e+00 4.228699999999999702e-11
5.809999999999999609e+00 4.133969999999999762e-11
5.830000000000000071e+00 4.039249999999999778e-11
5.849999999999999645e+00 3.945149999999999684e-11
5.870000000000000107e+00 3.852169999999999892e-11
5.889999999999999680e+00 3.760719999999999913e-11
5.910000000000000142e+00 3.671089999999999779e-11
5.929999999999999716e+00 3.583440000000000087e-11
5.950000000000000178e+00 3.497940000000000098e-11
5.969999999999999751e+00 3.414609999999999725e-11
5.990000000000000213e+00 3.333379999999999919e-11
6.009999999999999787e+00 3.254179999999999691e-11
6.030000000000000249e+00 3.176859999999999693e-11
6.049999999999999822e+00 3.101250000000000018e-11
6.070000000000000284e+00 3.027170000000000156e-11
6.089999999999999858e+00 2.954419999999999684e-11
6.110000000000000320e+00 2.882790000000000159e-11
6.129999999999999893e+00 2.812100000000000104e-11
6.150000000000000355e+00 2.742150000000000064e-11
6.169999999999999929e+00 2.672790000000000044e-11
6.190000000000000391e+00 2.603870000000000051e-11
6.209999999999999964e+00 2.535279999999999917e-11
6.230000000000000426e+00 2.466920000000000075e-11
6.250000000000000000e+00 2.398730000000000140e-11
6.269999999999999574e+00 2.330679999999999920e-11
6.290000000000000036e+00 2.262739999999999868e-11
6.309999999999999609e+00 2.194900000000000028e-11
6.330000000000000071e+00 2.127240000000000052e-11
6.349999999999999645e+00 2.059779999999999852e-11
6.370000000000000107e+00 1.992590000000000095e-11
6.389999999999999680e+00 1.925750000000000110e-11
6.410000000000000142e+00 1.859350000000000150e-11
6.429999999999999716e+00 1.793480000000000149e-11
6.450000000000000178e+00 1.728239999999999995e-11
6.469999999999999751e+00 1.663739999999999856e-11
6.490000000000000213e+00 1.600079999999999943e-11
6.509999999999999787e+00 1.537360000000000146e-11
6.530000000000000249e+00 1.475670000000000072e-11
6.549999999999999822e+00 1.415099999999999978e-11
6.570000000000000284e+00 1.355760000000000031e-11
6.589999999999999858e+00 1.297700000000000014e-11
6.610000000000000320e+00 1.241010000000000020e-11
6.629999999999999893e+00 1.185749999999999951e-11
6.650000000000000355e+00 1.131980000000000029e-11
6.669999999999999929e+00 1.079739999999999921e-11
6.690000000000000391e+00 1.029059999999999979e-11
6.709999999999999964e+00 9.799879999999999638e-12
6.730000000000000426e+00 9.325349999999999235e-12
6.750000000000000000e+00 8.867159999999999549e-12
6.769999999999999574e+00 8.425380000000000597e-12
6.790000000000000036e+00 7.999999999999999839e-12
6.809999999999999609e+00 7.590980000000000033e-12
6.830000000000000071e+00 7.198160000000000097e-12
6.849999999999999645e+00 6.821369999999999640e-12
6.870000000000000107e+00 6.460369999999999865e-12
6.889999999999999680e+00 6.114920000000000363e-12
6.910000000000000142e+00 5.784200000000000334e-12
6.929999999999999716e+00 5.468730000000000266e-12
6.950000000000000178e+00 5.167700000000000285e-12
6.969999999999999751e+00 4.880779999999999727e-12
6.990000000000000213e+00 4.607560000000000210e-12
