# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.602460000000000068e-10
3.520000000000000018e+00 1.555949999999999936e-10
3.540000000000000036e+00 1.510740000000000100e-10
3.560000000000000053e+00 1.466789999999999957e-10
3.580000000000000071e+00 1.424059999999999940e-10
3.600000000000000089e+00 1.382520000000000050e-10
3.620000000000000107e+00 1.342129999999999945e-10
3.640000000000000124e+00 1.302880000000000054e-10
3.660000000000000142e+00 1.264719999999999951e-10
3.680000000000000160e+00 1.227619999999999893e-10
3.700000000000000178e+00 1.191570000000000053e-10
3.720000000000000195e+00 1.156520000000000004e-10
3.740000000000000213e+00 1.122449999999999960e-10
3.759999999999999787e+00 1.089349999999999966e-10
3.779999999999999805e+00 1.057169999999999980e-10
3.799999999999999822e+00 1.025889999999999959e-10
3.819999999999999840e+00 9.954979999999999573e-11
3.839999999999999858e+00 9.659610000000000519e-11
3.859999999999999876e+00 9.372549999999999600e-11
3.879999999999999893e+00 9.093609999999999579e-11
3.899999999999999911e+00 8.822550000000000207e-11
3.919999999999999929e+00 8.559149999999999855e-11
3.939999999999999947e+00 8.303209999999999392e-11
3.959999999999999964e+00 8.054529999999999689e-11
3.979999999999999982e+00 7.812899999999999717e-11
4.000000000000000000e+00 7.578140000000000261e-11
4.019999999999999574e+00 7.350049999999999605e-11
4.040000000000000036e+00 7.128460000000000425e-11
4.059999999999999609e+00 6.913180000000000316e-11
4.080000000000000071e+00 6.704049999999999974e-11
4.099999999999999645e+00 6.500899999999999492e-11
4.120000000000000107e+00 6.303549999999999651e-11
4.139999999999999680e+00 6.111850000000000458e-11
4.160000000000000142e+00 5.925659999999999936e-11
4.179999999999999716e+00 5.744800000000000159e-11
4.200000000000000178e+00 5.569149999999999711e-11
4.219999999999999751e+00 5.398549999999999933e-11
4.240000000000000213e+00 5.232860000000000141e-11
4.259999999999999787e+00 5.071960000000000211e-11
4.280000000000000249e+00 4.915700000000000148e-11
4.299999999999999822e+00 4.763969999999999783e-11
4.320000000000000284e+00 4.616619999999999770e-11
4.339999999999999858e+00 4.473559999999999853e-11
4.360000000000000320e+00 4.334640000000000037e-11
4.379999999999999893e+00 4.199780000000000023e-11
4.400000000000000355e+00 4.068839999999999776e-11
4.419999999999999929e+00 3.941729999999999684e-11
4.440000000000000391e+00 3.818340000000000227e-11
4.459999999999999964e+00 3.698589999999999813e-11
4.480000000000000426e+00 3.582400000000000083e-11
4.500000000000000000e+00 3.469680000000000136e-11
4.519999999999999574e+00 3.360390000000000144e-11
4.540000000000000036e+00 3.254500000000000239e-11
4.559999999999999609e+00 3.151999999999999817e-11
4.580000000000000071e+00 3.052920000000000041e-11
4.599999999999999645e+00 2.957349999999999874e-11
4.620000000000000107e+00 2.865400000000000129e-11
4.639999999999999680e+00 2.777289999999999852e-11
4.660000000000000142e+00 2.693290000000000129e-11
4.679999999999999716e+00 2.613769999999999999e-11
4.700000000000000178e+00 2.539200000000000005e-11
4.719999999999999751e+00 2.470149999999999930e-11
4.740000000000000213e+00 2.407310000000000008e-11
4.769999999999999574e+00 2.351470000000000036e-11
4.790000000000000036e+00 2.303549999999999893e-11
4.809999999999999609e+00 2.264560000000000036e-11
4.830000000000000071e+00 2.235570000000000015e-11
4.849999999999999645e+00 2.217730000000000002e-11
4.870000000000000107e+00 2.212220000000000039e-11
4.889999999999999680e+00 2.220170000000000061e-11
4.910000000000000142e+00 2.242700000000000046e-11
4.929999999999999716e+00 2.280799999999999894e-11
4.950000000000000178e+00 2.335320000000000110e-11
4.969999999999999751e+00 2.406940000000000001e-11
4.990000000000000213e+00 2.496080000000000003e-11
5.009999999999999787e+00 2.602890000000000110e-11
5.030000000000000249e+00 2.727229999999999962e-11
5.049999999999999822e+00 2.868629999999999985e-11
5.070000000000000284e+00 3.026290000000000103e-11
5.089999999999999858e+00 3.199080000000000057e-11
5.110000000000000320e+00 3.385550000000000008e-11
5.129999999999999893e+00 3.583949999999999809e-11
5.150000000000000355e+00 3.792289999999999707e-11
5.169999999999999929e+00 4.008329999999999744e-11
5.190000000000000391e+00 4.229670000000000010e-11
5.209999999999999964e+00 4.453799999999999783e-11
5.230000000000000426e+00 4.678139999999999936e-11
5.250000000000000000e+00 4.900080000000000180e-11
5.269999999999999574e+00 5.117079999999999922e-11
5.290000000000000036e+00 5.326690000000000116e-11
5.309999999999999609e+00 5.526589999999999860e-11
5.330000000000000071e+00 5.714650000000000010e-11
5.349999999999999645e+00 5.888940000000000552e-11
5.370000000000000107e+00 6.047809999999999612e-11
5.389999999999999680e+00 6.189830000000000172e-11
5.410000000000000142e+00 6.313819999999999606e-11
5.429999999999999716e+00 6.418969999999999497e-11
5.450000000000000178e+00 6.504679999999999865e-11
5.469999999999999751e+00 6.570620000000000209e-11
5.490000000000000213e+00 6.616729999999999494e-11
5.509999999999999787e+00 6.643220000000000041e-11
5.530000000000000249e+00 6.650490000000000110e-11
5.549999999999999822e+00 6.639190000000000107e-11
5.570000000000000284e+00 6.610129999999999744e-11
5.589999999999999858e+00 6.564300000000000534e-11
5.610000000000000320e+00 6.502809999999999592e-11
5.629999999999999893e+00 6.426920000000000488e-11
5.650000000000000355e+00 6.337930000000000157e-11
5.669999999999999929e+00 6.237240000000000270e-11
5.690000000000000391e+00 6.126260000000000515e-11
5.709999999999999964e+00 6.006440000000000405e-11
5.730000000000000426e+00 5.879220000000000146e-11
5.750000000000000000e+00 5.745970000000000244e-11
5.769999999999999574e+00 5.608040000000000003e-11
5.790000000000000036e+00 5.466699999999999718e-11
5.809999999999999609e+00 5.323159999999999948e-11
5.830000000000000071e+00 5.178479999999999963e-11
5.849999999999999645e+00 5.033659999999999940e-11
5.870000000000000107e+00 4.889560000000000019e-11
5.889999999999999680e+00 4.746940000000000128e-11
5.910000000000000142e+00 4.606410000000000200e-11
5.929999999999999716e+00 4.468499999999999872e-11
5.950000000000000178e+00 4.333600000000000033e-11
5.969999999999999751e+00 4.202010000000000025e-11
5.990000000000000213e+00 4.073940000000000229e-11
6.009999999999999787e+00 3.949439999999999780e-11
