# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.238369999999999851e-09
3.520000000000000018e+00 3.196180000000000020e-09
3.540000000000000036e+00 3.147020000000000161e-09
3.560000000000000053e+00 3.091550000000000145e-09
3.580000000000000071e+00 3.030429999999999843e-09
3.600000000000000089e+00 2.964310000000000075e-09
3.620000000000000107e+00 2.893840000000000008e-09
3.640000000000000124e+00 2.819660000000000166e-09
3.660000000000000142e+00 2.742360000000000030e-09
3.680000000000000160e+00 2.662529999999999904e-09
3.700000000000000178e+00 2.580720000000000162e-09
3.720000000000000195e+00 2.497449999999999891e-09
3.740000000000000213e+00 2.413210000000000190e-09
3.759999999999999787e+00 2.328450000000000164e-09
3.779999999999999805e+00 2.243569999999999936e-09
3.799999999999999822e+00 2.158949999999999870e-09
3.819999999999999840e+00 2.074939999999999868e-09
3.839999999999999858e+00 1.991840000000000020e-09
3.859999999999999876e+00 1.909910000000000077e-09
3.879999999999999893e+00 1.829409999999999993e-09
3.899999999999999911e+00 1.750540000000000037e-09
3.919999999999999929e+00 1.673470000000000012e-09
3.939999999999999947e+00 1.598369999999999931e-09
3.959999999999999964e+00 1.525359999999999993e-09
3.979999999999999982e+00 1.454549999999999904e-09
4.000000000000000000e+00 1.386019999999999935e-09
4.019999999999999574e+00 1.319829999999999980e-09
4.040000000000000036e+00 1.256030000000000056e-09
4.059999999999999609e+00 1.194650000000000005e-09
4.080000000000000071e+00 1.135690000000000035e-09
4.099999999999999645e+00 1.079160000000000025e-09
4.120000000000000107e+00 1.025050000000000095e-09
4.139999999999999680e+00 9.733270000000000656e-10
4.160000000000000142e+00 9.239609999999999902e-10
4.179999999999999716e+00 8.769059999999999908e-10
4.200000000000000178e+00 8.321110000000000437e-10
4.219999999999999751e+00 7.895189999999999699e-10
4.240000000000000213e+00 7.490689999999999700e-10
4.259999999999999787e+00 7.106919999999999690e-10
4.280000000000000249e+00 6.743169999999999783e-10
4.299999999999999822e+00 6.398709999999999920e-10
4.320000000000000284e+00 6.072779999999999785e-10
4.339999999999999858e+00 5.764620000000000097e-10
4.360000000000000320e+00 5.473469999999999505e-10
4.379999999999999893e+00 5.198559999999999675e-10
4.400000000000000355e+00 4.939130000000000293e-10
4.419999999999999929e+00 4.694440000000000180e-10
4.440000000000000391e+00 4.463769999999999879e-10
4.459999999999999964e+00 4.246420000000000107e-10
4.480000000000000426e+00 4.041719999999999770e-10
4.500000000000000000e+00 3.849040000000000183e-10
4.519999999999999574e+00 3.667760000000000164e-10
4.540000000000000036e+00 3.497330000000000164e-10
4.559999999999999609e+00 3.337219999999999773e-10
4.580000000000000071e+00 3.186929999999999871e-10
4.599999999999999645e+00 3.046010000000000217e-10
4.620000000000000107e+00 2.914049999999999879e-10
4.639999999999999680e+00 2.790660000000000163e-10
4.660000000000000142e+00 2.675480000000000050e-10
4.679999999999999716e+00 2.568170000000000242e-10
4.700000000000000178e+00 2.468420000000000147e-10
4.719999999999999751e+00 2.375920000000000208e-10
4.740000000000000213e+00 2.290350000000000006e-10
4.769999999999999574e+00 2.211429999999999983e-10
4.790000000000000036e+00 2.138820000000000065e-10
4.809999999999999609e+00 2.072209999999999920e-10
4.830000000000000071e+00 2.011259999999999991e-10
4.849999999999999645e+00 1.955610000000000033e-10
4.870000000000000107e+00 1.904889999999999974e-10
4.889999999999999680e+00 1.858719999999999916e-10
4.910000000000000142e+00 1.816679999999999873e-10
4.929999999999999716e+00 1.778370000000000033e-10
4.950000000000000178e+00 1.743369999999999895e-10
