# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.002370000000000149e-10
3.520000000000000018e+00 2.917700000000000171e-10
3.540000000000000036e+00 2.835339999999999848e-10
3.560000000000000053e+00 2.755220000000000128e-10
3.580000000000000071e+00 2.677279999999999982e-10
3.600000000000000089e+00 2.601480000000000099e-10
3.620000000000000107e+00 2.527739999999999793e-10
3.640000000000000124e+00 2.456019999999999755e-10
3.660000000000000142e+00 2.386259999999999988e-10
3.680000000000000160e+00 2.318410000000000062e-10
3.700000000000000178e+00 2.252420000000000066e-10
3.720000000000000195e+00 2.188230000000000001e-10
3.740000000000000213e+00 2.125810000000000127e-10
3.759999999999999787e+00 2.065099999999999931e-10
3.779999999999999805e+00 2.006060000000000102e-10
3.799999999999999822e+00 1.948650000000000038e-10
3.819999999999999840e+00 1.892810000000000002e-10
3.839999999999999858e+00 1.838509999999999993e-10
3.859999999999999876e+00 1.785709999999999927e-10
3.879999999999999893e+00 1.734359999999999892e-10
3.899999999999999911e+00 1.684429999999999890e-10
3.919999999999999929e+00 1.635880000000000094e-10
3.939999999999999947e+00 1.588679999999999988e-10
3.959999999999999964e+00 1.542779999999999919e-10
3.979999999999999982e+00 1.498149999999999888e-10
4.000000000000000000e+00 1.454759999999999896e-10
4.019999999999999574e+00 1.412570000000000117e-10
4.040000000000000036e+00 1.371560000000000121e-10
4.059999999999999609e+00 1.331679999999999996e-10
4.080000000000000071e+00 1.292919999999999915e-10
4.099999999999999645e+00 1.255229999999999966e-10
4.120000000000000107e+00 1.218600000000000062e-10
4.139999999999999680e+00 1.182980000000000034e-10
4.160000000000000142e+00 1.148360000000000055e-10
4.179999999999999716e+00 1.114709999999999995e-10
4.200000000000000178e+00 1.081999999999999986e-10
4.219999999999999751e+00 1.050209999999999985e-10
4.240000000000000213e+00 1.019309999999999994e-10
4.259999999999999787e+00 9.892700000000000125e-11
4.280000000000000249e+00 9.600779999999999648e-11
4.299999999999999822e+00 9.317059999999999722e-11
4.320000000000000284e+00 9.041330000000000613e-11
4.339999999999999858e+00 8.773369999999999400e-11
4.360000000000000320e+00 8.512950000000000314e-11
4.379999999999999893e+00 8.259899999999999570e-11
4.400000000000000355e+00 8.013990000000000106e-11
4.419999999999999929e+00 7.775029999999999516e-11
4.440000000000000391e+00 7.542839999999999877e-11
4.459999999999999964e+00 7.317239999999999384e-11
4.480000000000000426e+00 7.098030000000000200e-11
4.500000000000000000e+00 6.885059999999999745e-11
4.519999999999999574e+00 6.678130000000000182e-11
4.540000000000000036e+00 6.477099999999999533e-11
4.559999999999999609e+00 6.281800000000000476e-11
4.580000000000000071e+00 6.092069999999999829e-11
4.599999999999999645e+00 5.907760000000000183e-11
4.620000000000000107e+00 5.728720000000000252e-11
4.639999999999999680e+00 5.554809999999999996e-11
4.660000000000000142e+00 5.385880000000000069e-11
4.679999999999999716e+00 5.221799999999999742e-11
4.700000000000000178e+00 5.062440000000000227e-11
4.719999999999999751e+00 4.907670000000000150e-11
4.740000000000000213e+00 4.757340000000000164e-11
4.769999999999999574e+00 4.611360000000000013e-11
4.790000000000000036e+00 4.469590000000000305e-11
4.809999999999999609e+00 4.331920000000000226e-11
4.830000000000000071e+00 4.198240000000000254e-11
4.849999999999999645e+00 4.068430000000000265e-11
4.870000000000000107e+00 3.942390000000000047e-11
4.889999999999999680e+00 3.820020000000000034e-11
4.910000000000000142e+00 3.701200000000000102e-11
4.929999999999999716e+00 3.585849999999999953e-11
4.950000000000000178e+00 3.473870000000000020e-11
4.969999999999999751e+00 3.365160000000000092e-11
4.990000000000000213e+00 3.259629999999999915e-11
5.009999999999999787e+00 3.157199999999999835e-11
5.030000000000000249e+00 3.057770000000000288e-11
5.049999999999999822e+00 2.961270000000000285e-11
5.070000000000000284e+00 2.867609999999999895e-11
5.089999999999999858e+00 2.776710000000000111e-11
5.110000000000000320e+00 2.688489999999999988e-11
5.129999999999999893e+00 2.602890000000000110e-11
5.150000000000000355e+00 2.519819999999999900e-11
5.169999999999999929e+00 2.439219999999999940e-11
5.190000000000000391e+00 2.361009999999999933e-11
5.209999999999999964e+00 2.285130000000000139e-11
5.230000000000000426e+00 2.211509999999999894e-11
5.250000000000000000e+00 2.140090000000000103e-11
5.269999999999999574e+00 2.070810000000000059e-11
5.290000000000000036e+00 2.003610000000000022e-11
5.309999999999999609e+00 1.938339999999999998e-11
5.330000000000000071e+00 1.875009999999999944e-11
5.349999999999999645e+00 1.813589999999999990e-11
5.370000000000000107e+00 1.754030000000000029e-11
5.389999999999999680e+00 1.696260000000000044e-11
5.410000000000000142e+00 1.640249999999999842e-11
5.429999999999999716e+00 1.585940000000000006e-11
5.450000000000000178e+00 1.533280000000000107e-11
5.469999999999999751e+00 1.482229999999999996e-11
5.490000000000000213e+00 1.432729999999999934e-11
5.509999999999999787e+00 1.384750000000000052e-11
5.530000000000000249e+00 1.338229999999999963e-11
5.549999999999999822e+00 1.293150000000000079e-11
5.570000000000000284e+00 1.249450000000000013e-11
5.589999999999999858e+00 1.207129999999999926e-11
5.610000000000000320e+00 1.166039999999999987e-11
5.629999999999999893e+00 1.126269999999999966e-11
5.650000000000000355e+00 1.087729999999999930e-11
5.669999999999999929e+00 1.050390000000000011e-11
5.690000000000000391e+00 1.014220000000000014e-11
5.709999999999999964e+00 9.791659999999999497e-12
5.730000000000000426e+00 9.452130000000000438e-12
5.750000000000000000e+00 9.123239999999999403e-12
5.769999999999999574e+00 8.804680000000000001e-12
5.790000000000000036e+00 8.496179999999999851e-12
5.809999999999999609e+00 8.197429999999999332e-12
5.830000000000000071e+00 7.908140000000000673e-12
5.849999999999999645e+00 7.628050000000000803e-12
5.870000000000000107e+00 7.356890000000000573e-12
5.889999999999999680e+00 7.094400000000000144e-12
5.910000000000000142e+00 6.840319999999999675e-12
5.929999999999999716e+00 6.594400000000000255e-12
5.950000000000000178e+00 6.356420000000000091e-12
5.969999999999999751e+00 6.126130000000000272e-12
5.990000000000000213e+00 5.903299999999999696e-12
6.009999999999999787e+00 5.687709999999999803e-12
6.030000000000000249e+00 5.479169999999999967e-12
6.049999999999999822e+00 5.277449999999999894e-12
6.070000000000000284e+00 5.082349999999999644e-12
6.089999999999999858e+00 4.893690000000000325e-12
6.110000000000000320e+00 4.711260000000000263e-12
6.129999999999999893e+00 4.534899999999999993e-12
6.150000000000000355e+00 4.364410000000000383e-12
6.169999999999999929e+00 4.199630000000000352e-12
6.190000000000000391e+00 4.040940000000000349e-12
6.209999999999999964e+00 3.886449999999999863e-12
6.230000000000000426e+00 3.737729999999999665e-12
6.250000000000000000e+00 3.594319999999999976e-12
6.269999999999999574e+00 3.455950000000000031e-12
6.290000000000000036e+00 3.322419999999999893e-12
6.309999999999999609e+00 3.193600000000000044e-12
6.330000000000000071e+00 3.069420000000000062e-12
6.349999999999999645e+00 2.949860000000000115e-12
6.370000000000000107e+00 2.834899999999999967e-12
6.389999999999999680e+00 2.724559999999999853e-12
6.410000000000000142e+00 2.618870000000000129e-12
6.429999999999999716e+00 2.517900000000000005e-12
6.450000000000000178e+00 2.421749999999999854e-12
6.469999999999999751e+00 2.330499999999999814e-12
6.490000000000000213e+00 2.244300000000000040e-12
6.509999999999999787e+00 2.163280000000000048e-12
6.530000000000000249e+00 2.087579999999999875e-12
6.549999999999999822e+00 2.017360000000000201e-12
6.570000000000000284e+00 1.952750000000000136e-12
6.589999999999999858e+00 1.893510000000000077e-12
6.610000000000000320e+00 1.840680000000000190e-12
6.629999999999999893e+00 1.793459999999999913e-12
6.650000000000000355e+00 1.752129999999999926e-12
6.669999999999999929e+00 1.716649999999999960e-12
6.690000000000000391e+00 1.686909999999999928e-12
6.709999999999999964e+00 1.662749999999999958e-12
6.730000000000000426e+00 1.643919999999999926e-12
6.750000000000000000e+00 1.630119999999999924e-12
6.769999999999999574e+00 1.621000000000000060e-12
6.790000000000000036e+00 1.616110000000000068e-12
6.809999999999999609e+00 1.615000000000000086e-12
6.830000000000000071e+00 1.617139999999999913e-12
6.849999999999999645e+00 1.621990000000000039e-12
6.870000000000000107e+00 1.628970000000000076e-12
6.889999999999999680e+00 1.637520000000000075e-12
6.910000000000000142e+00 1.647060000000000052e-12
6.929999999999999716e+00 1.657030000000000059e-12
6.950000000000000178e+00 1.666880000000000063e-12
6.969999999999999751e+00 1.676100000000000098e-12
6.990000000000000213e+00 1.684239999999999900e-12
7.009999999999999787e+00 1.690859999999999926e-12
7.030000000000000249e+00 1.695599999999999964e-12
7.049999999999999822e+00 1.698129999999999955e-12
7.070000000000000284e+00 1.698190000000000057e-12
7.089999999999999858e+00 1.695579999999999930e-12
7.110000000000000320e+00 1.690139999999999905e-12
7.129999999999999893e+00 1.681770000000000012e-12
7.150000000000000355e+00 1.670429999999999982e-12
7.169999999999999929e+00 1.656120000000000015e-12
7.190000000000000391e+00 1.638220000000000061e-12
7.209999999999999964e+00 1.618060000000000075e-12
7.230000000000000426e+00 1.595029999999999919e-12
7.259999999999999787e+00 1.569360000000000090e-12
7.280000000000000249e+00 1.541260000000000038e-12
7.299999999999999822e+00 1.510919999999999988e-12
7.320000000000000284e+00 1.478549999999999996e-12
7.339999999999999858e+00 1.444370000000000034e-12
7.360000000000000320e+00 1.408580000000000042e-12
7.379999999999999893e+00 1.371420000000000027e-12
7.400000000000000355e+00 1.333080000000000011e-12
7.419999999999999929e+00 1.293779999999999966e-12
7.440000000000000391e+00 1.253729999999999950e-12
7.459999999999999964e+00 1.213129999999999901e-12
7.480000000000000426e+00 1.172170000000000043e-12
7.500000000000000000e+00 1.131030000000000079e-12
7.519999999999999574e+00 1.089879999999999997e-12
7.540000000000000036e+00 1.048869999999999952e-12
7.559999999999999609e+00 1.008160000000000018e-12
7.580000000000000071e+00 9.678750000000000537e-13
7.599999999999999645e+00 9.281609999999999262e-13
7.620000000000000107e+00 8.890750000000000259e-13
7.639999999999999680e+00 8.507359999999999810e-13
7.660000000000000142e+00 8.132270000000000446e-13
7.679999999999999716e+00 7.766150000000000184e-13
7.700000000000000178e+00 7.409609999999999767e-13
7.719999999999999751e+00 7.063110000000000183e-13
7.740000000000000213e+00 6.727050000000000098e-13
7.759999999999999787e+00 6.401720000000000312e-13
7.780000000000000249e+00 6.087329999999999872e-13
7.799999999999999822e+00 5.784000000000000396e-13
7.820000000000000284e+00 5.491830000000000036e-13
7.839999999999999858e+00 5.210789999999999651e-13
7.860000000000000320e+00 4.940859999999999810e-13
7.879999999999999893e+00 4.681919999999999906e-13
7.900000000000000355e+00 4.433860000000000052e-13
7.919999999999999929e+00 4.196470000000000192e-13
7.940000000000000391e+00 3.969580000000000136e-13
7.959999999999999964e+00 3.752930000000000246e-13
7.980000000000000426e+00 3.546279999999999809e-13
8.000000000000000000e+00 3.349359999999999978e-13
8.019999999999999574e+00 3.161860000000000019e-13
8.039999999999999147e+00 2.983510000000000078e-13
8.060000000000000497e+00 2.813990000000000210e-13
8.080000000000000071e+00 2.652999999999999904e-13
8.099999999999999645e+00 2.500220000000000225e-13
8.119999999999999218e+00 2.355339999999999938e-13
8.140000000000000568e+00 2.218040000000000109e-13
8.160000000000000142e+00 2.088010000000000006e-13
8.179999999999999716e+00 1.964950000000000124e-13
8.199999999999999289e+00 1.849309999999999973e-13
8.220000000000000639e+00 1.739299999999999970e-13
8.240000000000000213e+00 1.635470000000000048e-13
8.259999999999999787e+00 1.537509999999999979e-13
8.279999999999999361e+00 1.445170000000000091e-13
8.300000000000000711e+00 1.358160000000000092e-13
8.320000000000000284e+00 1.276220000000000089e-13
8.339999999999999858e+00 1.199089999999999942e-13
8.359999999999999432e+00 1.126519999999999980e-13
8.380000000000000782e+00 1.058279999999999960e-13
8.400000000000000355e+00 9.941540000000000218e-14
8.419999999999999929e+00 9.339109999999999775e-14
8.439999999999999503e+00 8.773579999999999911e-14
8.460000000000000853e+00 8.242929999999999542e-14
8.480000000000000426e+00 7.745359999999999624e-14
8.500000000000000000e+00 7.279110000000000222e-14
