# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.592290000000000010e-10
3.520000000000000018e+00 3.491749999999999859e-10
3.540000000000000036e+00 3.393929999999999777e-10
3.560000000000000053e+00 3.298769999999999766e-10
3.580000000000000071e+00 3.206180000000000089e-10
3.600000000000000089e+00 3.116109999999999799e-10
3.620000000000000107e+00 3.028489999999999848e-10
3.640000000000000124e+00 2.943240000000000064e-10
3.660000000000000142e+00 2.860320000000000107e-10
3.680000000000000160e+00 2.779649999999999805e-10
3.700000000000000178e+00 2.701179999999999765e-10
3.720000000000000195e+00 2.624849999999999988e-10
3.740000000000000213e+00 2.550599999999999960e-10
3.759999999999999787e+00 2.478370000000000200e-10
3.779999999999999805e+00 2.408119999999999848e-10
3.799999999999999822e+00 2.339789999999999941e-10
3.819999999999999840e+00 2.273330000000000048e-10
3.839999999999999858e+00 2.208690000000000001e-10
3.859999999999999876e+00 2.145810000000000058e-10
3.879999999999999893e+00 2.084670000000000050e-10
3.899999999999999911e+00 2.025199999999999893e-10
3.919999999999999929e+00 1.967360000000000018e-10
3.939999999999999947e+00 1.911110000000000083e-10
3.959999999999999964e+00 1.856410000000000003e-10
3.979999999999999982e+00 1.803219999999999952e-10
4.000000000000000000e+00 1.751490000000000018e-10
4.019999999999999574e+00 1.701180000000000116e-10
4.040000000000000036e+00 1.652270000000000075e-10
4.059999999999999609e+00 1.604699999999999897e-10
4.080000000000000071e+00 1.558449999999999928e-10
4.099999999999999645e+00 1.513480000000000082e-10
4.120000000000000107e+00 1.469750000000000017e-10
4.139999999999999680e+00 1.427240000000000078e-10
4.160000000000000142e+00 1.385900000000000095e-10
4.179999999999999716e+00 1.345709999999999895e-10
4.200000000000000178e+00 1.306639999999999998e-10
4.219999999999999751e+00 1.268650000000000060e-10
4.240000000000000213e+00 1.231719999999999909e-10
4.259999999999999787e+00 1.195820000000000064e-10
4.280000000000000249e+00 1.160920000000000009e-10
4.299999999999999822e+00 1.126999999999999960e-10
4.320000000000000284e+00 1.094019999999999961e-10
4.339999999999999858e+00 1.061959999999999970e-10
4.360000000000000320e+00 1.030799999999999946e-10
4.379999999999999893e+00 1.000510000000000017e-10
4.400000000000000355e+00 9.710750000000000562e-11
4.419999999999999929e+00 9.424629999999999434e-11
4.440000000000000391e+00 9.146540000000000243e-11
4.459999999999999964e+00 8.876279999999999979e-11
4.480000000000000426e+00 8.613620000000000288e-11
4.500000000000000000e+00 8.358359999999999455e-11
4.519999999999999574e+00 8.110290000000000331e-11
4.540000000000000036e+00 7.869229999999999822e-11
4.559999999999999609e+00 7.634980000000000088e-11
4.580000000000000071e+00 7.407360000000000620e-11
4.599999999999999645e+00 7.186180000000000304e-11
4.620000000000000107e+00 6.971270000000000526e-11
4.639999999999999680e+00 6.762469999999999396e-11
4.660000000000000142e+00 6.559589999999999679e-11
4.679999999999999716e+00 6.362480000000000088e-11
4.700000000000000178e+00 6.170980000000000025e-11
4.719999999999999751e+00 5.984950000000000100e-11
4.740000000000000213e+00 5.804209999999999802e-11
4.769999999999999574e+00 5.628640000000000298e-11
4.790000000000000036e+00 5.458100000000000260e-11
4.809999999999999609e+00 5.292439999999999691e-11
4.830000000000000071e+00 5.131519999999999848e-11
4.849999999999999645e+00 4.975229999999999915e-11
4.870000000000000107e+00 4.823419999999999899e-11
4.889999999999999680e+00 4.675990000000000233e-11
4.910000000000000142e+00 4.532800000000000234e-11
4.929999999999999716e+00 4.393739999999999734e-11
4.950000000000000178e+00 4.258689999999999901e-11
4.969999999999999751e+00 4.127559999999999832e-11
4.990000000000000213e+00 4.000210000000000138e-11
5.009999999999999787e+00 3.876559999999999872e-11
5.030000000000000249e+00 3.756500000000000159e-11
5.049999999999999822e+00 3.639930000000000142e-11
5.070000000000000284e+00 3.526750000000000255e-11
5.089999999999999858e+00 3.416870000000000242e-11
5.110000000000000320e+00 3.310189999999999893e-11
5.129999999999999893e+00 3.206640000000000158e-11
5.150000000000000355e+00 3.106110000000000222e-11
5.169999999999999929e+00 3.008529999999999743e-11
5.190000000000000391e+00 2.913819999999999715e-11
5.209999999999999964e+00 2.821889999999999884e-11
