# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 4.877809999999999516e-10
3.520000000000000018e+00 4.745340000000000490e-10
3.540000000000000036e+00 4.616380000000000038e-10
3.560000000000000053e+00 4.490839999999999973e-10
3.580000000000000071e+00 4.368630000000000040e-10
3.600000000000000089e+00 4.249659999999999985e-10
3.620000000000000107e+00 4.133850000000000154e-10
3.640000000000000124e+00 4.021129999999999948e-10
3.660000000000000142e+00 3.911400000000000059e-10
3.680000000000000160e+00 3.804579999999999801e-10
3.700000000000000178e+00 3.700619999999999780e-10
3.720000000000000195e+00 3.599420000000000170e-10
3.740000000000000213e+00 3.500919999999999942e-10
3.759999999999999787e+00 3.405039999999999959e-10
3.779999999999999805e+00 3.311720000000000223e-10
3.799999999999999822e+00 3.220900000000000220e-10
3.819999999999999840e+00 3.132490000000000212e-10
3.839999999999999858e+00 3.046449999999999856e-10
3.859999999999999876e+00 2.962720000000000187e-10
3.879999999999999893e+00 2.881220000000000004e-10
3.899999999999999911e+00 2.801899999999999909e-10
3.919999999999999929e+00 2.724709999999999993e-10
3.939999999999999947e+00 2.649580000000000171e-10
3.959999999999999964e+00 2.576470000000000099e-10
3.979999999999999982e+00 2.505319999999999782e-10
4.000000000000000000e+00 2.436089999999999908e-10
4.019999999999999574e+00 2.368709999999999878e-10
4.040000000000000036e+00 2.303140000000000124e-10
4.059999999999999609e+00 2.239329999999999959e-10
4.080000000000000071e+00 2.177249999999999900e-10
4.099999999999999645e+00 2.116830000000000123e-10
4.120000000000000107e+00 2.058040000000000112e-10
4.139999999999999680e+00 2.000840000000000041e-10
4.160000000000000142e+00 1.945179999999999997e-10
4.179999999999999716e+00 1.891019999999999897e-10
4.200000000000000178e+00 1.838329999999999999e-10
4.219999999999999751e+00 1.787059999999999876e-10
4.240000000000000213e+00 1.737169999999999958e-10
4.259999999999999787e+00 1.688640000000000075e-10
4.280000000000000249e+00 1.641420000000000056e-10
4.299999999999999822e+00 1.595479999999999902e-10
4.320000000000000284e+00 1.550780000000000046e-10
4.339999999999999858e+00 1.507300000000000058e-10
4.360000000000000320e+00 1.465000000000000111e-10
4.379999999999999893e+00 1.423849999999999948e-10
4.400000000000000355e+00 1.383820000000000087e-10
4.419999999999999929e+00 1.344880000000000013e-10
4.440000000000000391e+00 1.306989999999999899e-10
4.459999999999999964e+00 1.270139999999999917e-10
4.480000000000000426e+00 1.234289999999999984e-10
4.500000000000000000e+00 1.199430000000000014e-10
4.519999999999999574e+00 1.165510000000000094e-10
4.540000000000000036e+00 1.132520000000000009e-10
4.559999999999999609e+00 1.100430000000000019e-10
4.580000000000000071e+00 1.069219999999999954e-10
4.599999999999999645e+00 1.038870000000000027e-10
4.620000000000000107e+00 1.009349999999999983e-10
4.639999999999999680e+00 9.806340000000000642e-11
