# log10(T) rate(cm^3/s)
# Collisional Rates
1.000000000000000000e+00 0.000000000000000000e+00
1.022922636103151817e+00 0.000000000000000000e+00
1.045845272206303633e+00 0.000000000000000000e+00
1.068767908309455672e+00 0.000000000000000000e+00
1.091690544412607489e+00 0.000000000000000000e+00
1.114613180515759305e+00 0.000000000000000000e+00
1.137535816618911122e+00 0.000000000000000000e+00
1.160458452722062939e+00 0.000000000000000000e+00
1.183381088825214977e+00 0.000000000000000000e+00
1.206303724928366794e+00 0.000000000000000000e+00
1.229226361031518611e+00 0.000000000000000000e+00
1.252148997134670427e+00 0.000000000000000000e+00
1.275071633237822244e+00 0.000000000000000000e+00
1.297994269340974283e+00 0.000000000000000000e+00
1.320916905444126099e+00 0.000000000000000000e+00
1.343839541547277916e+00 0.000000000000000000e+00
1.366762177650429733e+00 0.000000000000000000e+00
1.389684813753581771e+00 0.000000000000000000e+00
1.412607449856733588e+00 0.000000000000000000e+00
1.435530085959885405e+00 0.000000000000000000e+00
1.458452722063037221e+00 0.000000000000000000e+00
1.481375358166189038e+00 0.000000000000000000e+00
1.504297994269340855e+00 0.000000000000000000e+00
1.527220630372492671e+00 0.000000000000000000e+00
1.550143266475644710e+00 0.000000000000000000e+00
1.573065902578796527e+00 0.000000000000000000e+00
1.595988538681948565e+00 0.000000000000000000e+00
1.618911174785100382e+00 0.000000000000000000e+00
1.641833810888252199e+00 0.000000000000000000e+00
1.664756446991404015e+00 0.000000000000000000e+00
1.687679083094555832e+00 0.000000000000000000e+00
1.710601719197707649e+00 0.000000000000000000e+00
1.733524355300859465e+00 0.000000000000000000e+00
1.756446991404011282e+00 0.000000000000000000e+00
1.779369627507163321e+00 0.000000000000000000e+00
1.802292263610315137e+00 0.000000000000000000e+00
1.825214899713467176e+00 0.000000000000000000e+00
1.848137535816618993e+00 0.000000000000000000e+00
1.871060171919770809e+00 0.000000000000000000e+00
1.893982808022922626e+00 0.000000000000000000e+00
1.916905444126074443e+00 0.000000000000000000e+00
1.939828080229226259e+00 0.000000000000000000e+00
1.962750716332378076e+00 0.000000000000000000e+00
1.985673352435529893e+00 0.000000000000000000e+00
2.008595988538681709e+00 0.000000000000000000e+00
2.031518624641833526e+00 0.000000000000000000e+00
2.054441260744985343e+00 0.000000000000000000e+00
2.077363896848137603e+00 0.000000000000000000e+00
2.100286532951289420e+00 0.000000000000000000e+00
2.123209169054441237e+00 0.000000000000000000e+00
2.146131805157593053e+00 0.000000000000000000e+00
2.169054441260744870e+00 0.000000000000000000e+00
2.191977077363897131e+00 0.000000000000000000e+00
2.214899713467048947e+00 0.000000000000000000e+00
2.237822349570200764e+00 7.350844867646840464e-311
2.260744985673352581e+00 2.524181915530513799e-295
2.283667621776504397e+00 1.379557688855640656e-280
2.306590257879656214e+00 1.318953804804717997e-266
