# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 9.451177803452439654e-11
1.022922636103151817e+00 9.250083820900338563e-11
1.045845272206303633e+00 9.037274542222495565e-11
1.068767908309455672e+00 8.814841747657990113e-11
1.091690544412607489e+00 8.584842296510457843e-11
1.114613180515759305e+00 8.349256771032846775e-11
1.137535816618911122e+00 8.109953900926834734e-11
1.160458452722062939e+00 7.868661412610971898e-11
1.183381088825214977e+00 7.626943719085567039e-11
1.206303724928366794e+00 7.386186606018039647e-11
1.229226361031518611e+00 7.147588796427043705e-11
1.252148997134670427e+00 6.912160011203715074e-11
1.275071633237822244e+00 6.680724905935603307e-11
1.297994269340974283e+00 6.453932072833601831e-11
1.320916905444126099e+00 6.232267161456561859e-11
1.343839541547277916e+00 6.016069098757356976e-11
1.366762177650429733e+00 5.805548377157847633e-11
1.389684813753581771e+00 5.600806423198959092e-11
1.412607449856733588e+00 5.401855149287949230e-11
1.435530085959885405e+00 5.208635915339998831e-11
1.458452722063037221e+00 5.021037272999245647e-11
1.481375358166189038e+00 4.838911020366467881e-11
1.504297994269340855e+00 4.662086248898983826e-11
1.527220630372492671e+00 4.490381207563823353e-11
1.550143266475644710e+00 4.323612935944270684e-11
1.573065902578796527e+00 4.161604723722376104e-11
1.595988538681948565e+00 4.004191536870173337e-11
1.618911174785100382e+00 3.851223610918145889e-11
1.641833810888252199e+00 3.702568450214020744e-11
1.664756446991404015e+00 3.558111491542098805e-11
1.687679083094555832e+00 3.417755693864315136e-11
1.710601719197707649e+00 3.281420306559771407e-11
1.733524355300859465e+00 3.149039049658107044e-11
1.756446991404011282e+00 3.020557914241987897e-11
1.779369627507163321e+00 2.895932762134991509e-11
1.802292263610315137e+00 2.775126873456499237e-11
1.825214899713467176e+00 2.658108560415337732e-11
1.848137535816618993e+00 2.544848937176719519e-11
1.871060171919770809e+00 2.435319909705263305e-11
1.893982808022922626e+00 2.329492426732707699e-11
1.916905444126074443e+00 2.227335013694192762e-11
1.939828080229226259e+00 2.128812595657839351e-11
1.962750716332378076e+00 2.033885602797932257e-11
1.985673352435529893e+00 1.942509342568973771e-11
2.008595988538681709e+00 1.854633616085877766e-11
2.031518624641833526e+00 1.770202551925062268e-11
2.054441260744985343e+00 1.689154628242485489e-11
2.077363896848137603e+00 1.611422853379597413e-11
2.100286532951289420e+00 1.536935075645291287e-11
2.123209169054441237e+00 1.465614394405654539e-11
2.146131805157593053e+00 1.397379646709049866e-11
2.169054441260744870e+00 1.332145946189733527e-11
2.191977077363897131e+00 1.269825253738227397e-11
2.214899713467048947e+00 1.210326962249146995e-11
2.237822349570200764e+00 1.153558480540348016e-11
2.260744985673352581e+00 1.099425804194900882e-11
2.283667621776504397e+00 1.047834063549359055e-11
2.306590257879656214e+00 9.986880412997131699e-12
2.329512893982808031e+00 9.518926541992804974e-12
2.352435530085959847e+00 9.073533950733651314e-12
2.375358166189111664e+00 8.649767328770480960e-12
2.398280802292263481e+00 8.246704697856952623e-12
2.421203438395415297e+00 7.863440553487095972e-12
2.444126074498567114e+00 7.499088585750662547e-12
2.467048710601718930e+00 7.152783994753179267e-12
2.489971346704870747e+00 6.823685420807256707e-12
2.512893982808022564e+00 6.510976513174015477e-12
2.535816618911174825e+00 6.213867163522415063e-12
2.558739255014326641e+00 5.931594431671328267e-12
2.581661891117478458e+00 5.663423191758625825e-12
2.604584527220630275e+00 5.408646526900920415e-12
2.627507163323782091e+00 5.166585899804875199e-12
2.650429799426934352e+00 4.936591125787998095e-12
2.673352435530086169e+00 4.718040173367409274e-12
2.696275071633237985e+00 4.510338816067284717e-12
2.719197707736389802e+00 4.312920157456042715e-12
2.742120343839541619e+00 4.125244049716952986e-12
2.765042979942693435e+00 3.946796424344710246e-12
2.787965616045845252e+00 3.777088551916527381e-12
2.810888252148997069e+00 3.615656246411526339e-12
2.833810888252148885e+00 3.462059028408802151e-12
2.856733524355300702e+00 3.315879260942009135e-12
2.879656160458452518e+00 3.176721272211757269e-12
2.902578796561604335e+00 3.044210481257580825e-12
2.925501432664756152e+00 2.917992546600302654e-12
2.948424068767907968e+00 2.797732564147144700e-12
2.971346704871059785e+00 2.683114349189058816e-12
2.994269340974212046e+00 2.573839847139891140e-12
3.017191977077363862e+00 2.469628726634424396e-12
3.040114613180515679e+00 2.370218213356730257e-12
3.063037249283667496e+00 2.275363219284824117e-12
3.085959885386819312e+00 2.184836805673343418e-12
3.108882521489971129e+00 2.098430986064190697e-12
3.131805157593122946e+00 2.015957827557113532e-12
3.154727793696275207e+00 1.937250747839166020e-12
3.177650429799427023e+00 1.862165839462561887e-12
3.200573065902578840e+00 1.790582992334506303e-12
3.223495702005730656e+00 1.722406542739116783e-12
3.246418338108882473e+00 1.657565164036451848e-12
3.269340974212034290e+00 1.596010738631085279e-12
3.292263610315186106e+00 1.537716015458797541e-12
3.315186246418337923e+00 1.482670958031519776e-12
3.338108882521489740e+00 1.430877814528471840e-12
