# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.712790155137642135e-10
1.022922636103151817e+00 1.660257343876609861e-10
1.045845272206303633e+00 1.609309346689977426e-10
1.068767908309455672e+00 1.559899497720757130e-10
1.091690544412607489e+00 1.511982450576464174e-10
1.114613180515759305e+00 1.465514143504709739e-10
1.137535816618911122e+00 1.420451765387314857e-10
1.160458452722062939e+00 1.376753722536847654e-10
1.183381088825214977e+00 1.334379606279779356e-10
1.206303724928366794e+00 1.293290161310738071e-10
1.229226361031518611e+00 1.253447254802631162e-10
1.252148997134670427e+00 1.214813846257641506e-10
1.275071633237822244e+00 1.177353958084372004e-10
1.297994269340974283e+00 1.141032646886651179e-10
1.320916905444126099e+00 1.105815975449731142e-10
1.343839541547277916e+00 1.071670985409848788e-10
1.366762177650429733e+00 1.038565670593337618e-10
1.389684813753581771e+00 1.006468951011668194e-10
1.412607449856733588e+00 9.753506474990337105e-11
1.435530085959885405e+00 9.451814569792642566e-11
1.458452722063037221e+00 9.159329283490714279e-11
1.481375358166189038e+00 8.875774389648104972e-11
1.504297994269340855e+00 8.600881717201355672e-11
1.527220630372492671e+00 8.334390927021026441e-11
1.550143266475644710e+00 8.076049294134791315e-11
1.573065902578796527e+00 7.825611495491733457e-11
1.595988538681948565e+00 7.582839403148952683e-11
1.618911174785100382e+00 7.347501882763322992e-11
1.641833810888252199e+00 7.119374597272963170e-11
1.664756446991404015e+00 6.898239815654787804e-11
1.687679083094555832e+00 6.683886226646187596e-11
1.710601719197707649e+00 6.476108757320680459e-11
1.733524355300859465e+00 6.274708396409008622e-11
1.756446991404011282e+00 6.079492022258966369e-11
1.779369627507163321e+00 5.890272235328852216e-11
1.802292263610315137e+00 5.706867195111221595e-11
1.825214899713467176e+00 5.529100461385214305e-11
1.848137535816618993e+00 5.356800839697526177e-11
1.871060171919770809e+00 5.189802230973729425e-11
1.893982808022922626e+00 5.027943485163487233e-11
1.916905444126074443e+00 4.871068258825742045e-11
1.939828080229226259e+00 4.719024876564450941e-11
1.962750716332378076e+00 4.571666196237864671e-11
1.985673352435529893e+00 4.428849477900019775e-11
2.008595988538681709e+00 4.290436256534918426e-11
2.031518624641833526e+00 4.156292218912570598e-11
2.054441260744985343e+00 4.026287085550788526e-11
2.077363896848137603e+00 3.900294500230546371e-11
2.100286532951289420e+00 3.778191932518760182e-11
2.123209169054441237e+00 3.659860604417935281e-11
2.146131805157593053e+00 3.545185462050262354e-11
2.169054441260744870e+00 3.434055228732316634e-11
2.191977077363897131e+00 3.326362597919309505e-11
2.214899713467048947e+00 3.222004652849782352e-11
2.237822349570200764e+00 3.120883631305712838e-11
2.260744985673352581e+00 3.022908182299181642e-11
2.283667621776504397e+00 2.927995276743977341e-11
2.306590257879656214e+00 2.836072923892439615e-11
2.329512893982808031e+00 2.747083797291801199e-11
2.352435530085959847e+00 2.660989779880078348e-11
2.375358166189111664e+00 2.577777297088674588e-11
2.398280802292263481e+00 2.497463129802060216e-11
2.421203438395415297e+00 2.420100207772187856e-11
2.444126074498567114e+00 2.345782710113936532e-11
2.467048710601718930e+00 2.274649678691903954e-11
2.489971346704870747e+00 2.206886315649219725e-11
2.512893982808022564e+00 2.142722210872426388e-11
2.535816618911174825e+00 2.082425935462307084e-11
2.558739255014326641e+00 2.026295730809000489e-11
2.581661891117478458e+00 1.974646389021642486e-11
2.604584527220630275e+00 1.927792815100647986e-11
2.627507163323782091e+00 1.886031133988610507e-11
2.650429799426934352e+00 1.849618508187732154e-11
2.673352435530086169e+00 1.818753025385970056e-11
2.696275071633237985e+00 1.793555077145428979e-11
2.719197707736389802e+00 1.774051573720659563e-11
2.742120343839541619e+00 1.760164138485308556e-11
2.765042979942693435e+00 1.751702124623470528e-11
2.787965616045845252e+00 1.748360932587483000e-11
2.810888252148997069e+00 1.749725719178804260e-11
2.833810888252148885e+00 1.755280216398431273e-11
2.856733524355300702e+00 1.764420053076375309e-11
2.879656160458452518e+00 1.776469718645936601e-11
2.902578796561604335e+00 1.790702140123641425e-11
2.925501432664756152e+00 1.806359764259230454e-11
2.948424068767907968e+00 1.822676042067735568e-11
2.971346704871059785e+00 1.838896290943210111e-11
2.994269340974212046e+00 1.854297044277043050e-11
3.017191977077363862e+00 1.868203171894584197e-11
3.040114613180515679e+00 1.880002248616624671e-11
3.063037249283667496e+00 1.889155846417977103e-11
3.085959885386819312e+00 1.895207614328279376e-11
3.108882521489971129e+00 1.897788179115202435e-11
3.131805157593122946e+00 1.896617042157042719e-11
3.154727793696275207e+00 1.891501760295898393e-11
3.177650429799427023e+00 1.882334780163390436e-11
3.200573065902578840e+00 1.869088347796389396e-11
3.223495702005730656e+00 1.851807940804719816e-11
3.246418338108882473e+00 1.830604671836902704e-11
3.269340974212034290e+00 1.805647092413352935e-11
3.292263610315186106e+00 1.777152787820368131e-11
3.315186246418337923e+00 1.745380098965123906e-11
3.338108882521489740e+00 1.710620238456879515e-11
3.361031518624641556e+00 1.673189989178599127e-11
3.383954154727793817e+00 1.633425089114152401e-11
3.406876790830945634e+00 1.591674322584887930e-11
3.429799426934097450e+00 1.548294262829230744e-11
3.452722063037249267e+00 1.503644551724763064e-11
3.475644699140401084e+00 1.458083566011387173e-11
3.498567335243552900e+00 1.411964309821217146e-11
3.521489971346704717e+00 1.365630391415676332e-11
3.544412607449856534e+00 1.319411984665664284e-11
3.567335243553008350e+00 1.273621736312195876e-11
3.590257879656160167e+00 1.228550649160350551e-11
3.613180515759312428e+00 1.184464038730559491e-11
3.636103151862464244e+00 1.141597716698698789e-11
3.659025787965616061e+00 1.100154590907152637e-11
3.681948424068767878e+00 1.060301884122229572e-11
3.704871060171919694e+00 1.022169160935035791e-11
3.727793696275071511e+00 9.858473166423780415e-12
3.750716332378223328e+00 9.513886289498721444e-12
3.773638968481375144e+00 9.188079104177973405e-12
3.796561604584526961e+00 8.880847355483826742e-12
3.819484240687678778e+00 8.591666607214241514e-12
3.842406876790831038e+00 8.319733172749834825e-12
3.865329512893982855e+00 8.064012467467681531e-12
3.888252148997134672e+00 7.823293698730822207e-12
3.911174785100286488e+00 7.596250412532208249e-12
3.934097421203438305e+00 7.381507375177333121e-12
3.957020057306590122e+00 7.177715472416023524e-12
3.979942693409741938e+00 6.983637531040783795e-12
4.002865329512893311e+00 6.798248866268469462e-12
4.025787965616045128e+00 6.620856508251771756e-12
4.048710601719197832e+00 6.451240038554645492e-12
4.071633237822349649e+00 6.289814465602373992e-12
4.094555873925501466e+00 6.137811526714192220e-12
4.117478510028653282e+00 5.997470510877527419e-12
4.140401146131805099e+00 5.872223819633221470e-12
4.163323782234956916e+00 5.766857011704817927e-12
4.186246418338108732e+00 5.687619160444199576e-12
4.209169054441260549e+00 5.642258077012319527e-12
4.232091690544412366e+00 5.639957092850624322e-12
4.255014326647564182e+00 5.691155919250281523e-12
4.277936962750716887e+00 5.807247261672027703e-12
4.300859598853868704e+00 6.000152417962267600e-12
4.323782234957020520e+00 6.281791633787596215e-12
4.346704871060172337e+00 6.663476902943027865e-12
4.369627507163324154e+00 7.155264609616541063e-12
4.392550143266475970e+00 7.765311640728448262e-12
4.415472779369627787e+00 8.499280566245970638e-12
4.438395415472779604e+00 9.359836995745924933e-12
4.461318051575931420e+00 1.034627564865285774e-11
4.484240687679083237e+00 1.145430188043279387e-11
4.507163323782235054e+00 1.267598356417234060e-11
4.530085959885386870e+00 1.399987564669339016e-11
4.553008595988538687e+00 1.541130764490021377e-11
4.575931232091690504e+00 1.689281389249309201e-11
4.598853868194842320e+00 1.842467826864169166e-11
4.621776504297994137e+00 1.998555988070896496e-11
4.644699140401145954e+00 2.155316384183433312e-11
4.667621776504297770e+00 2.310492170070525289e-11
4.690544412607449587e+00 2.461864884366521667e-11
4.713467048710601404e+00 2.607315075558848539e-11
4.736389684813753220e+00 2.744875579036528321e-11
4.759312320916905037e+00 2.872775846538266818e-11
4.782234957020056854e+00 2.989476371767367653e-11
4.805157593123208670e+00 3.093692859823245996e-11
4.828080229226360487e+00 3.184410320461289569e-11
4.851002865329512304e+00 3.260887704648171712e-11
4.873925501432664120e+00 3.322654039924001260e-11
4.896848137535815937e+00 3.369497251513005105e-11
4.919770773638967754e+00 3.401446989040411612e-11
4.942693409742119570e+00 3.418752824394769397e-11
4.965616045845272275e+00 3.421859159165582246e-11
4.988538681948424092e+00 3.411378096031384264e-11
5.011461318051575908e+00 3.388061403296353763e-11
5.034383954154727725e+00 3.352772550218390705e-11
5.057306590257879542e+00 3.306459625795070712e-11
5.080229226361031358e+00 3.250129786051470840e-11
5.103151862464183175e+00 3.184825713059421582e-11
5.126074498567334992e+00 3.111604419102503458e-11
5.148997134670486808e+00 3.031518595710833770e-11
5.171919770773638625e+00 2.945600592070135711e-11
5.194842406876790442e+00 2.854849011453796919e-11
5.217765042979942258e+00 2.760217837608089090e-11
5.240687679083094075e+00 2.662607944404008257e-11
5.263610315186245892e+00 2.562860799979960645e-11
5.286532951289397708e+00 2.461754149142871955e-11
5.309455587392550413e+00 2.359999442923246713e-11
5.332378223495702230e+00 2.258240779810739949e-11
5.355300859598854046e+00 2.157055127299330056e-11
5.378223495702005863e+00 2.056953603020341775e-11
5.401146131805157680e+00 1.958383610158515559e-11
5.424068767908309496e+00 1.861731640429897843e-11
5.446991404011461313e+00 1.767326578249321699e-11
5.469914040114613130e+00 1.675443360647488932e-11
5.492836676217764946e+00 1.586306868060254500e-11
5.515759312320916763e+00 1.500095940584767053e-11
5.538681948424068580e+00 1.416947432182353666e-11
5.561604584527220396e+00 1.336960231317329677e-11
5.584527220630372213e+00 1.260199190546834239e-11
5.607449856733524030e+00 1.186698919659371916e-11
5.630372492836675846e+00 1.116467407249076483e-11
5.653295128939827663e+00 1.049489444328105147e-11
5.676217765042979480e+00 9.857298309708465208e-12
