# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 3.426022101334110570e-10
1.022922636103151817e+00 3.329913704428361115e-10
1.045845272206303633e+00 3.236364080486627001e-10
1.068767908309455672e+00 3.145307246951135533e-10
1.091690544412607489e+00 3.056678930927429553e-10
1.114613180515759305e+00 2.970416523933987627e-10
1.137535816618911122e+00 2.886459037824350010e-10
1.160458452722062939e+00 2.804747061852461977e-10
1.183381088825214977e+00 2.725222720852866890e-10
1.206303724928366794e+00 2.647829634508151659e-10
1.229226361031518611e+00 2.572512877676816048e-10
1.252148997134670427e+00 2.499218941755493580e-10
1.275071633237822244e+00 2.427895697050204593e-10
1.297994269340974283e+00 2.358492356131982127e-10
1.320916905444126099e+00 2.290959438152957395e-10
1.343839541547277916e+00 2.225248734099647345e-10
1.366762177650429733e+00 2.161313272961048660e-10
1.389684813753581771e+00 2.099107288790391588e-10
1.412607449856733588e+00 2.038586188642252739e-10
1.435530085959885405e+00 1.979706521373987104e-10
1.458452722063037221e+00 1.922425947319487155e-10
1.481375358166189038e+00 1.866703208890285101e-10
1.504297994269340855e+00 1.812498102266614476e-10
1.527220630372492671e+00 1.759771450567886850e-10
1.550143266475644710e+00 1.708485079331305915e-10
1.573065902578796527e+00 1.658601795908197395e-10
1.595988538681948565e+00 1.610085375657184857e-10
1.618911174785100382e+00 1.562900559691747953e-10
1.641833810888252199e+00 1.517013071440127798e-10
1.664756446991404015e+00 1.472389662203286918e-10
1.687679083094555832e+00 1.428998198754081870e-10
1.710601719197707649e+00 1.386807807966941900e-10
1.733524355300859465e+00 1.345789093382562787e-10
1.756446991404011282e+00 1.305914435296932455e-10
1.779369627507163321e+00 1.267158378464055280e-10
1.802292263610315137e+00 1.229498099490250007e-10
1.825214899713467176e+00 1.192913930108758535e-10
1.848137535816618993e+00 1.157389894509612379e-10
1.871060171919770809e+00 1.122914201523132508e-10
1.893982808022922626e+00 1.089479619082915410e-10
1.916905444126074443e+00 1.057083652360755719e-10
1.939828080229226259e+00 1.025728450846455296e-10
1.962750716332378076e+00 9.954203846113402404e-11
1.985673352435529893e+00 9.661692554240811273e-11
2.008595988538681709e+00 9.379871418367957413e-11
2.031518624641833526e+00 9.108869149082897397e-11
2.054441260744985343e+00 8.848804981375676469e-11
2.077363896848137603e+00 8.599769767017640294e-11
2.100286532951289420e+00 8.361806833100787741e-11
2.123209169054441237e+00 8.134893984759998960e-11
2.146131805157593053e+00 7.918928012434158087e-11
2.169054441260744870e+00 7.713712937873961827e-11
2.191977077363897131e+00 7.518953028680790829e-11
2.214899713467048947e+00 7.334251367921720584e-11
2.237822349570200764e+00 7.159114522415426560e-11
2.260744985673352581e+00 6.992963638587518789e-11
2.283667621776504397e+00 6.835152115659757581e-11
2.306590257879656214e+00 6.684989843776715393e-11
2.329512893982808031e+00 6.541773806846115584e-11
2.352435530085959847e+00 6.404824580098984100e-11
2.375358166189111664e+00 6.273527848755968784e-11
2.398280802292263481e+00 6.147379510918653101e-11
2.421203438395415297e+00 6.026032224500319330e-11
2.444126074498567114e+00 5.909340489796473241e-11
2.467048710601718930e+00 5.797400652654262690e-11
2.489971346704870747e+00 5.690581726207657964e-11
2.512893982808022564e+00 5.589542819403255066e-11
2.535816618911174825e+00 5.495233348139088663e-11
2.558739255014326641e+00 5.408873139675994191e-11
2.581661891117478458e+00 5.331910983069014523e-11
2.604584527220630275e+00 5.265961996512869811e-11
2.627507163323782091e+00 5.212726172114046609e-11
2.650429799426934352e+00 5.173892374697491121e-11
2.673352435530086169e+00 5.151033669224656684e-11
2.696275071633237985e+00 5.145500926961233807e-11
2.719197707736389802e+00 5.158322080963252071e-11
2.742120343839541619e+00 5.190114122840824769e-11
2.765042979942693435e+00 5.241014001402180339e-11
2.787965616045845252e+00 5.310633123088019015e-11
2.810888252148997069e+00 5.398038340985754912e-11
2.833810888252148885e+00 5.501760355185756551e-11
2.856733524355300702e+00 5.619828529713878807e-11
2.879656160458452518e+00 5.749829429521321829e-11
2.902578796561604335e+00 5.888985019883689404e-11
2.925501432664756152e+00 6.034245523129890263e-11
2.948424068767907968e+00 6.182391416262652313e-11
2.971346704871059785e+00 6.330138957069454641e-11
2.994269340974212046e+00 6.474243893599708748e-11
3.017191977077363862e+00 6.611598571469077253e-11
3.040114613180515679e+00 6.739318427105588314e-11
3.063037249283667496e+00 6.854814765932708860e-11
3.085959885386819312e+00 6.955851702542242055e-11
3.108882521489971129e+00 7.040586124302397167e-11
3.131805157593122946e+00 7.107590479293351522e-11
3.154727793696275207e+00 7.155859041631270947e-11
3.177650429799427023e+00 7.184799038107810709e-11
3.200573065902578840e+00 7.194208603792889496e-11
3.223495702005730656e+00 7.184243953634804509e-11
3.246418338108882473e+00 7.155378404397868695e-11
3.269340974212034290e+00 7.108355958831473115e-11
3.292263610315186106e+00 7.044142084178935581e-11
3.315186246418337923e+00 6.963874101597060384e-11
3.338108882521489740e+00 6.868813280649058139e-11
3.361031518624641556e+00 6.760300337261472509e-11
3.383954154727793817e+00 6.639715599444639771e-11
3.406876790830945634e+00 6.508444666168443294e-11
3.429799426934097450e+00 6.367849970357643489e-11
3.452722063037249267e+00 6.219248290170109938e-11
3.475644699140401084e+00 6.063893949470057231e-11
3.498567335243552900e+00 5.902967217227739083e-11
3.521489971346704717e+00 5.737567258191965692e-11
3.544412607449856534e+00 5.568708899752084619e-11
3.567335243553008350e+00 5.397322454682392767e-11
3.590257879656160167e+00 5.224255866683859334e-11
3.613180515759312428e+00 5.050278515469384967e-11
3.636103151862464244e+00 4.876086122390539791e-11
3.659025787965616061e+00 4.702306330870960162e-11
3.681948424068767878e+00 4.529504695625733699e-11
3.704871060171919694e+00 4.358190999525283352e-11
3.727793696275071511e+00 4.188826023602997849e-11
3.750716332378223328e+00 4.021829113685462194e-11
3.773638968481375144e+00 3.857587093929542362e-11
3.796561604584526961e+00 3.696465235528793923e-11
3.819484240687678778e+00 3.538821046723781003e-11
3.842406876790831038e+00 3.385021551025986016e-11
3.865329512893982855e+00 3.235464415839505354e-11
3.888252148997134672e+00 3.090602761724771820e-11
3.911174785100286488e+00 2.950972745323073428e-11
3.934097421203438305e+00 2.817222141810273551e-11
3.957020057306590122e+00 2.690137282033390862e-11
3.979942693409741938e+00 2.570664985833915434e-11
4.002865329512893311e+00 2.459925742446438890e-11
4.025787965616045128e+00 2.359214457524724693e-11
4.048710601719197832e+00 2.269985688065382026e-11
4.071633237822349649e+00 2.193821410548778803e-11
4.094555873925501466e+00 2.132380913355411513e-11
4.117478510028653282e+00 2.087334194305219975e-11
4.140401146131805099e+00 2.060282051875210849e-11
4.163323782234956916e+00 2.052667647387648589e-11
4.186246418338108732e+00 2.065685476462022819e-11
4.209169054441260549e+00 2.100194272938893756e-11
4.232091690544412366e+00 2.156640309432207480e-11
4.255014326647564182e+00 2.234996873515709575e-11
4.277936962750716887e+00 2.334724482084251001e-11
4.300859598853868704e+00 2.454754800677438142e-11
4.323782234957020520e+00 2.593499442999075996e-11
4.346704871060172337e+00 2.748883026633148430e-11
4.369627507163324154e+00 2.918398223251864231e-11
4.392550143266475970e+00 3.099179198396789708e-11
4.415472779369627787e+00 3.288088874152173935e-11
4.438395415472779604e+00 3.481814906343613226e-11
4.461318051575931420e+00 3.676969140419685816e-11
4.484240687679083237e+00 3.870185554739473599e-11
4.507163323782235054e+00 4.058212248637897617e-11
4.530085959885386870e+00 4.237993802683991356e-11
4.553008595988538687e+00 4.406741242773664721e-11
4.575931232091690504e+00 4.561987794850118964e-11
4.598853868194842320e+00 4.701629550110328459e-11
4.621776504297994137e+00 4.823951012808441471e-11
4.644699140401145954e+00 4.927636231714022958e-11
4.667621776504297770e+00 5.011766795850815690e-11
4.690544412607449587e+00 5.075808394480158506e-11
4.713467048710601404e+00 5.119587902613161215e-11
4.736389684813753220e+00 5.143263069158363793e-11
4.759312320916905037e+00 5.147286874979502829e-11
4.782234957020056854e+00 5.132368516877540998e-11
4.805157593123208670e+00 5.099432786770723448e-11
4.828080229226360487e+00 5.049579378571860578e-11
4.851002865329512304e+00 4.984043391694731611e-11
4.873925501432664120e+00 4.904158029648316782e-11
4.896848137535815937e+00 4.811320230701769644e-11
4.919770773638967754e+00 4.706959726869979152e-11
4.942693409742119570e+00 4.592511815252227185e-11
4.965616045845272275e+00 4.469393946297381150e-11
