# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 5.346488757721337720e-10
1.022922636103151817e+00 5.201404306944565648e-10
1.045845272206303633e+00 5.060117393756877999e-10
1.068767908309455672e+00 4.922529506369862924e-10
1.091690544412607489e+00 4.788544704579425043e-10
1.114613180515759305e+00 4.658069552742261397e-10
1.137535816618911122e+00 4.531013054490025691e-10
1.160458452722062939e+00 4.407286589135578368e-10
1.183381088825214977e+00 4.286803849726911191e-10
1.206303724928366794e+00 4.169480782705530270e-10
1.229226361031518611e+00 4.055235529127169244e-10
1.252148997134670427e+00 3.943988367403792031e-10
1.275071633237822244e+00 3.835661657526971112e-10
1.297994269340974283e+00 3.730179786733727664e-10
1.320916905444126099e+00 3.627469116576921789e-10
1.343839541547277916e+00 3.527457931363330050e-10
1.366762177650429733e+00 3.430076387923488447e-10
1.389684813753581771e+00 3.335256466678275936e-10
1.412607449856733588e+00 3.242931923968244989e-10
1.435530085959885405e+00 3.153038245612483238e-10
1.458452722063037221e+00 3.065512601664735824e-10
1.481375358166189038e+00 2.980293802335401590e-10
1.504297994269340855e+00 2.897322255048754020e-10
1.527220630372492671e+00 2.816539922605644087e-10
1.550143266475644710e+00 2.737890282422701120e-10
1.573065902578796527e+00 2.661318286819823796e-10
1.595988538681948565e+00 2.586770324328522129e-10
1.618911174785100382e+00 2.514194181994415267e-10
1.641833810888252199e+00 2.443539008647878531e-10
1.664756446991404015e+00 2.374755279117609674e-10
1.687679083094555832e+00 2.307794759362513468e-10
1.710601719197707649e+00 2.242610472497983343e-10
1.733524355300859465e+00 2.179156665693371464e-10
1.756446991404011282e+00 2.117388777918014532e-10
1.779369627507163321e+00 2.057263408513859113e-10
1.802292263610315137e+00 1.998738286573322731e-10
1.825214899713467176e+00 1.941772241101629531e-10
1.848137535816618993e+00 1.886325171943472978e-10
1.871060171919770809e+00 1.832358021454372722e-10
1.893982808022922626e+00 1.779832746897718817e-10
1.916905444126074443e+00 1.728712293548999792e-10
1.939828080229226259e+00 1.678960568489262162e-10
1.962750716332378076e+00 1.630542415070351236e-10
1.985673352435529893e+00 1.583423588035033917e-10
2.008595988538681709e+00 1.537570729275535099e-10
2.031518624641833526e+00 1.492951344214567807e-10
2.054441260744985343e+00 1.449533778793362682e-10
2.077363896848137603e+00 1.407287197051675742e-10
2.100286532951289420e+00 1.366181559285216795e-10
2.123209169054441237e+00 1.326187600766331250e-10
2.146131805157593053e+00 1.287276811014241595e-10
2.169054441260744870e+00 1.249421413601528348e-10
2.191977077363897131e+00 1.212594346483937686e-10
2.214899713467048947e+00 1.176769242841002051e-10
2.237822349570200764e+00 1.141920412415297765e-10
2.260744985673352581e+00 1.108022823338575724e-10
2.283667621776504397e+00 1.075052084433295675e-10
2.306590257879656214e+00 1.042984427978476732e-10
2.329512893982808031e+00 1.011796692929063636e-10
2.352435530085959847e+00 9.814663085783489026e-11
2.375358166189111664e+00 9.519712786532663516e-11
2.398280802292263481e+00 9.232901658326813991e-11
2.421203438395415297e+00 8.954020766790519401e-11
2.444126074498567114e+00 8.682866469741179750e-11
2.467048710601718930e+00 8.419240274495171164e-11
2.489971346704870747e+00 8.162948699034584708e-11
2.512893982808022564e+00 7.913803136948195183e-11
2.535816618911174825e+00 7.671619726062385687e-11
2.558739255014326641e+00 7.436219220679826896e-11
2.581661891117478458e+00 7.207426867345452213e-11
2.604584527220630275e+00 6.985072284061330172e-11
2.627507163323782091e+00 6.768989342873428751e-11
2.650429799426934352e+00 6.559016055754930950e-11
2.673352435530086169e+00 6.354994463712333916e-11
2.696275071633237985e+00 6.156770529041671568e-11
2.719197707736389802e+00 5.964194030663727056e-11
2.742120343839541619e+00 5.777118462468025517e-11
2.765042979942693435e+00 5.595400934596663565e-11
2.787965616045845252e+00 5.418902077599848788e-11
2.810888252148997069e+00 5.247485949396119191e-11
2.833810888252148885e+00 5.081019944970849700e-11
2.856733524355300702e+00 4.919374708747625452e-11
2.879656160458452518e+00 4.762424049567564327e-11
2.902578796561604335e+00 4.610044858212552031e-11
2.925501432664756152e+00 4.462117027408763387e-11
2.948424068767907968e+00 4.318523374247531719e-11
2.971346704871059785e+00 4.179149564961110971e-11
2.994269340974212046e+00 4.043884041991430944e-11
3.017191977077363862e+00 3.912617953290377752e-11
3.040114613180515679e+00 3.785245083790611701e-11
3.063037249283667496e+00 3.661661788986477036e-11
3.085959885386819312e+00 3.541766930564932782e-11
3.108882521489971129e+00 3.425461814026941224e-11
3.131805157593122946e+00 3.312650128240261074e-11
3.154727793696275207e+00 3.203237886865072543e-11
3.177650429799427023e+00 3.097133371594391436e-11
3.200573065902578840e+00 2.994247077151762555e-11
3.223495702005730656e+00 2.894491657989395377e-11
3.246418338108882473e+00 2.797781876630414277e-11
3.269340974212034290e+00 2.704034553599649325e-11
3.292263610315186106e+00 2.613168518888082309e-11
3.315186246418337923e+00 2.525104564896812555e-11
3.338108882521489740e+00 2.439765400807189402e-11
3.361031518624641556e+00 2.357075608324703936e-11
3.383954154727793817e+00 2.276961598745020051e-11
3.406876790830945634e+00 2.199351571291588254e-11
3.429799426934097450e+00 2.124175472675222697e-11
3.452722063037249267e+00 2.051364957827138592e-11
3.475644699140401084e+00 1.980853351758022850e-11
3.498567335243552900e+00 1.912575612496883984e-11
3.521489971346704717e+00 1.846468295064620630e-11
3.544412607449856534e+00 1.782469516438512705e-11
3.567335243553008350e+00 1.720518921465103559e-11
3.590257879656160167e+00 1.660557649680282779e-11
3.613180515759312428e+00 1.602528302996722148e-11
3.636103151862464244e+00 1.546374914220203764e-11
3.659025787965616061e+00 1.492042916357780058e-11
3.681948424068767878e+00 1.439479112682154919e-11
3.704871060171919694e+00 1.388631647518084936e-11
3.727793696275071511e+00 1.339449977718071527e-11
3.750716332378223328e+00 1.291884844796072185e-11
3.773638968481375144e+00 1.245888247689407087e-11
3.796561604584526961e+00 1.201413416120498958e-11
3.819484240687678778e+00 1.158414784531528243e-11
3.842406876790831038e+00 1.116847966566513986e-11
3.865329512893982855e+00 1.076669730076751073e-11
3.888252148997134672e+00 1.037837972626914537e-11
3.911174785100286488e+00 1.000311697480525689e-11
3.934097421203438305e+00 9.640509900447936505e-12
3.957020057306590122e+00 9.290169947561583592e-12
3.979942693409741938e+00 8.951718923891220868e-12
4.002865329512893311e+00 8.624788777721885614e-12
4.025787965616045128e+00 8.309021378959010465e-12
4.048710601719197832e+00 8.004068303991308893e-12
4.071633237822349649e+00 7.709590624208370813e-12
4.094555873925501466e+00 7.425258698055684773e-12
4.117478510028653282e+00 7.150751966519944217e-12
4.140401146131805099e+00 6.885758751946607225e-12
4.163323782234956916e+00 6.629976060100823356e-12
4.186246418338108732e+00 6.383109385391196228e-12
4.209169054441260549e+00 6.144872519183615800e-12
4.232091690544412366e+00 5.914987361139937474e-12
4.255014326647564182e+00 5.693183733522932496e-12
4.277936962750716887e+00 5.479199198415360105e-12
4.300859598853868704e+00 5.272778877806865987e-12
4.323782234957020520e+00 5.073675276507567710e-12
4.346704871060172337e+00 4.881648107852262399e-12
4.369627507163324154e+00 4.696464122163422309e-12
4.392550143266475970e+00 4.517896937945076296e-12
4.415472779369627787e+00 4.345726875783244837e-12
4.438395415472779604e+00 4.179740794931647269e-12
4.461318051575931420e+00 4.019731932564016371e-12
4.484240687679083237e+00 3.865499745676811912e-12
4.507163323782235054e+00 3.716849755627888206e-12
4.530085959885386870e+00 3.573593395298462379e-12
4.553008595988538687e+00 3.435547858866912703e-12
4.575931232091690504e+00 3.302535954183998553e-12
4.598853868194842320e+00 3.174385957739820194e-12
4.621776504297994137e+00 3.050931472213311163e-12
4.644699140401145954e+00 2.932011286595336717e-12
4.667621776504297770e+00 2.817469238876490410e-12
4.690544412607449587e+00 2.707154081290549182e-12
4.713467048710601404e+00 2.600919348104248466e-12
4.736389684813753220e+00 2.498623225943537171e-12
4.759312320916905037e+00 2.400128426645905335e-12
4.782234957020056854e+00 2.305302062627649419e-12
4.805157593123208670e+00 2.214015524754106964e-12
4.828080229226360487e+00 2.126144362700029640e-12
4.851002865329512304e+00 2.041568167786238163e-12
4.873925501432664120e+00 1.960170458277732073e-12
4.896848137535815937e+00 1.881838567127331918e-12
4.919770773638967754e+00 1.806463532147869797e-12
4.942693409742119570e+00 1.733939988595075225e-12
4.965616045845272275e+00 1.664166064142886836e-12
4.988538681948424092e+00 1.597043276234659457e-12
5.011461318051575908e+00 1.532476431801409692e-12
5.034383954154727725e+00 1.470373529363292246e-12
5.057306590257879542e+00 1.410645663599130347e-12
5.080229226361031358e+00 1.353206932640189194e-12
5.103151862464183175e+00 1.297974348736517216e-12
5.126074498567334992e+00 1.244867753775034655e-12
5.148997134670486808e+00 1.193809742764970055e-12
5.171919770773638625e+00 1.144725601412742086e-12
5.194842406876790442e+00 1.097543269071865604e-12
5.217765042979942258e+00 1.052193346650542235e-12
5.240687679083094075e+00 1.008609181520330351e-12
5.263610315186245892e+00 9.667270788889036091e-13
5.286532951289397708e+00 9.264867115657172129e-13
