# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 9.914934279295266360e-10
1.022922636103151817e+00 9.642783693463598958e-10
1.045845272206303633e+00 9.377801391409692583e-10
1.068767908309455672e+00 9.119801968483010902e-10
1.091690544412607489e+00 8.868604851150541702e-10
1.114613180515759305e+00 8.624034170271077853e-10
1.137535816618911122e+00 8.385918637637508963e-10
1.160458452722062939e+00 8.154091425702403885e-10
1.183381088825214977e+00 7.928390050404473094e-10
1.206303724928366794e+00 7.708656257015784040e-10
1.229226361031518611e+00 7.494735908931773881e-10
1.252148997134670427e+00 7.286478879328270224e-10
1.275071633237822244e+00 7.083738945611812910e-10
1.297994269340974283e+00 6.886373686591633688e-10
1.320916905444126099e+00 6.694244382303579001e-10
1.343839541547277916e+00 6.507215916418287698e-10
1.366762177650429733e+00 6.325156681167742865e-10
1.389684813753581771e+00 6.147938484726257751e-10
1.412607449856733588e+00 5.975436460983620468e-10
1.435530085959885405e+00 5.807528981649991549e-10
1.458452722063037221e+00 5.644097570633798721e-10
1.481375358166189038e+00 5.485026820635509971e-10
1.504297994269340855e+00 5.330204311901800753e-10
1.527220630372492671e+00 5.179520533086220379e-10
1.550143266475644710e+00 5.032868804163912269e-10
1.573065902578796527e+00 4.890145201349515425e-10
1.595988538681948565e+00 4.751248483968684530e-10
1.618911174785100382e+00 4.616080023235213942e-10
1.641833810888252199e+00 4.484543732886919765e-10
1.664756446991404015e+00 4.356546001634897750e-10
1.687679083094555832e+00 4.231995627381923564e-10
1.710601719197707649e+00 4.110803753167047160e-10
1.733524355300859465e+00 3.992883804794563658e-10
1.756446991404011282e+00 3.878151430106732204e-10
1.779369627507163321e+00 3.766524439860649810e-10
1.802292263610315137e+00 3.657922750170802836e-10
1.825214899713467176e+00 3.552268326479774687e-10
1.848137535816618993e+00 3.449485129020627424e-10
1.871060171919770809e+00 3.349499059735347196e-10
1.893982808022922626e+00 3.252237910614693036e-10
1.916905444126074443e+00 3.157631313425628741e-10
1.939828080229226259e+00 3.065610690793335895e-10
1.962750716332378076e+00 2.976109208605610547e-10
1.985673352435529893e+00 2.889061729708192086e-10
2.008595988538681709e+00 2.804404768860292462e-10
2.031518624641833526e+00 2.722076448920266028e-10
2.054441260744985343e+00 2.642016458232064386e-10
2.077363896848137603e+00 2.564166009183656753e-10
2.100286532951289420e+00 2.488467797909303599e-10
2.123209169054441237e+00 2.414865965108016421e-10
2.146131805157593053e+00 2.343306057951178129e-10
2.169054441260744870e+00 2.273734993052752406e-10
2.191977077363897131e+00 2.206101020476003882e-10
2.214899713467048947e+00 2.140353688751174931e-10
2.237822349570200764e+00 2.076443810878888791e-10
2.260744985673352581e+00 2.014323431294647628e-10
2.283667621776504397e+00 1.953945793770025797e-10
