# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.531220336421645494e-09
1.022922636103151817e+00 1.488848303276996929e-09
1.045845272206303633e+00 1.447600126571632290e-09
1.068767908309455672e+00 1.407446767477439743e-09
1.091690544412607489e+00 1.368359940006040651e-09
1.114613180515759305e+00 1.330312091144722361e-09
1.137535816618911122e+00 1.293276381508402630e-09
1.160458452722062939e+00 1.257226666494667744e-09
1.183381088825214977e+00 1.222137477929290052e-09
1.206303724928366794e+00 1.187984006189995700e-09
1.229226361031518611e+00 1.154742082796553977e-09
1.252148997134670427e+00 1.122388163455624724e-09
1.275071633237822244e+00 1.090899311549086625e-09
1.297994269340974283e+00 1.060253182054887490e-09
1.320916905444126099e+00 1.030428005889757687e-09
1.343839541547277916e+00 1.001402574663394018e-09
1.366762177650429733e+00 9.731562258340346456e-10
1.389684813753581771e+00 9.456688282555685896e-10
1.412607449856733588e+00 9.189207681066163388e-10
1.435530085959885405e+00 8.928929351922486132e-10
1.458452722063037221e+00 8.675667096092567937e-10
1.481375358166189038e+00 8.429239487661182948e-10
1.504297994269340855e+00 8.189469747490191512e-10
1.527220630372492671e+00 7.956185620255142552e-10
1.550143266475644710e+00 7.729219254776112403e-10
1.573065902578796527e+00 7.508407087562580793e-10
1.595988538681948565e+00 7.293589729494007906e-10
1.618911174785100382e+00 7.084611855559766866e-10
1.641833810888252199e+00 6.881322097583596590e-10
1.664756446991404015e+00 6.683572939859574279e-10
1.687679083094555832e+00 6.491220617628219775e-10
1.710601719197707649e+00 6.304125018322749208e-10
1.733524355300859465e+00 6.122149585517139371e-10
1.756446991404011282e+00 5.945161225509009468e-10
1.779369627507163321e+00 5.773030216471628647e-10
1.802292263610315137e+00 5.605630120110854945e-10
1.825214899713467176e+00 5.442837695763847284e-10
1.848137535816618993e+00 5.284532816877757043e-10
1.871060171919770809e+00 5.130598389807797873e-10
1.893982808022922626e+00 4.980920274875059213e-10
1.916905444126074443e+00 4.835387209625748302e-10
1.939828080229226259e+00 4.693890734234381971e-10
1.962750716332378076e+00 4.556325118994732672e-10
1.985673352435529893e+00 4.422587293843071459e-10
2.008595988538681709e+00 4.292576779859468120e-10
2.031518624641833526e+00 4.166195622693737421e-10
2.054441260744985343e+00 4.043348327863590801e-10
2.077363896848137603e+00 3.923941797873541831e-10
2.100286532951289420e+00 3.807885271103956477e-10
2.123209169054441237e+00 3.695090262420576482e-10
2.146131805157593053e+00 3.585470505455814053e-10
2.169054441260744870e+00 3.478941896513882225e-10
2.191977077363897131e+00 3.375422440052857177e-10
2.214899713467048947e+00 3.274832195697581996e-10
2.237822349570200764e+00 3.177093226738226100e-10
2.260744985673352581e+00 3.082129550070247224e-10
2.283667621776504397e+00 2.989867087532380127e-10
2.306590257879656214e+00 2.900233618600162372e-10
2.329512893982808031e+00 2.813158734393472693e-10
2.352435530085959847e+00 2.728573792957392423e-10
2.375358166189111664e+00 2.646411875776699788e-10
2.398280802292263481e+00 2.566607745485175422e-10
2.421203438395415297e+00 2.489097804731866778e-10
2.444126074498567114e+00 2.413820056167346316e-10
2.467048710601718930e+00 2.340714063513997625e-10
2.489971346704870747e+00 2.269720913685265835e-10
2.512893982808022564e+00 2.200783179919750323e-10
2.535816618911174825e+00 2.133844885897014241e-10
2.558739255014326641e+00 2.068851470802874095e-10
2.581661891117478458e+00 2.005749755312919759e-10
2.604584527220630275e+00 1.944487908463960415e-10
2.627507163323782091e+00 1.885015415384023994e-10
2.650429799426934352e+00 1.827283045852473200e-10
2.673352435530086169e+00 1.771242823662776510e-10
2.696275071633237985e+00 1.716847996761331998e-10
2.719197707736389802e+00 1.664053008136733459e-10
2.742120343839541619e+00 1.612813467434728032e-10
2.765042979942693435e+00 1.563086123275024415e-10
2.787965616045845252e+00 1.514828836247011129e-10
2.810888252148997069e+00 1.468000552562294173e-10
2.833810888252148885e+00 1.422561278342829682e-10
2.856733524355300702e+00 1.378472054524256119e-10
2.879656160458452518e+00 1.335694932354867095e-10
2.902578796561604335e+00 1.294192949471447785e-10
2.925501432664756152e+00 1.253930106533985077e-10
2.948424068767907968e+00 1.214871344402030834e-10
2.971346704871059785e+00 1.176982521836218599e-10
2.994269340974212046e+00 1.140230393709161237e-10
3.017191977077363862e+00 1.104582589710653213e-10
3.040114613180515679e+00 1.070007593532738833e-10
3.063037249283667496e+00 1.036474722520907233e-10
3.085959885386819312e+00 1.003954107778236601e-10
3.108882521489971129e+00 9.724166747099462885e-11
3.131805157593122946e+00 9.418341239963612800e-11
3.154727793696275207e+00 9.121789129828630505e-11
3.177650429799427023e+00 8.834242374758971894e-11
3.200573065902578840e+00 8.555440139346240938e-11
3.223495702005730656e+00 8.285128620482657575e-11
3.246418338108882473e+00 8.023060876896540448e-11
3.269340974212034290e+00 7.768996662359005901e-11
3.292263610315186106e+00 7.522702262475331699e-11
3.315186246418337923e+00 7.283950334978025742e-11
3.338108882521489740e+00 7.052519753442375228e-11
3.361031518624641556e+00 6.828195454348618660e-11
3.383954154727793817e+00 6.610768287417933276e-11
3.406876790830945634e+00 6.400034869152675891e-11
3.429799426934097450e+00 6.195797439513769555e-11
3.452722063037249267e+00 5.997863721671063587e-11
3.475644699140401084e+00 5.806046784764725404e-11
3.498567335243552900e+00 5.620164909618048951e-11
3.521489971346704717e+00 5.440041457344226891e-11
3.544412607449856534e+00 5.265504740791534904e-11
3.567335243553008350e+00 5.096387898773233734e-11
3.590257879656160167e+00 4.932528773030183236e-11
3.613180515759312428e+00 4.773769787875712990e-11
3.636103151862464244e+00 4.619957832473755188e-11
3.659025787965616061e+00 4.470944145702562522e-11
3.681948424068767878e+00 4.326584203557606889e-11
3.704871060171919694e+00 4.186737609048343633e-11
3.727793696275071511e+00 4.051267984544596856e-11
3.750716332378223328e+00 3.920042866529311998e-11
3.773638968481375144e+00 3.792933602715271709e-11
3.796561604584526961e+00 3.669815251484227270e-11
3.819484240687678778e+00 3.550566483607644232e-11
3.842406876790831038e+00 3.435069486208971165e-11
3.865329512893982855e+00 3.323209868927998906e-11
3.888252148997134672e+00 3.214876572248440573e-11
3.911174785100286488e+00 3.109961777950507547e-11
3.934097421203438305e+00 3.008360821650704491e-11
3.957020057306590122e+00 2.909972107391592138e-11
3.979942693409741938e+00 2.814697024244745177e-11
4.002865329512893311e+00 2.722439864890538017e-11
4.025787965616045128e+00 2.633107746138832971e-11
4.048710601719197832e+00 2.546610531355054739e-11
4.071633237822349649e+00 2.462860754756469203e-11
4.094555873925501466e+00 2.381773547543894257e-11
4.117478510028653282e+00 2.303266565834433888e-11
