# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 3.457052156594538183e-11
1.022922636103151817e+00 3.351842268934563746e-11
1.045845272206303633e+00 3.249689481258157385e-11
1.068767908309455672e+00 3.150510228729980132e-11
1.091690544412607489e+00 3.054223064202227473e-11
1.114613180515759305e+00 2.960748607530389724e-11
1.137535816618911122e+00 2.870009496195452727e-11
1.160458452722062939e+00 2.781930337189224684e-11
1.183381088825214977e+00 2.696437660120885612e-11
1.206303724928366794e+00 2.613459871504363632e-11
1.229226361031518611e+00 2.532927210187489975e-11
1.252148997134670427e+00 2.454771703885365466e-11
1.275071633237822244e+00 2.378927126781710566e-11
1.297994269340974283e+00 2.305328958163366900e-11
1.320916905444126099e+00 2.233914342054440418e-11
1.343839541547277916e+00 2.164622047817914358e-11
1.366762177650429733e+00 2.097392431693840360e-11
1.389684813753581771e+00 2.032167399244465595e-11
1.412607449856733588e+00 1.968890368677922635e-11
1.435530085959885405e+00 1.907506235023241337e-11
1.458452722063037221e+00 1.847961335130670482e-11
1.481375358166189038e+00 1.790203413472393599e-11
1.504297994269340855e+00 1.734181588719812932e-11
1.527220630372492671e+00 1.679846321074636310e-11
1.550143266475644710e+00 1.627149380332030494e-11
1.573065902578796527e+00 1.576043814655069722e-11
1.595988538681948565e+00 1.526483920040652308e-11
1.618911174785100382e+00 1.478425210457977446e-11
1.641833810888252199e+00 1.431824388641505247e-11
1.664756446991404015e+00 1.386639317521192067e-11
1.687679083094555832e+00 1.342828992273544755e-11
1.710601719197707649e+00 1.300353512977806478e-11
1.733524355300859465e+00 1.259174057862293734e-11
1.756446991404011282e+00 1.219252857126587118e-11
1.779369627507163321e+00 1.180553167325899548e-11
1.802292263610315137e+00 1.143039246304583049e-11
1.825214899713467176e+00 1.106676328666264914e-11
1.848137535816618993e+00 1.071430601768682789e-11
1.871060171919770809e+00 1.037269182231760448e-11
1.893982808022922626e+00 1.004160092947960072e-11
1.916905444126074443e+00 9.720722405843799974e-12
1.939828080229226259e+00 9.409753935664877413e-12
1.962750716332378076e+00 9.108401605337689418e-12
1.985673352435529893e+00 8.816379692579182456e-12
2.008595988538681709e+00 8.533410460145583010e-12
2.031518624641833526e+00 8.259223953997623626e-12
2.054441260744985343e+00 7.993557805829658827e-12
2.077363896848137603e+00 7.736157039881038517e-12
2.100286532951289420e+00 7.486773883950739888e-12
2.123209169054441237e+00 7.245167584538409201e-12
2.146131805157593053e+00 7.011104226037299330e-12
2.169054441260744870e+00 6.784356553906273211e-12
2.191977077363897131e+00 6.564703801750115318e-12
2.214899713467048947e+00 6.351931522238890147e-12
2.237822349570200764e+00 6.145831421798623107e-12
2.260744985673352581e+00 5.946201199007188318e-12
